Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Mason Crosby,GNB,23,K,16,0,1.0,1.0,8.0,8.0,11.0,10.0,14.0,9.0,5.0,3.0,39.0,31.0,53.0,79.5%,48.0,48.0,100.0%,93.0,5783.0,14.0,15.1%,62.2
Rob Bironas*+,TEN,29,K,16,0,,,12.0,10.0,12.0,12.0,10.0,9.0,5.0,4.0,39.0,35.0,56.0,89.7%,28.0,28.0,100.0%,75.0,5014.0,16.0,21.3%,66.9
Robbie Gould,CHI,25,K,16,0,,,7.0,7.0,13.0,12.0,14.0,12.0,2.0,,36.0,31.0,49.0,86.1%,33.0,33.0,100.0%,79.0,4644.0,3.0,3.8%,58.8
Mike Nugent,NYJ,25,K,16,0,1.0,1.0,11.0,11.0,12.0,10.0,8.0,6.0,4.0,1.0,36.0,29.0,50.0,80.6%,24.0,23.0,95.8%,65.0,3952.0,9.0,13.8%,60.8
Jason Hanson,DET,37,K,16,0,1.0,1.0,5.0,4.0,12.0,10.0,13.0,11.0,4.0,3.0,35.0,29.0,53.0,82.9%,36.0,35.0,97.2%,82.0,5197.0,13.0,15.9%,63.4
Shaun Suisham,WAS,26,K,16,0,,,10.0,10.0,10.0,8.0,13.0,10.0,2.0,1.0,35.0,29.0,49.0,82.9%,30.0,29.0,96.7%,76.0,4377.0,6.0,7.9%,57.6
Josh Brown,SEA,28,K,16,0,,,12.0,12.0,5.0,5.0,12.0,8.0,5.0,3.0,34.0,28.0,54.0,82.4%,43.0,43.0,100.0%,87.0,5481.0,13.0,14.9%,63.0
Shayne Graham,CIN,30,K,16,0,1.0,1.0,12.0,11.0,13.0,13.0,7.0,6.0,1.0,,34.0,31.0,48.0,91.2%,37.0,37.0,100.0%,86.0,5300.0,8.0,9.3%,61.6
Matt Bryant,TAM,32,K,16,0,,,12.0,11.0,11.0,11.0,7.0,6.0,3.0,,33.0,28.0,49.0,84.8%,34.0,34.0,100.0%,78.0,4683.0,6.0,7.7%,60.0
David Akers,PHI,33,K,16,0,,,12.0,12.0,10.0,10.0,6.0,1.0,4.0,1.0,32.0,24.0,53.0,75.0%,36.0,36.0,100.0%,78.0,4796.0,6.0,7.7%,61.5
Sebastian Janikowski,OAK,29,K,16,0,,,4.0,4.0,7.0,6.0,10.0,7.0,11.0,6.0,32.0,23.0,54.0,71.9%,28.0,28.0,100.0%,67.0,4259.0,22.0,32.8%,63.6
Matt Stover,BAL,39,K,16,0,1.0,1.0,11.0,11.0,7.0,7.0,12.0,8.0,1.0,,32.0,27.0,49.0,84.4%,26.0,26.0,100.0%,65.0,4032.0,7.0,10.8%,62.0
Jeff Wilkins,STL,35,K,16,0,,,8.0,7.0,7.0,6.0,13.0,8.0,4.0,3.0,32.0,24.0,53.0,75.0%,25.0,25.0,100.0%,66.0,4142.0,5.0,7.6%,62.8
Nick Folk*,DAL,23,K,16,0,,,12.0,10.0,7.0,7.0,7.0,7.0,5.0,2.0,31.0,26.0,53.0,83.9%,53.0,53.0,100.0%,94.0,5800.0,4.0,4.3%,61.7
Jason Elam,DEN,37,K,16,0,,,11.0,11.0,6.0,6.0,12.0,9.0,2.0,1.0,31.0,27.0,50.0,87.1%,33.0,33.0,100.0%,,,,,
Neil Rackers,ARI,31,K,16,0,2.0,2.0,5.0,5.0,8.0,6.0,6.0,5.0,9.0,3.0,30.0,21.0,52.0,70.0%,48.0,47.0,97.9%,80.0,5138.0,17.0,21.3%,64.2
Phil Dawson,CLE,32,K,16,0,2.0,2.0,10.0,9.0,8.0,7.0,8.0,7.0,2.0,1.0,30.0,26.0,51.0,86.7%,43.0,42.0,97.7%,85.0,5214.0,5.0,5.9%,61.3
Adam Vinatieri,IND,35,K,16,0,1.0,1.0,15.0,14.0,10.0,8.0,2.0,,1.0,,29.0,23.0,39.0,79.3%,51.0,49.0,96.1%,91.0,5906.0,9.0,9.9%,64.9
Kris Brown,HOU,31,K,16,0,1.0,1.0,7.0,6.0,6.0,6.0,10.0,7.0,5.0,5.0,29.0,25.0,57.0,86.2%,40.0,40.0,100.0%,84.0,5274.0,11.0,13.1%,62.8
John Kasay,CAR,38,K,16,0,2.0,2.0,6.0,6.0,9.0,8.0,9.0,6.0,2.0,2.0,28.0,24.0,53.0,85.7%,27.0,27.0,100.0%,53.0,3211.0,2.0,3.8%,60.6
Morten Andersen,ATL,47,K,14,0,,,9.0,9.0,12.0,12.0,7.0,4.0,,,28.0,25.0,47.0,89.3%,24.0,24.0,100.0%,,,,,
Nate Kaeding,SDG,25,K,16,0,,,11.0,11.0,6.0,5.0,8.0,7.0,2.0,1.0,27.0,24.0,51.0,88.9%,46.0,46.0,100.0%,72.0,4528.0,7.0,9.7%,62.9
Lawrence Tynes,NYG,29,K,16,0,1.0,1.0,10.0,9.0,8.0,5.0,8.0,8.0,,,27.0,23.0,48.0,85.2%,42.0,40.0,95.2%,82.0,4931.0,8.0,9.8%,60.1
Rian Lindell,BUF,30,K,16,0,,,11.0,11.0,7.0,7.0,6.0,4.0,3.0,2.0,27.0,24.0,52.0,88.9%,24.0,24.0,100.0%,65.0,3972.0,6.0,9.2%,61.1
Jeff Reed,PIT,28,K,16,0,,,9.0,9.0,10.0,10.0,5.0,4.0,1.0,,25.0,23.0,49.0,92.0%,44.0,44.0,100.0%,86.0,5242.0,10.0,11.6%,61.0
Stephen Gostkowski,NWE,23,K,16,0,,,10.0,10.0,9.0,8.0,5.0,3.0,,,24.0,21.0,45.0,87.5%,74.0,74.0,100.0%,112.0,7109.0,15.0,13.4%,63.5
Ryan Longwell,MIN,33,K,16,0,,,3.0,3.0,6.0,6.0,11.0,10.0,4.0,1.0,24.0,20.0,55.0,83.3%,40.0,39.0,97.5%,77.0,4778.0,9.0,11.7%,62.1
Jay Feely,MIA,31,K,16,0,,,7.0,7.0,6.0,6.0,9.0,7.0,1.0,1.0,23.0,21.0,53.0,91.3%,26.0,26.0,100.0%,66.0,3779.0,8.0,12.1%,57.3
Dave Rayner,2TM,25,K,11,0,,,3.0,3.0,10.0,7.0,8.0,5.0,1.0,,22.0,15.0,49.0,68.2%,14.0,14.0,100.0%,39.0,2578.0,3.0,7.7%,66.1
Joe Nedney,SFO,34,K,16,0,1.0,1.0,5.0,5.0,6.0,6.0,4.0,4.0,3.0,1.0,19.0,17.0,49.0,89.5%,22.0,22.0,100.0%,57.0,3378.0,4.0,7.0%,59.3
Olindo Mare,NOR,34,K,13,0,,,5.0,4.0,4.0,3.0,3.0,2.0,5.0,1.0,17.0,10.0,52.0,58.8%,34.0,34.0,100.0%,52.0,3292.0,15.0,28.8%,63.3
John Carney,2TM,43,K,13,0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,,,14.0,12.0,41.0,85.7%,28.0,27.0,96.4%,55.0,3412.0,7.0,12.7%,62.0
Josh Scobee,JAX,25,K,8,0,,,6.0,6.0,3.0,3.0,4.0,3.0,,,13.0,12.0,48.0,92.3%,27.0,26.0,96.3%,46.0,2863.0,12.0,26.1%,62.2
Martin Gramatica,NOR,32,K,3,0,,,,,2.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,55.0,100.0%,8.0,8.0,100.0%,15.0,834.0,1.0,6.7%,55.6
Matt Prater,2TM,23,K,4,0,,,1.0,,,,3.0,1.0,,,4.0,1.0,45.0,25.0%,1.0,1.0,100.0%,4.0,277.0,3.0,75.0%,69.3
Michael Koenen,ATL,25,P,16,0,,,,,,,,,2.0,,2.0,,,0.0%,,,,64.0,4107.0,12.0,18.8%,64.2
Justin Medlock,KAN,24,K,1,0,,,1.0,1.0,1.0,,,,,,2.0,1.0,27.0,50.0%,,,,2.0,136.0,,,68.0
Todd Sauerbrun,DEN,34,P,14,0,,,,,,,,,,,,,,,,,,69.0,4437.0,11.0,15.9%,64.3
Steve Weatherford,NOR,25,P,16,0,,,,,,,,,,,,,,,,,,10.0,602.0,,,60.2
Jason Baker,CAR,29,P,16,0,,,,,,,,,,,,,,,,,,7.0,435.0,,,62.1
Mike Scifres,SDG,27,P,16,0,,,,,,,,,,,,,,,,,,5.0,274.0,,,54.8
Adam Podlesh,JAX,24,P,16,0,,,,,,,,,,,,,,,,,,4.0,214.0,,,53.5
Chris Kluwe,MIN,26,P,16,0,,,,,,,,,,,,,,,,,,2.0,140.0,,,70.0
Sam Koch,BAL,25,P,16,0,,,,,,,,,,,,,,,,,,2.0,65.0,,,32.5
Kyle Larson,CIN,27,P,16,0,,,,,,,,,,,,,,,,,,2.0,67.0,,,33.5
Ryan Plackemeier,SEA,23,P,16,0,,,,,,,,,,,,,,,,,,2.0,104.0,,,52.0
Mitch Berger,ARI,35,P,5,0,,,,,,,,,,,,,,,,,,1.0,52.0,,,52.0
Josh Bidwell,TAM,31,P,16,0,,,,,,,,,,,,,,,,,,1.0,31.0,,,31.0
Dustin Colquitt,KAN,25,P,16,0,,,,,,,,,,,,,,,,,,1.0,70.0,,,70.0
Jeff Feagles,NYG,41,P,16,0,,,,,,,,,,,,,,,,,,1.0,56.0,,,56.0
Brandon Fields,MIA,23,P,16,0,,,,,,,,,,,,,,,,,,1.0,60.0,,,60.0
Derrick Frost,WAS,27,P,16,0,,,,,,,,,,,,,,,,,,1.0,59.0,,,59.0
Nick Harris,DET,29,P,16,0,,,,,,,,,,,,,,,,,,1.0,63.0,,,63.0
Shane Lechler*,OAK,31,P,16,0,,,,,,,,,,,,,,,,,,1.0,53.0,,,53.0
Brian Moorman,BUF,31,P,16,0,,,,,,,,,,,,,,,,,,1.0,30.0,,,30.0
