Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Brad Wing,NYG,26,P,16,0,95,4189,44.1,448,3561,36.7,69,9,9.5%,19,20.0%,2
Lac Edwards,NYJ,25,P,16,0,94,4378,46.6,491,3807,40.5,70,4,4.3%,33,35.1%,0
Shane Lechler,HOU,41,P,16,0,92,4507,49.0,608,3799,41.3,68,5,5.4%,32,34.8%,0
Jon Ryan,SEA,36,P,16,0,92,4141,45.0,452,3569,38.8,74,6,6.5%,29,31.5%,0
Kevin Huber,CIN,32,P,16,0,88,4101,46.6,410,3631,40.8,63,3,3.4%,32,36.4%,1
Andy Lee,ARI,35,P,16,0,88,4159,47.3,506,3493,39.7,63,8,9.1%,29,33.0%,0
Brad Nortman,JAX,28,P,16,0,87,3835,44.1,228,3427,38.9,65,9,10.3%,29,33.3%,1
Pat O'Donnell,CHI,26,P,16,0,87,4087,47.0,512,3455,39.7,69,6,6.9%,27,31.0%,0
Sam Koch,BAL,35,P,16,0,84,3765,44.8,277,3428,40.3,67,3,3.6%,40,47.6%,1
Rigoberto Sanchez,IND,23,P,16,0,84,3764,44.8,80,3624,42.6,61,3,3.6%,28,33.3%,1
Matt Haack,MIA,23,P,16,0,83,3695,44.5,220,3375,40.7,64,5,6.0%,30,36.1%,0
Tress Way,WAS,27,P,16,0,83,3794,45.7,435,3239,39.0,64,6,7.2%,33,39.8%,0
Britton Colquitt,CLE,32,P,16,0,80,3811,47.6,482,3289,40.6,67,2,2.5%,24,30.0%,1
Colton Schmidt,BUF,27,P,16,0,79,3529,44.7,210,3199,40.5,60,6,7.6%,28,35.4%,0
Brett Kern*,TEN,31,P,16,0,75,3728,49.7,286,3342,44.6,74,5,6.7%,28,37.3%,0
Bradley Pinion,SFO,23,P,16,0,75,3255,43.4,138,3097,41.3,59,1,1.3%,31,41.3%,0
Drew Kaser,LAC,24,P,16,0,74,3558,48.1,319,3059,41.3,69,9,12.2%,27,36.5%,0
Riley Dixon,DEN,24,P,16,0,73,3331,45.6,258,3013,40.2,60,3,4.1%,23,31.5%,2
Michael Palardy,CAR,25,P,16,0,71,3269,46.0,176,3013,42.4,63,4,5.6%,25,35.2%,0
Ryan Quigley,MIN,27,P,16,0,71,2994,42.2,213,2781,39.2,56,0,0.0%,29,40.8%,0
Justin Vogel,GNB,24,P,16,0,71,3155,44.4,164,2951,41.6,62,2,2.8%,19,26.8%,0
Marquette King,OAK,29,P,16,0,69,3270,47.4,205,2945,42.7,65,6,8.7%,28,40.6%,0
Donnie Jones,PHI,37,P,16,0,67,3033,45.3,171,2762,40.6,62,5,7.5%,21,31.3%,1
Chris Jones,DAL,28,P,16,0,66,2908,44.1,75,2733,41.4,62,5,7.6%,34,51.5%,0
Bryan Anger,TAM,29,P,16,0,65,2857,44.0,153,2604,39.5,62,5,7.7%,24,36.9%,1
Dustin Colquitt,KAN,35,P,16,0,65,2936,45.2,164,2672,41.1,77,5,7.7%,29,44.6%,0
Johnny Hekker*+,LAR,27,P,16,0,65,3113,47.9,152,2881,44.3,70,4,6.2%,30,46.2%,0
Jordan Berry,PIT,26,P,16,0,64,2763,43.2,177,2546,39.8,62,2,3.1%,26,40.6%,0
Thomas Morstead,NOR,31,P,16,0,60,2822,47.0,249,2533,42.2,68,2,3.3%,26,43.3%,0
Ryan Allen,NWE,27,P,16,0,58,2515,43.4,105,2350,40.5,60,3,5.2%,24,41.4%,0
Matthew Bosher,ATL,30,P,16,0,53,2379,44.9,179,2160,40.8,62,2,3.8%,19,35.8%,0
Sam Martin,DET,27,P,10,0,41,1779,43.4,116,1543,37.6,64,6,14.6%,13,31.7%,0
Jeff Locke,DET,28,P,5,0,27,1222,45.3,82,1140,42.2,54,0,0.0%,11,40.7%,0
Matt Prater,DET,33,K,16,0,4,139,34.8,0,139,34.8,47,0,0.0%,1,25.0%,0
Zane Gonzalez,CLE,22,K,16,0,1,16,16.0,0,16,16.0,16,0,0.0%,0,0.0%,0
Brandon McManus,DEN,26,K,16,0,1,26,26.0,0,26,26.0,26,0,0.0%,1,100.0%,0
Kasey Redfern,DET,26,P,1,0,1,50,50.0,0,50,50.0,50,0,0.0%,0,0.0%,0
