Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Jason Baker,CAR,28,P,16,0,98,4483,45.7,382,3861,39.0,70,12,12.2%,31,31.6%,1
Josh Bidwell,TAM,30,P,16,0,93,4045,43.5,487,3418,36.8,59,7,7.5%,20,21.5%,0
Chris Kluwe,MIN,25,P,16,0,93,3934,42.3,485,3309,35.6,68,7,7.5%,28,30.1%,0
Brian Moorman*+,BUF,30,P,16,0,92,4012,43.6,265,3607,39.2,66,7,7.6%,33,35.9%,0
Craig Hentrich,TEN,35,P,16,0,88,3760,42.7,278,3282,37.3,73,10,11.4%,32,36.4%,0
Sam Koch,BAL,24,P,16,0,86,3695,43.0,404,3231,37.6,61,3,3.5%,30,34.9%,0
Donnie Jones,MIA,26,P,16,0,85,3640,42.8,367,3073,35.7,64,10,11.8%,28,32.9%,1
Ryan Plackemeier,SEA,22,P,16,0,84,3778,45.0,343,3135,37.3,72,15,17.9%,25,29.8%,0
Jon Ryan,GNB,25,P,16,0,84,3739,44.5,503,2996,35.7,66,12,14.3%,17,20.2%,0
Derrick Frost,WAS,26,P,16,0,81,3471,42.9,319,3012,36.7,60,7,8.6%,27,33.3%,1
Andy Lee,SFO,24,P,16,0,81,3625,44.8,462,2983,36.8,66,9,11.1%,22,27.2%,0
Dave Zastudil,CLE,28,P,16,0,81,3563,44.0,312,3111,38.4,61,7,8.6%,28,34.6%,0
Paul Ernster,DEN,24,P,16,0,80,3338,41.7,268,2930,36.6,61,7,8.8%,23,28.8%,0
Dirk Johnson,PHI,31,P,16,0,78,3326,42.6,380,2726,34.9,60,11,14.1%,21,26.9%,0
Jeff Feagles,NYG,40,P,16,0,77,3098,40.2,191,2847,37.0,54,3,3.9%,27,35.1%,0
Kyle Larson,CIN,26,P,16,0,77,3428,44.5,236,2972,38.6,67,11,14.3%,26,33.8%,0
Shane Lechler,OAK,30,P,16,0,77,3660,47.5,437,2843,36.4,67,19,24.7%,19,24.7%,1
Brad Maynard,CHI,32,P,16,0,77,3404,44.2,367,2897,37.6,65,7,9.1%,24,31.2%,0
Steve Weatherford,NOR,24,P,16,0,77,3369,43.8,279,2890,37.5,59,10,13.0%,19,24.7%,0
Michael Koenen,ATL,24,P,16,0,76,3199,42.1,279,2800,35.9,65,6,7.9%,25,32.9%,2
Chad Stanley,HOU,30,P,16,0,76,3161,41.6,275,2786,36.7,62,5,6.6%,15,19.7%,0
Ben Graham,NYJ,33,P,16,0,72,3182,44.2,205,2757,37.8,69,11,15.3%,26,36.1%,1
Chris Hanson,JAX,30,P,16,0,72,2920,40.6,343,2437,33.4,58,7,9.7%,20,27.8%,1
Matt Turk,STL,38,P,16,0,72,3132,43.5,239,2793,38.3,74,5,6.9%,26,36.1%,1
Dustin Colquitt,KAN,24,P,16,0,71,3145,44.3,254,2791,39.3,72,5,7.0%,23,32.4%,0
Mike Scifres,SDG,26,P,16,0,69,2893,41.9,216,2637,38.2,71,2,2.9%,35,50.7%,0
Nick Harris,DET,28,P,16,0,66,2967,45.0,267,2520,38.2,67,9,13.6%,18,27.3%,0
Scott Player,ARI,37,P,16,0,66,2965,44.9,562,2343,34.5,58,3,4.5%,18,27.3%,2
Chris Gardocki,PIT,36,P,16,0,65,2687,41.3,219,2388,36.7,56,4,6.2%,11,16.9%,0
Mat McBriar*,DAL,27,P,16,0,56,2697,48.2,334,2163,38.6,75,10,17.9%,22,39.3%,0
Hunter Smith,IND,29,P,16,0,47,2085,44.4,327,1658,34.5,61,5,10.6%,14,29.8%,1
Josh Miller,NWE,36,P,10,0,43,1848,43.0,169,1539,35.8,62,7,16.3%,12,27.9%,0
Ken Walter,NWE,34,P,4,0,16,591,36.9,52,539,33.7,47,0,0.0%,5,31.3%,0
Todd Sauerbrun,NWE,33,P,2,0,10,408,40.8,101,307,30.7,58,0,0.0%,2,20.0%,0
Jeff Wilkins,STL,34,K,16,0,3,91,30.3,8,83,27.7,33,0,0.0%,3,100.0%,0
Josh Brown,SEA,27,K,16,0,2,49,24.5,0,49,24.5,28,0,0.0%,1,50.0%,0
Phil Dawson,CLE,31,K,16,0,2,58,29.0,0,38,19.0,31,1,50.0%,1,50.0%,0
John Kasay,CAR,37,K,16,0,1,25,25.0,8,17,17.0,25,0,0.0%,0,0.0%,0
Ryan Longwell,MIN,32,K,16,0,1,27,27.0,0,27,27.0,27,0,0.0%,1,100.0%,0
Chad Pennington,NYJ,30,QB,16,16,1,29,29.0,0,29,29.0,29,0,0.0%,1,100.0%,0
Lawrence Tynes,KAN,28,K,16,0,1,33,33.0,0,33,33.0,33,0,0.0%,1,100.0%,0
