Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Mason Crosby,GNB,23,K,16,0,,,,,,,,,,,,48.0,48.0,31.0,39.0,,141,8.8
Randy Moss*+,NWE,30,WR,16,16,,23.0,,,,,,23.0,,,,,,,,,138,8.6
Stephen Gostkowski,NWE,23,K,16,0,,,,,,,,,,,,74.0,74.0,21.0,24.0,,137,8.6
Rob Bironas*+,TEN,29,K,16,0,,,,,,,,,,,,28.0,28.0,35.0,39.0,,133,8.3
Nick Folk*,DAL,23,K,16,0,,,,,,,,,,,,53.0,53.0,26.0,31.0,,131,8.2
Shayne Graham,CIN,30,K,16,0,,,,,,,,,,,,37.0,37.0,31.0,34.0,,130,8.1
Josh Brown,SEA,28,K,16,0,,,,,,,,,,,,43.0,43.0,28.0,34.0,,127,7.9
Robbie Gould,CHI,25,K,16,0,,,,,,,,,,,,33.0,33.0,31.0,36.0,,126,7.9
Jason Hanson,DET,37,K,16,0,,,,,,,,,,,,35.0,36.0,29.0,35.0,,122,7.6
Phil Dawson,CLE,32,K,16,0,,,,,,,,,,,,42.0,43.0,26.0,30.0,,120,7.5
Matt Bryant,TAM,32,K,16,0,,,,,,,,,,,,34.0,34.0,28.0,33.0,,118,7.4
Nate Kaeding,SDG,25,K,16,0,,,,,,,,,,,,46.0,46.0,24.0,27.0,,118,7.4
Adam Vinatieri,IND,35,K,16,0,,,,,,,,,,,,49.0,51.0,23.0,29.0,,118,7.4
Shaun Suisham,WAS,26,K,16,0,,,,,,,,,,,,29.0,30.0,29.0,35.0,,116,7.3
Kris Brown,HOU,31,K,16,0,,,,,,,,,,,,40.0,40.0,25.0,29.0,,115,7.2
Jason Elam,DEN,37,K,16,0,,,,,,,,,,,,33.0,33.0,27.0,31.0,,114,7.1
Jeff Reed,PIT,28,K,16,0,,,,,,,,,,,,44.0,44.0,23.0,25.0,,113,7.1
Mike Nugent,NYJ,25,K,16,0,,,,,,,,,,,,23.0,24.0,29.0,36.0,,110,6.9
Neil Rackers,ARI,31,K,16,0,,,,,,,,,,,,47.0,48.0,21.0,30.0,,110,6.9
Lawrence Tynes,NYG,29,K,16,0,,,,,,,,,,,,40.0,42.0,23.0,27.0,,109,6.8
David Akers,PHI,33,K,16,0,,,,,,,,,,,,36.0,36.0,24.0,32.0,,108,6.8
LaDainian Tomlinson*+,SDG,28,RB,16,16,15.0,3.0,,,,,,18.0,,,,,,,,,108,6.8
Matt Stover,BAL,39,K,16,0,,,,,,,,,,,,26.0,26.0,27.0,32.0,,107,6.7
Morten Andersen,ATL,47,K,14,0,,,,,,,,,,,,24.0,24.0,25.0,28.0,,99,7.1
John Kasay,CAR,38,K,16,0,,,,,,,,,,,,27.0,27.0,24.0,28.0,,99,6.2
Ryan Longwell,MIN,33,K,16,0,,,,,,,,,,,,39.0,40.0,20.0,24.0,,99,6.2
Sebastian Janikowski,OAK,29,K,16,0,,,,,,,,,,,,28.0,28.0,23.0,32.0,,97,6.1
Jeff Wilkins,STL,35,K,16,0,,,,,,,,,,,,25.0,25.0,24.0,32.0,,97,6.1
Braylon Edwards*,CLE,24,WR,16,16,,16.0,,,,,,16.0,,,,,,,,,96,6.0
Rian Lindell,BUF,30,K,16,0,,,,,,,,,,,,24.0,24.0,24.0,27.0,,96,6.0
Joseph Addai*,IND,24,RB,15,15,12.0,3.0,,,,,,15.0,1.0,,,,,,,,92,6.1
Terrell Owens*+,DAL,34,WR,15,15,,15.0,,,,,,15.0,,,,,,,,,90,6.0
Jay Feely,MIA,31,K,16,0,,,,,,,,,,,,26.0,26.0,21.0,23.0,,89,5.6
Adrian Peterson*,MIN,22,RB,14,9,12.0,1.0,,,,,,13.0,,,,,,,,,78,5.6
Joe Nedney,SFO,34,K,16,0,,,,,,,,,,,,22.0,22.0,17.0,19.0,,73,4.6
Marion Barber III*,DAL,24,RB,16,0,10.0,2.0,,,,,,12.0,,,,,,,,,72,4.5
Plaxico Burress,NYG,30,WR,16,16,,12.0,,,,,,12.0,,,,,,,,,72,4.5
T.J. Houshmandzadeh*,CIN,30,WR,16,15,,12.0,,,,,,12.0,,,,,,,,,72,4.5
Greg Jennings,GNB,24,WR,13,13,,12.0,,,,,,12.0,,,,,,,,,72,5.5
Brian Westbrook*+,PHI,28,RB,15,15,7.0,5.0,,,,,,12.0,,,,,,,,,72,4.8
Nate Burleson,SEA,26,WR,16,12,,9.0,1.0,1.0,,,,11.0,,,,,,,,,66,4.1
Dallas Clark,IND,28,TE,15,15,,11.0,,,,,,11.0,,,,,,,,,66,4.4
Marques Colston,NOR,24,WR,16,14,,11.0,,,,,,11.0,,,,,,,,,66,4.1
Jamal Lewis,CLE,28,RB,15,15,9.0,2.0,,,,,,11.0,,,,,,,,,66,4.4
Clinton Portis,WAS,26,RB,16,16,11.0,,,,,,,11.0,,,,,,,,,66,4.1
Olindo Mare,NOR,34,K,13,0,,,,,,,,,,,,34.0,34.0,10.0,17.0,,64,4.9
John Carney,2TM,43,K,13,0,,,,,,,,,,,0.0,27.0,28.0,12.0,14.0,,63,4.8
Josh Scobee,JAX,25,K,8,0,,,,,,,,,,,,26.0,27.0,12.0,13.0,,62,7.8
Larry Fitzgerald*,ARI,24,WR,15,15,,10.0,,,,,,10.0,,,,,,,,,60,4.0
Earnest Graham,TAM,27,RB,15,10,10.0,,,,,,,10.0,,,,,,,,,60,4.0
Maurice Jones-Drew,JAX,22,RB,15,0,9.0,,,1.0,,,,10.0,,,,,,,,,60,4.0
Reggie Wayne*,IND,29,WR,16,16,,10.0,,,,,,10.0,,,,,,,,,60,3.8
Reggie Williams,JAX,24,WR,15,6,,10.0,,,,,,10.0,,,,,,,,,60,4.0
Dave Rayner,2TM,25,K,11,0,,,,,,,,,,,0.0,14.0,14.0,15.0,22.0,,59,5.4
Anquan Boldin,ARI,27,WR,12,11,,9.0,,,,,,9.0,,,,,,,,,54,4.5
Antonio Gates*,SDG,27,TE,16,16,,9.0,,,,,,9.0,,,,,,,,,54,3.4
Chris Cooley*,WAS,25,TE,16,16,,8.0,,,,,,8.0,1.0,,,,,,,,50,3.1
Santonio Holmes,PIT,23,WR,13,13,,8.0,,,,,,8.0,1.0,,,,,,,,50,3.8
Kevin Curtis,PHI,29,WR,16,16,,6.0,,,2.0,,,8.0,,,,,,,,,48,3.0
Ryan Grant,GNB,25,RB,15,7,8.0,,,,,,,8.0,,,,,,,,,48,3.2
Devin Hester*+,CHI,25,PR,16,0,,2.0,4.0,2.0,,,,8.0,,,,,,,,,48,3.0
Andre Johnson,HOU,26,WR,9,9,,8.0,,,,,,8.0,,,,,,,,,48,5.3
Chad Johnson*,CIN,29,WR,16,16,,8.0,,,,,,8.0,,,,,,,,,48,3.0
Kevin Jones,DET,25,RB,13,10,8.0,,,,,,,8.0,,,,,,,,,48,3.7
Willis McGahee*,BAL,26,RB,15,15,7.0,1.0,,,,,,8.0,,,,,,,,,48,3.2
Wes Welker,NWE,26,WR,16,13,,8.0,,,,,,8.0,,,,,,,,,48,3.0
Torry Holt*,STL,31,WR,16,16,,7.0,,,,,,7.0,1.0,,,,,,,,44,2.8
Marshawn Lynch,BUF,21,RB,13,13,7.0,,,,,,,7.0,1.0,,,,,,,,44,3.4
Hines Ward,PIT,31,WR,13,13,,7.0,,,,,,7.0,1.0,,,,,,,,44,3.4
Reggie Bush,NOR,22,RB,12,10,4.0,2.0,,,,,,6.0,3.0,,,,,,,,42,3.5
Patrick Crayton,DAL,28,WR,15,13,,7.0,,,,,,7.0,,,,,,,,,42,2.8
Najeh Davenport,PIT,28,RB,15,1,5.0,2.0,,,,,,7.0,,,,,,,,,42,2.8
Edgerrin James,ARI,29,RB,16,16,7.0,,,,,,,7.0,,,,,,,,,42,2.6
Brandon Marshall,DEN,23,WR,16,16,,7.0,,,,,,7.0,,,,,,,,,42,2.6
Heath Miller,PIT,25,TE,16,16,,7.0,,,,,,7.0,,,,,,,,,42,2.6
Steve Smith Sr.,CAR,28,WR,15,15,,7.0,,,,,,7.0,,,,,,,,,42,2.8
Chester Taylor,MIN,28,RB,14,8,7.0,,,,,,,7.0,,,,,,,,,42,3.0
