Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Chris Johnson,24.0,TEN,16.0,16.0,358.0,2006.0,14.0,80.0,43.6,91.0,5.6,125.4,22.4,3.0,"PB,AP-1,AP OPoY-1"
Thomas Jones,31.0,NYJ,16.0,16.0,331.0,1402.0,14.0,66.0,42.6,71.0,4.2,87.6,20.7,2.0,
Steven Jackson,26.0,STL,15.0,15.0,324.0,1416.0,4.0,59.0,45.4,58.0,4.4,94.4,21.6,2.0,"PB,AP-2"
Adrian Peterson,24.0,MIN,16.0,15.0,314.0,1383.0,18.0,76.0,44.6,64.0,4.4,86.4,19.6,7.0,"PB,AP-1"
Maurice Jones-Drew,24.0,JAX,16.0,16.0,312.0,1391.0,15.0,69.0,48.1,80.0,4.5,86.9,19.5,2.0,PB
Cedric Benson,27.0,CIN,13.0,13.0,301.0,1251.0,6.0,57.0,41.9,42.0,4.2,96.2,23.2,1.0,AP CPoY-4
Ryan Grant,27.0,GNB,16.0,16.0,282.0,1253.0,11.0,64.0,46.5,62.0,4.4,78.3,17.6,1.0,
Matt Forte,24.0,CHI,16.0,16.0,258.0,929.0,4.0,41.0,41.1,61.0,3.6,58.1,16.1,6.0,
Ray Rice,22.0,BAL,16.0,15.0,254.0,1339.0,7.0,53.0,48.8,59.0,5.3,83.7,15.9,3.0,"PB,AP-2"
Knowshon Moreno,22.0,DEN,16.0,9.0,247.0,947.0,7.0,53.0,48.2,36.0,3.8,59.2,15.4,4.0,AP ORoY-3
Rashard Mendenhall,22.0,PIT,16.0,12.0,242.0,1108.0,7.0,50.0,45.5,60.0,4.6,69.3,15.1,3.0,
Ricky Williams,32.0,MIA,16.0,7.0,241.0,1121.0,11.0,55.0,53.9,68.0,4.7,70.1,15.1,5.0,
Fred Jackson,28.0,BUF,16.0,11.0,237.0,1062.0,2.0,44.0,46.4,43.0,4.5,66.4,14.8,4.0,
Frank Gore,26.0,SFO,14.0,14.0,229.0,1120.0,10.0,47.0,39.3,80.0,4.9,80.0,16.4,4.0,PB
Brandon Jacobs,27.0,NYG,15.0,15.0,224.0,835.0,5.0,44.0,44.2,31.0,3.7,55.7,14.9,2.0,
LaDainian Tomlinson,30.0,SDG,14.0,14.0,223.0,730.0,12.0,40.0,42.2,36.0,3.3,52.1,15.9,2.0,
Jonathan Stewart,22.0,CAR,16.0,3.0,221.0,1133.0,10.0,54.0,48.9,67.0,5.1,70.8,13.8,3.0,
Joseph Addai,26.0,IND,15.0,15.0,219.0,828.0,10.0,44.0,50.7,21.0,3.8,55.2,14.6,1.0,
