Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Sebastian Janikowski,OAK,32,K,16,0,,,8.0,8.0,14.0,13.0,12.0,8.0,7.0,4.0,41.0,33.0,59.0,80.5%,43.0,43.0,100.0%,93.0,6007.0,29.0,31.2%,64.6
Dan Carpenter,MIA,25,K,16,0,1.0,1.0,9.0,9.0,5.0,5.0,18.0,11.0,8.0,4.0,41.0,30.0,60.0,73.2%,25.0,25.0,100.0%,70.0,4470.0,14.0,20.0%,63.9
Nick Folk,NYJ,26,K,16,0,1.0,1.0,11.0,10.0,16.0,14.0,6.0,3.0,5.0,2.0,39.0,30.0,56.0,76.9%,37.0,37.0,100.0%,81.0,4986.0,7.0,8.6%,61.6
Josh Brown,STL,31,K,16,0,,,12.0,11.0,14.0,12.0,9.0,7.0,4.0,3.0,39.0,33.0,53.0,84.6%,27.0,26.0,96.3%,73.0,4819.0,5.0,6.8%,66.0
David Akers*,PHI,36,K,16,0,,,12.0,12.0,11.0,9.0,12.0,10.0,3.0,1.0,38.0,32.0,50.0,84.2%,47.0,47.0,100.0%,96.0,6135.0,23.0,24.0%,63.9
Graham Gano,WAS,23,K,16,0,1.0,1.0,10.0,8.0,7.0,4.0,14.0,11.0,3.0,,35.0,24.0,49.0,68.6%,28.0,28.0,100.0%,71.0,4617.0,9.0,12.7%,65.0
David Buehler,DAL,23,K,16,0,,,8.0,8.0,7.0,4.0,11.0,8.0,6.0,4.0,32.0,24.0,53.0,75.0%,44.0,42.0,95.5%,84.0,5409.0,22.0,26.2%,64.4
Jeff Reed,2TM,31,K,14,0,2.0,2.0,10.0,9.0,9.0,8.0,7.0,3.0,4.0,2.0,32.0,24.0,53.0,75.0%,32.0,32.0,100.0%,71.0,4341.0,6.0,8.5%,61.1
Matt Bryant,ATL,35,K,16,0,,,11.0,11.0,9.0,8.0,10.0,8.0,1.0,1.0,31.0,28.0,51.0,90.3%,44.0,44.0,100.0%,,,,,
Neil Rackers,HOU,34,K,16,0,,,8.0,8.0,11.0,11.0,7.0,5.0,4.0,3.0,30.0,27.0,57.0,90.0%,43.0,43.0,100.0%,86.0,5658.0,13.0,15.1%,65.8
