Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Leonard Williams,29,2TM,NT,18,17,0,0,0,0,2,0,0,0,0,0,5.5,62,37,25,10,16,0,
Azeez Al-Shaair,26,TEN,LILB,17,17,0,0,0,0,4,0,0,1,0,0,2.0,163,84,79,9,6,0,
Josh Allen,27,BUF,QB,17,17,0,0,0,0,0,0,7,1,-4,0,0.0,0,0,0,0,0,0,"AP MVP-5,AP OPoY-6"
Zach Allen,26,DEN,DE,17,17,0,0,0,0,1,1,0,0,0,0,5.0,60,27,33,8,24,0,
David Andrews,31,NWE,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Jessie Bates III,26,ATL,S,17,17,6,95,1,92,11,3,0,0,0,0,0.0,132,89,43,3,1,0,"PB,AP-2"
Terrel Bernard,24,BUF,LB,17,17,3,2,0,2,5,0,0,3,-1,0,6.5,143,84,59,10,9,0,
Andrew Billings,28,CHI,DL,17,17,0,0,0,0,0,0,0,0,0,0,0.0,27,12,15,3,2,0,
Nick Bosa,26,SFO,DL,17,17,0,0,0,0,4,2,0,1,-3,0,10.5,53,34,19,16,35,0,PB
A.J. Brown,26,PHI,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Derrick Brown,25,CAR,DT,17,17,1,2,0,2,6,0,0,0,0,0,2.0,103,57,46,7,15,0,PB
Orlando Brown Jr.,27,CIN,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Camryn Bynum,25,MIN,S,17,17,2,0,0,0,9,3,0,0,0,0,0.5,137,94,43,2,1,0,
Calais Campbell,37,ATL,DL,17,17,0,0,0,0,1,1,0,1,0,0,6.5,56,32,24,10,17,1,
Derek Carr,32,NOR,QB,17,17,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,0,0,0,
Damone Clark,23,DAL,LB,17,17,0,0,0,0,3,0,0,1,0,0,0.0,109,70,39,4,3,0,
Kenny Clark,28,GNB,DL,17,17,0,0,0,0,3,2,0,0,0,0,7.5,44,22,22,9,16,0,PB
Mason Cole,27,PIT,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Zaven Collins,24,ARI,LB,17,17,1,1,0,1,3,0,0,1,0,0,3.5,41,27,14,6,6,0,
Jonathon Cooper,25,DEN,OLB,17,17,1,4,0,4,2,1,0,2,35,1,8.5,72,44,28,8,13,0,
Maxx Crosby,26,LVR,DE,17,17,0,0,0,0,2,2,0,1,0,0,14.5,90,55,35,23,31,0,"PB,AP-2,AP DPoY-4"
Demario Davis,34,NOR,MLB,17,17,0,0,0,0,4,1,0,1,20,0,6.5,121,74,47,12,11,0,"PB,AP-2"
Gabriel Davis,24,BUF,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Jordan Davis,23,PHI,DT,17,17,0,0,0,0,1,1,0,0,0,0,2.5,45,18,27,2,5,0,
Quandre Diggs,30,SEA,FS,17,17,1,21,0,21,5,0,0,0,0,0,0.0,95,63,32,1,0,0,
Stefon Diggs,30,BUF,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB
Kyle Dugger,27,NWE,DB,17,17,2,35,0,20,7,1,0,0,0,0,1.5,109,71,38,6,5,0,
Samson Ebukam,28,IND,DE,17,17,0,0,0,0,1,3,0,0,0,0,9.5,57,39,18,10,17,0,
T.J. Edwards,27,CHI,LB,17,17,3,4,0,2,7,1,0,2,0,0,2.5,155,91,64,8,8,0,
Kaden Elliss,28,ATL,LB,17,17,0,0,0,0,3,0,0,0,0,0,4.0,122,82,40,11,6,0,
Marcus Epps,27,LVR,S,17,17,0,0,0,0,3,1,0,1,1,0,0.0,66,41,25,4,0,0,
Mike Evans,30,TAM,WR,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Clelin Ferrell,26,SFO,DL,17,17,0,0,0,0,1,1,0,1,0,0,3.5,28,15,13,6,13,0,
Luke Fortner,25,JAX,OL,17,17,0,0,0,0,0,0,2,0,-8,0,0.0,0,0,0,0,0,0,
John Franklin-Myers,27,NYJ,DL,17,17,0,0,0,0,3,0,0,0,0,0,3.5,33,15,18,6,14,0,
Hjalte Froholdt,27,ARI,OL,17,17,0,0,0,0,0,0,1,1,-11,0,0.0,0,0,0,0,0,0,
Jordan Fuller,25,LAR,DB,17,17,3,39,0,21,8,3,0,0,0,0,0.0,94,61,33,1,0,0,
Stephon Gilmore,33,DAL,CB,17,17,2,0,0,0,13,1,0,0,0,0,0.0,68,54,14,0,0,0,
Davon Godchaux,29,NWE,DL,17,17,0,0,0,0,0,0,0,1,0,0,0.0,56,24,32,2,1,0,
Jared Goff,29,DET,QB,17,17,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,
Carl Granderson,27,NOR,DE,17,17,0,0,0,0,1,1,0,1,0,0,8.5,78,44,34,14,20,0,
Robert Hainsey,25,TAM,C,17,17,0,0,0,0,0,0,1,2,2,0,0.0,0,0,0,0,0,0,
Najee Harris,25,PIT,RB,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
Trey Hendrickson,29,CIN,DE,17,17,0,0,0,0,3,3,0,0,0,0,17.5,43,28,15,16,25,0,PB
Derrick Henry,29,TEN,RB,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB
Alex Highsmith,26,PIT,LB,17,17,2,30,1,30,3,2,0,0,0,0,7.0,57,34,23,8,18,0,
B.J. Hill,28,CIN,DT,17,17,2,0,0,0,5,0,0,1,0,0,4.5,51,26,25,2,21,0,
Daxton Hill,23,CIN,S,17,17,2,20,0,20,11,0,0,0,0,0,1.5,110,72,38,6,5,0,
Josh Hines-Allen,26,JAX,OLB,17,17,1,8,0,8,1,2,0,0,0,0,17.5,66,43,23,17,33,0,PB
Michael Hoecht,26,LAR,OLB,17,17,0,0,0,0,2,1,0,0,0,0,6.0,81,45,36,7,11,0,
Sam Howell,23,WAS,QB,17,17,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,
Creed Humphrey,24,KAN,C,17,17,0,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0,0,0,PB
Danielle Hunter,29,MIN,OLB,17,17,0,0,0,0,2,4,0,0,0,0,16.5,83,54,29,23,22,0,PB
Jalen Hurts,25,PHI,QB,17,17,0,0,0,0,0,0,9,4,-3,0,0.0,0,0,0,0,0,0,PB
Aidan Hutchinson,23,DET,DL,17,17,1,6,0,6,7,3,0,2,0,0,11.5,51,36,15,14,33,0,PB
John Jenkins,34,LVR,DT,17,17,0,0,0,0,4,0,0,1,44,1,1.0,61,24,37,4,2,0,
Rayshawn Jenkins,29,JAX,SS,17,17,2,42,0,24,9,0,0,0,0,0,1.0,101,66,35,7,1,0,
Austin Johnson,29,LAC,DL,17,17,0,0,0,0,2,1,0,1,0,0,0.0,46,24,22,2,1,0,
Jermaine Johnson II,24,NYJ,LB,17,17,1,37,1,37,7,1,0,1,0,0,7.5,55,36,19,11,16,0,PB
Paris Johnson,22,ARI,OL,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Taron Johnson,27,BUF,CB,17,17,0,0,0,0,8,3,0,1,0,0,1.0,98,72,26,3,2,0,AP-2
Justin Jones,27,CHI,RDT,17,17,0,0,0,0,4,0,0,0,0,0,4.5,49,29,20,10,17,0,
Cameron Jordan,34,NOR,DE,17,17,0,0,0,0,3,0,0,1,0,0,2.0,43,20,23,3,6,0,
Ted Karras,30,CIN,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Cole Kmet,24,CHI,TE,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
CeeDee Lamb,24,DAL,WR,17,17,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-3"
DeMarcus Lawrence,31,DAL,DE,17,17,0,0,0,0,6,1,0,0,0,0,4.0,50,29,21,10,8,0,PB
Deommodore Lenoir,24,SFO,DB,17,17,3,49,0,28,10,0,0,0,0,0,0.0,84,58,26,1,0,0,
David Long,27,MIA,LB,17,17,0,0,0,0,1,1,0,0,0,0,1.0,113,64,49,9,6,0,
Jordan Love,25,GNB,QB,17,17,0,0,0,0,0,0,9,3,-6,0,0.0,0,0,0,0,0,0,
Frankie Luvu,27,CAR,LILB,17,17,0,0,0,0,5,2,0,0,0,0,5.5,125,66,59,10,11,0,
Khalil Mack,32,LAC,OLB,17,17,0,0,0,0,10,5,0,0,0,0,17.0,74,57,17,21,22,0,"PB,AP DPoY-9"
Nnamdi Madubuike,26,BAL,DT,17,17,0,0,0,0,0,1,0,0,0,0,13.0,56,38,18,12,33,0,"PB,AP-2,AP DPoY-9"
Tyrann Mathieu,31,NOR,S,17,17,4,122,1,74,9,0,0,0,0,0,0.0,75,50,25,0,1,0,
Baker Mayfield,28,TAM,QB,17,17,0,0,0,0,0,0,8,3,-5,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-3"
Connor McGovern,26,BUF,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Xavier McKinney,25,NYG,FS,17,17,3,22,0,18,11,1,0,2,7,0,0.5,116,78,38,2,1,0,
Terry McLaurin,28,WAS,WR,17,17,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0,0,
Quinn Meinerz,25,DEN,OL,17,17,0,0,0,0,0,0,0,1,10,0,0.0,0,0,0,0,0,0,
Josh Metellus,25,MIN,S,17,17,1,43,0,43,5,4,0,1,0,0,2.5,116,78,38,7,10,0,
Tre'von Moehrig,24,LVR,S,17,17,3,41,0,25,8,0,0,0,0,0,2.0,83,65,18,1,2,0,
D.J. Moore,26,CHI,WR,17,17,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,
C.J. Mosley,31,NYJ,LB,17,17,1,0,0,0,7,2,0,1,0,0,0.5,152,81,71,5,2,0,
Puka Nacua,22,LAR,WR,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP ORoY-2"
Bilal Nichols,27,LVR,LDT,17,17,0,0,0,0,1,0,0,1,8,1,1.5,48,25,23,4,2,0,
Derrick Nnadi,27,KAN,DT,17,17,0,0,0,0,1,0,0,0,0,0,1.0,29,16,13,1,1,0,
Osa Odighizuwa,25,DAL,DT,17,17,0,0,0,0,0,0,0,0,0,0,3.0,46,26,20,9,13,0,
Larry Ogunjobi,29,PIT,DT,17,17,0,0,0,0,2,1,0,2,0,0,3.0,43,21,22,3,8,0,
Bobby Okereke,27,NYG,LB,17,17,2,62,0,55,10,4,0,0,0,0,2.5,149,92,57,11,6,0,
Foyesade Oluokun,28,JAX,LB,17,17,1,24,1,24,6,1,0,3,0,0,2.5,173,111,62,8,10,0,
Cade Otton,24,TAM,TE,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Dylan Parham,24,LVR,G,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
Micah Parsons,24,DAL,LB,17,17,0,0,0,0,2,1,0,1,0,0,14.0,64,36,28,18,33,0,"PB,AP-2,AP DPoY-3"
Daron Payne,26,WAS,DT,17,17,0,0,0,0,4,2,0,2,0,0,4.0,53,32,21,13,11,0,
Harrison Phillips,27,MIN,DL,17,17,0,0,0,0,2,0,0,0,0,0,3.0,92,44,48,2,6,0,
Michael Pierce,31,BAL,NT,17,17,0,0,0,0,2,1,0,2,0,0,1.0,42,24,18,2,3,0,
Tony Pollard,26,DAL,RB,17,17,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,
Germaine Pratt,27,CIN,LB,17,17,2,9,0,9,3,2,0,0,0,0,2.0,118,63,55,7,3,0,
Dak Prescott,30,DAL,QB,17,17,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-5"
Patrick Queen,24,BAL,LB,17,17,1,21,0,21,6,1,0,1,0,0,3.5,133,84,49,9,6,0,"PB,AP-2"
Haason Reddick,29,PHI,OLB,17,17,0,0,0,0,1,0,0,0,0,0,11.0,38,29,9,13,23,0,PB
Calvin Ridley,29,JAX,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP CPoY-7
Roy Robertson-Harris,30,JAX,DL,17,17,0,0,0,0,1,0,0,0,0,0,3.5,34,16,18,3,11,0,
Khalen Saunders,27,NOR,DT,17,17,0,0,0,0,1,0,0,0,0,0,0.0,57,24,33,1,2,0,
Isaac Seumalo,30,PIT,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Penei Sewell,23,DET,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1"
Nathan Shepherd,30,NOR,DT,17,17,0,0,0,0,0,0,0,0,0,0,3.5,50,27,23,4,8,0,
Zach Sieler,28,MIA,DT,17,17,1,5,1,5,4,1,0,2,3,0,10.0,63,32,31,11,22,0,
John Simpson,26,BAL,G,17,17,0,0,0,0,0,0,0,1,8,0,0.0,0,0,0,0,0,0,
Tedarrell Slaton,26,GNB,DL,17,17,0,0,0,0,2,0,0,0,0,0,0.0,50,23,27,2,2,0,
Harrison Smith,34,MIN,S,17,17,0,0,0,0,3,3,0,0,0,0,3.0,93,60,33,2,6,0,
