Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Aldrick Rosas,2TM,27,K,5,0,,,,,1.0,,2.0,2.0,2.0,,5.0,2.0,44.0,40.0%,14.0,14.0,100.0%,21.0,1357.0,17.0,81.0%,64.6
Lirim Hajrullahu,2TM,31,K,4,0,,,2.0,2.0,2.0,2.0,1.0,,,,5.0,4.0,35.0,80.0%,8.0,8.0,100.0%,17.0,1100.0,12.0,70.6%,64.7
Ryan Santoso,2TM,26,K,4,0,,,3.0,3.0,1.0,1.0,1.0,,,,5.0,4.0,35.0,80.0%,8.0,6.0,75.0%,15.0,964.0,12.0,80.0%,64.3
Elliott Fry,2TM,27,K,2,0,,,,,4.0,3.0,1.0,1.0,,,5.0,4.0,44.0,80.0%,5.0,4.0,80.0%,12.0,706.0,6.0,50.0%,58.8
Chris Blewitt,WAS,26,K,2,0,,,,,,,4.0,1.0,1.0,1.0,5.0,2.0,52.0,40.0%,2.0,2.0,100.0%,6.0,335.0,5.0,83.3%,55.8
Josh Lambo,JAX,31,K,3,0,,,,,,,1.0,,2.0,,3.0,,,0.0%,7.0,5.0,71.4%,10.0,595.0,7.0,70.0%,59.5
Dominik Eberle,HOU,25,K,1,0,,,1.0,1.0,,,,,2.0,1.0,3.0,2.0,51.0,66.7%,5.0,5.0,100.0%,8.0,504.0,3.0,37.5%,63.0
Mitch Wishnowsky,SFO,29,P,17,0,,,,,,,1.0,,,,1.0,,,0.0%,2.0,1.0,50.0%,56.0,3487.0,21.0,37.5%,62.3
Chris Naggar,CLE,24,K,1,0,,,,,1.0,1.0,,,,,1.0,1.0,37.0,100.0%,2.0,1.0,50.0%,5.0,317.0,3.0,60.0%,63.4
Bradley Pinion,TAM,27,P,15,0,,,,,,,,,1.0,,1.0,,,0.0%,,,,89.0,5756.0,71.0,79.8%,64.7
Cody Parkey,NOR,29,K,1,0,,,,,,,,,,,,,,,5.0,3.0,60.0%,3.0,195.0,1.0,33.3%,65.0
Alex Kessman,NYJ,23,K,1,0,,,,,,,,,,,,,,,2.0,,0.0%,4.0,246.0,1.0,25.0%,61.5
Jake Bailey,NWE,24,P,17,0,,,,,,,,,,,,,,,,,,90.0,5706.0,42.0,46.7%,63.4
Rigoberto Sanchez,IND,27,P,17,0,,,,,,,,,,,,,,,,,,89.0,5687.0,44.0,49.4%,63.9
Jack Fox,DET,25,P,17,0,,,,,,,,,,,,,,,,,,35.0,2209.0,19.0,54.3%,63.1
Braden Mann,NYJ,24,P,10,0,,,,,,,,,,,,,,,,,,22.0,1426.0,20.0,90.9%,64.8
Logan Cooke,JAX,26,P,15,0,,,,,,,,,,,,,,,,,,21.0,1289.0,9.0,42.9%,61.4
Cameron Nizialek,ATL,26,P,4,0,,,,,,,,,,,,,,,,,,15.0,946.0,6.0,40.0%,63.1
Sterling Hofrichter,TAM,25,P,2,0,,,,,,,,,,,,,,,,,,14.0,894.0,6.0,42.9%,63.9
Riley Dixon,NYG,28,P,17,0,,,,,,,,,,,,,,,,,,5.0,102.0,,,20.4
Brandon Zylstra,CAR,28,WR,13,3,,,,,,,,,,,,,,,,,,3.0,146.0,,,48.7
Blake Gillikin,NOR,23,P,17,0,,,,,,,,,,,,,,,,,,2.0,130.0,2.0,100.0%,65.0
Pressley Harvin III,PIT,23,P,15,0,,,,,,,,,,,,,,,,,,2.0,101.0,,,50.5
Tress Way,WAS,31,P,16,0,,,,,,,,,,,,,,,,,,2.0,124.0,,,62.0
Ryan Winslow,3TM,27,P,4,0,,,,,,,,,,,,,,,,,,2.0,130.0,,,65.0
Matt Haack,BUF,27,P,17,0,,,,,,,,,,,,,,,,,,1.0,53.0,,,53.0
Michael Palardy,MIA,29,P,17,0,,,,,,,,,,,,,,,,,,1.0,58.0,,,58.0
Arryn Siposs,PHI,29,P,17,0,,,,,,,,,,,,,,,,,,1.0,58.0,,,58.0
