Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Tua Tagovailoa,25.0,MIA,QB,17.0,17.0,11-6-0,388.0,560.0,69.3,4624.0,29.0,5.2,14.0,2.5,222.0,50.8,78.0,8.3,8.17,11.9,272.0,101.1,60.8,29.0,171.0,4.92,7.56,7.48,2.0,2.0,"PB,AP CPoY-5"
Jared Goff,29.0,DET,QB,17.0,17.0,12-5-0,407.0,605.0,67.3,4575.0,30.0,5.0,12.0,2.0,227.0,50.9,70.0,7.6,7.66,11.2,269.1,97.9,60.3,30.0,197.0,4.72,6.89,6.99,2.0,3.0,
Dak Prescott,30.0,DAL,QB,17.0,17.0,12-5-0,410.0,590.0,69.5,4516.0,36.0,6.1,9.0,1.5,222.0,51.5,92.0,7.7,8.19,11.0,265.6,105.9,72.7,39.0,255.0,6.2,6.77,7.28,2.0,3.0,"PB,AP-2,AP MVP-2,AP OPoY-5"
Josh Allen,27.0,BUF,QB,17.0,17.0,11-6-0,385.0,579.0,66.5,4306.0,29.0,5.0,18.0,3.1,199.0,50.7,81.0,7.4,7.04,11.2,253.3,92.2,69.6,24.0,152.0,3.98,6.89,6.51,2.0,4.0,"AP MVP-5,AP OPoY-6"
Brock Purdy,24.0,SFO,QB,16.0,16.0,12-4-0,308.0,444.0,69.4,4280.0,31.0,7.0,11.0,2.5,192.0,54.7,76.0,9.6,9.92,13.9,267.5,113.0,72.8,28.0,153.0,5.93,8.74,9.01,0.0,0.0,"PB,AP MVP-4,AP OPoY-6,AP CPoY-6"
Patrick Mahomes,28.0,KAN,QB,16.0,16.0,10-6-0,401.0,597.0,67.2,4183.0,27.0,4.5,14.0,2.3,206.0,48.2,67.0,7.0,6.86,10.4,261.4,92.6,63.1,27.0,186.0,4.33,6.41,6.26,1.0,2.0,"PB,AP MVP-7"
Jordan Love,25.0,GNB,QB,17.0,17.0,9-8-0,372.0,579.0,64.2,4159.0,32.0,5.5,11.0,1.9,209.0,47.6,77.0,7.2,7.43,11.2,244.6,96.1,62.1,30.0,242.0,4.93,6.43,6.67,2.0,3.0,
C.J. Stroud,22.0,HOU,QB,15.0,15.0,9-6-0,319.0,499.0,63.9,4108.0,23.0,4.6,5.0,1.0,188.0,46.7,75.0,8.2,8.7,12.9,273.9,100.8,57.5,38.0,331.0,7.08,7.03,7.47,1.0,3.0,"PB,AP MVP-8,AP ORoY-1"
Baker Mayfield,28.0,TAM,QB,17.0,17.0,9-8-0,364.0,566.0,64.3,4044.0,28.0,4.9,10.0,1.8,188.0,44.7,75.0,7.1,7.34,11.1,237.9,94.6,54.3,40.0,232.0,6.6,6.29,6.47,1.0,2.0,"PB,AP CPoY-3"
Trevor Lawrence,24.0,JAX,QB,16.0,16.0,8-8-0,370.0,564.0,65.6,4016.0,21.0,3.7,14.0,2.5,179.0,46.4,65.0,7.1,6.75,10.9,251.0,88.5,56.1,35.0,224.0,5.84,6.33,5.98,1.0,2.0,
