Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Philip Rivers,29.0,SDG,QB,16.0,16.0,9-7-0,357.0,541.0,66.0,4710.0,30.0,5.5,13.0,2.4,234.0,49.9,59.0,8.7,8.73,13.2,294.4,101.8,66.9,38.0,227.0,6.56,7.74,7.77,1.0,1.0,"PB,AP OPoY-4"
Peyton Manning,34.0,IND,QB,16.0,16.0,10-6-0,450.0,679.0,66.3,4700.0,33.0,4.9,17.0,2.5,253.0,54.1,73.0,6.9,6.77,10.4,293.8,91.9,71.6,16.0,91.0,2.3,6.63,6.48,0.0,2.0,PB
Drew Brees,31.0,NOR,QB,16.0,16.0,11-5-0,448.0,658.0,68.1,4620.0,33.0,5.0,22.0,3.3,238.0,51.2,80.0,7.0,6.52,10.3,288.8,90.9,70.8,25.0,185.0,3.66,6.49,6.01,4.0,5.0,PB
Matt Schaub,29.0,HOU,QB,16.0,16.0,6-10-0,365.0,574.0,63.6,4370.0,24.0,4.2,12.0,2.1,221.0,47.9,60.0,7.6,7.51,12.0,273.1,92.0,61.0,32.0,226.0,5.28,6.84,6.74,2.0,2.0,
Eli Manning,29.0,NYG,QB,16.0,16.0,10-6-0,339.0,539.0,62.9,4002.0,31.0,5.8,25.0,4.6,169.0,47.9,92.0,7.4,6.49,11.8,250.1,85.3,57.7,16.0,117.0,2.88,7.0,6.09,1.0,1.0,
Carson Palmer,31.0,CIN,QB,16.0,16.0,4-12-0,362.0,586.0,61.8,3970.0,26.0,4.4,20.0,3.4,206.0,48.4,78.0,6.8,6.13,11.0,248.1,82.4,55.1,26.0,201.0,4.25,6.16,5.54,1.0,1.0,
Aaron Rodgers,27.0,GNB,QB,15.0,15.0,10-5-0,312.0,475.0,65.7,3922.0,28.0,5.9,11.0,2.3,183.0,51.4,86.0,8.3,8.39,12.6,261.5,101.2,69.6,31.0,193.0,6.13,7.37,7.5,0.0,1.0,AP OPoY-5
Tom Brady,33.0,NWE,QB,16.0,16.0,14-2-0,324.0,492.0,65.9,3900.0,36.0,7.3,4.0,0.8,189.0,50.1,79.0,7.9,9.02,12.0,243.8,111.0,79.1,25.0,175.0,4.84,7.21,8.25,2.0,3.0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Matt Ryan,25.0,ATL,QB,16.0,16.0,13-3-0,357.0,571.0,62.5,3705.0,28.0,4.9,9.0,1.6,202.0,46.1,46.0,6.5,6.76,10.4,231.6,91.0,71.2,23.0,158.0,3.87,5.97,6.23,5.0,6.0,PB
Kyle Orton,28.0,DEN,QB,13.0,13.0,3-10-0,293.0,498.0,58.8,3653.0,20.0,4.0,9.0,1.8,173.0,42.7,71.0,7.3,7.33,12.5,281.0,87.5,53.8,34.0,243.0,6.39,6.41,6.4,1.0,1.0,
Joe Flacco,25.0,BAL,QB,16.0,16.0,12-4-0,306.0,489.0,62.6,3622.0,25.0,5.1,10.0,2.0,174.0,44.0,67.0,7.4,7.51,11.8,226.4,93.6,59.1,40.0,294.0,7.56,6.29,6.39,2.0,4.0,
Sam Bradford,23.0,STL,QB,16.0,16.0,7-9-0,354.0,590.0,60.0,3512.0,18.0,3.1,15.0,2.5,179.0,42.1,49.0,6.0,5.42,9.9,219.5,76.5,46.9,34.0,244.0,5.45,5.24,4.73,0.0,0.0,AP ORoY-1
Josh Freeman,22.0,TAM,QB,16.0,16.0,10-6-0,291.0,474.0,61.4,3451.0,25.0,5.3,6.0,1.3,167.0,44.4,64.0,7.3,7.77,11.9,215.7,95.9,69.5,28.0,195.0,5.58,6.49,6.94,5.0,5.0,
Donovan McNabb,34.0,WAS,QB,13.0,13.0,5-8-0,275.0,472.0,58.3,3377.0,14.0,3.0,15.0,3.2,152.0,42.0,76.0,7.2,6.32,12.3,259.8,77.1,47.8,37.0,271.0,7.27,6.1,5.33,2.0,2.0,
Chad Henne,25.0,MIA,QB,15.0,14.0,6-8-0,301.0,490.0,61.4,3301.0,15.0,3.1,19.0,3.9,167.0,45.6,57.0,6.7,5.6,11.0,220.1,75.4,45.7,30.0,178.0,5.77,6.01,4.94,0.0,1.0,
Mark Sanchez,24.0,NYJ,QB,16.0,16.0,11-5-0,278.0,507.0,54.8,3291.0,17.0,3.4,13.0,2.6,162.0,41.4,74.0,6.5,6.01,11.8,205.7,75.3,51.3,27.0,171.0,5.06,5.84,5.38,3.0,5.0,
Jay Cutler,27.0,CHI,QB,15.0,15.0,10-5-0,261.0,432.0,60.4,3274.0,23.0,5.3,16.0,3.7,159.0,43.6,89.0,7.6,6.98,12.5,218.3,86.3,51.4,52.0,352.0,10.74,6.04,5.5,4.0,4.0,
Ben Roethlisberger,28.0,PIT,QB,12.0,12.0,9-3-0,240.0,389.0,61.7,3200.0,17.0,4.4,5.0,1.3,149.0,46.8,56.0,8.2,8.52,13.3,266.7,97.0,67.4,32.0,220.0,7.6,7.08,7.35,2.0,3.0,
Matt Cassel,28.0,KAN,QB,15.0,15.0,10-5-0,262.0,450.0,58.2,3116.0,27.0,6.0,7.0,1.6,164.0,45.8,75.0,6.9,7.42,11.9,207.7,93.0,55.8,26.0,182.0,5.46,6.16,6.64,1.0,2.0,"PB,AP CPoY-4"
Michael Vick,30.0,PHI,QB,12.0,12.0,8-3-0,233.0,372.0,62.6,3018.0,21.0,5.6,6.0,1.6,119.0,47.0,91.0,8.1,8.52,13.0,251.5,100.2,65.0,34.0,210.0,8.37,6.92,7.29,4.0,3.0,"PB,AP OPoY-2,AP CPoY-1"
Matt Hasselbeck,35.0,SEA,QB,14.0,14.0,6-8-0,266.0,444.0,59.9,3001.0,12.0,2.7,17.0,3.8,137.0,44.6,87.0,6.8,5.58,11.3,214.4,73.2,52.3,29.0,175.0,6.13,5.97,4.86,0.0,0.0,
Ryan Fitzpatrick,28.0,BUF,QB,13.0,13.0,4-9-0,255.0,441.0,57.8,3000.0,23.0,5.2,15.0,3.4,151.0,41.7,65.0,6.8,6.32,11.8,230.8,81.8,52.3,24.0,145.0,5.16,6.14,5.68,1.0,1.0,
David Garrard,32.0,JAX,QB,14.0,14.0,8-6-0,236.0,366.0,64.5,2734.0,23.0,6.3,15.0,4.1,130.0,44.4,75.0,7.5,6.88,11.6,195.3,90.8,63.1,33.0,253.0,8.27,6.22,5.68,1.0,5.0,
Shaun Hill,30.0,DET,QB,11.0,10.0,3-7-0,257.0,416.0,61.8,2686.0,16.0,3.8,12.0,2.9,120.0,45.7,75.0,6.5,5.93,10.5,244.2,81.3,53.2,17.0,113.0,3.93,5.94,5.43,1.0,0.0,
Brett Favre,41.0,MIN,QB,13.0,13.0,5-8-0,217.0,358.0,60.6,2509.0,11.0,3.1,19.0,5.3,112.0,43.4,53.0,7.0,5.23,11.6,193.0,69.9,38.4,22.0,139.0,5.79,6.24,4.57,1.0,2.0,
Jason Campbell,28.0,OAK,QB,13.0,12.0,7-5-0,194.0,329.0,59.0,2387.0,13.0,4.0,8.0,2.4,111.0,39.5,73.0,7.3,6.95,12.3,183.6,84.5,48.8,33.0,208.0,9.12,6.02,5.74,2.0,2.0,
Alex Smith,26.0,SFO,QB,11.0,10.0,3-7-0,204.0,342.0,59.6,2370.0,14.0,4.1,10.0,2.9,102.0,40.1,62.0,6.9,6.43,11.6,215.5,82.1,43.8,25.0,140.0,6.81,6.08,5.61,0.0,0.0,
Jon Kitna,38.0,DAL,QB,10.0,9.0,4-5-0,209.0,318.0,65.7,2365.0,16.0,5.0,12.0,3.8,97.0,46.6,71.0,7.4,6.75,11.3,236.5,88.9,52.9,21.0,100.0,6.19,6.68,6.03,1.0,2.0,
Derek Anderson,27.0,ARI,QB,12.0,9.0,2-7-0,169.0,327.0,51.7,2065.0,7.0,2.1,10.0,3.1,96.0,37.5,43.0,6.3,5.37,12.2,172.1,65.9,32.7,25.0,176.0,7.1,5.37,4.49,1.0,1.0,
Kerry Collins,38.0,TEN,QB,10.0,7.0,2-5-0,160.0,278.0,57.6,1823.0,14.0,5.0,8.0,2.9,90.0,43.6,80.0,6.6,6.27,11.4,182.3,82.2,55.4,13.0,91.0,4.47,5.95,5.68,1.0,1.0,
Tony Romo,30.0,DAL,QB,6.0,6.0,1-5-0,148.0,213.0,69.5,1605.0,11.0,5.2,7.0,3.3,73.0,46.8,69.0,7.5,7.09,10.8,267.5,94.9,66.4,7.0,41.0,3.18,7.11,6.68,0.0,0.0,
