Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
DeSean Jackson,PHI,22,WR,16,15,50.0,440.0,1,68.0,8.8,1.0,12.0,0,12.0,12.0,1460
Johnnie Lee Higgins,OAK,25,WR,16,3,44.0,570.0,3,93.0,13.0,36.0,842.0,0,69.0,23.4,1809
Mark Jones,CAR,28,WR,16,0,39.0,443.0,0,55.0,11.4,40.0,958.0,0,59.0,24.0,1433
Antwaan Randle El,WAS,29,WR,16,16,39.0,254.0,0,36.0,6.5,,,0,,,849
Will Blackmon,GNB,24,DB,16,1,36.0,398.0,2,76.0,11.1,55.0,1157.0,0,45.0,21.0,1555
Santonio Holmes,PIT,24,WR,15,15,34.0,226.0,0,35.0,6.6,,,0,,,1056
Steve Breaston,ARI,25,WR,16,9,33.0,237.0,0,25.0,7.2,33.0,667.0,0,38.0,20.2,1918
Chris Carr,TEN,25,DB,16,2,32.0,323.0,0,44.0,10.1,35.0,984.0,0,52.0,28.1,1307
Devin Hester,CHI,26,WR,15,8,32.0,198.0,0,25.0,6.2,31.0,679.0,0,51.0,21.9,1603
Jacoby Jones,HOU,24,WR,16,0,32.0,386.0,2,73.0,12.1,13.0,280.0,0,30.0,21.5,742
Leon Washington*+,NYJ,26,RB,16,1,29.0,303.0,0,37.0,10.4,48.0,1231.0,1,94.0,25.6,2332
Josh Cribbs,CLE,25,WR,15,2,28.0,228.0,0,32.0,8.1,44.0,1110.0,1,92.0,25.2,1523
Justin Forsett,2TM,23,RB,14,0,27.0,263.0,0,29.0,9.7,18.0,422.0,0,32.0,23.4,685
Domenik Hixon,NYG,24,WR,16,7,24.0,242.0,0,50.0,10.1,3.0,180.0,0,83.0,60.0,1044
Wes Welker*,NWE,27,WR,16,14,24.0,237.0,0,44.0,9.9,1.0,26.0,0,26.0,26.0,1454
Adam Jennings,2TM,26,WR,14,0,24.0,151.0,0,37.0,6.3,,,0,,,151
Clifton Smith*,TAM,23,RB,9,0,23.0,324.0,1,70.0,14.1,36.0,992.0,1,97.0,27.6,1380
Yamon Figurs,BAL,25,WR,12,0,23.0,138.0,0,35.0,6.0,29.0,608.0,0,39.0,21.0,789
Darren Sproles,SDG,25,RB,16,0,22.0,249.0,0,43.0,11.3,53.0,1376.0,1,103.0,26.0,2295
Davone Bess,MIA,23,WR,16,6,21.0,231.0,0,27.0,11.0,14.0,311.0,0,32.0,22.2,1109
Adam Jones,DAL,25,LCB,9,6,21.0,95.0,0,18.0,4.5,7.0,155.0,0,41.0,22.1,271
Roscoe Parrish,BUF,26,WR,13,1,21.0,322.0,1,63.0,15.3,2.0,40.0,0,25.0,20.0,603
Antonio Chatman,CIN,29,WR,10,1,21.0,158.0,0,34.0,7.5,,,0,,,356
Dexter Jackson,TAM,22,WR,7,0,20.0,97.0,0,19.0,4.9,14.0,327.0,0,45.0,23.4,424
Jim Leonhard,BAL,26,SS,16,13,20.0,232.0,0,46.0,11.6,8.0,163.0,0,30.0,20.4,430
Reggie Bush,NOR,23,RB,10,9,20.0,270.0,3,71.0,13.5,,,0,,,1114
Harry Douglas,ATL,24,WR,16,0,19.0,226.0,1,61.0,11.9,4.0,46.0,0,22.0,11.5,661
Brian Witherspoon,JAX,23,DB,14,0,17.0,192.0,0,38.0,11.3,52.0,1250.0,0,51.0,24.0,1442
Keiwan Ratliff,IND,27,DB,13,4,16.0,89.0,0,19.0,5.6,,,0,,,126
Allen Rossum,SFO,33,DB,13,1,15.0,223.0,0,45.0,14.9,47.0,1259.0,1,104.0,26.8,1487
Charles Gordon,MIN,24,DB,9,2,15.0,66.0,0,20.0,4.4,2.0,61.0,0,42.0,30.5,127
Patrick Crayton,DAL,29,WR,16,7,15.0,143.0,0,33.0,9.5,1.0,11.0,0,11.0,11.0,715
Eddie Royal,DEN,22,WR,15,15,14.0,140.0,0,36.0,10.0,23.0,600.0,0,95.0,26.1,1829
R.W. McQuarters,NYG,32,DB,9,0,13.0,86.0,0,15.0,6.6,1.0,18.0,0,18.0,18.0,104
Derek Stanley,STL,23,WR,10,0,11.0,101.0,0,33.0,9.2,25.0,620.0,0,75.0,24.8,840
Kevin Robinson,KAN,24,WR,8,0,11.0,94.0,0,32.0,8.5,19.0,420.0,0,36.0,22.1,514
Shaun McDonald,DET,27,WR,12,7,11.0,104.0,0,27.0,9.5,,,0,,,436
Kevin Faulk,NWE,32,RB,15,3,10.0,132.0,0,24.0,13.2,2.0,36.0,0,25.0,18.0,1161
Dante Hall,STL,30,WR,8,0,9.0,93.0,0,34.0,10.3,37.0,763.0,0,41.0,20.6,970
Aundrae Allison,MIN,22,WR,15,0,9.0,58.0,0,27.0,6.4,6.0,100.0,0,22.0,16.7,268
Dane Looker,STL,32,WR,13,6,9.0,51.0,0,14.0,5.7,1.0,4.0,0,4.0,4.0,326
Dantrell Savage,KAN,23,RB,8,0,8.0,17.0,0,11.0,2.1,26.0,633.0,0,59.0,24.3,703
T.J. Houshmandzadeh,CIN,31,WR,15,15,8.0,79.0,0,15.0,9.9,,,0,,,989
Ted Ginn Jr.,MIA,23,WR,16,14,7.0,54.0,0,15.0,7.7,32.0,657.0,0,41.0,20.5,1574
Maurice Jones-Drew,JAX,23,RB,16,3,7.0,69.0,0,15.0,9.9,13.0,281.0,0,33.0,21.6,1739
Fred Jackson,BUF,27,RB,16,3,7.0,116.0,0,35.0,16.6,12.0,181.0,0,30.0,15.1,1185
B.J. Sams,KAN,28,RB,3,0,7.0,58.0,0,16.0,8.3,9.0,180.0,0,36.0,20.0,238
Bernard Berrian,MIN,28,WR,16,13,7.0,114.0,1,82.0,16.3,,,0,,,1104
Michael Bumpus,SEA,23,WR,4,1,7.0,66.0,0,30.0,9.4,,,0,,,114
Mewelde Moore,PIT,26,RB,16,4,6.0,21.0,0,12.0,3.5,10.0,185.0,0,24.0,18.5,1114
Arnaz Battle,SFO,28,WR,9,0,6.0,29.0,0,19.0,4.8,1.0,28.0,0,28.0,28.0,393
Lance Moore,NOR,25,WR,16,6,6.0,40.0,0,11.0,6.7,1.0,36.0,0,36.0,36.0,1004
Santana Moss,WAS,29,WR,16,16,6.0,124.0,1,80.0,20.7,1.0,26.0,0,26.0,26.0,1221
Nate Clements,SFO,29,LCB,15,15,6.0,46.0,0,16.0,7.7,,,0,,,59
Nathan Vasher,CHI,27,RCB,8,7,6.0,46.0,0,18.0,7.7,,,0,,,46
