Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Bradley Pinion,SFO,22,P,16,0,100,4402,44.0,345,3977,39.8,65,4,4.0%,28,28.0%,0
Johnny Hekker*+,LAR,26,P,16,0,98,4680,47.8,152,4508,46.0,78,1,1.0%,51,52.0%,0
Brad Wing,NYG,25,P,16,0,93,4297,46.2,330,3807,40.9,63,8,8.6%,28,30.1%,0
Matt Darr,MIA,24,P,16,0,90,3991,44.3,300,3591,39.9,66,5,5.6%,32,35.6%,0
Riley Dixon,DEN,23,P,16,0,89,4068,45.7,271,3677,41.3,68,6,6.7%,28,31.5%,0
Britton Colquitt,CLE,31,P,16,0,83,3761,45.3,376,3345,40.3,65,2,2.4%,22,26.5%,0
Marquette King,OAK,28,P,16,0,81,3937,48.6,405,3352,41.4,72,9,11.1%,34,42.0%,0
Sam Koch,BAL,34,P,16,0,80,3665,45.8,375,3190,39.9,68,5,6.3%,37,46.3%,0
Kevin Huber,CIN,31,P,16,0,78,3613,46.3,369,3084,39.5,72,8,10.3%,23,29.5%,0
Brett Kern,TEN,30,P,16,0,77,3402,44.2,347,2975,38.6,71,4,5.2%,32,41.6%,0
Brad Nortman,JAX,27,P,16,0,77,3589,46.6,389,3040,39.5,78,8,10.4%,27,35.1%,0
Dustin Colquitt*,KAN,34,P,16,0,76,3427,45.1,157,3090,40.7,64,9,11.8%,38,50.0%,0
Lac Edwards,NYJ,24,P,16,0,75,3236,43.1,319,2837,37.3,59,4,5.3%,24,32.0%,1
Colton Schmidt,BUF,26,P,16,0,75,3183,42.4,262,2861,38.1,58,3,4.0%,20,26.7%,0
Jeff Locke,MIN,27,P,16,0,74,3155,42.6,209,2886,39.0,72,3,4.1%,34,45.9%,0
Ryan Allen,NWE,26,P,16,0,72,3217,44.7,134,2983,41.4,58,5,6.9%,23,31.9%,0
Shane Lechler,HOU,40,P,16,0,72,3423,47.5,477,2886,40.1,62,3,4.2%,30,41.7%,0
Jon Ryan,SEA,35,P,16,0,71,3126,44.0,236,2830,39.3,64,3,4.2%,26,36.6%,1
Bryan Anger,TAM,28,P,16,0,70,3215,45.9,128,2987,42.7,59,5,7.1%,37,52.9%,0
Jordan Berry,PIT,25,P,16,0,68,3100,45.6,269,2771,40.2,64,3,4.4%,25,36.8%,1
Pat O'Donnell,CHI,25,P,16,0,68,2994,44.0,282,2612,38.4,67,5,7.4%,24,35.3%,0
Donnie Jones,PHI,36,P,16,0,63,2888,45.8,202,2566,40.7,72,6,9.5%,21,33.3%,0
Sam Martin,DET,26,P,16,0,62,3010,48.5,210,2740,44.2,63,3,4.8%,23,37.1%,0
Drew Kaser,SDG,23,P,16,0,59,2731,46.3,282,2349,39.8,69,5,8.5%,18,30.5%,0
Chris Jones,DAL,27,P,16,0,58,2661,45.9,192,2389,40.5,66,4,6.9%,25,43.1%,1
Thomas Morstead,NOR,30,P,16,0,57,2751,48.3,237,2414,42.4,66,5,8.8%,22,38.6%,0
Jake Schum,GNB,27,P,16,0,56,2420,43.2,151,2189,39.1,65,4,7.1%,19,33.9%,0
Pat McAfee*,IND,29,P,16,0,55,2711,49.3,139,2392,42.7,74,9,16.4%,19,34.5%,1
Tress Way,WAS,26,P,16,0,49,2209,45.1,222,1907,38.9,61,4,8.2%,15,30.6%,0
Matthew Bosher,ATL,29,P,15,0,44,2060,46.8,209,1831,41.6,68,1,2.3%,21,47.7%,0
Andy Lee,CAR,34,P,9,0,36,1769,49.1,236,1453,40.4,76,4,11.1%,18,50.0%,0
Michael Palardy,CAR,24,P,7,0,36,1531,42.5,126,1365,37.9,56,2,5.6%,13,36.1%,0
Ryan Quigley,ARI,26,P,6,0,34,1416,41.6,75,1301,37.2,55,2,5.9%,13,38.2%,1
Drew Butler,ARI,27,P,7,0,32,1350,42.2,210,1140,35.6,62,0,0.0%,10,31.3%,0
Matt Wile,2TM,24,P,4,0,12,553,46.1,25,412,31.7,59,0,0.0%,2,16.7%,1
Graham Gano,CAR,29,K,16,0,4,180,45.0,21,119,29.8,54,2,50.0%,0,0.0%,0
Matt Bryant*,ATL,41,K,16,0,2,67,33.5,0,67,33.5,36,0,0.0%,0,0.0%,0
Chandler Catanzaro,ARI,25,K,16,0,2,66,33.0,0,66,33.0,47,0,0.0%,0,0.0%,0
