Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Kyle Wilson,NYJ,26,DB,16,1,4.0,13.0,0,6.0,3.3,,,0,,,13
LaVon Brazill,IND,24,WR,10,0,3.0,25.0,0,17.0,8.3,3.0,57.0,0,21.0,19.0,243
Randall Cobb,GNB,23,WR,6,4,3.0,23.0,0,16.0,7.7,1.0,10.0,0,10.0,10.0,544
Jayron Hosley,NYG,23,DB,11,1,3.0,9.0,0,8.0,3.0,,,0,,,9
Shiloh Keo,HOU,26,FS,16,11,3.0,15.0,0,9.0,5.0,,,0,,,27
Devon Wylie,TEN,25,WR,2,0,2.0,4.0,0,4.0,2.0,5.0,94.0,0,23.0,18.8,98
Lance Moore,NOR,30,WR,13,5,2.0,0.0,0,0.0,0.0,,,0,,,457
Austin Pettis,STL,25,WR,16,6,2.0,37.0,0,32.0,18.5,,,0,,,436
Javier Arenas,ARI,26,DB,16,0,1.0,0.0,0,0.0,0.0,23.0,493.0,0,46.0,21.4,493
Travaris Cadet,NOR,24,RB,13,0,1.0,0.0,0,0.0,0.0,9.0,239.0,0,82.0,26.6,244
Nick Williams,WAS,23,WR,5,0,1.0,0.0,0,0.0,0.0,9.0,188.0,0,29.0,20.9,203
Skye Dawson,TAM,23,WR,7,0,1.0,17.0,0,17.0,17.0,3.0,67.0,0,25.0,22.3,111
John Kuhn,GNB,31,RB,15,6,1.0,0.0,0,0.0,0.0,2.0,40.0,0,21.0,20.0,159
Alterraun Verner*,TEN,25,RCB,16,16,1.0,11.0,0,11.0,11.0,1.0,17.0,0,17.0,17.0,105
Robert Alford,ATL,25,DB,16,4,1.0,0.0,0,0.0,0.0,,,0,,,-5
Danny Amendola,NWE,28,WR,12,6,1.0,13.0,0,13.0,13.0,,,0,,,647
Richie Brockel,CAR,27,TE,16,0,1.0,0.0,0,0.0,0.0,,,0,,,13
Ryan Broyles,DET,25,WR,6,3,1.0,4.0,0,4.0,4.0,,,0,,,89
Darius Butler,IND,27,LCB,16,7,1.0,9.0,0,9.0,9.0,,,0,,,88
Tony Carter,DEN,27,DB,12,2,1.0,0.0,0,0.0,0.0,,,0,,,0
Jack Crawford,OAK,25,DE,15,0,1.0,-1.0,0,-1.0,-1.0,,,0,,,-1
Eric Decker,DEN,26,WR,16,16,1.0,2.0,0,2.0,2.0,,,0,,,1290
Drayton Florence,CAR,33,DB,14,5,1.0,0.0,0,0.0,0.0,,,0,,,40
Chad Hall,KAN,27,WR,9,0,1.0,9.0,0,9.0,9.0,,,0,,,29
Charles James,NYG,23,DB,12,0,1.0,0.0,0,0.0,0.0,,,0,,,0
Brandon LaFell,CAR,27,WR,16,16,1.0,0.0,0,0.0,0.0,,,0,,,642
Trumaine McBride,NYG,28,LCB,15,10,1.0,0.0,0,0.0,0.0,,,0,,,17
Jerome Murphy,WAS,26,DB,11,0,1.0,0.0,0,0.0,0.0,,,0,,,0
Chase Reynolds,STL,26,RB,16,0,1.0,0.0,0,0.0,0.0,,,0,,,0
Richard Sherman*+,SEA,25,LCB,16,16,1.0,-6.0,0,-6.0,-6.0,,,0,,,119
Josh Thomas,CAR,24,LCB,13,6,1.0,0.0,0,0.0,0.0,,,0,,,0
Lardarius Webb,BAL,28,LCB,16,16,1.0,13.0,0,13.0,13.0,,,0,,,32
Usama Young,OAK,28,DB,12,1,1.0,0.0,0,0.0,0.0,,,0,,,26
Cordarrelle Patterson*+,MIN,22,WR,16,6,,,0,,,43.0,1393.0,2,109.0,32.4,2020
Quintin Demps,KAN,28,DB,16,6,,,0,,,33.0,992.0,1,95.0,30.1,1053
Fozzy Whittaker,2TM,24,RB,14,2,,,0,,,29.0,638.0,0,56.0,22.0,872
Taiwan Jones,OAK,25,RB,16,0,,,0,,,26.0,623.0,0,41.0,24.0,701
Jordan Todman,JAX,23,RB,16,2,,,0,,,26.0,712.0,0,59.0,27.4,1084
Jacquizz Rodgers,ATL,23,RB,15,4,,,0,,,25.0,575.0,0,34.0,23.0,1248
David Reed,IND,26,WR,7,0,,,0,,,24.0,590.0,0,39.0,24.6,592
Felix Jones,PIT,26,RB,16,2,,,0,,,23.0,510.0,0,42.0,22.2,757
Michael Cox,NYG,25,RB,14,1,,,0,,,20.0,436.0,0,56.0,21.8,491
Niles Paul,WAS,24,WR,15,4,,,0,,,20.0,411.0,0,39.0,20.6,462
LeGarrette Blount,NWE,27,RB,16,7,,,0,,,17.0,494.0,0,83.0,29.1,1304
Marquise Goodwin,BUF,23,WR,12,1,,,0,,,16.0,351.0,0,28.0,21.9,647
Benny Cunningham,STL,23,RB,14,0,,,0,,,13.0,299.0,0,32.0,23.0,619
Jermaine Kearse,SEA,23,WR,15,5,,,0,,,13.0,283.0,0,40.0,21.8,629
Danny Woodhead,SDG,28,RB,16,2,,,0,,,12.0,262.0,0,37.0,21.8,1296
Jerrel Jernigan,NYG,24,WR,15,3,,,0,,,11.0,246.0,0,46.0,22.4,632
Knile Davis,KAN,22,RB,16,1,,,0,,,10.0,321.0,1,108.0,32.1,638
Emmanuel Sanders,PIT,26,WR,16,10,,,0,,,10.0,268.0,0,46.0,26.8,1033
Josh Boyce,NWE,22,WR,9,3,,,0,,,9.0,214.0,0,41.0,23.8,335
Brandon Boykin,PHI,23,DB,16,2,,,0,,,9.0,205.0,0,41.0,22.8,341
Clyde Gates,NYJ,27,WR,6,2,,,0,,,9.0,209.0,0,36.0,23.2,331
David Wilson,NYG,22,RB,5,4,,,0,,,9.0,222.0,0,31.0,24.7,376
Lavelle Hawkins,SDG,27,WR,4,0,,,0,,,8.0,176.0,0,27.0,22.0,176
Robert Turbin,SEA,24,RB,16,0,,,0,,,8.0,177.0,0,27.0,22.1,501
Toby Gerhart,MIN,26,RB,14,0,,,0,,,7.0,106.0,0,20.0,15.1,477
Greg Little,CLE,24,WR,16,13,,,0,,,7.0,151.0,0,30.0,21.6,616
Devin McCourty,NWE,26,FS,15,15,,,0,,,7.0,132.0,0,27.0,18.9,176
Bobby Rainey,2TM,26,RB,15,6,,,0,,,7.0,162.0,0,33.0,23.1,774
Deonte Thompson,BAL,24,WR,7,0,,,0,,,7.0,201.0,0,47.0,28.7,297
Ronnie Brown,SDG,32,RB,16,0,,,0,,,6.0,113.0,0,28.0,18.8,330
Andre Caldwell,DEN,28,WR,16,2,,,0,,,6.0,141.0,0,34.0,23.5,348
Antonio Cromartie*,NYJ,29,LCB,16,16,,,0,,,6.0,164.0,0,41.0,27.3,184
Dennis Johnson,HOU,23,RB,8,1,,,0,,,6.0,151.0,0,32.0,25.2,380
Terrance Williams,DAL,24,WR,16,8,,,0,,,6.0,142.0,0,32.0,23.7,882
Joe Anderson,CHI,25,WR,6,0,,,0,,,5.0,82.0,0,21.0,16.4,82
Anthony Dixon,SFO,26,RB,16,1,,,0,,,5.0,101.0,0,47.0,20.2,187
Michael Ford,CHI,23,RB,12,0,,,0,,,5.0,37.0,0,11.0,7.4,37
Isaiah Pead,STL,24,RB,10,0,,,0,,,5.0,138.0,0,31.0,27.6,237
Jeremy Stewart,OAK,24,RB,13,0,,,0,,,5.0,95.0,0,28.0,19.0,103
Cassius Vaughn,IND,26,DB,16,4,,,0,,,5.0,142.0,0,33.0,28.4,151
Eric Weems,CHI,28,WR,16,0,,,0,,,5.0,57.0,0,19.0,11.4,65
Stephen Burton,JAX,24,WR,4,2,,,0,,,4.0,99.0,0,32.0,24.8,166
Jeff Demps,TAM,23,RB,2,0,,,0,,,4.0,93.0,0,29.0,23.3,128
Jonathan Dwyer,PIT,24,RB,15,0,,,0,,,4.0,90.0,0,27.0,22.5,351
Marcus Easley,BUF,26,WR,16,0,,,0,,,4.0,83.0,0,28.0,20.8,96
Johnathan Franklin,GNB,24,RB,11,0,,,0,,,4.0,82.0,0,26.0,20.5,219
Kendall Hunter,SFO,25,RB,16,0,,,0,,,4.0,81.0,0,30.0,20.3,454
Deji Karim,HOU,27,RB,7,0,,,0,,,4.0,78.0,0,31.0,19.5,128
Cedric Peerman,CIN,27,RB,16,0,,,0,,,4.0,66.0,0,26.0,16.5,83
Denard Robinson,JAX,23,WR,16,0,,,0,,,4.0,88.0,0,27.0,22.0,154
Brad Smith,2TM,30,WR,8,0,,,0,,,4.0,106.0,0,47.0,26.5,131
Perrish Cox,2TM,26,DB,11,0,,,0,,,3.0,82.0,0,30.0,27.3,82
Shane Vereen,NWE,24,RB,8,1,,,0,,,3.0,66.0,0,24.0,22.0,701
Matt Asiata,MIN,26,RB,11,1,,,0,,,2.0,28.0,0,20.0,14.0,207
Doug Baldwin,SEA,25,WR,16,9,,,0,,,2.0,57.0,0,37.0,28.5,841
Kenjon Barner,CAR,24,RB,8,0,,,0,,,2.0,17.0,0,17.0,8.5,31
Omar Bolden,DEN,25,DB,16,1,,,0,,,2.0,44.0,0,25.0,22.0,44
Kyle Bosworth,DAL,27,LB,14,0,,,0,,,2.0,29.0,0,16.0,14.5,29
John Carlson,MIN,29,TE,13,8,,,0,,,2.0,13.0,0,12.0,6.5,357
Charles Clay,MIA,24,TE,16,15,,,0,,,2.0,23.0,0,15.0,11.5,797
Leger Douzable,NYJ,27,DE,16,0,,,0,,,2.0,20.0,0,10.0,10.0,20
Shaun Draughn,BAL,26,RB,3,0,,,0,,,2.0,53.0,0,31.0,26.5,55
Jerome Felton,MIN,27,RB,13,9,,,0,,,2.0,22.0,0,13.0,11.0,59
Sharrif Floyd,MIN,21,DT,16,1,,,0,,,2.0,9.0,0,9.0,4.5,9
Chase Ford,MIN,23,TE,9,0,,,0,,,2.0,17.0,0,15.0,8.5,150
Brandon Graham,PHI,25,DE,16,0,,,0,,,2.0,14.0,0,14.0,7.0,14
Greg Jones,HOU,32,RB,16,5,,,0,,,2.0,43.0,0,26.0,21.5,79
Kyle Juszczyk,BAL,22,RB,16,0,,,0,,,2.0,17.0,0,9.0,8.5,17
Jeremy Lane,SEA,23,DB,15,0,,,0,,,2.0,47.0,0,25.0,23.5,47
Tyrann Mathieu,ARI,21,FS,13,11,,,0,,,2.0,8.0,0,13.0,4.0,15
Dante Rosario,CHI,29,TE,15,3,,,0,,,2.0,10.0,0,6.0,5.0,23
