Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Saquon Barkley,27.0,PHI,14.0,14.0,285.0,1688.0,11.0,68.0,54.7,72.0,5.9,120.6,20.4,2.0,
Kyren Williams,24.0,LAR,14.0,14.0,280.0,1121.0,12.0,75.0,50.0,30.0,4.0,80.1,20.0,5.0,
Josh Jacobs,26.0,GNB,14.0,14.0,265.0,1147.0,12.0,60.0,50.6,38.0,4.3,81.9,18.9,3.0,
Derrick Henry,30.0,BAL,14.0,14.0,254.0,1474.0,13.0,70.0,57.1,87.0,5.8,105.3,18.1,3.0,
Bijan Robinson,22.0,ATL,14.0,14.0,237.0,1102.0,8.0,53.0,56.5,37.0,4.6,78.7,16.9,0.0,
Tony Pollard,27.0,TEN,14.0,14.0,230.0,982.0,5.0,49.0,48.7,41.0,4.3,70.1,16.4,2.0,
Najee Harris,26.0,PIT,14.0,14.0,229.0,891.0,5.0,42.0,42.8,36.0,3.9,63.6,16.4,0.0,
Alvin Kamara,29.0,NOR,14.0,14.0,228.0,950.0,6.0,52.0,51.3,24.0,4.2,67.9,16.3,1.0,
Chuba Hubbard,25.0,CAR,14.0,14.0,225.0,1043.0,8.0,54.0,55.1,38.0,4.6,74.5,16.1,4.0,
James Conner,29.0,ARI,14.0,14.0,217.0,973.0,7.0,62.0,51.6,53.0,4.5,69.5,15.5,4.0,
Joe Mixon,28.0,HOU,11.0,11.0,217.0,910.0,11.0,46.0,41.5,59.0,4.2,82.7,19.7,0.0,
Aaron Jones,30.0,MIN,14.0,14.0,215.0,979.0,5.0,42.0,50.2,41.0,4.6,69.9,15.4,5.0,
D'Andre Swift,25.0,CHI,14.0,14.0,212.0,821.0,5.0,36.0,42.9,56.0,3.9,58.6,15.1,2.0,
Jonathan Taylor,25.0,IND,11.0,10.0,208.0,911.0,5.0,46.0,39.4,58.0,4.4,82.8,18.9,4.0,
Rhamondre Stevenson,26.0,NWE,13.0,12.0,193.0,740.0,6.0,37.0,50.3,33.0,3.8,56.9,14.8,6.0,
Chase Brown,24.0,CIN,14.0,8.0,191.0,832.0,7.0,41.0,51.8,40.0,4.4,59.4,13.6,2.0,
Jahmyr Gibbs,22.0,DET,14.0,1.0,186.0,1047.0,11.0,49.0,53.2,70.0,5.6,74.8,13.3,1.0,
David Montgomery,27.0,DET,14.0,14.0,185.0,775.0,12.0,50.0,55.1,21.0,4.2,55.4,13.2,2.0,
Kareem Hunt,29.0,KAN,11.0,8.0,180.0,653.0,5.0,34.0,55.0,17.0,3.6,59.4,16.4,0.0,
Rico Dowdle,26.0,DAL,13.0,12.0,177.0,880.0,1.0,43.0,58.8,27.0,5.0,67.7,13.6,2.0,
Breece Hall,23.0,NYJ,13.0,13.0,173.0,722.0,5.0,31.0,46.8,42.0,4.2,55.5,13.3,6.0,
James Cook,25.0,BUF,13.0,13.0,171.0,828.0,13.0,40.0,52.0,65.0,4.8,63.7,13.2,0.0,
De'Von Achane,23.0,MIA,14.0,13.0,165.0,641.0,4.0,29.0,49.7,47.0,3.9,45.8,11.8,1.0,
Brian Robinson Jr.,25.0,WAS,11.0,10.0,159.0,705.0,8.0,41.0,51.6,40.0,4.4,64.1,14.5,0.0,
J.K. Dobbins,26.0,LAC,11.0,9.0,158.0,766.0,8.0,39.0,40.5,61.0,4.8,69.6,14.4,0.0,
Jordan Mason,25.0,SFO,12.0,6.0,153.0,789.0,3.0,37.0,47.1,38.0,5.2,65.8,12.8,3.0,
Bucky Irving,22.0,TAM,14.0,1.0,152.0,852.0,6.0,38.0,53.9,56.0,5.6,60.9,10.9,2.0,
Tyrone Tracy Jr.,25.0,NYG,14.0,9.0,151.0,695.0,5.0,33.0,48.3,45.0,4.6,49.6,10.8,4.0,
Jalen Hurts,26.0,PHI,14.0,14.0,147.0,589.0,14.0,61.0,55.1,35.0,4.0,42.1,10.5,9.0,
Kenneth Walker III,24.0,SEA,10.0,10.0,145.0,542.0,7.0,26.0,44.1,28.0,3.7,54.2,14.5,1.0,
Rachaad White,25.0,TAM,13.0,13.0,135.0,573.0,3.0,30.0,49.6,56.0,4.2,44.1,10.4,2.0,
Javonte Williams,24.0,DEN,15.0,11.0,134.0,485.0,4.0,28.0,45.5,20.0,3.6,32.3,8.9,2.0,
Tank Bigsby,23.0,JAX,13.0,1.0,131.0,644.0,5.0,30.0,47.3,65.0,4.9,49.5,10.1,3.0,
Jayden Daniels,24.0,WAS,14.0,14.0,119.0,656.0,6.0,42.0,58.8,46.0,5.5,46.9,8.5,5.0,
Lamar Jackson,27.0,BAL,14.0,14.0,117.0,743.0,3.0,40.0,55.6,39.0,6.4,53.1,8.4,9.0,
Tyler Allgeier,24.0,ATL,14.0,0.0,114.0,551.0,3.0,35.0,57.0,25.0,4.8,39.4,8.1,0.0,
Travis Etienne,25.0,JAX,12.0,12.0,113.0,456.0,2.0,25.0,50.4,22.0,4.0,38.0,9.4,1.0,
Zach Charbonnet,23.0,SEA,14.0,4.0,105.0,454.0,8.0,27.0,44.8,51.0,4.3,32.4,7.5,0.0,
Alexander Mattison,26.0,LVR,11.0,5.0,104.0,341.0,3.0,22.0,36.5,24.0,3.3,31.0,9.5,1.0,
Nick Chubb,29.0,CLE,8.0,8.0,102.0,332.0,3.0,17.0,41.2,19.0,3.3,41.5,12.8,1.0,
Gus Edwards,29.0,LAC,11.0,6.0,101.0,365.0,4.0,17.0,49.5,43.0,3.6,33.2,9.2,0.0,
Devin Singletary,27.0,NYG,12.0,5.0,97.0,382.0,4.0,21.0,47.4,43.0,3.9,31.8,8.1,2.0,
Josh Allen,28.0,BUF,14.0,14.0,91.0,484.0,11.0,46.0,63.7,30.0,5.3,34.6,6.5,5.0,
