Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Ryan Taylor,26.0,GNB,14.0,1.0,9.0,6.0,30.0,5.0,0.0,3.0,44.4,8.0,0.4,2.1,66.7,3.3,1.0,
Markus Wheaton,22.0,PIT,12.0,1.0,13.0,6.0,64.0,10.7,0.0,5.0,38.5,21.0,0.5,5.3,46.2,4.9,0.0,
Jeremy Ross,25.0,2TM,13.0,2.0,12.0,6.0,67.0,11.2,1.0,6.0,50.0,19.0,0.5,5.2,50.0,5.6,2.0,
Matt Asiata,26.0,MIN,11.0,1.0,8.0,5.0,13.0,2.6,0.0,1.0,37.5,8.0,0.5,1.2,62.5,1.6,1.0,
Travis Benjamin,24.0,CLE,8.0,3.0,13.0,5.0,105.0,21.0,0.0,4.0,38.5,39.0,0.6,13.1,38.5,8.1,2.0,
Jack Doyle,23.0,IND,15.0,4.0,7.0,5.0,19.0,3.8,0.0,0.0,0.0,8.0,0.3,1.3,71.4,2.7,0.0,
Patrick Edwards,25.0,DET,4.0,2.0,11.0,5.0,46.0,9.2,0.0,2.0,45.5,11.0,1.3,11.5,45.5,4.2,0.0,
Rhett Ellison,25.0,MIN,11.0,6.0,10.0,5.0,61.0,12.2,1.0,4.0,50.0,17.0,0.5,5.5,50.0,6.1,0.0,
Chris Gragg,23.0,BUF,9.0,1.0,7.0,5.0,53.0,10.6,1.0,4.0,71.4,28.0,0.6,5.9,71.4,7.6,0.0,
Greg Jones,32.0,HOU,16.0,5.0,11.0,5.0,34.0,6.8,0.0,1.0,27.3,19.0,0.3,2.1,45.5,3.1,0.0,
Ricardo Lockette,27.0,SEA,8.0,1.0,7.0,5.0,82.0,16.4,0.0,3.0,71.4,33.0,0.6,10.3,71.4,11.7,0.0,
Michael Preston,24.0,TEN,7.0,0.0,7.0,5.0,37.0,7.4,2.0,2.0,57.1,10.0,0.7,5.3,71.4,5.3,0.0,
Allen Reisner,25.0,JAX,5.0,3.0,9.0,5.0,40.0,8.0,0.0,1.0,11.1,16.0,1.0,8.0,55.6,4.4,0.0,
Lee Smith,26.0,BUF,16.0,14.0,9.0,5.0,78.0,15.6,0.0,4.0,44.4,28.0,0.3,4.9,55.6,8.7,0.0,
Zach Sudfeld,24.0,2TM,14.0,2.0,10.0,5.0,63.0,12.6,0.0,4.0,50.0,25.0,0.4,4.5,50.0,6.3,0.0,
Joe Webb,27.0,MIN,16.0,1.0,11.0,5.0,33.0,6.6,0.0,2.0,27.3,15.0,0.3,2.1,45.5,3.0,0.0,
Tashard Choice,29.0,2TM,15.0,0.0,9.0,5.0,15.0,3.0,0.0,1.0,22.2,5.0,0.3,1.0,55.6,1.7,0.0,
Jackie Battle,30.0,TEN,16.0,0.0,5.0,4.0,36.0,9.0,0.0,1.0,20.0,24.0,0.3,2.3,80.0,7.2,0.0,
Michael Bush,29.0,CHI,15.0,0.0,8.0,4.0,48.0,12.0,1.0,2.0,50.0,17.0,0.3,3.2,50.0,6.0,0.0,
Tom Crabtree,28.0,TAM,7.0,5.0,7.0,4.0,21.0,5.3,1.0,2.0,42.9,14.0,0.6,3.0,57.1,3.0,0.0,
James Develin,25.0,NWE,16.0,6.0,4.0,4.0,62.0,15.5,0.0,3.0,75.0,31.0,0.3,3.9,100.0,15.5,0.0,
Tony Fiammetta,27.0,CHI,16.0,7.0,6.0,4.0,57.0,14.3,0.0,2.0,66.7,30.0,0.3,3.6,66.7,9.5,0.0,
Johnathan Franklin,24.0,GNB,11.0,0.0,5.0,4.0,30.0,7.5,0.0,2.0,80.0,10.0,0.4,2.7,80.0,6.0,2.0,
Brittan Golden,25.0,ARI,5.0,0.0,10.0,4.0,136.0,34.0,0.0,3.0,30.0,63.0,0.8,27.2,40.0,13.6,0.0,
BenJarvus Green-Ellis,28.0,CIN,16.0,16.0,8.0,4.0,22.0,5.5,0.0,1.0,12.5,10.0,0.3,1.4,50.0,2.8,2.0,
Lestar Jean,25.0,HOU,13.0,0.0,8.0,4.0,35.0,8.8,0.0,3.0,50.0,11.0,0.3,2.7,50.0,4.4,0.0,
David Johnson,26.0,PIT,5.0,2.0,6.0,4.0,70.0,17.5,0.0,3.0,66.7,32.0,0.8,14.0,66.7,11.7,0.0,
Jeff Maehl,24.0,PHI,16.0,0.0,9.0,4.0,67.0,16.8,1.0,3.0,44.4,37.0,0.3,4.2,44.4,7.4,0.0,
Eric Page,22.0,TAM,16.0,1.0,9.0,4.0,68.0,17.0,0.0,3.0,33.3,30.0,0.3,4.3,44.4,7.6,3.0,
Niles Paul,24.0,WAS,15.0,4.0,8.0,4.0,51.0,12.8,0.0,2.0,50.0,25.0,0.3,3.4,50.0,6.4,0.0,
John Phillips,26.0,SDG,15.0,6.0,6.0,4.0,30.0,7.5,0.0,1.0,50.0,13.0,0.3,2.0,66.7,5.0,0.0,
Chris Polk,24.0,PHI,15.0,0.0,5.0,4.0,61.0,15.3,0.0,1.0,60.0,34.0,0.3,4.1,80.0,12.2,0.0,
Isaac Redman,29.0,PIT,3.0,1.0,5.0,4.0,14.0,3.5,0.0,1.0,40.0,7.0,1.3,4.7,80.0,2.8,1.0,
Theo Riddick,22.0,DET,14.0,0.0,8.0,4.0,26.0,6.5,0.0,1.0,37.5,8.0,0.3,1.9,50.0,3.3,0.0,
Weslye Saunders,24.0,IND,6.0,1.0,11.0,4.0,46.0,11.5,0.0,3.0,36.4,18.0,0.7,7.7,36.4,4.2,0.0,
Nick Toon,25.0,NOR,8.0,3.0,12.0,4.0,68.0,17.0,0.0,2.0,25.0,35.0,0.5,8.5,33.3,5.7,0.0,
Darrel Young,26.0,WAS,13.0,7.0,9.0,4.0,71.0,17.8,1.0,1.0,22.2,62.0,0.3,5.5,44.4,7.9,0.0,
Seyi Ajirotutu,26.0,SDG,14.0,0.0,4.0,3.0,64.0,21.3,1.0,3.0,75.0,26.0,0.2,4.6,75.0,16.0,0.0,
Jonathan Baldwin,24.0,SFO,7.0,1.0,9.0,3.0,28.0,9.3,0.0,1.0,22.2,15.0,0.4,4.0,33.3,3.1,0.0,
Kevin Brock,27.0,KAN,4.0,0.0,6.0,3.0,36.0,12.0,0.0,1.0,33.3,25.0,0.8,9.0,50.0,6.0,0.0,
Nate Byham,25.0,TAM,4.0,3.0,3.0,3.0,38.0,12.7,0.0,2.0,66.7,34.0,0.8,9.5,100.0,12.7,0.0,
James Casey,29.0,PHI,15.0,1.0,6.0,3.0,31.0,10.3,0.0,3.0,50.0,12.0,0.2,2.1,50.0,5.2,0.0,
Michael Cox,25.0,NYG,14.0,1.0,3.0,3.0,12.0,4.0,0.0,1.0,33.3,11.0,0.2,0.9,100.0,4.0,0.0,
Juron Criner,24.0,OAK,1.0,0.0,8.0,3.0,32.0,10.7,0.0,2.0,25.0,20.0,3.0,32.0,37.5,4.0,0.0,
Kellen Davis,28.0,SEA,15.0,4.0,4.0,3.0,32.0,10.7,1.0,2.0,75.0,23.0,0.2,2.1,75.0,8.0,0.0,
Jeff Demps,23.0,TAM,2.0,0.0,3.0,3.0,21.0,7.0,0.0,1.0,66.7,10.0,1.5,10.5,100.0,7.0,0.0,
Anthony Dixon,26.0,SFO,16.0,1.0,3.0,3.0,30.0,10.0,0.0,1.0,66.7,19.0,0.2,1.9,100.0,10.0,0.0,
Larry Donnell,25.0,NYG,16.0,1.0,6.0,3.0,31.0,10.3,0.0,2.0,50.0,11.0,0.2,1.9,50.0,5.2,0.0,
Jeremy Ebert,24.0,JAX,5.0,0.0,8.0,3.0,18.0,6.0,0.0,0.0,0.0,8.0,0.6,3.6,37.5,2.3,0.0,
Quinton Patton,23.0,SFO,6.0,0.0,5.0,3.0,34.0,11.3,0.0,1.0,20.0,29.0,0.5,5.7,60.0,6.8,0.0,
Alex Smith,31.0,CIN,16.0,1.0,6.0,3.0,12.0,4.0,1.0,1.0,33.3,7.0,0.2,0.8,50.0,2.0,1.0,
Phillip Tanner,25.0,DAL,16.0,0.0,4.0,3.0,33.0,11.0,0.0,1.0,75.0,17.0,0.2,2.1,75.0,8.3,1.0,
Taylor Thompson,24.0,TEN,16.0,3.0,7.0,3.0,13.0,4.3,1.0,1.0,28.6,9.0,0.2,0.8,42.9,1.9,0.0,
Nick Williams,23.0,WAS,5.0,0.0,11.0,3.0,15.0,5.0,0.0,2.0,18.2,6.0,0.6,3.0,27.3,1.4,1.0,
Billy Bajema,31.0,BAL,6.0,1.0,2.0,2.0,18.0,9.0,0.0,1.0,50.0,18.0,0.3,3.0,100.0,9.0,0.0,
Kenjon Barner,24.0,CAR,8.0,0.0,3.0,2.0,7.0,3.5,0.0,0.0,0.0,5.0,0.3,0.9,66.7,2.3,1.0,
LeGarrette Blount,27.0,NWE,16.0,7.0,5.0,2.0,38.0,19.0,0.0,1.0,40.0,32.0,0.1,2.4,40.0,7.6,3.0,
Travaris Cadet,24.0,NOR,13.0,0.0,2.0,2.0,5.0,2.5,1.0,1.0,50.0,3.0,0.2,0.4,100.0,2.5,0.0,
Garrett Celek,25.0,SFO,12.0,1.0,4.0,2.0,38.0,19.0,0.0,1.0,25.0,30.0,0.2,3.2,50.0,9.5,1.0,
Josh Cribbs,30.0,NYJ,6.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0,0.0,5.0,0.3,1.0,100.0,3.0,0.0,
Skye Dawson,23.0,TAM,7.0,0.0,7.0,2.0,12.0,6.0,0.0,0.0,14.3,9.0,0.3,1.7,28.6,1.7,1.0,
Dorin Dickerson,25.0,DET,5.0,0.0,5.0,2.0,34.0,17.0,0.0,1.0,40.0,26.0,0.4,6.8,40.0,6.8,0.0,
Marcus Easley,26.0,BUF,16.0,0.0,5.0,2.0,13.0,6.5,0.0,0.0,0.0,9.0,0.1,0.8,40.0,2.6,0.0,
Bradie Ewing,24.0,ATL,2.0,2.0,2.0,2.0,29.0,14.5,0.0,2.0,100.0,15.0,1.0,14.5,100.0,14.5,0.0,
Mike Goodson,26.0,NYJ,2.0,0.0,3.0,2.0,19.0,9.5,0.0,2.0,66.7,10.0,1.0,9.5,66.7,6.3,0.0,
MarQueis Gray,24.0,CLE,12.0,2.0,9.0,2.0,8.0,4.0,0.0,0.0,0.0,5.0,0.2,0.7,22.2,0.9,0.0,
Alex Green,25.0,NYJ,13.0,0.0,2.0,2.0,8.0,4.0,0.0,0.0,50.0,7.0,0.2,0.6,100.0,4.0,0.0,
Chad Hall,27.0,KAN,9.0,0.0,7.0,2.0,20.0,10.0,0.0,2.0,28.6,11.0,0.2,2.2,28.6,2.9,0.0,
Michael Hill,24.0,TAM,6.0,0.0,2.0,2.0,23.0,11.5,0.0,1.0,50.0,12.0,0.3,3.8,100.0,11.5,0.0,
Kendall Hunter,25.0,SFO,16.0,0.0,4.0,2.0,13.0,6.5,0.0,0.0,25.0,9.0,0.1,0.8,50.0,3.3,1.0,
Chris Ivory,25.0,NYJ,15.0,6.0,7.0,2.0,10.0,5.0,0.0,1.0,14.3,12.0,0.1,0.7,28.6,1.4,2.0,
Brandon Jacobs,31.0,NYG,7.0,1.0,7.0,2.0,13.0,6.5,0.0,0.0,28.6,8.0,0.3,1.9,28.6,1.9,1.0,
LaMichael James,24.0,SFO,10.0,0.0,3.0,2.0,16.0,8.0,0.0,1.0,66.7,12.0,0.2,1.6,66.7,5.3,2.0,
Damaris Johnson,24.0,PHI,13.0,0.0,3.0,2.0,14.0,7.0,0.0,0.0,0.0,8.0,0.2,1.1,66.7,4.7,1.0,
Dominique Jones,26.0,IND,6.0,2.0,3.0,2.0,34.0,17.0,0.0,2.0,66.7,21.0,0.3,5.7,66.7,11.3,0.0,
Taiwan Jones,25.0,OAK,16.0,0.0,3.0,2.0,55.0,27.5,0.0,1.0,33.3,52.0,0.1,3.4,66.7,18.3,2.0,
Le'Ron McClain,29.0,SDG,16.0,2.0,4.0,2.0,-7.0,-3.5,0.0,0.0,0.0,7.0,0.1,-0.4,50.0,-1.8,0.0,
Derek Moye,25.0,PIT,7.0,0.0,6.0,2.0,20.0,10.0,1.0,2.0,33.3,19.0,0.3,2.9,33.3,3.3,0.0,
