Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Luis Castillo,22,SDG,LDE,16,15,0,0,0,0,3.0,1,0,0,0,0,3.5,49.0,37.0,12.0,7.0,0,
Kendrick Clancy,27,NYG,LDT,16,15,0,0,0,0,0.0,2,0,1,0,0,2.0,39.0,32.0,7.0,10.0,0,
Danny Clark,28,OAK,MLB,16,15,0,0,0,0,7.0,0,0,0,0,0,1.0,113.0,82.0,31.0,6.0,0,
Keith Davis,27,DAL,FS,16,15,0,0,0,0,3.0,0,0,1,5,0,0.0,66.0,47.0,19.0,1.0,0,
Marques Douglas,28,SFO,RDE,16,15,0,0,0,0,2.0,1,0,2,0,0,1.0,58.0,44.0,14.0,2.0,0,
Bryce Fisher,28,SEA,LDE,16,15,0,0,0,0,8.0,2,0,0,0,0,9.0,47.0,34.0,13.0,7.0,0,
Gus Frerotte,34,MIA,QB,16,15,0,0,0,0,0.0,0,13,4,-36,0,0.0,,,,,0,
Justin Griffith,25,ATL,FB,16,15,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Casey Hampton,28,PIT,NT,16,15,0,0,0,0,0.0,0,0,0,0,0,0.0,44.0,27.0,17.0,5.0,0,PB
Anthony Hargrove,22,STL,RDE,16,15,0,0,0,0,0.0,0,0,2,0,0,6.5,,,,,0,
John Henderson,26,JAX,RDT,16,15,0,0,0,0,7.0,1,0,0,0,0,3.0,70.0,53.0,17.0,8.0,0,
Brandon Lloyd,24,SFO,WR,16,15,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
David Macklin,27,ARI,RCB,16,15,2,79,1,60,17.0,0,0,0,0,0,0.0,61.0,53.0,8.0,1.0,0,
Marlon McCree,28,CAR,SS,16,15,3,73,0,46,10.0,0,0,1,4,0,0.0,88.0,74.0,14.0,2.0,0,
Willis McGahee,24,BUF,RB,16,15,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Heath Miller,23,PIT,TE,16,15,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,AP ORoY-2
Kirk Morrison,23,OAK,LLB,16,15,0,0,0,0,2.0,0,0,2,0,0,0.0,116.0,91.0,25.0,5.0,0,
Randy Moss,28,OAK,WR,16,15,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Michael Myers,29,DEN,LDT,16,15,0,0,0,0,2.0,0,0,1,0,0,1.0,31.0,25.0,6.0,5.0,0,
Lorenzo Neal,35,SDG,FB,16,15,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0,"PB,AP-2"
Tommy Polley,27,BAL,MLB/RLB,16,15,0,0,0,0,3.0,0,0,1,2,0,4.0,97.0,73.0,24.0,5.0,0,
Jeff Posey,30,BUF,LLB,16,15,0,0,0,0,3.0,1,0,1,46,0,3.0,61.0,39.0,22.0,3.0,0,
Antwaan Randle El,26,PIT,WR,16,15,0,0,0,0,0.0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
James Reed,28,NYJ,LDT,16,15,0,0,0,0,0.0,0,0,2,33,1,2.0,65.0,44.0,21.0,7.0,0,
Darrion Scott,24,MIN,LDE/RDE,16,15,0,0,0,0,3.0,0,0,1,1,0,4.0,58.0,39.0,19.0,4.0,0,
Brandon Short,28,CAR,LLB,16,15,0,0,0,0,1.0,0,0,0,0,0,0.5,61.0,43.0,18.0,3.0,0,
Terrelle Smith,27,CLE,FB,16,15,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Ike Taylor,25,PIT,LCB,16,15,1,0,0,0,20.0,0,0,2,8,0,0.0,91.0,75.0,16.0,0.0,0,
Chaun Thompson,25,CLE,ROLB,16,15,0,0,0,0,3.0,2,0,1,0,0,5.0,84.0,63.0,21.0,10.0,0,
Odell Thurman,22,CIN,MLB,16,15,5,59,1,30,9.0,5,0,1,23,0,1.5,105.0,68.0,37.0,5.0,0,AP DRoY-3
Deshea Townsend,30,PIT,RCB,16,15,2,26,0,26,12.0,1,0,1,2,0,3.0,55.0,41.0,14.0,4.0,0,
Nathan Vasher,24,CHI,RCB,16,15,8,145,1,46,16.0,2,0,0,0,0,0.0,47.0,40.0,7.0,0.0,0,"PB,AP-2,AP DPoY-6"
Willie Whitehead,32,NOR,RDT,16,15,0,0,0,0,0.0,0,0,1,0,0,0.5,35.0,24.0,11.0,5.0,0,
Renaldo Wynn,31,WAS,LDE,16,15,0,0,0,0,1.0,0,0,1,0,0,0.5,31.0,25.0,6.0,3.0,0,
Bennie Anderson,28,BUF,LG,16,14,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Kendrell Bell,27,KAN,RLB,16,14,0,0,0,0,0.0,0,0,0,0,0,1.5,41.0,32.0,9.0,3.0,0,
Kyle Brady,33,JAX,TE,16,14,0,0,0,0,0.0,0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Vernon Carey,24,MIA,RT,16,14,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Andre Carter,26,SFO,ROLB,16,14,0,0,0,0,2.0,0,0,0,0,0,4.5,44.0,35.0,9.0,9.0,0,
Lional Dalton,30,KAN,RDT,16,14,0,0,0,0,0.0,0,0,0,0,0,1.0,18.0,12.0,6.0,3.0,0,
Travis Daniels,23,MIA,LCB,16,14,1,4,0,4,14.0,0,0,1,0,0,0.0,62.0,47.0,15.0,3.0,0,
James Davis,26,DET,RLB,16,14,0,0,0,0,0.0,0,0,1,0,0,0.0,59.0,35.0,24.0,3.0,0,
Jason Fisk,33,CLE,NT,16,14,0,0,0,0,0.0,0,0,0,0,0,0.0,39.0,23.0,16.0,0.0,0,
Charles Grant,27,NOR,RDE,16,14,0,0,0,0,2.0,1,0,1,23,0,2.5,62.0,44.0,18.0,5.0,0,
Eric Hicks,29,KAN,LDE,16,14,0,0,0,0,2.0,2,0,0,0,0,4.0,44.0,36.0,8.0,6.0,0,
Keyshawn Johnson,33,DAL,WR,16,14,0,0,0,0,1.0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Kyle Johnson,27,DEN,FB,16,14,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0,
Rudi Johnson,26,CIN,RB,16,14,0,0,0,0,0.0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
Brad Kassell,25,TEN,MLB,16,14,1,21,1,21,4.0,1,0,3,0,0,0.0,78.0,54.0,24.0,3.0,0,
Ross Kolodziej,27,ARI,LDT,16,14,0,0,0,0,2.0,2,0,2,0,0,3.0,29.0,21.0,8.0,2.0,0,
Ryan Nece,26,TAM,LLB,16,14,0,0,0,0,0.0,0,0,0,0,0,2.0,74.0,46.0,28.0,6.0,0,
Seth Payne,30,HOU,NT,16,14,0,0,0,0,3.0,1,0,0,0,0,4.0,59.0,45.0,14.0,6.0,0,
Jerry Porter,27,OAK,WR,16,14,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Jerald Sowell,31,NYJ,FB,16,14,0,0,0,0,0.0,0,1,3,0,0,0.0,5.0,3.0,2.0,0.0,0,
D.J. Williams,23,DEN,LLB,16,14,0,0,0,0,3.0,2,0,0,0,0,0.0,57.0,41.0,16.0,2.0,0,
C.C. Brown,22,HOU,SS/FS,16,13,1,5,0,5,2.0,1,0,0,0,0,0.0,80.0,54.0,26.0,3.0,0,
Josh Bullocks,22,NOR,FS,16,13,1,51,0,51,6.0,0,0,0,0,0,0.0,67.0,53.0,14.0,1.0,0,
Channing Crowder,22,MIA,RLB,16,13,0,0,0,0,4.0,1,0,2,0,0,0.0,85.0,53.0,32.0,2.0,0,
Curtis DeLoatch,24,NYG,RCB,16,13,1,20,0,20,13.0,1,0,0,0,0,0.0,58.0,48.0,10.0,1.0,0,
Greg Ellis,30,DAL,RDE,16,13,0,0,0,0,6.0,2,0,2,37,0,8.0,35.0,25.0,10.0,5.0,0,
Jim Finn,29,NYG,FB,16,13,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
Dwight Freeney,25,IND,RDE,16,13,0,0,0,0,3.0,6,0,0,0,0,11.0,42.0,36.0,6.0,12.0,0,"PB,AP-1,AP DPoY-2"
La'Roi Glover,31,DAL,NT,16,13,0,0,0,0,0.0,1,0,0,0,0,3.0,28.0,23.0,5.0,4.0,0,PB
Renaldo Hill,27,OAK,DB,16,13,1,0,0,0,5.0,0,0,0,0,0,0.0,89.0,75.0,14.0,4.0,0,
Stuart Schweigert,24,OAK,FS,16,13,2,35,0,33,9.0,2,0,3,3,0,0.0,89.0,72.0,17.0,0.0,0,
Bryan Scott,24,ATL,FS,16,13,1,15,0,15,7.0,0,0,1,0,0,1.0,67.0,54.0,13.0,2.0,0,
Donte' Stallworth,25,NOR,WR,16,13,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Travis Taylor,27,MIN,WR,16,13,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Tim Anderson,25,BUF,RDT,16,12,0,0,0,0,4.0,0,0,0,0,0,1.0,42.0,26.0,16.0,5.0,0,
John Browning,32,KAN,LDT,16,12,0,0,0,0,4.0,1,0,0,0,0,2.0,35.0,31.0,4.0,4.0,0,
Derrick Burgess,27,OAK,RDE,16,12,0,0,0,0,0.0,3,0,2,0,0,16.0,58.0,52.0,6.0,13.0,0,"PB,AP-2"
Deke Cooper,28,JAX,SS,16,12,1,0,0,0,5.0,0,0,1,0,0,0.0,58.0,48.0,10.0,0.0,0,
Bryan Fletcher,26,IND,TE,16,12,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,1.0,2.0,0.0,0,
Nick Greisen,26,NYG,RLB,16,12,0,0,0,0,4.0,3,0,3,28,0,1.0,88.0,67.0,21.0,9.0,0,
Orlando Huff,27,ARI,RLB,16,12,1,3,0,3,3.0,1,0,0,0,0,1.0,70.0,50.0,20.0,11.0,0,
Cullen Jenkins,24,GNB,RDT,16,12,0,0,0,0,5.0,0,0,1,-2,0,3.0,37.0,23.0,14.0,5.0,0,
Jarret Johnson,24,BAL,LDE,16,12,0,0,0,0,3.0,1,0,0,0,0,1.5,38.0,26.0,12.0,6.0,0,
Joe Jurevicius,31,SEA,WR,16,12,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Tommy Kelly,25,OAK,RDE,16,12,0,0,0,0,1.0,3,0,0,0,0,4.5,47.0,37.0,10.0,7.0,0,
Paris Lenon,28,GNB,LLB/RLB,16,12,0,0,0,0,6.0,1,0,0,0,0,1.5,65.0,37.0,28.0,2.0,0,
Shantee Orr,24,HOU,LOLB,16,12,0,0,0,0,2.0,4,0,0,0,0,7.0,50.0,38.0,12.0,6.0,0,
Mike Rosenthal,28,MIN,RT,16,12,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
Hollis Thomas,31,PHI,LDT,16,12,0,0,0,0,3.0,0,0,0,0,0,0.0,35.0,27.0,8.0,1.0,0,
Akin Ayodele,26,JAX,LLB,16,11,0,0,0,0,1.0,4,0,1,0,0,2.5,72.0,56.0,16.0,4.0,0,
Michael Boley,23,ATL,LLB,16,11,0,0,0,0,5.0,1,0,0,0,0,0.0,64.0,43.0,21.0,3.0,0,
Reggie Brown,24,PHI,WR,16,11,0,0,0,0,0.0,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0,AP ORoY-2
Rosevelt Colvin,28,NWE,ROLB,16,11,0,0,0,0,2.0,2,0,1,0,0,7.0,61.0,41.0,20.0,12.0,0,
Mike Furrey,28,STL,FS,16,11,4,143,1,67,8.0,0,0,3,0,0,0.0,58.0,48.0,10.0,1.0,0,
Jeremi Johnson,25,CIN,FB,16,11,0,0,0,0,0.0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Marquand Manuel,26,SEA,FS,16,11,0,0,0,0,2.0,1,0,1,0,0,0.0,72.0,59.0,13.0,2.0,0,
R.W. McQuarters,29,DET,RCB/LCB,16,11,2,25,0,19,10.0,0,2,1,0,0,0.0,60.0,49.0,11.0,0.0,0,
Josh Parry,27,PHI,FB,16,11,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
DaShon Polk,28,HOU,LILB,16,11,0,0,0,0,1.0,1,0,0,0,0,3.5,94.0,64.0,30.0,3.0,0,
Daimon Shelton,33,BUF,FB,16,11,0,0,0,0,0.0,0,1,0,0,0,0.0,3.0,0.0,3.0,0.0,0,
Jerramy Stevens,26,SEA,TE,16,11,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
Fred Thomas,32,NOR,RCB,16,11,2,4,0,4,11.0,0,0,2,0,0,3.0,80.0,61.0,19.0,6.0,0,
Fabian Washington,22,OAK,RCB,16,11,0,0,0,0,5.0,0,0,1,0,0,0.0,43.0,40.0,3.0,0.0,0,
Jarrod Cooper,27,OAK,SS,16,10,0,0,0,0,2.0,2,0,2,0,1,0.5,56.0,42.0,14.0,3.0,0,
Zack Crockett,33,OAK,FB,16,10,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Landon Johnson,24,CIN,LLB,16,10,0,0,0,0,2.0,1,0,0,0,0,0.0,87.0,61.0,26.0,7.0,0,
Brandon Moore,26,SFO,LILB,16,10,1,12,0,12,4.0,0,1,1,9,0,5.0,72.0,51.0,21.0,4.0,0,
Jason Peters,23,BUF,RT,16,10,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,2.0,2.0,0.0,0,
Bart Scott,25,BAL,RLB,16,10,0,0,0,0,1.0,2,0,2,11,0,4.0,94.0,64.0,30.0,8.0,0,
Marcus Spears,22,DAL,LDE,16,10,0,0,0,0,1.0,0,0,1,59,0,1.5,31.0,19.0,12.0,1.0,0,
Travares Tillman,28,MIA,SS,16,10,3,38,0,22,5.0,0,0,1,0,0,0.0,59.0,37.0,22.0,0.0,0,
Torrin Tucker,26,DAL,LT,16,10,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Scott Wells,24,GNB,LG,16,10,0,0,0,0,0.0,0,1,2,-20,0,0.0,0.0,0.0,0.0,0.0,0,
Adam Bergen,22,ARI,TE,16,9,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Kevin Curtis,27,STL,WR,16,9,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Eric Edwards,25,ARI,TE,16,9,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
Larry Johnson,26,KAN,RB,16,9,0,0,0,0,0.0,0,5,3,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
Ronald McKinnon,32,NOR,MLB,16,9,0,0,0,0,1.0,0,0,0,0,0,0.0,78.0,61.0,17.0,4.0,0,
Antwan Odom,24,TEN,RDE,16,9,0,0,0,0,1.0,1,0,2,52,2,2.0,31.0,18.0,13.0,4.0,0,
Will Smith,24,NOR,LDE,16,9,0,0,0,0,6.0,2,0,1,-2,0,8.5,60.0,48.0,12.0,10.0,0,
Donnie Spragan,29,MIA,LLB,16,9,1,0,0,0,3.0,1,0,0,0,0,1.0,53.0,38.0,15.0,2.0,0,
Brad Badger,30,OAK,LG,16,8,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
Scott Fujita,26,DAL,LOLB,16,8,0,0,0,0,1.0,2,0,0,0,0,2.0,54.0,44.0,10.0,3.0,0,
William Henderson,34,GNB,FB,16,8,0,0,0,0,0.0,0,1,0,0,0,0.0,11.0,7.0,4.0,0.0,0,
Ellis Hobbs,22,NWE,RCB,16,8,3,8,0,8,12.0,0,1,2,7,0,0.0,44.0,35.0,9.0,2.0,0,
Justin Miller,21,NYJ,RCB,16,8,0,0,0,0,2.0,0,3,0,0,0,0.0,42.0,33.0,9.0,0.0,0,
Mewelde Moore,23,MIN,RB,16,8,0,0,0,0,0.0,0,2,2,0,0,0.0,1.0,0.0,1.0,0.0,0,
Adam Snyder,23,SFO,LT,16,8,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
Roddy White,24,ATL,WR,16,8,0,0,0,0,0.0,0,1,0,0,0,0.0,3.0,2.0,1.0,0.0,0,
Ernest Wilford,26,JAX,WR,16,8,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Justin Bannan,26,BUF,LDT,16,7,0,0,0,0,0.0,0,0,0,0,0,1.5,40.0,23.0,17.0,4.0,0,
Rocky Bernard,26,SEA,RDT,16,7,0,0,0,0,3.0,0,0,2,5,0,8.5,52.0,43.0,9.0,16.0,0,
Brandon Chillar,23,STL,RLB,16,7,0,0,0,0,1.0,1,0,1,8,0,0.0,58.0,49.0,9.0,2.0,0,
Lorenzo Diamond,26,MIA,TE,16,7,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
Brian Finneran,29,ATL,WR,16,7,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
Domonique Foxworth,22,DEN,RCB,16,7,2,23,0,23,16.0,1,0,2,9,0,0.0,71.0,65.0,6.0,0.0,0,
Aaron Glenn,33,DAL,RCB,16,7,4,10,0,10,13.0,0,0,0,0,0,0.0,32.0,29.0,3.0,0.0,0,
Madison Hedgecock,24,STL,FB,16,7,0,0,0,0,0.0,0,0,0,0,0,0.0,14.0,10.0,4.0,0.0,0,
Doug Jolley,26,NYJ,TE,16,7,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Damione Lewis,27,STL,RDT,16,7,0,0,0,0,1.0,0,0,1,0,0,1.0,36.0,29.0,7.0,9.0,0,
Dennis Northcutt,28,CLE,WR,16,7,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Mike Patterson,22,PHI,RDT,16,7,0,0,0,0,0.0,1,0,0,0,0,3.5,45.0,38.0,7.0,11.0,0,
Antowain Smith,33,NOR,RB,16,7,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Reggie Williams,22,JAX,WR,16,7,0,0,0,0,0.0,0,2,0,0,0,0.0,,,,,0,
Jonathan Babineaux,24,ATL,RDE,16,6,0,0,0,0,1.0,0,0,1,0,0,0.5,31.0,24.0,7.0,5.0,0,
Michael Bennett,27,MIN,RB,16,6,0,0,0,0,0.0,0,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
Corey Bradford,30,HOU,WR,16,6,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Chris Hetherington,33,SFO,FB,16,6,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,4.0,2.0,0.0,0,
Roderick Hood,24,PHI,RCB,16,6,3,17,0,17,15.0,0,1,0,0,0,0.0,42.0,40.0,2.0,1.0,0,
Josh Reed,25,BUF,WR,16,6,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Fred Robbins,28,NYG,RDT,16,6,0,0,0,0,1.0,0,0,1,0,0,1.5,26.0,17.0,9.0,5.0,0,
Raonall Smith,27,MIN,LLB,16,6,0,0,0,0,1.0,0,0,2,0,0,1.0,35.0,28.0,7.0,3.0,0,
Jacques Cesaire,25,SDG,RDE,16,5,0,0,0,0,0.0,0,0,0,0,0,1.0,25.0,17.0,8.0,2.0,0,
Terry Cousin,30,JAX,CB,16,5,4,18,0,14,8.0,0,0,1,0,0,0.5,47.0,40.0,7.0,1.0,0,
Chauncey Davis,22,ATL,RDE,16,5,0,0,0,0,0.0,0,0,2,24,1,1.0,28.0,21.0,7.0,4.0,0,
Trev Faulk,24,STL,MLB,16,5,0,0,0,0,0.0,1,0,0,0,0,0.0,42.0,35.0,7.0,2.0,0,
Jason Ferguson,31,DAL,NT,16,5,0,0,0,0,1.0,0,0,1,0,0,1.0,37.0,27.0,10.0,3.0,0,
Ryan Hannam,25,SEA,TE,16,5,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Clinton Hart,28,SDG,SS,16,5,1,110,2,70,6.0,1,0,2,-1,0,0.0,46.0,34.0,12.0,0.0,0,
Ronnie Heard,29,ATL,FS,16,5,0,0,0,0,1.0,0,0,1,0,0,0.0,29.0,26.0,3.0,1.0,0,
Corey Ivy,28,STL,CB,16,5,1,19,0,19,5.0,1,0,0,0,0,2.0,70.0,63.0,7.0,9.0,0,
Kenard Lang,30,CLE,LOLB,16,5,0,0,0,0,2.0,0,0,0,0,0,2.0,41.0,28.0,13.0,6.0,0,
Vonta Leach,24,GNB,FB,16,5,0,0,0,0,0.0,0,0,2,0,0,0.0,4.0,1.0,3.0,0.0,0,
Moran Norris,27,HOU,FB,16,5,0,0,0,0,0.0,0,0,0,0,0,0.0,8.0,6.0,2.0,0.0,0,
Wali Rainer,28,DET,LLB,16,5,0,0,0,0,0.0,0,0,0,0,0,0.0,49.0,39.0,10.0,1.0,0,
Marcellus Rivers,27,HOU,TE,16,5,0,0,0,0,0.0,0,0,1,0,0,0.0,6.0,6.0,0.0,0.0,0,
Jordan Babineaux,23,SEA,DB,16,4,3,56,0,25,8.0,1,0,1,0,0,0.0,75.0,62.0,13.0,3.0,0,
Colin Cole,25,GNB,DT,16,4,0,0,0,0,1.0,0,0,0,0,0,2.0,39.0,24.0,15.0,4.0,0,
Jason Craft,29,NOR,DB,16,4,3,63,0,39,5.0,2,0,0,0,0,1.0,38.0,34.0,4.0,2.0,0,
Sammy Davis,25,SDG,DB,16,4,0,0,0,0,3.0,1,0,0,0,0,1.0,28.0,25.0,3.0,2.0,0,
Darnell Dinkins,28,BAL,TE,16,4,0,0,0,0,0.0,0,0,1,0,0,0.0,10.0,9.0,1.0,0.0,0,
Ebenezer Ekuban,29,DEN,DE,16,4,0,0,0,0,3.0,0,0,1,0,0,4.0,27.0,19.0,8.0,4.0,0,
Tank Johnson,24,CHI,DT,16,4,0,0,0,0,3.0,0,0,0,0,0,5.0,34.0,27.0,7.0,9.0,0,
Lance Legree,28,NYJ,DT,16,4,0,0,0,0,0.0,0,0,0,0,0,3.0,29.0,21.0,8.0,5.0,0,
Keith Lewis,24,SFO,DB,16,4,1,2,0,2,3.0,0,0,0,0,0,0.0,31.0,21.0,10.0,0.0,0,
Justin Peelle,26,SDG,TE,16,4,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Michael Pittman,30,TAM,RB,16,4,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Jeb Putzier,26,DEN,TE,16,4,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Deion Sanders,38,BAL,DB,16,4,2,57,0,33,5.0,0,1,0,0,0,0.0,30.0,27.0,3.0,1.0,0,
Bryan Thomas,26,NYJ,DE,16,4,0,0,0,0,2.0,0,0,0,0,0,3.5,37.0,24.0,13.0,5.0,0,
Bracy Walker,35,DET,DB,16,4,1,22,0,22,2.0,0,0,0,0,0,0.0,37.0,26.0,11.0,1.0,0,
Randal Williams,27,OAK,WR,16,4,0,0,0,0,0.0,0,0,0,0,0,0.0,11.0,8.0,3.0,0.0,0,
Todd Bouman,33,NOR,QB,16,3,0,0,0,0,0.0,0,4,0,0,0,0.0,,,,,0,
Tyler Brayton,26,OAK,DE,16,3,0,0,0,0,0.0,1,0,0,0,0,1.0,22.0,20.0,2.0,0.0,0,
Chris Draft,29,CAR,LB,16,3,0,0,0,0,1.0,1,0,2,0,0,2.0,53.0,44.0,9.0,7.0,0,
Demetric Evans,26,WAS,DE,16,3,0,0,0,0,2.0,0,0,1,0,0,3.0,22.0,17.0,5.0,3.0,0,
Michael Green,29,CHI,DB,16,3,1,14,0,14,4.0,2,0,1,0,0,0.0,41.0,33.0,8.0,0.0,0,
James Harrison,27,PIT,LB,16,3,1,25,0,25,3.0,0,0,1,0,0,3.0,57.0,43.0,14.0,9.0,0,
Ricky Manning,25,CAR,DB,16,3,2,20,0,10,6.0,1,0,3,11,1,0.0,42.0,34.0,8.0,3.0,0,
Keiwan Ratliff,24,CIN,DB,16,3,3,52,0,35,3.0,1,0,1,0,0,0.0,46.0,40.0,6.0,4.0,0,
Gabe Reid,28,CHI,TE,16,3,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,6.0,0.0,0.0,0,
Benny Sapp,24,KAN,DB,16,3,0,0,0,0,5.0,2,0,0,0,0,2.5,41.0,35.0,6.0,3.0,0,
Chad Williams,26,BAL,DB,16,3,1,14,0,14,4.0,2,0,0,0,0,1.5,48.0,43.0,5.0,4.0,0,
Jeff Zgonina,35,MIA,DT,16,3,0,0,0,0,2.0,0,0,1,0,0,2.0,43.0,23.0,20.0,3.0,0,
Charlie Adams,26,DEN,WR,16,2,0,0,0,0,0.0,0,4,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Sam Aiken,25,BUF,WR,16,2,0,0,0,0,0.0,0,0,1,0,0,0.0,18.0,13.0,5.0,0.0,0,
Obafemi Ayanbadejo,30,ARI,RB,16,2,0,0,0,0,0.0,0,1,0,0,0,0.0,10.0,8.0,2.0,0.0,0,
Chris Bober,29,KAN,C,16,2,0,0,0,0,,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Juran Bolden,31,TAM,DB,16,2,2,46,0,28,7.0,0,0,0,0,0,0.0,42.0,35.0,7.0,0.0,0,
Shawn Bryson,29,DET,RB,16,2,0,0,0,0,0.0,0,1,1,0,0,0.0,5.0,4.0,1.0,0.0,0,
Reche Caldwell,26,SDG,WR,16,2,0,0,0,0,0.0,0,2,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Chris Canty,23,DAL,DE,16,2,0,0,0,0,0.0,1,0,0,0,0,2.5,36.0,24.0,12.0,6.0,0,
Shaun Cody,22,DET,DT,16,2,0,0,0,0,0.0,1,0,1,0,0,1.5,28.0,17.0,11.0,4.0,0,
Stephen Cooper,26,SDG,LB,16,2,0,0,0,0,0.0,0,0,0,0,0,1.5,39.0,29.0,10.0,1.0,0,
Kalimba Edwards,26,DET,DE,16,2,0,0,0,0,2.0,2,0,3,10,0,7.0,32.0,25.0,7.0,7.0,0,
Jabari Greer,23,BUF,DB,16,2,0,0,0,0,3.0,0,0,0,0,0,1.0,35.0,26.0,9.0,2.0,0,
Dante Hall,27,KAN,WR,16,2,0,0,0,0,0.0,0,5,2,0,0,0.0,1.0,1.0,0.0,0.0,0,
Tyoka Jackson,34,STL,DT,16,2,0,0,0,0,0.0,0,0,0,0,0,2.5,22.0,18.0,4.0,4.0,0,
Clint Kriewaldt,29,PIT,LB,16,2,0,0,0,0,1.0,0,0,0,0,0,0.0,37.0,30.0,7.0,1.0,0,
Shaun McDonald,24,STL,WR,16,2,0,0,0,0,0.0,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Rob Meier,28,JAX,DT,16,2,0,0,0,0,0.0,1,0,1,0,0,6.0,35.0,29.0,6.0,9.0,0,
Maurice Morris,26,SEA,RB,16,2,0,0,0,0,0.0,0,0,1,-1,0,0.0,8.0,6.0,2.0,0.0,0,
Sammy Morris,28,MIA,RB,16,2,0,0,0,0,0.0,0,0,0,0,0,0.0,18.0,12.0,6.0,0.0,0,
