Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Robert McCune,26,WAS,LB,5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
Willie Middlebrooks,26,SFO,DB,5,0,0,0,0,0,1.0,0,0,0,0,0,0.0,8.0,7.0,1.0,0.0,0,
Eddie Moore,25,MIA,LB,5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
Nick Novak,24,WAS,K,5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Jim Sorgi,25,IND,QB,5,0,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
Jamaar Taylor,24,NYG,WR,5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Nate Wayne,30,DET,LB,5,0,1,20,0,20,1.0,1,0,0,0,0,0.0,14.0,11.0,3.0,2.0,0,
Jerron Wishom,23,GNB,DB,5,0,0,0,0,0,1.0,0,0,0,0,0,0.0,6.0,6.0,0.0,0.0,0,
Ron Edwards,26,BUF,DT,4,4,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,4.0,2.0,0.0,0,
Tim Rattay,28,SFO,QB,4,4,0,0,0,0,0.0,0,3,1,-2,0,0.0,0.0,0.0,0.0,0.0,0,
Fred Weary,28,HOU,G,4,4,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
Eric Barton,28,NYJ,LB,4,3,0,0,0,0,1.0,0,0,0,0,0,0.0,21.0,13.0,8.0,0.0,0,
Ryan Fitzpatrick,23,STL,QB,4,3,0,0,0,0,0.0,0,3,1,-3,0,0.0,0.0,0.0,0.0,0.0,0,
Josh Williams,29,IND,DT,4,3,0,0,0,0,0.0,1,0,0,0,0,0.0,6.0,3.0,3.0,0.0,0,
Madieu Williams,24,CIN,DB,4,3,1,2,0,2,3.0,0,0,0,0,0,0.0,23.0,17.0,6.0,1.0,0,
Charlie Batch,31,PIT,QB,4,2,0,0,0,0,0.0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
Joe Jefferson,25,IND,DB,4,2,0,0,0,0,0.0,0,0,0,0,0,0.0,10.0,6.0,4.0,0.0,0,
Tommy Maddox,34,PIT,QB,4,2,0,0,0,0,0.0,0,2,0,-9,0,0.0,0.0,0.0,0.0,0.0,0,
Antuan Edwards,28,ATL,DB,4,1,0,0,0,0,2.0,0,0,0,0,0,0.0,11.0,11.0,0.0,0.0,0,
Clarence Moore,23,BAL,WR,4,1,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Patrick Ramsey,26,WAS,QB,4,1,0,0,0,0,0.0,0,2,0,0,0,0.0,,,,,0,
Jay Ratliff,24,DAL,NT,4,1,0,0,0,0,0.0,0,0,0,0,0,1.0,4.0,3.0,1.0,1.0,0,
Sage Rosenfels,27,MIA,QB,4,1,0,0,0,0,0.0,0,1,1,-11,0,0.0,0.0,0.0,0.0,0.0,0,
Reggie Tongue,32,OAK,DB,4,1,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,6.0,0.0,0.0,0,
Willie Williams,35,PIT,DB,4,1,0,0,0,0,1.0,0,0,0,0,0,0.0,11.0,8.0,3.0,1.0,0,
David Allen,27,STL,RB,4,0,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
Anthony Bryant,24,TAM,DT,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,1.0,2.0,0.0,0,
Patrick Dendy,23,GNB,DB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Ronald Fields,24,SFO,DT,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,4.0,3.0,2.0,0,
Todd France,25,2TM,K,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Dennis Haley,23,BAL,LB,4,0,0,0,0,0,1.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
Michael Harden,24,SEA,DB,4,0,0,0,0,0,0.0,1,0,0,0,0,0.0,9.0,8.0,1.0,0.0,0,
Aki Jones,23,WAS,DL,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0,
Earl Little,32,GNB,DB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0,
Jeremy Loyd,25,STL,LB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
Matt McCoy,23,PHI,LB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,2.0,1.0,0.0,0,
Zeke Moreno,27,PHI,LB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,2.0,3.0,0.0,0,
J'Vonne Parker,23,CLE,DT,4,0,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
Adam Seward,23,CAR,LB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,4.0,1.0,0.0,0,
Donald Strickland,25,2TM,DB,4,0,0,0,0,0,3.0,1,0,0,0,0,0.0,20.0,17.0,3.0,0.0,0,
Russell Stuvaints,25,PIT,DB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Rian Wallace,23,PIT,LB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Jay Bellamy,33,NOR,DB,3,3,0,0,0,0,0.0,0,0,0,0,0,0.0,10.0,8.0,2.0,0.0,0,
Russell Davis,30,ARI,NT,3,3,0,0,0,0,0.0,0,0,0,0,0,0.0,8.0,7.0,1.0,0.0,0,
Ken Dorsey,24,SFO,QB,3,3,0,0,0,0,0.0,0,2,0,0,0,0.0,,,,,0,
Rodney Harrison,33,NWE,DB,3,3,0,0,0,0,1.0,0,0,0,0,0,0.0,15.0,11.0,4.0,0.0,0,
Chad Pennington,29,NYJ,QB,3,3,0,0,0,0,0.0,0,8,4,-22,0,0.0,0.0,0.0,0.0,0.0,0,
Ahmed Plummer,29,SFO,DB,3,3,0,0,0,0,4.0,0,0,0,0,0,0.0,24.0,17.0,7.0,0.0,0,
Mike Rumph,26,SFO,DB,3,3,0,0,0,0,0.0,1,0,0,0,0,0.0,12.0,12.0,0.0,0.0,0,
Takeo Spikes,29,BUF,LB,3,3,0,0,0,0,0.0,1,0,0,0,0,1.0,17.0,11.0,6.0,0.0,0,
Kenechi Udeze,22,MIN,DE,3,2,0,0,0,0,0.0,0,0,0,0,0,1.0,5.0,5.0,0.0,1.0,0,
Jonathan Fanene,23,CIN,DE,3,1,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,2.0,1.0,1.0,0,
Willie Offord,27,MIN,DB,3,1,1,0,0,0,3.0,0,0,0,0,0,0.0,6.0,4.0,2.0,0.0,0,
James Allen,26,NOR,LB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,4.0,1.0,0.0,0,
Dwight Anderson,24,STL,DB,3,0,0,0,0,0,0.0,1,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
Jeremy Cain,25,CHI,LB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,4.0,2.0,0.0,0,
Dwaine Carpenter,29,2TM,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Dyshod Carter,27,ARI,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0,
Antoine Cash,23,ATL,LB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Chris Cash,25,ATL,DB,3,0,0,0,0,0,1.0,0,0,0,0,0,0.0,12.0,11.0,1.0,1.0,0,
Junior Glymph,25,ATL,DE,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,4.0,1.0,1.0,0,
