Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Davante Adams,30,LVR,WR,17,17,0,0,0,0,0,0,1,1,0,0,0.0,2,1,1,0,0,0,"PB,AP-1"
Brandon Aiyuk,24,SFO,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,3,3,0,0,0,0,
Adrian Amos,29,GNB,SS,17,17,1,26,0,26,5,0,0,1,-1,0,1.0,102,73,29,7,2,0,
Alex Anzalone,28,DET,MLB,17,17,1,4,0,4,6,1,0,1,0,0,1.5,125,77,48,7,7,0,
Jerome Baker,26,MIA,RILB,17,17,0,0,0,0,4,1,0,0,0,0,4.0,100,66,34,6,7,0,
Kelvin Beachum,33,ARI,RT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Ja'Whaun Bentley,26,NWE,LILB,17,17,1,7,0,7,2,0,0,1,0,0,3.0,125,62,63,5,6,0,
Joel Bitonio,31,CLE,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,"PB,AP-1"
Austin Blythe,30,SEA,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Nick Bolton,22,KAN,LLB,17,17,2,15,0,15,3,1,0,0,0,0,2.0,180,108,72,9,6,0,
James Bradberry,29,PHI,LCB,17,17,3,54,1,27,17,0,0,0,0,0,0.0,44,39,5,2,0,0,AP-2
Tom Brady,45,TAM,QB,17,17,0,0,0,0,0,0,5,1,7,0,0.0,1,1,0,0,0,0,
Jake Brendel,30,SFO,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Aaron Brewer,25,TEN,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Derrick Brown,24,CAR,LDT,17,17,1,0,0,0,7,0,0,0,0,0,1.0,67,30,37,5,12,0,
Kevin Byard,29,TEN,SS,17,17,4,57,0,28,6,0,0,0,0,0,0.0,108,69,39,0,1,0,
Camryn Bynum,24,MIN,FS,17,17,2,17,0,12,6,0,0,2,55,0,0.0,81,49,32,0,0,0,
Tyson Campbell,22,JAX,RCB,17,17,3,32,0,29,15,1,0,2,12,1,0.0,70,55,15,2,0,0,
Lorenzo Carter,27,ATL,RLB,17,17,1,28,1,28,2,0,0,1,0,0,4.0,58,29,29,6,12,0,
Nick Chubb,27,CLE,RB,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Chuck Clark,27,BAL,SS,17,17,0,0,0,0,4,1,0,1,-5,0,0.0,101,61,40,0,0,0,
Kenny Clark,27,GNB,NT,17,17,0,0,0,0,0,1,0,1,0,0,4.0,53,27,26,5,10,0,
Ezra Cleveland,24,MIN,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
Mason Cole,26,PIT,C,17,17,0,0,0,0,0,0,1,0,-13,0,0.0,0,0,0,0,0,0,
Dalvin Cook,27,MIN,RB,17,17,0,0,0,0,0,0,4,3,14,0,0.0,2,2,0,0,0,0,PB
Amari Cooper,28,CLE,WR,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
Kirk Cousins,34,MIN,QB,17,17,0,0,0,0,0,0,7,0,-5,0,0.0,1,0,1,0,0,0,PB
Fletcher Cox,32,PHI,RDE/LDE,17,17,0,0,0,0,0,1,0,1,0,0,7.0,43,23,20,7,14,0,
Maxx Crosby,25,LVR,RDE,17,17,0,0,0,0,4,3,0,1,-3,0,12.5,89,58,31,22,36,0,"PB,AP DPoY-6"
Charles Cross,22,SEA,LT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Drew Dalman,24,ATL,C,17,17,0,0,0,0,0,0,1,0,-3,0,0.0,1,1,0,0,0,0,
Lavonte David,32,TAM,RILB,17,17,0,0,0,0,5,1,0,1,0,0,3.0,124,80,44,10,3,0,
Demario Davis,33,NOR,MLB,17,17,1,4,0,4,6,0,0,1,0,0,6.5,109,54,55,10,8,0,"PB,AP-2"
Landon Dickerson,24,PHI,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,PB
Quandre Diggs,29,SEA,FS,17,17,4,70,0,27,7,1,0,0,0,0,0.0,71,50,21,1,1,0,PB
Trevon Diggs,24,DAL,RCB,17,17,3,10,0,7,14,0,0,1,17,0,0.0,59,50,9,0,0,0,PB
Kevin Dotson,26,PIT,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
T.J. Edwards,26,PHI,RLB,17,17,0,0,0,0,7,0,0,1,0,0,2.0,159,99,60,10,5,0,
Austin Ekeler,27,LAC,RB,17,17,0,0,0,0,0,0,5,1,0,0,0.0,4,4,0,0,0,0,AP OPoY-9
Ikem Ekwonu,22,CAR,LT,17,17,0,0,0,0,0,0,0,1,-1,0,0.0,1,0,1,0,0,0,
Jordan Elliott,25,CLE,LDT,17,17,0,0,0,0,2,0,0,0,0,0,2.0,36,19,17,5,3,0,
Marcus Epps,26,PHI,SS,17,17,0,0,0,0,6,1,0,0,0,0,0.0,94,70,24,4,0,0,
Rashaan Evans,27,ATL,LLB,17,17,0,0,0,0,4,1,0,2,3,0,2.0,159,86,73,6,3,0,
Matt Feiler,30,LAC,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Leonard Floyd,30,LAR,ROLB,17,17,0,0,0,0,0,0,0,1,0,0,9.0,59,31,28,10,22,0,
Luke Fortner,24,JAX,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Zaire Franklin,26,IND,RLB/MLB,17,17,0,0,0,0,6,2,0,0,0,0,3.0,167,102,65,12,6,0,
John Franklin-Myers,26,NYJ,LDE,17,17,0,0,0,0,1,0,0,0,0,0,5.0,38,16,22,4,20,0,
Kendall Fuller,27,WAS,LCB/DB,17,17,3,66,2,37,13,0,0,0,0,0,0.0,52,36,16,1,0,0,
Sauce Gardner,22,NYJ,RCB,17,17,2,19,0,16,20,0,0,0,0,0,0.0,75,51,24,3,1,0,"PB,AP-1,AP DPoY-8,AP DRoY-1"
Tashaun Gipson,32,SFO,FS,17,17,5,141,0,56,8,0,0,0,0,0,0.5,61,43,18,1,1,0,
Davon Godchaux,28,NWE,NT,17,17,0,0,0,0,0,0,0,0,0,0,1.5,62,25,37,3,3,0,
Jared Goff,28,DET,QB,17,17,0,0,0,0,0,0,7,2,5,0,0.0,2,2,0,0,0,0,"PB,AP CPoY-6"
Richie Grant,25,ATL,SS,17,17,2,22,0,12,7,1,0,1,0,0,0.0,123,70,53,3,1,0,
Yetur Gross-Matos,24,CAR,RDE,17,17,0,0,0,0,0,0,1,4,-2,0,2.5,54,18,36,5,10,0,
Robert Hainsey,24,TAM,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Javon Hargrave,29,PHI,LDT,17,17,0,0,0,0,2,1,0,2,0,0,11.0,60,37,23,10,16,0,
Najee Harris,24,PIT,RB,17,17,0,0,0,0,0,0,3,0,0,0,0.0,2,2,0,0,0,0,
Rob Havenstein,30,LAR,RT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,2,1,1,0,0,0,
Justin Herbert,24,LAC,QB,17,17,0,0,0,0,0,0,8,4,0,0,0.0,1,1,0,0,0,0,AP MVP-9
Cameron Heyward,33,PIT,DT,17,17,0,0,0,0,4,1,0,1,0,0,10.5,74,39,35,14,23,0,PB
Jordan Hicks,30,MIN,LILB,17,17,1,19,0,19,10,1,0,0,0,0,3.0,129,86,43,2,4,0,
Tyler Higbee,29,LAR,TE,17,17,0,0,0,0,0,0,0,1,0,0,0.0,2,2,0,0,0,0,
Alex Highsmith,25,PIT,ROLB,17,17,0,0,0,0,1,5,0,0,0,0,14.5,63,38,25,12,20,0,
Tyreek Hill,28,MIA,WR,17,17,0,0,0,0,0,0,1,1,57,1,0.0,4,4,0,0,0,0,"PB,AP-1,AP MVP-9,AP OPoY-4"
Josh Hines-Allen,25,JAX,LOLB,17,17,0,0,0,0,2,4,0,2,38,1,7.0,57,35,22,11,22,0,
Jevon Holland,22,MIA,FS,17,17,2,64,0,33,7,1,1,0,0,0,1.5,96,77,19,1,1,0,
Tytus Howard,26,HOU,RT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Talanoa Hufanga,23,SFO,SS,17,17,4,61,1,52,9,2,0,0,0,0,2.0,97,66,31,5,3,0,"PB,AP-1"
Marlon Humphrey,26,BAL,RCB,17,17,3,26,0,26,7,1,0,2,0,0,3.0,71,53,18,3,4,0,PB
Robert Hunt,26,MIA,RG,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
Danielle Hunter,28,MIN,LOLB,17,17,0,0,0,0,3,1,0,0,0,0,10.5,65,46,19,12,22,0,"PB,AP CPoY-12"
Aidan Hutchinson,22,DET,LDE,17,17,3,25,0,20,3,0,0,2,0,0,9.5,52,34,18,9,15,0,AP DRoY-2
Ed Ingram,23,MIN,RG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
Kareem Jackson,34,DEN,SS,17,17,0,0,0,0,3,0,0,2,2,0,0.0,94,55,39,2,0,0,
Michael Jackson,25,SEA,LCB,17,17,1,22,0,22,12,0,1,2,8,0,0.0,75,63,12,3,1,0,
Josh Jacobs,24,LVR,RB,17,17,0,0,0,0,0,0,3,1,0,0,0.0,3,2,1,0,0,0,"PB,AP-1,AP OPoY-5"
Grady Jarrett,29,ATL,RDT,17,17,0,0,0,0,3,0,0,0,0,0,6.0,61,30,31,12,17,0,
Justin Jefferson,23,MIN,WR,17,17,0,0,0,0,0,0,0,1,0,0,0.0,2,2,0,0,0,0,"PB,AP-1,AP MVP-5,AP OPoY-1"
Rayshawn Jenkins,28,JAX,SS,17,17,3,64,1,52,12,3,0,0,0,0,1.0,116,73,43,3,2,0,
Diontae Johnson,26,PIT,WR,17,17,0,0,0,0,0,0,1,1,0,0,0.0,2,2,0,0,0,0,
John Johnson,27,CLE,FS,17,17,1,0,0,0,4,2,0,2,0,0,0.5,101,70,31,4,2,0,
Aaron Jones,28,GNB,RB,17,17,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,
Braxton Jones,23,CHI,LT,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Chris Jones,28,KAN,RDT,17,17,0,0,0,0,4,2,0,1,2,0,15.5,44,30,14,17,29,0,"PB,AP-1,AP DPoY-3"
Justin Jones,26,CHI,LDE,17,17,0,0,0,0,4,0,0,1,0,0,3.0,52,28,24,12,7,0,
George Karlaftis III,21,KAN,LDE,17,17,0,0,0,0,7,0,0,2,0,0,6.0,33,18,15,8,11,0,
Jason Kelce,35,PHI,C,17,17,0,0,0,0,0,0,1,1,-8,0,0.0,0,0,0,0,0,0,"PB,AP-1"
Travis Kelce,33,KAN,TE,17,17,0,0,0,0,0,0,1,0,0,0,0.0,2,2,0,0,0,0,"PB,AP-1,AP OPoY-6"
Ryan Kelly,29,IND,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Eric Kendricks,30,MIN,RILB,17,17,0,0,0,0,6,0,0,1,0,1,1.0,137,87,50,8,2,0,
Christian Kirk,26,JAX,WR,17,17,0,0,0,0,0,0,1,2,0,0,0.0,1,1,0,0,0,0,
Christian Kirksey,30,HOU,MLB,17,17,2,18,0,18,5,0,0,1,0,0,3.0,124,82,42,7,7,0,
Cole Kmet,23,CHI,TE,17,17,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0,0,
CeeDee Lamb,23,DAL,WR,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,"PB,AP-2"
DeMarcus Lawrence,30,DAL,LDE,17,17,0,0,0,0,3,3,0,2,19,1,6.0,65,43,22,9,13,0,PB
Trevor Lawrence,23,JAX,QB,17,17,0,0,0,0,0,0,12,0,-16,0,0.0,2,2,0,0,0,0,"PB,AP MVP-7,AP CPoY-12"
Carl Lawson,27,NYJ,LOLB,17,17,0,0,0,0,0,1,0,1,2,0,7.0,33,18,15,9,24,0,
