Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Mark Jones,TAM,25,WR,16,0,51.0,492.0,0,31.0,9.6,5.0,95.0,0,24.0,19.0,587
Alvin Pearman,JAX,23,RB,16,0,49.0,410.0,0,24.0,8.4,8.0,187.0,0,34.0,23.4,986
Chad Morton,NYG,28,RB,16,0,47.0,453.0,1,58.0,9.6,24.0,559.0,0,41.0,23.3,1012
Antonio Chatman,GNB,26,WR,16,3,45.0,381.0,1,85.0,8.5,5.0,91.0,0,33.0,18.2,1055
Antwaan Randle El,PIT,26,WR,16,15,44.0,448.0,2,81.0,10.2,1.0,16.0,0,16.0,16.0,1095
Wes Welker,MIA,24,WR,16,1,43.0,390.0,0,47.0,9.1,61.0,1379.0,0,46.0,22.6,2208
Dante Hall,KAN,27,WR,16,2,42.0,276.0,0,52.0,6.6,65.0,1560.0,1,96.0,24.0,2283
Reggie Swinton,ARI,30,WR,15,0,42.0,334.0,0,32.0,8.0,63.0,1456.0,0,90.0,23.1,1790
Dennis Northcutt,CLE,28,WR,16,7,35.0,368.0,1,62.0,10.5,,,0,,,842
Chris Carr,OAK,22,DB,16,0,34.0,186.0,0,34.0,5.5,73.0,1752.0,0,62.0,24.0,1937
Az-Zahir Hakim,NOR,28,WR,12,2,34.0,260.0,0,42.0,7.6,9.0,171.0,0,29.0,19.0,920
B.J. Sams,BAL,25,RB,14,0,33.0,401.0,0,51.0,12.2,44.0,998.0,0,87.0,22.7,1399
Bobby Wade,2TM,24,WR,14,1,33.0,317.0,1,73.0,9.6,,,0,,,438
Tim Dwight,NWE,30,WR,16,1,32.0,273.0,0,29.0,8.5,10.0,250.0,0,38.0,25.0,866
Adam Jones,TEN,22,RCB,15,13,29.0,272.0,1,52.0,9.4,43.0,1127.0,0,85.0,26.2,1399
Keiwan Ratliff,CIN,24,DB,16,3,28.0,157.0,0,13.0,5.6,,,0,,,209
Steve Smith Sr.*+,CAR,26,WR,16,16,27.0,286.0,0,44.0,10.6,3.0,61.0,0,33.0,20.3,1940
Eddie Drummond,DET,25,WR,12,0,26.0,157.0,0,38.0,6.0,49.0,1077.0,0,48.0,22.0,1231
Jimmy Williams,SEA,26,DB,14,1,24.0,139.0,0,24.0,5.8,,,0,,,145
Jerricho Cotchery,NYJ,23,WR,16,1,23.0,182.0,0,18.0,7.9,4.0,105.0,0,30.0,26.3,542
Patrick Crayton,DAL,26,WR,11,0,23.0,166.0,0,25.0,7.2,,,0,,,507
Dexter Wynn,PHI,24,DB,10,0,22.0,110.0,0,27.0,5.0,16.0,284.0,0,27.0,17.8,394
Mewelde Moore,MIN,23,RB,16,8,21.0,245.0,1,71.0,11.7,4.0,72.0,0,27.0,18.0,1318
Reno Mahe,PHI,25,RB,15,0,21.0,269.0,0,44.0,12.8,1.0,19.0,0,19.0,19.0,443
Troy Walters,IND,29,WR,16,1,21.0,172.0,0,29.0,8.2,1.0,13.0,0,13.0,13.0,337
Darren Sproles,SDG,22,RB,15,0,18.0,108.0,0,23.0,6.0,63.0,1528.0,0,58.0,24.3,1696
Eric Parker,SDG,26,WR,15,9,18.0,106.0,0,15.0,5.9,1.0,16.0,0,16.0,16.0,902
Allen Rossum,ATL,30,DB,10,0,17.0,145.0,0,29.0,8.5,31.0,702.0,0,47.0,22.6,847
Rasheed Marshall,SFO,24,WR,12,0,17.0,87.0,0,13.0,5.1,26.0,488.0,0,29.0,18.8,567
Darrent Williams,DEN,23,RCB,12,9,17.0,148.0,0,52.0,8.7,18.0,431.0,0,36.0,23.9,687
Charlie Adams,DEN,26,WR,16,2,16.0,133.0,0,32.0,8.3,10.0,218.0,0,32.0,21.8,568
Roscoe Parrish,BUF,23,WR,10,1,14.0,186.0,0,43.0,13.3,10.0,261.0,0,45.0,26.1,593
Chris Gamble,CAR,22,RCB,15,15,14.0,158.0,0,76.0,11.3,,,0,,,315
Antonio Brown,WAS,27,WR,7,0,13.0,63.0,0,16.0,4.8,19.0,439.0,1,91.0,23.1,509
Jerome Mathis*+,HOU,22,WR,12,0,12.0,68.0,0,19.0,5.7,54.0,1542.0,2,99.0,28.6,1675
Phillip Buchanon,HOU,25,LCB,10,6,12.0,101.0,0,37.0,8.4,,,0,,,101
Keenan Howry,MIN,24,WR,4,0,12.0,78.0,0,19.0,6.5,,,0,,,78
Peerless Price,DAL,29,WR,7,1,12.0,63.0,0,11.0,5.3,,,0,,,168
Otis Amey,SFO,24,WR,11,0,11.0,125.0,1,75.0,11.4,14.0,241.0,0,25.0,17.2,366
R.W. McQuarters,DET,29,RCB/LCB,16,11,10.0,117.0,0,49.0,11.7,16.0,381.0,0,73.0,23.8,523
James Thrash,WAS,30,WR,12,2,10.0,77.0,0,18.0,7.7,7.0,170.0,0,31.0,24.3,449
Terence Newman,DAL,27,LCB,16,16,10.0,55.0,0,26.0,5.5,,,0,,,75
Andrae Thurman,2TM,25,WR,15,1,9.0,31.0,0,11.0,3.4,10.0,178.0,0,25.0,17.8,301
DeAngelo Hall*,ATL,22,LCB,15,15,8.0,82.0,0,27.0,10.3,2.0,45.0,0,23.0,22.5,390
Bernard Berrian,CHI,25,WR,11,2,8.0,69.0,0,24.0,8.6,,,0,,,346
Nate Clements,BUF,26,RCB,16,16,8.0,52.0,0,13.0,6.5,,,0,,,52
Dane Looker,STL,29,WR,16,0,8.0,69.0,0,17.0,8.6,,,0,,,306
Shaun McDonald,STL,24,WR,16,2,8.0,33.0,0,14.0,4.1,,,0,,,563
Brian Westbrook,PHI,26,RB,12,12,8.0,60.0,0,23.0,7.5,,,0,,,1293
David Allen,STL,27,RB,4,0,7.0,38.0,0,12.0,5.4,23.0,472.0,0,32.0,20.5,510
J.J. Moses,ARI,26,WR,2,0,7.0,40.0,0,12.0,5.7,7.0,177.0,0,35.0,25.3,217
Troy Brown,NWE,34,WR/DB,13,3,7.0,30.0,0,7.0,4.3,,,0,,,496
Santana Moss*,WAS,26,WR,16,16,7.0,40.0,0,14.0,5.7,,,0,,,1520
Donte' Stallworth,NOR,25,WR,16,13,7.0,52.0,0,27.0,7.4,,,0,,,999
Justin Miller,NYJ,21,RCB,16,8,6.0,9.0,0,12.0,1.5,60.0,1577.0,1,95.0,26.3,1586
Jonathan Smith,BUF,24,WR,7,1,6.0,41.0,0,17.0,6.8,5.0,124.0,0,44.0,24.8,222
Mark Clayton,BAL,23,WR,14,10,6.0,30.0,0,10.0,5.0,,,0,,,534
Peter Warrick,SEA,28,WR,13,5,6.0,29.0,0,10.0,4.8,,,0,,,214
Rashied Davis,CHI,26,DB,12,0,5.0,31.0,0,21.0,6.2,11.0,251.0,0,34.0,22.8,282
Nate Burleson,MIN,24,WR,12,9,5.0,21.0,0,10.0,4.2,,,0,,,343
Brandon Jones,TEN,23,WR,10,8,5.0,75.0,0,32.0,15.0,,,0,,,375
Justin McCareins,NYJ,27,WR,16,16,5.0,28.0,0,12.0,5.6,,,0,,,749
Michael Lewis,NOR,34,WR,2,0,4.0,8.0,0,5.0,2.0,8.0,137.0,0,20.0,17.1,145
Mike Furrey,STL,28,FS,16,11,4.0,28.0,0,13.0,7.0,,,0,,,171
Terry Fair,STL,29,DB,5,0,3.0,7.0,0,8.0,2.3,10.0,182.0,0,35.0,18.2,189
Domanick Williams,HOU,25,RB,11,11,3.0,24.0,0,21.0,8.0,1.0,29.0,0,29.0,29.0,1366
Michael Jenkins,ATL,23,WR,14,12,3.0,19.0,0,15.0,6.3,,,0,,,527
Keenan McCardell,SDG,35,WR,16,16,3.0,31.0,0,14.0,10.3,,,0,,,954
Donovan Morgan,HOU,23,WR,3,0,3.0,30.0,0,23.0,10.0,,,0,,,72
Chad Owens,JAX,23,WR,1,0,3.0,6.0,0,6.0,2.0,,,0,,,6
Charles Woodson,OAK,29,RCB,6,6,3.0,20.0,0,15.0,6.7,,,0,,,20
Koren Robinson*,MIN,25,WR,14,5,2.0,0.0,0,0.0,0.0,47.0,1221.0,1,86.0,26.0,1595
Brian Finneran,ATL,29,WR,16,7,2.0,7.0,0,5.0,3.5,,,0,,,618
Lito Sheppard,PHI,24,LCB,10,10,2.0,9.0,0,8.0,4.5,,,0,,,81
Josh Cribbs,CLE,22,WR,14,0,1.0,5.0,0,5.0,5.0,45.0,1094.0,1,90.0,24.3,1106
Bethel Johnson,NWE,26,WR,11,1,1.0,11.0,0,11.0,11.0,31.0,694.0,0,54.0,22.4,772
DeAndra Cobb,ATL,24,RB,3,0,1.0,8.0,0,8.0,8.0,16.0,359.0,0,39.0,22.4,367
