Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Dustin Hopkins,WAS,26,K,16,0,,,12.0,12.0,14.0,12.0,9.0,7.0,7.0,3.0,42.0,34.0,53.0,81.0%,39.0,36.0,92.3%,92.0,5788.0,65.0,70.7%,62.9
Caleb Sturgis,PHI,27,K,16,0,,,12.0,12.0,12.0,12.0,11.0,7.0,6.0,4.0,41.0,35.0,55.0,85.4%,31.0,30.0,96.8%,87.0,5439.0,46.0,52.9%,62.5
Nick Novak,HOU,35,K,16,0,1.0,1.0,12.0,12.0,11.0,11.0,11.0,8.0,6.0,3.0,41.0,35.0,53.0,85.4%,25.0,22.0,88.0%,74.0,4444.0,23.0,31.1%,60.1
Justin Tucker*+,BAL,27,K,16,0,,,4.0,4.0,11.0,10.0,14.0,14.0,10.0,10.0,39.0,38.0,57.0,97.4%,27.0,27.0,100.0%,80.0,5039.0,52.0,65.0%,63.0
Graham Gano,CAR,29,K,16,0,,,4.0,4.0,11.0,9.0,17.0,14.0,6.0,3.0,38.0,30.0,54.0,78.9%,34.0,31.0,91.2%,86.0,5497.0,63.0,73.3%,63.9
Matt Bryant*,ATL,41,K,16,0,,,12.0,12.0,8.0,7.0,9.0,9.0,8.0,6.0,37.0,34.0,59.0,91.9%,57.0,56.0,98.2%,,,,,
Stephen Hauschka,SEA,31,K,16,0,,,13.0,11.0,13.0,13.0,10.0,8.0,1.0,1.0,37.0,33.0,53.0,89.2%,35.0,29.0,82.9%,86.0,5477.0,54.0,62.8%,63.7
Matt Prater*,DET,32,K,16,0,,,10.0,10.0,5.0,4.0,14.0,10.0,7.0,7.0,36.0,31.0,58.0,86.1%,33.0,31.0,93.9%,2.0,116.0,1.0,50.0%,58.0
Sebastian Janikowski,OAK,38,K,16,0,1.0,1.0,9.0,9.0,6.0,6.0,11.0,10.0,8.0,3.0,35.0,29.0,56.0,82.9%,39.0,37.0,94.9%,88.0,5630.0,43.0,48.9%,64.0
Cairo Santos,KAN,25,K,16,0,,,9.0,8.0,17.0,15.0,7.0,6.0,2.0,2.0,35.0,31.0,53.0,88.6%,39.0,36.0,92.3%,86.0,5355.0,48.0,55.8%,62.3
Wil Lutz,NOR,22,K,16,0,1.0,1.0,7.0,7.0,11.0,9.0,8.0,8.0,7.0,3.0,34.0,28.0,57.0,82.4%,50.0,49.0,98.0%,93.0,5693.0,49.0,52.7%,61.2
