Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Bryan Anger,JAX,25,P,16,0,95,4338,45.7,330,3848,40.5,61,8,8.4%,31,32.6%,0
Steve Weatherford,NYG,31,P,16,0,91,4271,46.9,655,3476,38.2,68,7,7.7%,25,27.5%,0
Sam Koch,BAL,31,P,16,0,90,4138,46.0,419,3539,38.9,69,9,10.0%,27,30.0%,1
Shane Lechler,HOU,37,P,16,0,88,4189,47.6,530,3519,40.0,65,7,8.0%,34,38.6%,0
Dustin Colquitt,KAN,31,P,16,0,87,4005,46.0,246,3539,40.2,65,11,12.6%,35,40.2%,1
Michael Koenen,TAM,31,P,16,0,87,3846,44.2,393,3333,38.3,62,6,6.9%,19,21.8%,0
Brandon Fields*,MIA,29,P,16,0,85,4150,48.8,407,3603,42.4,74,7,8.2%,33,38.8%,0
Marquette King,OAK,25,P,16,0,84,4107,48.9,438,3449,40.1,66,11,13.1%,23,27.4%,2
Spencer Lanning,CLE,25,P,16,0,84,3679,43.8,357,3222,37.9,59,5,6.0%,28,33.3%,1
Saverio Rocca,WAS,40,P,16,0,84,3526,42.0,655,2871,33.8,63,0,0.0%,26,31.0%,1
Donnie Jones,PHI,33,P,16,0,82,3681,44.9,223,3358,40.5,70,5,6.1%,33,40.2%,1
Andy Lee,SFO,31,P,16,0,79,3804,48.2,330,3294,41.7,62,9,11.4%,27,34.2%,0
Johnny Hekker*+,STL,23,P,16,0,78,3609,46.3,79,3450,44.2,64,4,5.1%,19,24.4%,0
Brett Kern,TEN,27,P,16,0,78,3386,43.4,210,3136,39.7,63,2,2.6%,32,41.0%,1
Dave Zastudil,ARI,35,P,16,0,78,3566,45.7,321,3125,40.1,60,6,7.7%,35,44.9%,0
Chris Jones,DAL,24,P,16,0,77,3467,45.0,339,3008,39.1,62,6,7.8%,30,39.0%,0
Ryan Allen,NWE,23,P,16,0,76,3491,45.9,221,3030,39.9,65,12,15.8%,29,38.2%,0
Pat McAfee,IND,26,P,16,0,76,3499,46.0,396,2963,38.5,65,7,9.2%,27,35.5%,1
Jeff Locke,MIN,24,P,16,0,75,3316,44.2,318,2938,39.2,65,3,4.0%,23,30.7%,0
Jon Ryan,SEA,32,P,16,0,74,3159,42.7,82,2977,39.2,69,5,6.8%,28,37.8%,2
Sam Martin,DET,23,P,16,0,72,3399,47.2,250,2949,40.4,72,10,13.9%,22,30.6%,1
Ryan Quigley,NYJ,23,P,14,0,72,3278,45.5,381,2837,39.4,67,3,4.2%,21,29.2%,0
Brad Nortman,CAR,24,P,16,0,70,3344,47.8,335,2909,41.6,72,5,7.1%,25,35.7%,0
Matthew Bosher,ATL,26,P,16,0,68,3166,46.6,251,2875,41.1,63,2,2.9%,26,38.2%,2
Adam Podlesh,CHI,30,P,16,0,68,2763,40.6,111,2612,37.9,65,2,2.9%,27,39.7%,1
Kevin Huber,CIN,28,P,14,0,66,2982,45.2,229,2673,40.5,75,4,6.1%,24,36.4%,0
Britton Colquitt,DEN,28,P,16,0,65,2893,44.5,274,2559,38.8,60,3,4.6%,23,35.4%,1
Tim Masthay,GNB,26,P,16,0,64,2854,44.6,261,2493,39.0,62,5,7.8%,22,34.4%,0
Brian Moorman,BUF,37,P,11,0,61,2511,41.2,197,2234,36.6,62,4,6.6%,16,26.2%,0
Thomas Morstead,NOR,27,P,16,0,61,2859,46.9,180,2579,42.3,61,5,8.2%,25,41.0%,0
Mike Scifres,SDG,33,P,16,0,56,2417,43.2,158,2239,40.0,61,1,1.8%,30,53.6%,0
Shawn Powell,2TM,25,P,7,0,42,1881,44.8,305,1476,35.1,66,5,11.9%,13,31.0%,0
Mat McBriar,PIT,34,P,9,0,40,1652,41.3,157,1435,35.0,70,3,7.5%,13,32.5%,1
Zoltan Mesko,2TM,27,P,7,0,34,1445,42.5,156,1249,35.7,65,2,5.9%,3,8.8%,1
Robert Malone,NYJ,25,P,2,0,16,740,46.3,107,593,37.1,84,2,12.5%,3,18.8%,0
Mike Nugent,CIN,31,K,16,0,2,80,40.0,0,80,40.0,43,0,0.0%,0,0.0%,0
Tom Brady*,NWE,36,QB,16,16,1,32,32.0,0,32,32.0,32,0,0.0%,0,0.0%,0
Billy Cundiff,CLE,33,K,16,0,1,34,34.0,0,14,14.0,34,1,100.0%,0,0.0%,0
Ben Roethlisberger,PIT,31,QB,16,16,1,28,28.0,0,28,28.0,28,0,0.0%,1,100.0%,0
Ryan Succop,KAN,27,K,16,0,1,29,29.0,0,9,9.0,29,1,100.0%,0,0.0%,0
