Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Larry Johnson,27.0,KAN,16.0,16.0,416.0,1789.0,17.0,91.0,44.7,47.0,4.3,111.8,26.0,2.0,"PB,AP-1"
LaDainian Tomlinson,27.0,SDG,16.0,16.0,348.0,1815.0,28.0,83.0,47.7,85.0,5.2,113.4,21.8,2.0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Steven Jackson,23.0,STL,16.0,16.0,346.0,1528.0,13.0,73.0,46.5,59.0,4.4,95.5,21.6,4.0,"PB,AP-2,AP OPoY-4"
Rudi Johnson,27.0,CIN,16.0,15.0,341.0,1309.0,12.0,70.0,42.5,22.0,3.8,81.8,21.3,6.0,
Edgerrin James,28.0,ARI,16.0,16.0,337.0,1159.0,6.0,61.0,45.1,18.0,3.4,72.4,21.1,3.0,
Willie Parker,26.0,PIT,16.0,16.0,337.0,1494.0,13.0,72.0,44.5,76.0,4.4,93.4,21.1,7.0,PB
Tiki Barber,31.0,NYG,16.0,16.0,327.0,1662.0,5.0,79.0,47.1,55.0,5.1,103.9,20.4,3.0,PB
Jamal Lewis,27.0,BAL,16.0,16.0,314.0,1132.0,9.0,48.0,39.8,52.0,3.6,70.8,19.6,4.0,
Frank Gore,23.0,SFO,16.0,16.0,312.0,1695.0,8.0,67.0,46.5,72.0,5.4,105.9,19.5,6.0,"PB,AP-2"
Chester Taylor,27.0,MIN,15.0,15.0,303.0,1216.0,6.0,54.0,43.6,95.0,4.0,81.1,20.2,5.0,
Thomas Jones,28.0,CHI,16.0,16.0,296.0,1210.0,6.0,63.0,47.3,30.0,4.1,75.6,18.5,1.0,
Warrick Dunn,31.0,ATL,16.0,16.0,286.0,1140.0,4.0,48.0,38.8,90.0,4.0,71.3,17.9,1.0,
Travis Henry,28.0,TEN,14.0,13.0,270.0,1211.0,7.0,50.0,42.6,70.0,4.5,86.5,19.3,3.0,AP CPoY-6
Julius Jones,25.0,DAL,16.0,16.0,267.0,1084.0,4.0,48.0,44.9,77.0,4.1,67.8,16.7,1.0,
Ahman Green,29.0,GNB,14.0,14.0,266.0,1059.0,5.0,55.0,40.6,70.0,4.0,75.6,19.0,4.0,
Willis McGahee,25.0,BUF,14.0,14.0,259.0,990.0,6.0,50.0,45.2,57.0,3.8,70.7,18.5,4.0,
Shaun Alexander,29.0,SEA,10.0,10.0,252.0,896.0,7.0,54.0,40.9,33.0,3.6,89.6,25.2,6.0,
Ladell Betts,27.0,WAS,16.0,9.0,245.0,1154.0,4.0,60.0,46.5,26.0,4.7,72.1,15.3,6.0,
Deuce McAllister,28.0,NOR,15.0,13.0,244.0,1057.0,10.0,53.0,49.6,57.0,4.3,70.5,16.3,3.0,AP CPoY-6
Ronnie Brown,25.0,MIA,13.0,12.0,241.0,1008.0,5.0,50.0,44.8,47.0,4.2,77.5,18.5,4.0,
Brian Westbrook,27.0,PHI,15.0,14.0,240.0,1217.0,7.0,60.0,47.5,71.0,5.1,81.1,16.0,2.0,
Tatum Bell,25.0,DEN,13.0,13.0,233.0,1025.0,2.0,47.0,39.5,51.0,4.4,78.8,17.9,5.0,
Fred Taylor,30.0,JAX,15.0,15.0,231.0,1146.0,5.0,47.0,42.9,76.0,5.0,76.4,15.4,3.0,
DeShaun Foster,26.0,CAR,14.0,14.0,227.0,897.0,3.0,49.0,45.4,43.0,4.0,64.1,16.2,4.0,
Joseph Addai,23.0,IND,16.0,0.0,226.0,1081.0,7.0,67.0,60.2,41.0,4.8,67.6,14.1,2.0,
Cadillac Williams,24.0,TAM,14.0,14.0,225.0,798.0,1.0,32.0,39.1,38.0,3.5,57.0,16.1,3.0,
Reuben Droughns,28.0,CLE,14.0,12.0,220.0,758.0,4.0,38.0,40.9,22.0,3.4,54.1,15.7,5.0,
Corey Dillon,32.0,NWE,16.0,13.0,199.0,812.0,13.0,49.0,49.2,50.0,4.1,50.8,12.4,2.0,
Dominic Rhodes,27.0,IND,16.0,16.0,187.0,641.0,5.0,40.0,45.5,17.0,3.4,40.1,11.7,3.0,
Kevin Jones,24.0,DET,12.0,12.0,181.0,689.0,6.0,31.0,39.2,52.0,3.8,57.4,15.1,5.0,
Justin Fargas,26.0,OAK,16.0,6.0,178.0,659.0,1.0,29.0,39.3,48.0,3.7,41.2,11.1,1.0,
Laurence Maroney,21.0,NWE,14.0,0.0,175.0,745.0,6.0,42.0,43.4,41.0,4.3,53.2,12.5,1.0,
Maurice Jones-Drew,21.0,JAX,16.0,1.0,166.0,941.0,13.0,46.0,48.8,74.0,5.7,58.8,10.4,1.0,AP ORoY-2
Maurice Morris,27.0,SEA,16.0,8.0,161.0,604.0,0.0,34.0,36.6,29.0,3.8,37.8,10.1,1.0,
Mike Bell,23.0,DEN,15.0,3.0,157.0,677.0,8.0,43.0,49.7,48.0,4.3,45.1,10.5,1.0,
Cedric Benson,24.0,CHI,15.0,0.0,157.0,647.0,6.0,35.0,43.3,30.0,4.1,43.1,10.5,0.0,
Reggie Bush,21.0,NOR,16.0,8.0,155.0,565.0,6.0,28.0,43.9,18.0,3.6,35.3,9.7,2.0,AP ORoY-5
Ron Dayne,28.0,HOU,11.0,6.0,151.0,612.0,5.0,40.0,52.3,19.0,4.1,55.6,13.7,1.0,
Leon Washington,24.0,NYJ,16.0,8.0,151.0,650.0,4.0,32.0,47.0,23.0,4.3,40.6,9.4,3.0,
Marion Barber III,23.0,DAL,16.0,1.0,135.0,654.0,14.0,45.0,55.6,25.0,4.8,40.9,8.4,0.0,
Kevan Barlow,27.0,NYJ,12.0,3.0,131.0,370.0,6.0,21.0,42.0,12.0,2.8,30.8,10.9,1.0,
Clinton Portis,25.0,WAS,8.0,7.0,127.0,523.0,7.0,31.0,43.3,38.0,4.1,65.4,15.9,0.0,
Wali Lundy,23.0,HOU,14.0,8.0,124.0,476.0,4.0,29.0,39.5,35.0,3.8,34.0,8.9,1.0,
Michael Vick,26.0,ATL,16.0,16.0,123.0,1039.0,2.0,56.0,63.4,51.0,8.4,64.9,7.7,9.0,
DeAngelo Williams,23.0,CAR,13.0,2.0,121.0,501.0,1.0,31.0,45.5,31.0,4.1,38.5,9.3,1.0,
LaMont Jordan,28.0,OAK,9.0,8.0,114.0,434.0,2.0,18.0,35.1,59.0,3.8,48.2,12.7,1.0,
Cedric Houston,24.0,NYJ,8.0,1.0,113.0,374.0,5.0,21.0,44.2,31.0,3.3,46.8,14.1,0.0,
Anthony Thomas,29.0,BUF,16.0,2.0,107.0,378.0,2.0,15.0,35.5,19.0,3.5,23.6,6.7,1.0,
Jerious Norwood,23.0,ATL,14.0,0.0,99.0,633.0,2.0,27.0,47.5,78.0,6.4,45.2,7.1,0.0,
Brandon Jacobs,24.0,NYG,15.0,0.0,96.0,423.0,9.0,32.0,57.3,16.0,4.4,28.2,6.4,2.0,
Vernand Morency,26.0,2TM,14.0,2.0,96.0,434.0,2.0,26.0,37.5,39.0,4.5,31.0,6.9,2.0,
Sammy Morris,29.0,MIA,12.0,4.0,92.0,400.0,1.0,17.0,41.3,55.0,4.3,33.3,7.7,4.0,
Correll Buckhalter,28.0,PHI,16.0,1.0,83.0,345.0,2.0,16.0,54.2,20.0,4.2,21.6,5.2,2.0,AP CPoY-6
Vince Young,23.0,TEN,15.0,13.0,83.0,552.0,7.0,32.0,45.8,39.0,6.7,36.8,5.5,12.0,"PB,AP ORoY-1"
Michael Turner,24.0,SDG,13.0,0.0,80.0,502.0,2.0,25.0,52.5,73.0,6.3,38.6,6.2,0.0,
Jason Wright,24.0,CLE,13.0,3.0,62.0,189.0,0.0,8.0,37.1,18.0,3.0,14.5,4.8,1.0,
LenDale White,22.0,TEN,13.0,0.0,61.0,244.0,0.0,13.0,36.1,26.0,4.0,18.8,4.7,0.0,
Mike Alstott,33.0,TAM,16.0,15.0,60.0,171.0,3.0,17.0,48.3,17.0,2.9,10.7,3.8,1.0,
Najeh Davenport,27.0,PIT,13.0,0.0,60.0,221.0,1.0,10.0,31.7,48.0,3.7,17.0,4.6,2.0,
Samkon Gado,24.0,2TM,9.0,1.0,56.0,210.0,1.0,11.0,35.7,34.0,3.8,23.3,6.2,1.0,
David Carr,27.0,HOU,16.0,16.0,53.0,195.0,2.0,16.0,45.3,16.0,3.7,12.2,3.3,16.0,
Michael Pittman,31.0,TAM,16.0,3.0,50.0,245.0,1.0,12.0,38.0,32.0,4.9,15.3,3.1,2.0,
Tom Brady,29.0,NWE,16.0,16.0,49.0,102.0,0.0,13.0,32.7,22.0,2.1,6.4,3.1,12.0,
Arlen Harris,26.0,DET,10.0,3.0,49.0,158.0,1.0,8.0,38.8,20.0,3.2,15.8,4.9,0.0,
Philip Rivers,25.0,SDG,16.0,16.0,48.0,49.0,0.0,8.0,25.0,15.0,1.0,3.1,3.0,8.0,PB
Charlie Frye,25.0,CLE,13.0,13.0,47.0,215.0,3.0,17.0,55.3,17.0,4.6,16.5,3.6,8.0,
David Garrard,28.0,JAX,11.0,10.0,47.0,250.0,0.0,20.0,53.2,20.0,5.3,22.7,4.3,4.0,
