Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Danny Reece,TAM,25,DB,16,1,57,313,0,19,5.5,7,128,0,23,18.3,441
James Jones,DAL,22,RB,16,0,54,548,0,52,10.1,32,720,0,41,22.5,1442
Mike Nelms*,WAS,25,DB,16,0,48,487,0,64,10.1,38,810,0,51,21.3,1297
Ira Matthews,OAK,23,WR,16,0,48,421,0,34,8.8,29,585,0,45,20.2,1050
Carl Roaches,HOU,27,WR,16,0,47,384,0,68,8.2,37,746,0,46,20.2,1130
LeRoy Irvin,RAM,23,DB,16,2,42,296,0,26,7.0,1,5,0,5,5.0,381
Will Lewis,SEA,22,DB,16,0,41,349,1,75,8.5,25,585,0,54,23.4,934
J.T. Smith*+,KAN,25,WR,16,16,40,581,2,75,14.5,,,0,,,1236
Rick Upchurch,DEN,28,WR,16,14,37,353,0,34,9.5,,,0,,,1007
John Sciarra,PHI,26,SS,16,0,36,330,0,32,9.2,,,0,,,341
Alvin Garrett,NYG,24,RB,15,0,35,287,0,66,8.2,28,527,0,41,18.8,914
Eddie Payton,MIN,29,RB,16,0,34,251,0,19,7.4,53,1184,0,59,22.3,1450
Theo Bell,PIT,27,WR,14,9,34,339,0,27,10.0,3,50,0,21,16.7,1137
Len Walterscheid,CHI,26,DB,15,2,33,239,0,25,7.2,1,12,0,12,12.0,335
Roland James,NWE,22,SS,16,10,33,331,1,75,10.0,,,0,,,363
Cleo Montgomery,CIN,24,WR,14,0,31,223,0,42,7.2,44,843,0,40,19.2,1078
Mike Fuller,SDG,27,DB,16,5,30,298,0,31,9.9,15,289,0,30,19.3,587
Keith Wright,CLE,24,WR,12,0,29,129,0,15,4.4,25,576,0,50,23.0,767
Joe Cribbs*,BUF,22,RB,16,16,29,154,0,16,5.3,2,39,0,20,19.5,1786
Bruce Harper,NYJ,25,RB,15,1,28,242,0,24,8.6,49,1070,0,35,21.8,2072
John Arnold,DET,25,WR,10,0,28,204,0,19,7.3,9,145,0,33,16.1,349
Reggie Smith,ATL,24,WR,8,0,27,262,0,25,9.7,25,512,0,35,20.5,774
Ray Williams,DET,22,RB,6,1,27,259,0,53,9.6,9,228,1,91,25.3,650
Freddie Solomon,SFO,27,WR,16,13,27,298,2,57,11.0,4,61,0,32,15.3,1073
Wally Henry,PHI,26,WR,7,0,26,222,0,30,8.5,7,154,0,39,22.0,444
Nesby Glasgow,BAL,23,FS,16,16,23,187,0,20,8.1,33,743,0,44,22.5,995
Tony Nathan,MIA,24,RB,16,6,23,178,0,30,7.7,5,102,0,31,20.4,1195
Kenny Johnson,ATL,22,RCB,16,16,23,281,0,56,12.2,,,0,,,337
Mark Bell,STL,23,WR,11,0,21,195,0,54,9.3,,,0,,,318
Ron Cassidy,GNB,23,WR,15,1,17,139,0,20,8.2,,,0,,,248
Mike Haynes*,NWE,27,RCB,13,12,17,140,0,35,8.2,,,0,,,177
Roy Green,STL,23,FS,15,6,16,168,1,57,10.5,32,745,0,37,23.3,923
Dwight Hicks,SFO,24,FS,16,16,12,58,0,10,4.8,,,0,,,131
Rich Mauti,NOR,26,WR,9,0,11,111,0,18,10.1,31,798,0,52,25.7,921
Willard Harrell,STL,28,RB,16,0,11,31,0,15,2.8,19,348,0,33,18.3,601
Fred Nixon,GNB,22,WR,15,0,11,85,0,16,7.7,6,160,0,54,26.7,323
Preston Brown,NWE,22,WR,5,0,10,42,0,14,4.2,9,156,0,26,17.3,198
Roland Hooks,BUF,27,RB,16,0,8,90,0,17,11.3,7,109,0,35,15.6,496
Wes Chandler,NOR,24,WR,16,16,8,36,0,11,4.5,,,0,,,1020
Nick Giaquinto,MIA,25,RB,16,0,7,35,0,15,5.0,9,146,0,22,16.2,389
Jim Smith,PIT,25,WR,12,10,7,28,0,11,4.0,,,0,,,738
Dino Hall,CLE,25,RB,16,0,6,41,0,14,6.8,32,691,0,40,21.6,758
Jo Heath,CIN,23,DB,10,0,6,29,0,11,4.8,3,51,0,21,17.0,80
Mark Lee,GNB,22,DB,15,1,5,32,0,17,6.4,30,589,0,35,19.6,621
Pete Shaw,SDG,26,SS,12,12,5,20,0,6,4.0,,,0,,,70
Johnnie Gray,GNB,27,FS,16,16,4,41,0,16,10.3,5,63,0,18,12.6,188
Ken Schroy,NYJ,28,SS,14,10,4,27,0,15,6.8,1,17,0,17,17.0,135
Glen Edwards,SDG,33,FS,16,15,4,17,0,8,4.3,,,0,,,139
Vaughn Lusby,CHI,24,DB,2,0,4,14,0,4,3.5,,,0,,,14
Kim Anderson,BAL,23,DB,16,0,3,1,0,1,0.3,20,386,0,35,19.3,422
Marvin Cobb,2TM,27,DB,8,0,3,19,0,13,6.3,1,19,0,19,19.0,38
Rolland Lawrence,ATL,29,LCB,16,16,3,-7,0,6,-2.3,,,0,,,30
Jim Robinson,SFO,27,WR,5,0,3,36,0,21,12.0,,,0,,,36
Dave Waymer,NOR,22,RCB,16,10,3,29,0,14,9.7,,,0,,,29
Larry Brunson,DEN,31,WR,13,0,2,12,0,12,6.0,40,923,0,53,23.1,950
Beasley Reece,NYG,26,SS,16,14,2,15,0,15,7.5,24,471,0,35,19.6,524
Mike Harden,DEN,21,DB,16,0,2,36,0,23,18.0,12,214,0,35,17.8,250
Mike Guman,RAM,22,RB,16,0,2,6,0,3,3.0,2,25,0,13,12.5,572
Rickey Watts,CHI,23,WR,15,2,2,20,0,11,10.0,1,12,0,12,12.0,460
Ricky Churchman,SFO,22,SS,16,15,2,16,0,13,8.0,,,0,,,23
Lou Piccone,BUF,31,WR,9,0,2,15,0,8,7.5,,,0,,,97
