Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Stephen Gostkowski*,NWE,29,K,16,0,,,,,,,,,,,,44,44,38,41,,158,9.9
Matt Prater*,DEN,29,K,16,0,,,,,,,,,,,,75,75,25,26,,150,9.4
Nick Novak,SDG,32,K,16,0,,,,,,,,,,,,42,42,34,37,,144,9.0
Stephen Hauschka,SEA,28,K,16,0,,,,,,,,,,,,44,44,33,35,,143,8.9
Mason Crosby,GNB,29,K,16,0,,,,,,,,,,,,42,42,33,37,,141,8.8
Phil Dawson,SFO,38,K,16,0,,,,,,,,,,,,44,44,32,36,,140,8.8
Justin Tucker*+,BAL,24,K,16,0,,,,,,,,,,,,26,26,38,41,,140,8.8
Adam Vinatieri,IND,41,K,15,0,,,,,,,,,,,,34,34,35,40,,139,9.3
Dan Bailey,DAL,25,K,16,0,,,,,,,,,,,,47,47,28,30,,131,8.2
Dan Carpenter,BUF,28,K,16,0,,,,,,,,,,,,32,32,33,36,,131,8.2
Shaun Suisham,PIT,32,K,16,0,,,,,,,,,,,,39,39,30,32,,129,8.1
Jay Feely,ARI,37,K,16,0,,,,,,,,,,,,37,37,30,36,,127,7.9
Nick Folk,NYJ,29,K,16,0,,,,,,,,,,,,27,27,33,36,,126,7.9
Robbie Gould,CHI,31,K,16,0,,,,,,,,,,,,45,46,26,29,,123,7.7
Blair Walsh,MIN,23,K,16,0,,,,,,,,,,,,43,44,26,30,,121,7.6
Ryan Succop,KAN,27,K,16,0,,,,,,,,,,,,52,52,22,28,,118,7.4
Rob Bironas,TEN,35,K,16,0,,,,,,,,,,,,41,41,25,29,,116,7.3
Jamaal Charles*+,KAN,27,RB,15,15,12,7,,,,,,19,,,,,,,,,114,7.6
Graham Gano,CAR,26,K,16,0,,,,,,,,,,,,42,42,24,27,,114,7.1
Alex Henery,PHI,26,K,16,0,,,,,,,,,,,,45,45,23,28,,114,7.1
Greg Zuerlein,STL,26,K,16,0,,,,,,,,,,,,34,34,26,28,,112,7.0
Matt Bryant,ATL,38,K,16,0,,,,,,,,,,,,39,39,24,27,,111,6.9
Caleb Sturgis,MIA,24,K,16,0,,,,,,,,,,,,33,33,26,34,,111,6.9
Garrett Hartley,NOR,27,K,14,0,,,,,,,,,,,,41,41,22,30,,107,7.6
Mike Nugent,CIN,31,K,16,0,,,,,,,,,,,,52,53,18,22,,106,6.6
Randy Bullock,HOU,24,K,16,0,,,,,,,,,,,,26,26,26,35,,104,6.5
Josh Brown,NYG,34,K,16,0,,,,,,,,,,,,31,31,23,26,,100,6.3
Sebastian Janikowski,OAK,35,K,16,0,,,,,,,,,,,,37,37,21,30,,100,6.3
Rian Lindell,TAM,36,K,16,0,,,,,,,,,,,,31,31,23,29,,100,6.3
