Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Jha'Quan Jackson,TEN,24,WR,12,0,28,215,0,20,7.7,16,412,0,34,25.8,630
Xavier Gipson,NYJ,23,WR,14,0,28,230,0,40,8.2,12,345,0,45,28.8,614
Kalif Raymond,DET,30,WR,11,2,27,390,1,90,14.4,1,26,0,26,26.0,620
Ihmir Smith-Marsette,NYG,25,WR,12,0,26,197,0,22,7.6,10,281,0,47,28.1,478
Marvin Mims,DEN,22,WR,15,1,26,408,0,61,15.7,6,167,0,38,27.8,967
Jacob Cowing,SFO,23,WR,12,0,26,222,0,30,8.5,,,0,,,272
Marcus Jones,NWE,26,CB,14,9,26,386,0,62,14.8,,,0,,,461
Jaelon Darden,2TM,25,,9,1,25,260,0,28,10.4,11,296,0,37,26.9,562
Brandon Codrington,BUF,24,DB,14,0,25,281,0,29,11.2,8,222,0,53,27.8,503
Calvin Austin III,PIT,25,WR,14,6,23,259,1,73,11.3,,,0,,,711
Mecole Hardman,KAN,26,WR,12,0,20,203,0,55,10.2,5,132,0,32,26.4,487
Brandon Powell,MIN,29,WR,14,1,20,152,0,15,7.6,,,0,,,230
Cooper DeJean,PHI,21,DB,14,8,18,196,0,31,10.9,,,0,,,196
Raheem Blackshear,CAR,25,RB,13,0,17,145,0,16,8.5,28,705,0,43,25.2,850
DeAndre Carter,CHI,31,WR,13,0,17,158,0,38,9.3,15,479,0,67,31.9,709
Olamide Zaccheaus,WAS,27,WR,14,3,17,179,0,24,10.5,,,0,,,479
Avery Williams,ATL,26,RB,14,0,16,147,0,28,9.2,10,276,0,38,27.6,423
Steven Sims,HOU,27,WR,7,0,16,99,0,26,6.2,7,195,0,37,27.9,294
Greg Dortch,ARI,26,WR,14,2,16,150,0,27,9.4,5,132,0,31,26.4,556
Josh Downs,IND,23,WR,11,7,16,161,0,23,10.1,,,0,,,799
James Proche,CLE,28,WR,6,0,16,133,0,17,8.3,,,0,,,154
KaVontae Turpin,DAL,28,WR,14,1,15,166,1,60,11.1,24,826,1,99,34.4,1394
Derius Davis,LAC,24,WR,13,2,15,207,0,53,13.8,18,507,0,56,28.2,835
Dee Williams,2TM,25,,13,0,15,111,0,23,7.4,10,277,0,39,27.7,388
Malik Washington,MIA,23,WR,11,1,14,99,0,19,7.1,10,276,0,45,27.6,517
Charlie Jones,CIN,26,WR,8,0,14,99,0,23,7.1,5,200,1,100,40.0,304
Robert Woods,HOU,32,WR,12,2,14,135,0,36,9.6,4,113,0,31,28.3,372
Xavier Smith,LAR,27,WR,12,0,13,113,0,38,8.7,6,155,0,34,25.8,304
Jayden Reed,GNB,24,WR,14,8,13,94,0,16,7.2,,,0,,,976
Devin Duvernay,JAX,27,WR,10,1,12,106,0,53,8.8,12,289,0,34,24.1,470
Trey Palmer,TAM,23,WR,12,3,10,104,0,17,10.4,1,14,0,14,14.0,259
Rashid Shaheed,NOR,26,WR,6,5,9,143,1,54,15.9,6,171,0,38,28.5,692
Deonte Harty,BAL,27,WR,5,0,8,85,0,16,10.6,4,98,0,31,24.5,183
Trenton Irwin,CIN,29,WR,7,2,8,56,0,17,7.0,,,0,,,71
Ameer Abdullah,LVR,31,RB,14,2,7,59,0,18,8.4,9,296,0,68,32.9,695
Jermaine Jackson,NOR,24,WR,4,0,7,68,0,18,9.7,8,187,0,32,23.4,254
DJ Turner,LVR,27,WR,12,6,7,77,0,24,11.0,4,106,0,31,26.5,374
