Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Kwon Alexander,22,TAM,MLB,16,16,1,38,1,38,7,1,0,1,4,0,3.0,145,108,37,12.0,7.0,0,
Lorenzo Alexander,33,BUF,ROLB,16,16,1,28,0,28,6,3,0,0,0,0,12.5,76,56,20,10.0,22.0,0,"PB,AP-2"
Robert Alford,28,ATL,LCB,16,16,2,34,1,30,19,0,0,0,0,0,0.0,61,50,11,1.0,0.0,0,
Ricardo Allen,25,ATL,SS,16,16,2,3,0,3,3,0,0,0,0,0,0.0,90,61,29,0.0,0.0,0,
Geno Atkins,28,CIN,RDT,16,16,0,0,0,0,0,0,0,0,0,0,9.0,32,21,11,13.0,26.0,0,PB
Cliff Avril,30,SEA,RDE,16,16,0,0,0,0,3,5,0,0,0,0,11.5,39,20,19,8.0,26.0,0,PB
Chris Baker,29,WAS,RDE,16,16,0,0,0,0,2,2,0,0,0,0,3.5,47,29,18,7.0,10.0,0,
Anthony Barr,24,MIN,RLB,16,16,0,0,0,0,4,1,0,1,0,0,2.0,70,37,33,3.0,8.0,0,PB
Mark Barron,27,LAR,LLB,16,16,2,8,0,7,8,0,0,1,0,0,1.0,118,91,27,7.0,3.0,0,
Connor Barwin,30,PHI,RDE,16,16,0,0,0,0,2,1,0,0,0,0,5.0,34,20,14,6.0,10.0,0,
Zane Beadles,30,SFO,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Odell Beckham Jr.,24,NYG,WR,16,16,0,0,0,0,1,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2"
Eric Berry,28,KAN,SS,16,16,4,98,2,42,9,1,0,0,0,0,0.0,77,62,15,2.0,0.0,0,"PB,AP-1,AP DPoY-6"
Antoine Bethea,32,SFO,SS,16,16,1,0,0,0,3,1,0,1,5,0,0.0,110,95,15,3.0,1.0,0,
Blake Bortles,24,JAX,QB,16,16,0,0,0,0,0,0,8,0,-9,0,0.0,0,0,0,0.0,0.0,0,
Nigel Bradham,27,PHI,LLB,16,16,1,28,0,28,5,2,0,1,0,0,2.0,102,69,33,10.0,3.0,0,
Alan Branch,32,NWE,LDT,16,16,0,0,0,0,3,0,0,0,0,0,1.5,49,26,23,8.0,2.0,0,
Drew Brees,37,NOR,QB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP OPoY-6"
Tramaine Brock,28,SFO,LCB,16,16,1,39,0,39,14,1,0,0,0,0,0.0,59,49,10,5.0,0.0,0,
Ahmad Brooks,32,SFO,LOLB,16,16,0,0,0,0,4,1,0,0,0,0,6.0,53,41,12,10.0,8.0,0,
Preston Brown,24,BUF,RILB,16,16,0,0,0,0,1,1,0,2,0,0,1.0,139,79,60,5.0,3.0,0,
Trent Brown,23,SFO,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,,,0,
Zach Brown,27,BUF,LILB,16,16,1,0,0,0,4,2,0,0,0,0,4.0,149,97,52,11.0,8.0,0,"PB,AP-2"
Jermon Bushrod,32,MIA,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Malcolm Butler,26,NWE,LCB,16,16,4,28,0,21,17,1,0,2,2,0,1.0,63,48,15,1.0,1.0,0,AP-2
Calais Campbell,30,ARI,LDE,16,16,1,1,0,1,6,2,0,3,53,1,8.0,53,34,19,12.0,21.0,1,AP-2
James Carpenter,27,NYJ,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Brandon Carr,30,DAL,LCB,16,16,1,0,0,0,9,0,0,0,0,0,0.0,61,53,8,1.0,1.0,0,
Nolan Carroll,29,PHI,RCB,16,16,1,0,0,0,11,1,0,0,0,0,0.0,55,41,14,0.0,0.0,0,
Patrick Chung,29,NWE,SS,16,16,1,4,0,4,3,0,0,1,0,0,1.0,91,52,39,1.0,1.0,0,
Ha Ha Clinton-Dix,24,GNB,FS,16,16,5,75,0,27,7,1,0,0,0,0,0.5,80,62,18,1.0,1.0,0,"PB,AP-2"
Ross Cockrell,25,PIT,RCB,16,16,0,0,0,0,14,0,0,1,0,0,0.0,62,47,15,3.0,1.0,0,
Landon Collins,22,NYG,SS,16,16,5,72,1,44,13,0,0,1,6,0,4.0,125,100,25,9.0,5.0,0,"PB,AP-1,AP DPoY-3"
Kirk Cousins,28,WAS,QB,16,16,0,0,0,0,0,0,9,5,0,0,0.0,0,0,0,0.0,0.0,0,PB
Fletcher Cox,26,PHI,LDT,16,16,0,0,0,0,2,1,0,1,0,0,6.5,43,27,16,9.0,14.0,0,PB
Michael Crabtree,29,OAK,WR,16,16,0,0,0,0,0,0,2,1,11,0,0.0,0,0,0,,,0,
Isaiah Crowell,23,CLE,RB,16,16,0,0,0,0,0,0,2,1,0,0,0.0,1,1,0,0.0,0.0,0,
Johnathan Cyprien,26,JAX,SS,16,16,0,0,0,0,4,1,0,1,0,0,1.0,127,96,31,3.0,1.0,0,
Andy Dalton,29,CIN,QB,16,16,0,0,0,0,0,0,9,2,-17,0,0.0,0,0,0,0.0,0.0,0,PB
Mike Daniels,27,GNB,RDE,16,16,0,0,0,0,1,0,0,1,0,0,4.0,33,25,8,8.0,11.0,0,
Lavonte David,26,TAM,RLB,16,16,1,15,1,15,4,4,0,2,53,0,5.0,87,67,20,17.0,8.0,0,AP-2
Thomas Davis,33,CAR,RLB,16,16,3,35,0,31,4,1,0,2,46,1,2.5,106,73,33,5.0,5.0,0,PB
David DeCastro,26,PIT,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2"
Aaron Donald,25,LAR,LDT,16,16,0,0,0,0,5,2,0,0,0,0,8.0,47,36,11,17.0,31.0,0,"PB,AP-1,AP DPoY-4"
