Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Tramon Williams*,GNB,27,RCB,16,16,41.0,326.0,0,52.0,8.0,,,0,,,418
Danny Amendola,STL,25,WR,16,6,40.0,452.0,0,42.0,11.3,50.0,1142.0,0,84.0,22.8,2364
Javier Arenas,KAN,23,DB,16,2,39.0,322.0,0,36.0,8.3,24.0,509.0,0,35.0,21.2,836
Greg Camarillo,MIN,28,WR,16,1,39.0,359.0,0,52.0,9.2,,,0,,,599
Brandon Banks,WAS,23,WR,13,0,38.0,431.0,0,53.0,11.3,46.0,1155.0,1,96.0,25.1,1602
Andre Roberts,ARI,22,WR,15,2,35.0,263.0,0,25.0,7.5,14.0,326.0,0,47.0,23.3,896
Nick Miller,OAK,23,WR,9,0,35.0,257.0,0,46.0,7.3,2.0,37.0,0,27.0,18.5,334
Mike Thomas,JAX,23,WR,16,11,34.0,358.0,1,78.0,10.5,,,0,,,1292
Devin Hester*+,CHI,28,WR,16,13,33.0,564.0,3,89.0,17.1,12.0,427.0,0,79.0,35.6,1496
Stefan Logan,DET,29,RB,16,0,30.0,362.0,0,71.0,12.1,55.0,1448.0,1,105.0,26.3,1909
Quan Cosby,CIN,28,WR,16,0,30.0,225.0,0,20.0,7.5,3.0,44.0,0,18.0,14.7,285
Captain Munnerlyn,CAR,22,LCB,16,5,30.0,327.0,0,37.0,10.9,2.0,87.0,0,64.0,43.5,451
Jacoby Jones,HOU,26,WR,15,7,29.0,204.0,0,39.0,7.0,23.0,494.0,0,35.0,21.5,1267
Micheal Spurlock,TAM,27,WR,16,1,28.0,193.0,0,23.0,6.9,44.0,1129.0,1,89.0,25.7,1572
Marc Mariani*,TEN,23,WR,16,0,27.0,329.0,1,87.0,12.2,60.0,1530.0,1,98.0,25.5,1859
Eddie Royal,DEN,24,WR,16,10,25.0,298.0,0,33.0,11.9,5.0,107.0,0,33.0,21.4,1093
Davone Bess,MIA,25,WR,16,8,25.0,284.0,0,47.0,11.4,,,0,,,1101
Darren Sproles,SDG,27,RB,16,3,24.0,166.0,0,16.0,6.9,51.0,1257.0,0,45.0,24.6,2210
Ted Ginn Jr.,SFO,25,WR,13,0,24.0,321.0,1,78.0,13.4,47.0,992.0,0,61.0,21.1,1487
Darius Reynaud,NYG,26,WR,9,0,23.0,132.0,0,20.0,5.7,21.0,386.0,0,31.0,18.4,518
Leon Washington,SEA,28,RB,16,0,22.0,249.0,0,84.0,11.3,57.0,1461.0,3,101.0,25.6,1889
Julian Edelman,NWE,24,WR,15,3,21.0,321.0,1,94.0,15.3,,,0,,,421
Jim Leonhard,NYJ,28,SS,11,11,21.0,238.0,0,32.0,11.3,,,0,,,239
Lardarius Webb,BAL,25,DB,15,0,21.0,199.0,0,35.0,9.5,,,0,,,231
Josh Cribbs,CLE,27,WR,15,5,20.0,168.0,0,17.0,8.4,40.0,814.0,0,37.0,20.4,1340
DeSean Jackson*,PHI,24,WR,14,14,20.0,231.0,1,65.0,11.6,,,0,,,1391
Antonio Brown,PIT,22,WR,9,0,19.0,110.0,0,21.0,5.8,17.0,397.0,1,89.0,23.4,674
Eric Weems*,ATL,25,WR,16,4,18.0,230.0,1,55.0,12.8,40.0,1100.0,1,102.0,27.5,1391
Johnnie Lee Higgins,OAK,27,WR,13,1,17.0,123.0,0,53.0,7.2,,,0,,,226
Tom Zbikowski,BAL,25,FS,8,6,16.0,101.0,0,20.0,6.3,3.0,48.0,0,20.0,16.0,149
Golden Tate,SEA,22,WR,11,0,16.0,202.0,0,63.0,12.6,1.0,10.0,0,10.0,10.0,443
Dez Bryant,DAL,22,WR,12,2,15.0,215.0,2,93.0,14.3,12.0,293.0,0,43.0,24.4,1069
Kyle Wilson,NYJ,23,DB,16,6,15.0,111.0,0,18.0,7.4,2.0,22.0,0,15.0,11.0,133
Will Blackmon,NYG,26,DB,5,0,14.0,94.0,0,22.0,6.7,13.0,238.0,0,42.0,18.3,332
Reggie Bush,NOR,25,RB,8,6,14.0,92.0,0,43.0,6.6,1.0,32.0,0,32.0,32.0,482
Antoine Cason,SDG,24,RCB,16,15,14.0,231.0,0,62.0,16.5,,,0,,,282
Antwaan Randle El,PIT,31,WR,16,0,14.0,56.0,0,15.0,4.0,,,0,,,311
Dexter McCluster,KAN,21,WR,11,7,13.0,202.0,1,94.0,15.5,26.0,527.0,0,36.0,20.3,1009
C.J. Spiller,BUF,23,RB,14,1,12.0,175.0,0,34.0,14.6,44.0,1014.0,1,95.0,23.0,1629
Jorrick Calvin,PHI,23,DB,12,0,12.0,125.0,0,44.0,10.4,32.0,692.0,0,41.0,21.6,817
Roscoe Parrish,BUF,28,WR,8,6,12.0,131.0,0,33.0,10.9,,,0,,,558
Lance Moore,NOR,27,WR,16,1,11.0,112.0,0,72.0,10.2,,,0,,,875
Blair White,IND,23,WR,13,4,10.0,80.0,0,18.0,8.0,,,0,,,435
Bryan McCann,DAL,23,DB,9,0,8.0,165.0,1,97.0,20.6,23.0,507.0,0,38.0,22.0,773
Jerricho Cotchery,NYJ,28,WR,14,5,8.0,66.0,0,19.0,8.3,,,0,,,496
Jerraud Powers,IND,23,RCB,10,10,8.0,63.0,0,13.0,7.9,,,0,,,74
Brandon James,IND,23,WR,3,0,7.0,35.0,0,14.0,5.0,14.0,229.0,0,26.0,16.4,304
Leodis McKelvin,BUF,25,LCB,16,14,6.0,24.0,0,25.0,4.0,14.0,265.0,0,49.0,18.9,299
Kenny Moore,IND,25,WR,2,0,6.0,36.0,0,16.0,6.0,5.0,102.0,0,27.0,20.4,138
Aaron Ross,NYG,28,DB,15,1,6.0,37.0,0,14.0,6.2,,,0,,,37
Steve Smith Sr.,CAR,31,WR,14,14,6.0,46.0,0,32.0,7.7,,,0,,,609
Adam Jones,CIN,27,DB,5,1,5.0,33.0,0,27.0,6.6,7.0,134.0,0,29.0,19.1,236
Antonio Cromartie,NYJ,26,RCB,15,15,5.0,36.0,0,16.0,7.2,1.0,-6.0,0,-6.0,-6.0,105
Max Komar,ARI,23,WR,8,0,5.0,31.0,0,9.0,6.2,,,0,,,148
Wes Welker*,NWE,29,WR,15,11,5.0,36.0,0,22.0,7.2,,,0,,,884
Emmanuel Sanders,PIT,23,WR,13,1,4.0,60.0,0,38.0,15.0,25.0,628.0,0,48.0,25.1,1064
Phillip Adams,SFO,22,DB,15,0,4.0,29.0,0,16.0,7.3,,,0,,,29
David Anderson,HOU,27,WR,12,1,4.0,26.0,0,17.0,6.5,,,0,,,143
Santonio Holmes,NYJ,26,WR,12,10,4.0,40.0,0,14.0,10.0,,,0,,,803
Perrish Cox,DEN,23,RCB,15,9,3.0,7.0,0,4.0,2.3,9.0,172.0,0,30.0,19.1,194
Chad Hall,PHI,24,WR,8,1,3.0,31.0,0,14.0,10.3,4.0,65.0,0,21.0,16.3,240
Kyle Williams,SFO,22,WR,5,0,3.0,16.0,0,9.0,5.3,4.0,82.0,0,30.0,20.5,99
Chris Carr,BAL,27,LCB,16,16,3.0,8.0,0,10.0,2.7,1.0,14.0,0,14.0,14.0,35
Justin Forsett,SEA,25,RB,16,5,3.0,17.0,0,12.0,5.7,1.0,8.0,0,8.0,8.0,800
Jeremy Maclin,PHI,22,WR,16,16,3.0,17.0,0,9.0,5.7,1.0,22.0,0,22.0,22.0,1039
Bernard Berrian,MIN,30,WR,14,9,3.0,2.0,0,2.0,0.7,,,0,,,246
Ed Reed*+,BAL,32,FS,10,10,3.0,11.0,0,9.0,3.7,,,0,,,194
Syd'Quan Thompson,DEN,23,DB,13,0,3.0,18.0,0,10.0,6.0,,,0,,,38
Clifton Smith,2TM,25,RB,4,0,2.0,9.0,0,6.0,4.5,8.0,144.0,0,26.0,18.0,153
Joe McKnight,NYJ,22,RB,9,1,2.0,43.0,0,25.0,21.5,3.0,60.0,0,28.0,20.0,312
Patrick Crayton,SDG,31,WR,9,2,2.0,23.0,0,13.0,11.5,1.0,31.0,0,31.0,31.0,568
Phillip Buchanon,WAS,30,RCB,16,5,2.0,1.0,0,1.0,0.5,,,0,,,52
Armanti Edwards,CAR,22,QB,3,0,2.0,0.0,0,0.0,0.0,,,0,,,7
Tracy Porter,NOR,24,RCB,12,12,2.0,6.0,0,4.0,3.0,,,0,,,13
Chansi Stuckey,CLE,27,WR,16,5,2.0,5.0,0,5.0,2.5,,,0,,,360
Brandon Tate,NWE,23,WR,16,10,1.0,4.0,0,4.0,4.0,41.0,1057.0,2,103.0,25.8,1555
Yamon Figurs,2TM,27,WR,2,0,1.0,10.0,0,10.0,10.0,5.0,105.0,0,25.0,21.0,128
Andre Caldwell,CIN,25,WR,15,5,1.0,0.0,0,0.0,0.0,3.0,79.0,0,32.0,26.3,422
Sammie Stroughter,TAM,24,WR,12,4,1.0,0.0,0,0.0,0.0,3.0,79.0,0,30.0,26.3,320
Jonathon Amaya,MIA,22,DB,10,0,1.0,0.0,0,0.0,0.0,,,0,,,0
Tyron Brackenridge,JAX,26,DB,16,0,1.0,1.0,0,1.0,1.0,,,0,,,1
Tyvon Branch,OAK,24,SS,16,16,1.0,-4.0,0,-4.0,-4.0,,,0,,,87
Marquice Cole,NYJ,27,DB,12,1,1.0,-5.0,0,-5.0,-5.0,,,0,,,44
