Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Jeremy Kerley,NYJ,27,WR,16,1,48.0,411.0,0,58.0,8.6,,,0,,,563
Tyler Lockett*+,SEA,23,WR,16,8,40.0,379.0,1,66.0,9.5,33.0,852.0,1,105.0,25.8,1915
Darren Sproles*,PHI,32,RB,16,4,38.0,446.0,2,89.0,11.7,1.0,20.0,0,20.0,20.0,1171
Keith Mumphery,HOU,23,WR,16,3,36.0,280.0,0,20.0,7.8,14.0,338.0,0,41.0,24.1,747
Jarvis Landry*,MIA,23,WR,16,14,36.0,356.0,1,69.0,9.9,13.0,321.0,0,50.0,24.7,1947
Dwayne Harris,NYG,28,WR,15,6,34.0,341.0,1,80.0,10.0,22.0,631.0,1,100.0,28.7,1380
Tavon Austin,STL,25,WR,16,15,34.0,264.0,1,75.0,7.8,3.0,16.0,0,7.0,5.3,1187
Marcus Sherels,MIN,28,DB,16,0,34.0,311.0,1,65.0,9.1,2.0,33.0,0,21.0,16.5,344
Patrick Peterson*+,ARI,25,LCB,16,16,32.0,260.0,0,38.0,8.1,2.0,46.0,0,24.0,23.0,347
Jamison Crowder,WAS,22,WR,16,6,30.0,158.0,0,16.0,5.3,1.0,13.0,0,13.0,13.0,777
Bobby Rainey,TAM,28,RB,16,0,29.0,291.0,0,58.0,10.0,19.0,469.0,0,38.0,24.7,794
Marc Mariani,CHI,28,WR,16,5,29.0,192.0,0,20.0,6.6,16.0,418.0,0,47.0,26.1,910
De'Anthony Thomas,KAN,22,RB,10,1,29.0,227.0,0,37.0,7.8,6.0,138.0,0,30.0,23.0,539
Marcus Murphy,NOR,24,RB,13,0,28.0,261.0,1,74.0,9.3,12.0,300.0,0,35.0,25.0,561
Travis Benjamin,CLE,26,WR,16,15,28.0,324.0,1,78.0,11.6,,,0,,,1302
Brandon Tate,CIN,28,WR,16,0,27.0,171.0,0,18.0,6.3,18.0,413.0,0,58.0,22.9,643
Micah Hyde,GNB,25,SS,15,7,27.0,157.0,0,16.0,5.8,8.0,187.0,0,30.0,23.4,380
Ted Ginn Jr.,CAR,30,WR,15,13,27.0,277.0,0,37.0,10.3,1.0,8.0,0,8.0,8.0,1084
Jeremy Ross,2TM,27,WR,11,0,24.0,214.0,0,42.0,8.9,19.0,470.0,0,46.0,24.7,774
Dexter McCluster,TEN,26,WR,11,2,24.0,217.0,0,37.0,9.0,13.0,285.0,0,32.0,21.9,1009
Kaelin Clay,BAL,23,WR,7,0,23.0,244.0,1,82.0,10.6,14.0,343.0,0,39.0,24.5,587
