Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Dax Milne,WAS,23,WR,15,1,40,311,0,19,7.8,15,300,0,33,20.0,648
Ray-Ray McCloud,SFO,26,WR,17,2,33,356,0,35,10.8,26,599,0,39,23.0,1276
Britain Covey,PHI,25,WR,17,0,33,308,0,27,9.3,10,206,0,26,20.6,514
Jaelon Darden,2TM,23,WR,14,0,33,345,0,24,10.5,3,67,0,25,22.3,440
Trent Taylor,CIN,28,WR,16,1,33,340,0,27,10.3,2,15,0,9,7.5,432
Desmond King,HOU,28,DB/LCB,17,13,33,309,0,31,9.4,1,50,0,50,50.0,409
Montrell Washington,DEN,23,WR,15,1,32,271,0,30,8.5,18,340,0,29,18.9,643
Marcus Jones+,NWE,24,DB,15,4,29,362,1,84,12.5,27,645,0,46,23.9,1172
DeAndre Carter,LAC,29,WR,17,7,29,339,0,28,11.7,26,497,0,33,19.1,1359
KaVontae Turpin*,DAL,26,WR,17,0,29,303,0,52,10.4,21,508,0,63,24.2,837
Nyheim Hines,2TM,26,RB,16,5,27,264,0,28,9.8,19,554,2,101,29.2,1103
Greg Dortch,ARI,24,WR,16,4,26,172,0,18,6.6,11,218,0,31,19.8,901
Jalen Reagor,MIN,23,WR,17,0,26,167,0,25,6.4,,,0,,,307
Jamal Agnew*,JAX,27,WR,15,0,25,205,0,22,8.2,21,547,0,54,26.0,1025
Brandon Powell,LAR,27,WR,17,6,24,177,0,22,7.4,30,605,0,34,20.2,1018
Richie James,NYG,27,WR,17,4,24,174,0,23,7.3,,,0,,,749
Shi Smith,CAR,24,WR,17,6,23,143,0,22,6.2,,,0,,,439
Braxton Berrios,NYJ,27,WR,17,2,21,240,0,22,11.4,26,600,0,42,23.1,1076
Rashid Shaheed,NOR,24,WR,12,6,20,193,0,42,9.7,14,320,0,31,22.9,1058
Amari Rodgers,2TM,23,WR,16,1,20,139,0,20,7.0,6,122,0,34,20.3,472
Kalif Raymond,DET,28,WR,17,7,20,264,1,47,13.2,2,65,0,52,32.5,981
Steven Sims,PIT,25,WR,12,2,19,105,0,24,5.5,17,434,0,89,25.5,713
Avery Williams,ATL,24,RB,17,3,18,292,0,56,16.2,16,313,0,30,19.6,775
Donovan Peoples-Jones,CLE,23,WR,17,14,18,223,1,76,12.4,,,0,,,1064
Dante Pettis,CHI,27,WR,17,7,18,163,0,27,9.1,,,0,,,445
Keke Coutee,IND,25,WR,8,0,17,152,0,19,8.9,,,0,,,172
Devin Duvernay*,BAL,25,WR,14,13,16,190,0,46,11.9,15,383,1,103,25.5,1064
