Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
DeeJay Dallas,SEA,24,RB,15,0,14,102,0,20,7.3,12,270,0,30,22.5,731
C.J. Board,TEN,29,WR,4,0,14,147,0,19,10.5,4,82,0,22,20.5,235
Skyy Moore,KAN,22,WR,16,3,14,86,0,15,6.1,3,50,0,23,16.7,410
Keelan Cole,LVR,29,WR,14,3,13,79,0,13,6.1,,,0,,,220
Cedrick Wilson Jr.,MIA,27,WR,15,0,13,97,0,15,7.5,,,0,,,241
Keisean Nixon+,GNB,25,CB,17,4,11,140,0,24,12.7,35,1009,1,105,28.8,1150
Hunter Renfrow,LVR,27,WR,10,1,11,74,0,17,6.7,,,0,,,404
Robert Woods,TEN,30,WR,17,15,11,90,0,21,8.2,,,0,,,617
Myles Bryant,NWE,24,CB,17,6,10,56,0,16,5.6,,,0,,,67
Kadarius Toney,2TM,23,WR,9,4,10,61,0,9,6.1,,,0,,,314
Pharoh Cooper,ARI,27,WR,5,1,9,117,0,28,13.0,12,288,0,33,24.0,426
Jamison Crowder,BUF,29,WR,4,0,9,100,0,20,11.1,1,17,0,17,17.0,189
Gunner Olszewski,PIT,26,WR,16,2,8,55,0,20,6.9,3,46,0,27,15.3,193
Demetric Felton,CLE,24,WR,8,2,7,42,0,15,6.0,1,11,0,11,11.0,57
Raheem Blackshear,CAR,23,RB,13,1,6,55,0,21,9.2,19,513,0,66,27.0,738
Deven Thompkins,TAM,23,WR,5,1,6,61,0,14,10.2,12,263,0,54,21.9,382
Mecole Hardman,KAN,24,WR,8,5,6,55,0,22,9.2,1,4,0,4,4.0,387
Velus Jones Jr.,CHI,25,WR,12,2,5,35,0,19,7.0,22,607,0,63,27.6,852
Kyle Philips,TEN,23,WR,4,0,5,62,0,46,12.4,,,0,,,140
Justin Watson,KAN,27,WR,17,5,5,39,0,17,7.8,,,0,,,354
Tremon Smith,HOU,26,DB,17,2,4,53,0,26,13.3,19,417,0,32,21.9,503
Chester Rogers,CLE,28,WR,3,0,4,18,0,7,4.5,8,170,0,28,21.3,188
Andre Roberts,CAR,34,WR,3,0,4,18,0,10,4.5,2,35,0,18,17.5,53
Randall Cobb,GNB,32,WR,13,3,4,37,0,15,9.3,,,0,,,454
Alex Erickson,WAS,30,WR,2,0,4,25,0,13,6.3,,,0,,,25
Jevon Holland,MIA,22,FS,17,17,4,18,0,8,4.5,,,0,,,82
Christian Kirk,JAX,26,WR,17,17,4,25,0,10,6.3,,,0,,,1144
James Proche,BAL,26,WR,15,0,4,24,0,9,6.0,,,0,,,86
Dallis Flowers,IND,25,CB,13,1,3,13,0,9,4.3,23,715,0,89,31.1,728
Deonte Harty,NOR,25,WR,4,0,3,8,0,12,2.7,6,137,0,33,22.8,158
Khalil Shakir,BUF,22,WR,14,2,3,23,0,17,7.7,1,34,0,34,34.0,218
Kendall Hinton,DEN,25,WR,12,5,3,37,0,17,12.3,,,0,,,361
Adoree' Jackson,NYG,27,LCB,10,10,3,5,0,3,1.7,,,0,,,6
Isaiah Rodgers,IND,24,DB,15,9,2,13,0,13,6.5,18,452,0,45,25.1,484
DJ Turner,LVR,25,WR,9,0,2,3,0,3,1.5,4,78,0,22,19.5,107
Dontrell Hilliard,TEN,27,RB,12,1,2,4,0,4,2.0,1,23,0,23,23.0,349
Marquez Callaway,NOR,24,WR,14,3,2,25,0,21,12.5,,,0,,,183
Tyreek Hill*+,MIA,28,WR,17,17,2,-4,0,0,-2.0,,,0,,,1795
Mason Kinsey,TEN,24,WR,2,0,2,0,0,0,0.0,,,0,,,4
Jarvis Landry,NOR,30,WR,9,3,2,17,0,14,8.5,,,0,,,295
DeVonta Smith,PHI,24,WR,17,17,2,15,0,12,7.5,,,0,,,1211
Taiwan Jones,BUF,34,RB,16,0,1,0,0,0,0.0,1,2,0,2,2.0,2
Xavier Crawford,SEA,27,DB,6,0,1,0,0,0,0.0,,,0,,,0
Nick Cross,IND,21,S,16,2,1,0,0,0,0.0,,,0,,,0
Dee Delaney,TAM,27,DB,17,1,1,0,0,0,0.0,,,0,,,0
Jake Gervase,LAR,27,LB,14,0,1,1,0,1,1.0,,,0,,,13
Darnay Holmes,NYG,24,CB,15,2,1,0,0,0,0.0,,,0,,,0
Amani Hooker,TEN,24,FS,9,9,1,0,0,0,0.0,,,0,,,0
Brandon Johnson,DEN,24,WR,7,1,1,0,0,0,0.0,,,0,,,42
Tyron Johnson,2TM,26,WR,4,1,1,0,0,0,0.0,,,0,,,8
Chris Lammons,KAN,26,CB,16,0,1,0,0,0,0.0,,,0,,,0
Tyler Lockett,SEA,30,WR,16,16,1,7,0,7,7.0,,,0,,,1040
Jason Pinnock,NYG,23,FS,14,5,1,0,0,0,0.0,,,0,,,0
Freddie Swain,2TM,24,WR,4,1,1,0,0,0,0.0,,,0,,,74
Keith Taylor,CAR,24,CB,17,2,1,0,0,0,0.0,,,0,,,0
Josh Thompson,TEN,24,DB,6,0,1,0,0,0,0.0,,,0,,,0
Kene Nwangwu,MIN,24,RB,17,0,,,0,,,35,920,1,97,26.3,955
Jerome Ford,CLE,23,RB,13,0,,,0,,,30,723,0,48,24.1,735
Isiah Pacheco,KAN,23,RB,17,11,,,0,,,29,597,0,48,20.6,1559
Ameer Abdullah,LVR,29,RB,17,0,,,0,,,26,543,0,33,20.9,774
Gary Brightwell,NYG,23,RB,17,0,,,0,,,26,555,0,47,21.3,735
Raheem Mostert,MIA,30,RB,16,14,,,0,,,25,502,0,31,20.1,1595
Justin Jackson,DET,26,RB,16,0,,,0,,,23,613,0,42,26.7,884
Antonio Gibson,WAS,24,RB,15,6,,,0,,,21,486,0,45,23.1,1385
Hassan Haskins,TEN,23,RB,15,1,,,0,,,19,414,0,37,21.8,564
Trayveon Williams,CIN,25,RB,8,0,,,0,,,16,356,0,42,22.3,432
Boston Scott,PHI,27,RB,15,2,,,0,,,15,406,0,66,27.1,638
Godwin Igwebuike,SEA,28,RB,5,0,,,0,,,11,308,0,50,28.0,315
Rachaad White,TAM,23,RB,17,8,,,0,,,11,244,0,30,22.2,1015
Julius Chestnut,TEN,22,RB,6,0,,,0,,,10,215,0,33,21.5,268
Trestan Ebner,CHI,23,RB,17,0,,,0,,,10,226,0,30,22.6,270
Chris Evans,CIN,25,RB,12,0,,,0,,,10,211,0,29,21.1,249
Justice Hill,BAL,25,RB,15,0,,,0,,,10,247,0,56,24.7,567
Cordarrelle Patterson,ATL,31,RB,13,11,,,0,,,9,284,1,103,31.6,1101
Eno Benjamin,3TM,23,RB,15,3,,,0,,,8,180,0,44,22.5,686
D'Wayne Eskridge,SEA,25,WR,10,0,,,0,,,7,150,0,29,21.4,218
Duke Johnson,BUF,29,RB,1,0,,,0,,,7,157,0,43,22.4,161
Maurice Alexander,DET,25,WR,4,0,,,0,,,6,146,0,47,24.3,153
Isaiah McKenzie,BUF,27,WR,15,8,,,0,,,6,144,0,42,24.0,622
Khalil Herbert,CHI,24,RB,13,1,,,0,,,5,146,0,50,29.2,934
Chuba Hubbard,CAR,23,RB,15,2,,,0,,,5,104,0,36,20.8,745
Pierre Strong,NWE,24,RB,15,0,,,0,,,5,115,0,26,23.0,257
Quez Watkins,PHI,24,WR,17,8,,,0,,,5,51,0,17,10.2,406
Chris Claybrooks,JAX,25,CB,17,0,,,0,,,4,77,0,22,19.3,77
Jamycal Hasty,JAX,26,RB,17,0,,,0,,,4,97,0,29,24.3,417
Jaret Patterson,WAS,23,RB,3,0,,,0,,,4,97,0,27,24.3,175
Dwayne Washington,NOR,28,RB,12,0,,,0,,,4,69,0,24,17.3,130
Taysom Hill,NOR,32,TE/QB,16,8,,,0,,,3,69,0,26,23.0,721
Ty Johnson,NYJ,25,RB,17,1,,,0,,,3,39,0,19,13.0,287
Laviska Shenault Jr.,CAR,24,WR,13,4,,,0,,,3,82,0,36,27.3,419
Keith Smith,ATL,30,WR,17,6,,,0,,,3,37,0,16,12.3,47
Benny Snell Jr.,PIT,24,RB,17,0,,,0,,,3,30,0,15,10.0,137
Michael Burton,KAN,30,RB,17,0,,,0,,,2,29,0,20,14.5,47
Trenton Cannon,TEN,28,RB,2,0,,,0,,,2,33,0,19,16.5,33
Tyrie Cleveland,DEN,25,WR,6,0,,,0,,,2,18,0,10,9.0,46
Romeo Doubs,GNB,22,WR,13,7,,,0,,,2,39,0,21,19.5,475
Alec Ingold,MIA,26,FB,17,14,,,0,,,2,20,0,12,10.0,133
Dare Ogunbowale,HOU,28,RB,17,4,,,0,,,2,46,0,25,23.0,273
Eric Saubert,DEN,28,TE,17,6,,,0,,,2,21,0,15,10.5,169
Jonnu Smith,NWE,27,TE,14,8,,,0,,,2,31,0,16,15.5,281
Durham Smythe,MIA,27,TE,16,15,,,0,,,2,27,0,18,13.5,157
Christian Watson,GNB,23,WR,14,11,,,0,,,2,35,0,18,17.5,726
Shane Zylstra,DET,26,TE,13,2,,,0,,,2,46,0,26,23.0,106
Devin Asiasi,CIN,25,TE,12,0,,,0,,,1,14,0,14,14.0,19
Corey Ballentine,GNB,26,DB,8,0,,,0,,,1,0,0,0,0.0,0
David Bell,CLE,22,WR,16,3,,,0,,,1,12,0,12,12.0,226
Giovani Bernard,TAM,31,RB,8,0,,,0,,,1,14,0,14,14.0,41
Brandon Bolden,LVR,32,RB,16,0,,,0,,,1,32,0,32,32.0,155
Nick Boyle,BAL,29,TE,12,0,,,0,,,1,14,0,14,14.0,14
Josiah Deguara,GNB,25,TE,17,3,,,0,,,1,0,0,0,0.0,114
Kyle Dugger,NWE,26,SS,15,15,,,0,,,1,37,0,37,37.0,151
Jody Fortson,KAN,27,TE,13,1,,,0,,,1,12,0,12,12.0,120
Kylen Granson,IND,24,TE,13,4,,,0,,,1,15,0,15,15.0,317
Peyton Hendershot,DAL,23,TE,17,2,,,0,,,1,18,0,18,18.0,123
Tyler Higbee,LAR,29,TE,17,17,,,0,,,1,7,0,7,7.0,627
Michael Hoecht,LAR,25,DT/LB,17,6,,,0,,,1,22,0,22,22.0,22
Austin Hooper,TEN,28,TE,17,2,,,0,,,1,0,0,2,0.0,444
D'Ernest Johnson,CLE,26,RB,15,0,,,0,,,1,27,0,27,27.0,51
Jakob Johnson,LVR,28,FB,17,9,,,0,,,1,15,0,15,15.0,25
Nikola Kalinic,IND,25,TE,7,2,,,0,,,1,15,0,15,15.0,15
Joshua Kelley,LAC,25,RB,13,1,,,0,,,1,15,0,15,15.0,403
Ko Kieft,TAM,24,TE,17,12,,,0,,,1,7,0,7,7.0,87
Zonovan Knight,NYJ,21,RB,7,4,,,0,,,1,18,0,18,18.0,418
Allen Lazard,GNB,27,WR,15,15,,,0,,,1,0,0,2,0.0,788
Cameron Lewis,BUF,25,CB,13,1,,,0,,,1,0,0,0,0.0,0
Marlon Mack,2TM,26,RB,8,0,,,0,,,1,20,0,20,20.0,203
Ty Montgomery,NWE,29,WR,1,0,,,0,,,1,28,0,28,28.0,41
Elijah Moore,NYJ,22,WR,16,9,,,0,,,1,9,0,9,9.0,460
Johnny Mundt,MIN,28,TE,17,12,,,0,,,1,0,0,0,0.0,140
James Pierre,PIT,26,CB,17,2,,,0,,,1,0,0,0,0.0,0
Patrick Ricard*,BAL,28,FB,17,16,,,0,,,1,15,0,15,15.0,105
Ihmir Smith-Marsette,2TM,23,WR,8,0,,,0,,,1,17,0,17,17.0,31
Stephen Sullivan,CAR,26,TE,14,0,,,0,,,1,5,0,5,5.0,51
Tommy Tremble,CAR,22,TE,17,4,,,0,,,1,8,0,8,8.0,182
Jalen Virgil,DEN,24,WR,9,1,,,0,,,1,21,0,21,21.0,96
Jonathan Ward,2TM,25,RB,8,0,,,0,,,1,25,0,25,25.0,57
Jonathan Williams,WAS,28,RB,13,2,,,0,,,1,19,0,19,19.0,211
Russ Yeast,LAR,23,S,15,1,,,0,,,1,29,0,29,29.0,29
Brandon Zylstra,DET,29,WR,2,0,,,0,,,1,19,0,19,19.0,19
