Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Seneca Wallace,25,SEA,QB,7,0,,13,25,52.0,173,1,4.0,1,4.0,10,39.3,42,6.9,5.92,13.3,24.7,70.9,3,20,10.71,5.46,4.57,0,0,
Cody Pickett,25,SFO,QB,5,2,0-2-0,14,35,40.0,140,0,0.0,2,5.7,4,13.2,28,4.0,1.43,10.0,28.0,28.3,3,16,7.89,3.26,0.89,0,0,
Matt Mauck,26,TEN,QB,2,1,0-1-0,15,27,55.6,136,0,0.0,1,3.7,4,35.7,17,5.0,3.37,9.1,68.0,53.9,1,8,3.57,4.57,2.96,0,0,
Marques Tuiasosopo,26,OAK,QB,1,1,0-1-0,14,26,53.8,124,1,3.8,2,7.7,8,34.4,20,4.8,2.08,8.9,124.0,47.6,6,40,18.75,2.63,0.44,0,0,
Philip Rivers,24,SDG,QB,2,0,,12,22,54.5,115,0,0.0,1,4.5,6,40.0,22,5.2,3.18,9.6,57.5,50.4,3,16,12.00,3.96,2.16,0,0,
Jay Fiedler,34,NYJ,QB,2,0,,8,13,61.5,107,1,7.7,0,0.0,5,53.8,23,8.2,9.77,13.4,53.5,113.3,0,0,0.00,8.23,9.77,0,0,
Quinn Gray,26,JAX,QB,1,0,,8,14,57.1,100,2,14.3,0,0.0,6,46.7,26,7.1,10.00,12.5,100.0,119.0,1,7,6.67,6.20,8.87,0,0,
Jon Kitna,33,CIN,QB,3,0,,17,29,58.6,99,0,0.0,2,6.9,6,35.5,16,3.4,0.31,5.8,33.0,36.4,2,10,6.45,2.87,-0.03,0,0,
Antwaan Randle El,26,PIT,WR,16,15,,3,3,100.0,67,1,33.3,0,0.0,2,100.0,51,22.3,29.00,22.3,4.2,158.3,0,0,0.00,22.33,29.00,0,0,
Aaron Rodgers,22,GNB,QB,3,0,,9,16,56.3,65,0,0.0,1,6.3,3,31.6,16,4.1,1.25,7.2,21.7,39.8,3,28,15.79,1.95,-0.42,0,0,
