Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
LaDainian Tomlinson*+,SDG,27,RB,16,16,28,3,,,,,,31,,,,,,,,,186,11.6
Robbie Gould*+,CHI,24,K,16,0,,,,,,,,,,,,47,47,32,36,,143,8.9
Nate Kaeding*,SDG,24,K,16,0,,,,,,,,,,,,58,58,26,29,,136,8.5
Jeff Wilkins,STL,34,K,16,0,,,,,,,,,,,,35,35,32,37,,131,8.2
Matt Stover,BAL,38,K,16,0,,,,,,,,,,,,37,37,28,30,,121,7.6
Josh Scobee,JAX,24,K,16,0,,,,,,,,,,,,41,41,26,32,,119,7.4
Jason Hanson,DET,36,K,16,0,,,,,,,,,,,,30,30,29,33,,117,7.3
Joe Nedney,SFO,33,K,16,0,,,,,,,,,,,,29,29,29,35,,116,7.3
Neil Rackers,ARI,30,K,16,0,,,,,,,,,,,,32,32,28,37,,116,7.3
John Carney,NOR,42,K,16,0,,,,,,,,,,,,46,47,23,25,,115,7.2
Jason Elam,DEN,36,K,16,0,,,,,,,,,,,,34,34,27,29,,115,7.2
Shayne Graham,CIN,29,K,16,0,,,,,,,,,,,,40,42,25,30,,115,7.2
Larry Johnson*+,KAN,27,RB,16,16,17,2,,,,,,19,,,,,,,,,114,7.1
Adam Vinatieri,IND,34,K,13,0,,,,,,,,,,,,38,38,25,28,,113,8.7
Josh Brown,SEA,27,K,16,0,,,,,,,,,,,,36,36,25,31,,111,6.9
Dave Rayner,GNB,24,K,16,0,,,,,,,,,,,,31,32,26,35,,109,6.8
Jay Feely,NYG,30,K,16,0,,,,,,,,,,,,38,38,23,27,,107,6.7
Lawrence Tynes,KAN,28,K,16,0,,,,,,,,,,,,35,36,24,31,,107,6.7
Mike Nugent,NYJ,24,K,16,0,,,,,,,,,,,,34,35,24,27,,106,6.6
Stephen Gostkowski,NWE,22,K,16,0,,,,,,,,,,,,43,44,20,26,,103,6.4
David Akers,PHI,32,K,16,0,,,,,,,,,,,,48,48,18,23,,102,6.4
Rian Lindell,BUF,29,K,16,0,,,,,,,,,,,,33,33,23,25,,102,6.4
Jeff Reed,PIT,27,K,16,0,,,,,,,,,,,,41,41,20,27,,101,6.3
John Kasay,CAR,37,K,16,0,,,,,,,,,,,,28,28,24,27,,100,6.3
Olindo Mare,MIA,33,K,16,0,,,,,,,,,,,,22,22,26,36,,100,6.3
Rob Bironas,TEN,28,K,16,0,,,,,,,,,,,,32,32,22,28,,98,6.1
Marion Barber III,DAL,23,RB,16,1,14,2,,,,,,16,,,,,,,,,96,6.0
Steven Jackson*,STL,23,RB,16,16,13,3,,,,,,16,,,,,,,,,96,6.0
Maurice Jones-Drew,JAX,21,RB,16,1,13,2,,1,,,,16,,,,,,,,,96,6.0
Willie Parker*,PIT,26,RB,16,16,13,3,,,,,,16,,,,,,,,,96,6.0
Ryan Longwell,MIN,32,K,16,0,,,,,,,,,,,,27,28,21,25,,90,5.6
Phil Dawson,CLE,31,K,16,0,,,,,,,,,,,,25,25,21,29,,88,5.5
Morten Andersen,ATL,46,K,14,0,,,,,,,,,,,,27,27,20,23,,87,6.2
Kris Brown,HOU,30,K,16,0,,,,,,,,,,,,26,27,19,25,,83,5.2
Terrell Owens,DAL,33,WR,16,15,,13,,,,,,13,1,,,,,,,,80,5.0
Corey Dillon,NWE,32,RB,16,13,13,,,,,,,13,,,,,,,,,78,4.9
Matt Bryant,TAM,31,K,16,0,,,,,,,,,,,,22,23,17,22,,73,4.6
Marvin Harrison*+,IND,34,WR,16,16,,12,,,,,,12,,,,,,,,,72,4.5
Rudi Johnson,CIN,27,RB,16,15,12,,,,,,,12,,,,,,,,,72,4.5
Mike Vanderjagt,DAL,36,K,10,0,,,,,,,,,,,,33,33,13,18,,72,7.2
Sebastian Janikowski,OAK,28,K,16,0,,,,,,,,,,,,16,16,18,25,,70,4.4
Deuce McAllister,NOR,28,RB,15,13,10,,,,1,,,11,,,,,,,,,66,4.4
Brian Westbrook,PHI,27,RB,15,14,7,4,,,,,,11,,,,,,,,,66,4.4
Plaxico Burress,NYG,29,WR,15,15,,10,,,,,,10,,,,,,,,,60,4.0
Torry Holt*,STL,30,WR,16,16,,10,,,,,,10,,,,,,,,,60,3.8
Darrell Jackson,SEA,28,WR,13,13,,10,,,,,,10,,,,,,,,,60,4.6
Reggie Wayne*,IND,28,WR,16,16,,9,,,,,,9,1,,,,,,,,56,3.5
Reggie Brown,PHI,25,WR,16,15,1,8,,,,,,9,,,,,,,,,54,3.4
Reggie Bush,NOR,21,RB,16,8,6,2,1,,,,,9,,,,,,,,,54,3.4
Antonio Gates*+,SDG,26,TE,16,16,,9,,,,,,9,,,,,,,,,54,3.4
Frank Gore*,SFO,23,RB,16,16,8,1,,,,,,9,,,,,,,,,54,3.4
Chris Henry,CIN,23,WR,13,4,,9,,,,,,9,,,,,,,,,54,4.2
T.J. Houshmandzadeh,CIN,29,WR,14,13,,9,,,,,,9,,,,,,,,,54,3.9
Brandon Jacobs,NYG,24,RB,15,0,9,,,,,,,9,,,,,,,,,54,3.6
Jamal Lewis,BAL,27,RB,16,16,9,,,,,,,9,,,,,,,,,54,3.4
Steve Smith Sr.*,CAR,27,WR,14,14,1,8,,,,,,9,,,,,,,,,54,3.9
Javon Walker,DEN,28,WR,16,16,1,8,,,,,,9,,,,,,,,,54,3.4
Joseph Addai,IND,23,RB,16,0,7,1,,,,,,8,,,,,,,,,48,3.0
Mike Bell,DEN,23,RB,15,3,8,,,,,,,8,,,,,,,,,48,3.2
Marques Colston,NOR,23,WR,14,12,,8,,,,,,8,,,,,,,,,48,3.4
Alge Crumpler*,ATL,29,TE,16,16,,8,,,,,,8,,,,,,,,,48,3.0
Donald Driver*,GNB,31,WR,16,16,,8,,,,,,8,,,,,,,,,48,3.0
Lee Evans,BUF,25,WR,16,15,,8,,,,,,8,,,,,,,,,48,3.0
Kevin Jones,DET,24,RB,12,12,6,2,,,,,,8,,,,,,,,,48,4.0
Martin Gramatica,2TM,31,K,8,0,,,,,,,,,,,0,23,23,7,9,,44,5.5
Travis Henry,TEN,28,RB,14,13,7,,,,,,,7,1,,,,,,,,44,3.1
Vince Young*,TEN,23,QB,15,13,7,,,,,,,7,1,,,,,,,,44,2.9
Shaun Alexander,SEA,29,RB,10,10,7,,,,,,,7,,,,,,,,,42,4.2
Joey Galloway,TAM,35,WR,16,14,,7,,,,,,7,,,,,,,,,42,2.6
Michael Jenkins,ATL,24,WR,16,16,,7,,,,,,7,,,,,,,,,42,2.6
Chad Johnson*+,CIN,28,WR,16,16,,7,,,,,,7,,,,,,,,,42,2.6
Laurence Maroney,NWE,21,RB,14,0,6,1,,,,,,7,,,,,,,,,42,3.0
Clinton Portis,WAS,25,RB,8,7,7,,,,,,,7,,,,,,,,,42,5.3
