Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Brandon Tate,CIN,24,WR,16,0,51.0,543.0,1,56.0,10.6,42.0,998.0,0,45.0,23.8,1541
Jacoby Jones,HOU,27,WR,16,10,49.0,518.0,1,79.0,10.6,,,0,,,1047
Marc Mariani,TEN,24,WR,16,0,46.0,490.0,1,79.0,10.7,32.0,748.0,0,49.0,23.4,1266
Patrick Peterson*+,ARI,21,RCB,16,16,44.0,699.0,4,99.0,15.9,,,0,,,698
Leon Washington,SEA,29,RB,16,1,41.0,464.0,0,37.0,11.3,43.0,1084.0,0,54.0,25.2,1844
Ted Ginn Jr.,SFO,26,WR,14,3,38.0,466.0,1,55.0,12.3,29.0,800.0,1,102.0,27.6,1554
Stefan Logan,DET,30,RB,16,1,37.0,301.0,0,28.0,8.1,33.0,832.0,0,42.0,25.2,1184
Davone Bess,MIA,26,WR,16,4,37.0,442.0,0,25.0,11.9,1.0,0.0,0,0.0,0.0,988
Brandon Banks,WAS,24,WR,16,0,36.0,328.0,0,55.0,9.1,51.0,1174.0,0,47.0,23.0,1513
Josh Cribbs,CLE,28,WR,16,7,34.0,388.0,1,84.0,11.4,39.0,974.0,0,63.0,25.0,1905
Marcus Sherels,MIN,24,DB,16,3,33.0,277.0,0,53.0,8.4,16.0,445.0,0,78.0,27.8,722
Eric Weems,ATL,26,WR,16,2,32.0,315.0,0,42.0,9.8,24.0,563.0,0,37.0,23.5,968
Javier Arenas,KAN,24,DB,15,1,32.0,410.0,0,37.0,12.8,17.0,362.0,0,35.0,21.3,789
Armanti Edwards,CAR,23,QB,16,0,32.0,176.0,0,17.0,5.5,3.0,35.0,0,17.0,11.7,216
Antonio Brown*,PIT,23,WR,16,3,30.0,325.0,1,60.0,10.8,27.0,737.0,0,52.0,27.3,2211
Lardarius Webb,BAL,26,LCB,16,15,30.0,301.0,1,68.0,10.0,2.0,59.0,0,37.0,29.5,441
Darren Sproles,NOR,28,RB,16,4,29.0,294.0,1,72.0,10.1,40.0,1089.0,0,92.0,27.2,2696
Jeremy Kerley,NYJ,23,WR,14,1,29.0,317.0,0,53.0,10.9,1.0,15.0,0,15.0,15.0,674
Devin Hester,CHI,29,WR,16,8,28.0,454.0,2,82.0,16.2,33.0,723.0,1,98.0,21.9,1540
Julian Edelman,NWE,25,WR,13,0,28.0,296.0,1,72.0,10.6,12.0,284.0,0,37.0,23.7,622
Quan Cosby,DEN,29,WR,10,0,27.0,269.0,0,30.0,10.0,17.0,457.0,0,63.0,26.9,726
Randall Cobb,GNB,21,WR,15,0,26.0,295.0,1,80.0,11.3,34.0,941.0,1,108.0,27.7,1616
Denarius Moore,OAK,23,WR,13,10,25.0,216.0,0,34.0,8.6,2.0,37.0,0,20.0,18.5,932
Preston Parker,TAM,24,WR,16,0,23.0,210.0,0,34.0,9.1,20.0,439.0,0,45.0,22.0,1192
Patrick Crayton,SDG,32,WR,14,1,22.0,202.0,0,31.0,9.2,,,0,,,450
Mike Thomas,JAX,24,WR,15,13,19.0,88.0,0,28.0,4.6,,,0,,,514
DeSean Jackson,PHI,25,WR,15,15,17.0,114.0,0,51.0,6.7,1.0,7.0,0,7.0,7.0,1123
Pierre Garcon,IND,25,WR,16,16,16.0,44.0,0,20.0,2.8,,,0,,,1019
Dwayne Harris,DAL,24,WR,7,0,15.0,80.0,0,14.0,5.3,8.0,231.0,0,51.0,28.9,311
Dez Bryant,DAL,23,WR,15,13,15.0,103.0,0,20.0,6.9,3.0,55.0,0,26.0,18.3,1091
Austin Pettis,STL,23,WR,12,3,15.0,139.0,0,39.0,9.3,3.0,62.0,0,24.0,20.7,451
Aaron Ross,NYG,29,RCB,16,15,14.0,99.0,0,18.0,7.1,,,0,,,118
C.J. Spiller,BUF,24,RB,16,11,13.0,127.0,0,45.0,9.8,6.0,143.0,0,35.0,23.8,1100
Cecil Shorts,JAX,24,WR,10,0,12.0,50.0,0,27.0,4.2,4.0,82.0,0,23.0,20.5,162
Eddie Royal,DEN,25,WR,12,8,12.0,194.0,1,85.0,16.2,3.0,47.0,0,20.0,15.7,444
Nick Miller,2TM,24,WR,8,0,10.0,147.0,1,88.0,14.7,6.0,104.0,0,23.0,17.3,259
Joe Lefeged,IND,23,DB,16,1,9.0,42.0,0,21.0,4.7,31.0,578.0,0,51.0,18.6,645
Jim Leonhard,NYJ,29,SS,13,13,9.0,83.0,0,15.0,9.2,,,0,,,86
Leodis McKelvin,BUF,26,RCB,16,6,8.0,156.0,1,80.0,19.5,2.0,43.0,0,22.0,21.5,220
Bryan Walters,SDG,24,WR,4,0,8.0,45.0,0,13.0,5.6,,,0,,,72
Wes Welker*+,NWE,30,WR,16,15,8.0,82.0,0,25.0,10.3,,,0,,,1681
Chad Hall,PHI,25,WR,7,0,7.0,76.0,0,30.0,10.9,2.0,43.0,0,24.0,21.5,152
Blair White,IND,24,WR,7,0,7.0,22.0,0,13.0,3.1,,,0,,,22
Dexter McCluster,KAN,22,WR,16,4,6.0,65.0,0,22.0,10.8,25.0,557.0,0,35.0,22.3,1466
Akwasi Owusu-Ansah,2TM,23,DB,7,2,6.0,47.0,0,21.0,7.8,3.0,56.0,0,23.0,18.7,103
Will Blackmon,NYG,27,DB,6,0,6.0,25.0,0,16.0,4.2,2.0,43.0,0,32.0,21.5,68
Eric Decker,DEN,24,WR,16,13,6.0,133.0,1,90.0,22.2,2.0,50.0,0,34.0,25.0,796
