Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Mike Davis,24,OAK,SS,16,16,3,88,0,49,0,3,35,0,3.0,,0,
Vern Den Herder,32,MIA,LDE,16,16,0,0,0,0,0,1,0,0,2.0,,0,
Mark Dennard,25,MIA,C,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Preston Dennard,25,RAM,WR,16,16,0,0,0,0,0,2,0,0,0.0,,0,
Lynn Dickey,31,GNB,QB,16,16,0,0,0,0,13,5,-7,0,0.0,,0,
Doug Dieken,31,CLE,LT,16,16,0,0,0,0,0,1,0,0,0.0,,0,PB
Pat Donovan,27,DAL,LT,16,16,0,0,0,0,0,2,0,0,0.0,,0,PB
Andy Dorris,29,HOU,LDE,16,16,0,0,0,0,0,1,0,0,5.5,,0,
Mike Douglass,25,GNB,ROLB,16,16,0,0,0,0,0,2,0,0,4.5,,0,
Fred Dryer,34,RAM,RDE,16,16,0,0,0,0,0,0,0,0,5.5,,0,
Billy Joe DuPree,30,DAL,TE,16,16,0,0,0,0,1,1,0,0,0.0,,0,
Donald Dykes,25,NYJ,RCB,16,16,5,1,0,1,0,0,0,0,0.0,,0,
Eddie Edwards,26,CIN,LDE,16,16,0,0,0,0,0,1,0,0,12.0,,0,
Herm Edwards,26,PHI,RCB,16,16,3,12,0,9,0,0,0,0,0.0,,0,
Allan Ellis,29,CHI,RCB,16,16,1,0,0,0,0,0,0,0,0.0,,0,
Ken Fantetti,23,DET,MLB,16,16,1,10,0,10,0,0,0,0,1.0,,0,
Joe Ferguson,30,BUF,QB,16,16,0,0,0,0,9,1,-12,0,0.0,,0,
Vagas Ferguson,23,NWE,RB,16,16,0,0,0,0,3,0,0,0,0.0,,0,
Ed Fisher,31,HOU,RG,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Steve Foley,27,DEN,FS/RCB,16,16,4,115,0,36,0,0,0,0,0.0,,0,
Dan Fouts,29,SDG,QB,16,16,0,0,0,0,11,3,-5,0,0.0,,0,"PB,AP-2,AP MVP-5,AP OPoY-3"
Tim Fox,27,NWE,FS,16,16,4,41,0,23,0,0,0,0,0.0,,0,PB
Steve Freeman,27,BUF,SS,16,16,7,107,1,47,0,0,0,0,0.0,,0,
Steve Furness,30,PIT,RDT,16,16,0,0,0,0,0,2,0,0,3.5,,0,
Mark Gastineau,24,NYJ,LDE,16,16,0,0,0,0,0,0,0,0,11.5,,0,
Nesby Glasgow,23,BAL,FS,16,16,4,65,0,29,5,2,0,0,0.0,,0,
Randy Gradishar,28,DEN,RILB,16,16,2,96,1,93,0,0,0,0,1.0,,0,
Will Grant,26,BUF,C,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Earnest Gray,23,NYG,WR,16,16,0,0,0,0,1,1,0,0,0.0,,0,
Johnnie Gray,27,GNB,FS,16,16,5,54,0,21,0,4,30,0,0.0,,0,
Gary Green,25,KAN,LCB,16,16,2,25,0,25,1,0,0,0,0.0,,0,
Elois Grooms,27,NOR,LDE,16,16,1,37,0,37,0,1,0,0,8.0,,0,
Carl Hairston,28,PHI,RDE,16,16,1,0,0,0,0,1,0,0,9.0,,0,
Charlie Hall,32,CLE,LOLB,16,16,2,3,0,3,0,0,0,0,2.0,,0,
Jack Ham,32,PIT,LLB,16,16,2,16,0,15,0,3,0,0,1.0,,0,PB
Dan Hampton,23,CHI,LDE,16,16,0,0,0,0,0,0,0,0,11.5,,0,PB
Tom Hannon,25,MIN,SS,16,16,4,89,1,41,1,2,0,0,0.0,,0,
Robert Hardy,24,SEA,LDT,16,16,0,0,0,0,0,1,2,0,3.0,,0,
John Harris,24,SEA,FS,16,16,6,28,0,15,0,1,0,0,0.0,,0,
Leotis Harris,25,GNB,RG,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Mike Hartenstine,27,CHI,RDE,16,16,0,0,0,0,0,0,0,0,6.0,,0,
Jim Haslett,25,BUF,LILB,16,16,2,30,0,17,0,1,0,0,2.0,,0,
Derrick Hatchett,22,BAL,LCB,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Mike Hawkins,25,NWE,LOLB,16,16,2,5,0,5,0,0,0,0,3.0,,0,
