Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Stan Brock,22,NOR,RT,16,12,0,0,0,0,0,1,0,0,0.0,,0,
Dwight Clark,23,SFO,WR,16,12,0,0,0,0,2,0,0,0,0.0,,0,
Tom Dinkel,24,CIN,LOLB,16,12,0,0,0,0,0,3,0,0,1.0,,0,
Larry Evans,27,DEN,LILB,16,12,1,13,0,13,0,0,0,0,1.0,,0,
Bruce Hardy,24,MIA,WR,16,12,0,0,0,0,1,0,0,0,0.0,,0,
Ray Oldham,29,DET,FS,16,12,3,39,1,29,0,2,6,0,1.0,,0,
Dave Studdard,25,DEN,RT,16,12,0,0,0,0,0,1,0,0,0.0,,0,
Leonard Thompson,28,DET,WR,16,12,0,0,0,0,1,2,0,0,0.0,,0,
Jimmy Webb,28,SFO,LDE/RDE,16,12,0,0,0,0,0,0,0,0,4.5,,0,
Ray Griffin,24,CIN,LCB,16,11,2,80,2,52,0,2,14,0,1.0,,0,
Ken Kennard,26,HOU,NT,16,11,0,0,0,0,0,0,0,0,0.5,,0,
Tony Peters,27,WAS,SS,16,11,4,59,0,37,1,0,0,0,0.0,,0,
Joe Washington,27,BAL,RB,16,11,0,0,0,0,5,0,0,0,0.0,,0,
Mike Williams,23,KAN,TE,16,11,0,0,0,0,0,1,0,0,0.0,,0,
Steve Wilson,23,DAL,LCB,16,11,4,82,0,35,0,0,0,0,0.0,,0,
Kellen Winslow,23,SDG,TE,16,11,0,0,0,0,2,0,0,0,0.0,,0,"PB,AP-1"
Carl Allen,25,STL,LCB,16,10,3,104,1,70,1,1,5,0,0.0,,0,
Rush Brown,26,STL,NT,16,10,1,9,0,9,0,2,0,0,1.0,,0,
Raymond Chester,32,OAK,TE,16,10,0,0,0,0,1,0,0,0,0.0,,0,
Monte Coleman,23,WAS,RLB,16,10,3,92,0,41,0,2,0,0,0.0,118,0,
Monte Jackson,27,OAK,RCB,16,10,1,0,0,0,0,0,0,0,0.0,,0,
Roland James,22,NWE,SS,16,10,4,32,0,19,2,1,0,0,0.0,,0,
Rod Martin,26,OAK,ROLB,16,10,2,15,0,15,0,2,42,1,4.0,,0,
Lee Nelson,26,STL,SS,16,10,0,0,0,0,0,1,0,0,1.0,,0,
Robert Newhouse,30,DAL,FB,16,10,0,0,0,0,3,0,0,0,0.0,,0,
Lawrence Pillers,28,2TM,DE,16,11,0,0,0,0,0,0,0,0,3.0,,0,
Lawrence Pillers,28,NYJ,DE,3,1,0,0,0,0,0,0,0,0,0.5,,0,
Lawrence Pillers,28,SFO,RDE,13,10,0,0,0,0,0,0,0,0,2.5,,0,
Rick Sanford,23,NWE,SS,16,10,1,0,0,0,0,2,22,1,1.0,,0,
Don Smith,23,ATL,NT,16,10,0,0,0,0,0,0,0,0,5.5,,0,
Dave Waymer,22,NOR,RCB,16,10,0,0,0,0,1,2,0,0,0.0,,0,
Dan Bunz,25,SFO,MLB/LILB,16,9,0,0,0,0,0,3,24,0,0.5,,0,
Dave Casper,28,2TM,TE,16,15,0,0,0,0,3,0,0,0,0.0,,0,PB
Dave Casper,28,OAK,TE,6,6,0,0,0,0,1,0,0,0,0.0,,0,
Dave Casper,28,HOU,TE,10,9,0,0,0,0,2,0,0,0,0.0,,0,
George Collins,25,STL,LT,16,9,0,0,0,0,1,0,0,0,0.0,,0,
William Gay,25,DET,LDT,16,9,0,0,0,0,0,0,0,0,3.0,,0,
Bob Glazebrook,24,ATL,SS,16,9,2,6,0,6,0,1,0,0,0.0,,0,
Ted Petersen,25,PIT,LT,16,9,0,0,0,0,0,1,0,0,0.0,,0,
Greg Pruitt,29,CLE,RB,16,9,0,0,0,0,1,0,0,0,0.0,,0,
Jimmy Rogers,25,NOR,RB,16,9,0,0,0,0,6,2,0,0,0.0,,0,
Mickey Shuler,24,NYJ,TE,16,9,0,0,0,0,1,0,0,0,0.0,,0,
Ken Stone,30,STL,FS,16,9,5,63,0,20,0,3,5,0,0.0,,0,
Jim Stuckey,22,SFO,LDE,16,9,0,0,0,0,0,0,0,0,8.5,,1,
Steve Howell,24,MIA,FB,16,8,0,0,0,0,3,0,0,0,0.0,,0,
Wayne Smith,23,DET,LCB,16,8,1,23,0,23,0,2,0,0,0.5,,0,
Stan Waldemore,25,NYJ,LG,16,8,0,0,0,0,1,0,-3,0,0.0,,0,
Walt Williams,26,DET,LCB,16,8,1,19,0,19,0,1,0,0,0.0,,0,
Calvin Favron,23,STL,LILB,16,7,0,0,0,0,0,1,0,0,0.0,,0,
Jim Gueno,26,GNB,LOLB,16,7,0,0,0,0,0,1,0,0,0.0,,0,
Jack Holmes,27,NOR,FB,16,7,0,0,0,0,0,1,0,0,0.0,,0,
Billy Johnson,28,HOU,WR,16,7,0,0,0,0,1,0,0,0,0.0,,0,
Barry Krauss,23,BAL,LLB/RLB,16,7,0,0,0,0,0,1,0,0,1.0,,0,
Frank Reed,26,ATL,SS,16,7,0,0,0,0,0,0,0,0,1.0,,0,
Paul Smith,35,WAS,RDT,16,7,1,8,0,8,0,0,0,0,1.0,,0,
Jeff Barnes,25,OAK,ROLB,16,6,0,0,0,0,0,1,0,0,1.0,,0,
Charles Cornelius,28,SFO,LCB,16,6,0,0,0,0,0,2,0,0,0.0,,0,
Greg Fields,25,BAL,RDE,16,6,0,0,0,0,0,0,0,0,3.0,,0,
Bryan Hicks,23,CIN,FS,16,6,1,8,0,8,0,1,0,0,1.0,,0,
Daryl Hunt,24,HOU,LILB,16,6,0,0,0,0,0,1,0,0,0.0,,0,
Jim Laughlin,22,ATL,LILB,16,6,1,7,0,7,0,0,0,0,1.0,,0,
Pat McInally,27,CIN,WR,16,6,0,0,0,0,2,1,-16,0,0.0,,0,
Tony Nathan,24,MIA,RB,16,6,0,0,0,0,9,1,0,0,0.0,,0,
Ralph Ortega,27,MIA,LILB,16,6,1,17,0,17,0,0,0,0,0.0,,0,
Cal Peterson,28,KAN,ROLB,16,6,0,0,0,0,0,0,0,0,0.5,,0,
Phil Tabor,24,NYG,NT,16,6,0,0,0,0,0,0,0,0,3.0,,0,
Mike Whittington,22,NYG,ROLB,16,6,0,0,0,0,0,3,0,0,1.5,,0,
Louis Breeden,27,CIN,LCB,16,5,7,91,0,29,0,0,0,0,0.0,,0,
Mike Fuller,27,SDG,DB,16,5,0,0,0,0,3,4,0,0,0.0,,0,
Rich Milot,23,WAS,MLB,16,5,4,-8,0,2,0,1,0,0,5.0,,0,
John Spagnola,23,PHI,TE,16,5,0,0,0,0,2,1,0,0,0.0,,0,
Diron Talbert,36,WAS,RDT,16,5,0,0,0,0,0,1,0,0,0.0,,0,
Bill Acker,24,STL,NT,16,4,0,0,0,0,0,1,0,0,0.5,,0,
Jesse Baker,23,HOU,DE,16,4,0,0,0,0,0,1,0,0,6.5,,0,
Matt Cavanaugh,24,NWE,QB,16,4,0,0,0,0,1,1,-4,0,0.0,,0,
Tony Galbreath,26,NOR,RB,16,4,0,0,0,0,3,2,0,0,0.0,,0,
Louie Giammona,27,PHI,RB,16,4,0,0,0,0,5,0,-11,0,0.0,,0,
Loren Toews,29,PIT,LB,16,4,0,0,0,0,0,0,0,0,0.0,,1,
Keena Turner,22,SFO,LB,16,4,2,15,0,11,0,0,0,0,0.0,,0,
Nate Wright,33,MIN,DB,16,4,2,16,0,10,0,0,0,0,0.0,,0,
Scott Brunner,23,NYG,QB,16,3,0,0,0,0,3,1,0,0,0.0,,0,
Bill Cooke,29,SEA,DT,16,3,0,0,0,0,0,1,3,0,0.0,,0,
Chris Dieterich,22,DET,T,16,3,0,0,0,0,0,1,0,0,0.0,,0,
Ron Essink,22,SEA,T,16,3,0,0,0,0,0,1,0,0,0.0,,0,
Scott Hutchinson,24,BUF,DE,16,3,0,0,0,0,0,2,0,0,0.0,,0,
Jim Laslavic,29,SDG,LB,16,3,2,11,0,11,0,0,0,0,1.0,,0,
James Marshall,28,NOR,DB,16,3,2,17,0,17,0,0,0,0,0.0,,0,
Jay Saldi,26,DAL,TE,16,3,0,0,0,0,0,1,8,0,0.0,,0,
Ed Taylor,27,MIA,DB,16,3,3,55,0,44,0,0,0,0,0.0,,0,
J.T. Thomas,29,PIT,DB,16,3,2,0,0,0,0,0,0,0,0.0,,0,
Dave Williams,26,CHI,RB,16,3,0,0,0,0,2,0,0,0,0.0,,0,
Rick Berns,24,TAM,RB,16,2,0,0,0,0,2,0,0,0,0.0,,0,
Jerome Dove,27,SDG,DB,16,2,0,0,0,0,0,1,0,0,0.0,,0,
Joe Ehrmann,31,BAL,DT,16,2,1,5,0,5,0,1,0,0,0.0,,0,
Joe Harris,28,RAM,LB,16,2,0,0,0,0,0,2,20,0,5.0,,0,
LeRoy Irvin,23,RAM,DB,16,2,2,80,0,80,5,3,0,0,0.0,,0,
Jeff Siemon,30,MIN,LB,16,2,0,0,0,0,0,0,0,0,1.0,,0,
Ron Simpkins,22,CIN,LB,16,2,0,0,0,0,1,1,0,0,1.0,,0,
Don Strock,30,MIA,QB,16,2,0,0,0,0,1,0,0,0,0.0,,0,
Jewerl Thomas,23,RAM,RB,16,2,0,0,0,0,1,1,0,0,0.0,,0,
Charles Baker,23,STL,LB,16,1,0,0,0,0,0,0,0,0,1.0,,0,
Aaron Brown,24,TAM,LB,16,1,0,0,0,0,0,1,0,0,0.0,,0,
Carlos Carson,22,KAN,WR,16,1,0,0,0,0,1,1,0,0,0.0,,0,
Neal Colzie,26,TAM,DB,16,1,1,39,0,39,0,0,0,0,0.0,,0,
Paul Dombroski,24,KAN,DB,16,1,1,6,0,6,0,0,0,0,0.0,,0,
Gary Dunn,27,PIT,DT,16,1,0,0,0,0,0,0,0,0,0.5,,0,
Kris Haines,23,CHI,WR,16,1,0,0,0,0,0,1,0,0,0.0,,0,
Andy Hawkins,22,TAM,LB,16,1,0,0,0,0,0,1,0,0,0.0,,0,
Claude Humphrey,36,PHI,DE,16,1,0,0,0,0,0,0,0,0,15.5,,0,
Derrick Jensen,24,OAK,RB,16,1,0,0,0,0,1,0,0,0,0.0,,0,
Rulon Jones,22,DEN,DE,16,1,0,0,0,0,0,1,0,0,11.5,,1,AP DRoY-7
Art Kuehn,27,SEA,C,16,1,0,0,0,0,1,1,-15,0,0.0,,0,
Dino Mangiero,22,KAN,NT,16,1,1,0,0,0,0,1,0,0,1.0,,0,
Casey Merrill,23,GNB,DE,16,1,0,0,0,0,0,1,0,0,2.5,,0,
Willie Miller,33,RAM,WR,16,1,0,0,0,0,1,1,0,0,0.0,,0,
Timmy Newsome,22,DAL,RB,16,1,0,0,0,0,0,2,0,0,0.0,,0,
Joe Norman,24,SEA,LB,16,1,1,0,0,0,0,0,0,0,3.0,,0,
Ulysses Norris,23,DET,TE,16,1,0,0,0,0,0,1,0,0,0.0,,0,
Jim Obradovich,27,TAM,TE,16,1,0,0,0,0,1,1,0,0,0.0,,0,
Reggie Pinkney,25,BAL,DB,16,1,0,0,0,0,0,1,0,0,0.0,,0,
Danny Reece,25,TAM,DB,16,1,0,0,0,0,2,1,0,0,0.0,,0,
Matt Suhey,22,CHI,RB,16,1,0,0,0,0,1,0,0,0,0.0,,0,
Norris Thomas,26,TAM,DB,16,1,1,0,0,0,0,1,10,0,0.0,,0,
Steve Watson,23,DEN,WR,16,1,0,0,0,0,0,1,0,0,0.0,,0,
Jeris White,28,WAS,DB,16,1,2,1,0,1,0,1,0,0,0.0,,0,
Otis Wilson,23,CHI,LB,16,1,2,4,0,4,1,0,0,0,2.0,,0,
Kim Anderson,23,BAL,DB,16,0,2,35,0,18,4,2,0,0,0.0,,0,
Ed Beckman,25,KAN,TE,16,0,0,0,0,0,0,1,0,0,0.0,,0,
David Beverly,30,GNB,P,16,0,0,0,0,0,1,1,-5,0,0.0,,0,
Richard Blackmore,24,PHI,DB,16,0,2,0,0,0,0,0,0,0,0.0,,0,
Greg Boyd,28,DEN,DE,16,0,0,0,0,0,0,1,0,0,9.0,,0,
Scot Brantley,22,TAM,LB,16,0,1,6,0,6,0,0,0,0,0.0,,0,
Pete Brock,26,NWE,C,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Theotis Brown,23,STL,RB,16,0,0,0,0,0,2,0,0,0,0.0,,0,
Larry Brune,27,MIN,DB,16,0,2,68,0,52,0,0,0,0,0.0,,0,
Rich Caster,32,HOU,TE,16,0,0,0,0,0,1,0,0,0,0.0,,0,
Todd Christensen,24,OAK,TE,16,0,0,0,0,0,0,1,0,1,0.0,,0,
Ken Clarke,24,PHI,NT,16,0,0,0,0,0,1,0,0,0,7.0,,0,
Dextor Clinkscale,22,DAL,DB,16,0,0,0,0,0,0,1,0,0,2.0,,0,
Craig Colquitt,26,PIT,P,16,0,0,0,0,0,1,1,0,0,0.0,,0,
John Corker,22,HOU,LB,16,0,0,0,0,0,0,1,43,1,0.0,,0,
Frank Corral,25,RAM,K,16,0,0,0,0,0,1,1,0,0,0.0,,0,
Doug Cosbie,24,DAL,TE,16,0,0,0,0,0,0,2,0,0,0.0,,0,
Tony Daykin,25,ATL,LB,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Jeff Delaney,24,RAM,DB,16,0,2,42,0,27,0,2,0,0,0.0,,0,
Anthony Dickerson,23,DAL,LB,16,0,2,46,0,34,0,1,0,0,0.0,,0,
Reggie Doss,24,RAM,DE,16,0,0,0,0,0,0,1,0,0,6.5,,0,
John Dutton,29,DAL,DT,16,0,1,38,1,38,0,2,0,0,3.0,,0,
Ricky Feacher,26,CLE,WR,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Chris Foote,24,BAL,T,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Chuck Foreman,30,NWE,RB,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Elvis Franks,23,CLE,DE,16,0,0,0,0,0,0,1,0,0,1.0,,0,
Nick Giaquinto,25,MIA,RB,16,0,0,0,0,0,0,1,0,1,0.0,,0,
Jeff Groth,23,HOU,WR,16,0,0,0,0,0,2,1,0,0,0.0,,0,
Bob Grupp,25,KAN,P,16,0,0,0,0,0,2,1,0,0,0.0,,0,
Mike Guman,22,RAM,RB,16,0,0,0,0,0,4,0,0,0,0.0,,0,
Ray Guy,31,OAK,P,16,0,0,0,0,0,0,1,0,0,0.0,,0,"PB,AP-2"
Dino Hall,25,CLE,RB,16,0,0,0,0,0,0,3,0,0,0.0,,0,
Mike Harden,21,DEN,DB,16,0,0,0,0,0,1,0,0,0,0.0,,0,
Cedrick Hardman,32,OAK,DE,16,0,0,0,0,0,0,1,0,0,9.5,,0,
Willard Harrell,28,STL,RB,16,0,0,0,0,0,3,2,0,0,0.0,,0,
Efren Herrera,29,SEA,K,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Dallas Hickman,28,WAS,LB,16,0,0,0,0,0,0,1,0,0,2.5,,0,
Drew Hill,24,RAM,WR,16,0,0,0,0,0,2,1,0,0,0.0,,0,
Roland Hooks,27,BUF,RB,16,0,0,0,0,0,3,2,0,0,0.0,,0,
Mike Hubach,22,NWE,P,16,0,0,0,0,0,0,1,0,0,0.0,,0,
David Humm,28,BUF,QB,16,0,0,0,0,0,1,0,0,0,0.0,,0,
Ken Johnson,25,BUF,DE,16,0,0,0,0,0,0,0,0,0,0.0,,1,
Mike Jolly,22,GNB,DB,16,0,2,2,0,2,0,1,0,0,0.0,,0,
Earl Jones,23,ATL,DB,16,0,1,0,0,0,0,0,0,0,0.0,,0,
James Jones,22,DAL,RB,16,0,0,0,0,0,5,0,0,0,0.0,,0,
Willie Jones,23,OAK,DE,16,0,0,0,0,0,0,2,11,1,6.0,,0,
Mike Kadish,30,BUF,DT,16,0,0,0,0,0,0,0,0,0,1.0,,0,
Rick Kane,26,DET,RB,16,0,0,0,0,0,3,0,0,0,0.0,,0,
Horace King,27,DET,RB,16,0,0,0,0,0,1,0,0,0,0.0,,0,
Steve Kreider,22,CIN,WR,16,0,0,0,0,0,1,1,0,0,0.0,,0,
Roosevelt Leaks,27,BUF,RB,16,0,0,0,0,0,1,2,0,0,0.0,,0,
Terry LeCount,24,MIN,WR,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Will Lewis,22,SEA,DB,16,0,0,0,0,0,7,3,0,0,0.0,,0,
Randy Love,24,STL,RB,16,0,0,0,0,0,3,2,0,0,0.0,,0,
Rob Lytle,26,DEN,RB,16,0,0,0,0,0,1,0,0,0,0.0,,0,
Bill Matthews,24,NWE,LB,16,0,1,5,0,5,0,0,0,0,0.0,,0,
Ira Matthews,23,OAK,WR,16,0,0,0,0,0,7,3,0,0,0.0,,0,
James Mayberry,23,ATL,RB,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Stafford Mays,22,STL,DE,16,0,0,0,0,0,0,0,0,0,1.0,,0,
Don McCauley,31,BAL,RB,16,0,0,0,0,0,1,0,0,0,0.0,,0,
Tony McGee,31,NWE,DE,16,0,0,0,0,0,0,0,0,0,8.5,,0,
Odis McKinney,23,OAK,DB,16,0,3,22,0,22,1,1,4,0,0.0,,0,
Andrew Melontree,23,CIN,LB,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Cleo Miller,28,CLE,RB,16,0,0,0,0,0,2,0,0,0,0.0,,0,
Jim Miller,23,SFO,P,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Vic Minor,22,SEA,DB,16,0,1,0,0,0,0,1,0,0,0.0,,0,
Phil Murphy,23,RAM,DT,16,0,0,0,0,0,0,0,0,0,0.5,,0,
Mike Nelms,25,WAS,DB,16,0,0,0,0,0,1,0,0,0,0.0,,0,"PB,AP-2"
Gifford Nielsen,26,HOU,QB,16,0,0,0,0,0,1,0,-7,0,0.0,,0,
Keith Nord,23,MIN,DB,16,0,0,0,0,0,0,3,0,0,1.0,,0,
Ervin Parker,22,BUF,LB,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Bob Parsons,30,CHI,P,16,0,0,0,0,0,2,0,-11,0,0.0,,0,
Rick Partridge,23,SDG,P,16,0,0,0,0,0,0,3,0,0,0.0,,0,
Eddie Payton,29,MIN,RB,16,0,0,0,0,0,3,2,0,0,0.0,,0,
Kurt Petersen,23,DAL,G,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Rod Phillips,28,STL,RB,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Frank Pollard,23,PIT,RB,16,0,0,0,0,0,1,0,0,0,0.0,,0,
Nathan Poole,24,CIN,RB,16,0,0,0,0,0,1,1,0,0,0.0,,0,
Craig Puki,23,SFO,LB,16,0,1,0,0,0,0,0,0,0,0.0,,0,
Derrick Ramsey,24,OAK,TE,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Carl Roaches,27,HOU,WR,16,0,0,0,0,0,6,3,0,0,0.0,,0,
Jim Ryan,23,DEN,LB,16,0,1,21,0,21,0,0,0,0,0.0,,0,
John Sciarra,26,PHI,SS,16,0,0,0,0,0,1,2,0,0,0.0,,0,
Rafael Septien,27,DAL,K,16,0,0,0,0,0,0,2,18,0,0.0,,0,
Mark Slater,25,PHI,C,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Ed Smith,23,BAL,LB,16,0,0,0,0,0,0,2,0,0,3.0,,0,
Lucious Smith,23,RAM,DB,16,0,0,0,0,0,0,2,0,0,0.0,,0,
Tim Smith,23,HOU,WR,16,0,0,0,0,0,1,0,0,0,0.0,,0,
Mike Stensrud,24,HOU,DE,16,0,0,0,0,0,0,0,0,0,7.0,,0,
Dwight Stephenson,23,MIA,C,16,0,0,0,0,0,0,1,0,0,0.0,,0,
Ray Strong,24,ATL,RB,16,0,0,0,0,0,4,1,0,0,0.0,,0,
Gerry Sullivan,28,CLE,T,16,0,0,0,0,0,1,1,-10,0,0.0,,0,
Ivory Sully,23,RAM,DB,16,0,0,0,0,0,1,2,0,0,0.0,,0,
Jack Tatum,32,HOU,DB,16,0,7,100,0,35,0,2,-7,0,0.0,,0,
Wylie Turner,23,GNB,DB,16,0,2,13,0,13,0,0,0,0,0.0,,0,
Dave Washington,32,NOR,LB,16,0,0,0,0,0,0,1,5,0,0.0,,0,
Reggie Wilkes,24,PHI,LB,16,0,1,0,0,0,0,0,0,0,0.0,,0,
Dwayne Woodruff,23,PIT,DB,16,0,1,0,0,0,0,0,0,0,0.0,,0,
Jimmy Allen,28,DET,SS,15,15,6,38,0,23,0,0,0,0,2.0,,0,
Al Baker,24,DET,RDE,15,15,1,0,0,0,0,1,0,0,17.5,,0,PB
Terry Bradshaw,32,PIT,QB,15,15,0,0,0,0,13,3,-34,0,0.0,,0,
Larry Braziel,26,BAL,RCB,15,15,2,87,0,60,0,0,0,0,0.0,,0,
Ross Browner,26,CIN,RDE,15,15,0,0,0,0,0,1,0,0,8.0,,0,
Earl Campbell,25,HOU,RB,15,15,0,0,0,0,4,2,0,0,0.0,,0,"PB,AP-1,AP MVP-2,AP OPoY-1"
Jim Cooper,25,DAL,RT,15,15,0,0,0,0,0,1,0,0,0.0,,0,
Tony Dorsett,26,DAL,RB,15,15,0,0,0,0,8,1,0,0,0.0,,0,
Gary Fencik,26,CHI,SS,15,15,1,8,0,8,0,3,52,0,1.0,,0,PB
Joe Greene,34,PIT,LDT,15,15,0,0,0,0,0,0,0,0,3.5,,0,
L.C. Greenwood,34,PIT,LDE,15,15,0,0,0,0,0,1,0,0,5.0,,0,
Randy Grossman,28,PIT,TE,15,15,0,0,0,0,0,1,0,0,0.0,,0,
Ray Hamilton,29,NWE,NT,15,15,0,0,0,0,0,1,0,0,8.0,,0,
Leroy Harris,26,PHI,FB,15,15,0,0,0,0,2,0,0,0,0.0,,0,
Dennis Harrison,24,PHI,LDE,15,15,0,0,0,0,0,0,0,0,6.0,,0,
Jim Hart,36,STL,QB,15,15,0,0,0,0,4,0,-5,0,0.0,,0,
Estus Hood,25,GNB,LCB,15,15,1,0,0,0,0,1,0,0,0.0,,0,
Bobby Jackson,24,NYJ,LCB,15,15,1,7,0,7,0,0,0,0,0.0,,0,
Michael Jackson,23,SEA,LLB,15,15,2,9,0,5,0,2,0,0,0.0,,0,
Charles Johnson,23,GNB,NT,15,15,0,0,0,0,0,1,0,0,2.0,,0,
Ezra Johnson,25,GNB,RDE,15,15,0,0,0,0,0,0,0,0,9.0,,0,
Bert Jones,29,BAL,QB,15,15,0,0,0,0,1,2,-1,0,0.0,,0,
Cody Jones,29,RAM,RDT,15,15,0,0,0,0,0,0,0,0,4.0,,0,
Leroy Jones,30,SDG,LDE,15,15,0,0,0,0,0,0,0,0,12.0,,0,
Joe Klecko,27,NYJ,RDE,15,15,0,0,0,0,0,0,0,0,10.5,,0,
Tommy Kramer,25,MIN,QB,15,15,0,0,0,0,2,2,0,0,0.0,,0,
Bruce Laird,30,BAL,SS,15,15,5,71,0,18,0,1,0,0,1.0,,0,
Aaron Mitchell,24,DAL,RCB,15,15,3,56,0,56,0,0,0,0,0.0,,0,
Jerry Muckensturm,27,CHI,LLB,15,15,2,2,0,2,0,1,0,0,3.0,,0,
Riley Odoms,30,DEN,TE,15,15,0,0,0,0,0,1,0,0,0.0,,0,
Lemar Parrish,33,WAS,LCB,15,15,7,13,0,9,1,0,0,0,0.0,,0,"PB,AP-2"
Doug Plank,27,CHI,FS,15,15,1,20,0,20,0,3,17,0,0.0,,0,
Marvin Powell,25,NYJ,RT,15,15,0,0,0,0,0,1,0,0,0.0,,0,"PB,AP-2"
Dewey Selmon,27,TAM,LILB,15,15,0,0,0,0,0,1,0,0,0.0,,0,
Bob Simmons,26,KAN,LG,15,15,0,0,0,0,0,1,0,0,0.0,,0,
Ron Singleton,28,SFO,LT,15,15,0,0,0,0,0,1,0,0,0.0,,0,
Jackie Slater,26,RAM,RT,15,15,0,0,0,0,0,1,0,0,0.0,,0,
Tim Stokes,30,GNB,LT,15,15,0,0,0,0,0,1,0,0,0.0,,0,
Aundra Thompson,27,GNB,WR,15,15,0,0,0,0,2,2,5,0,0.0,,0,
Billy Waddy,26,RAM,WR,15,15,0,0,0,0,1,0,0,0,0.0,,0,
Jeff Williams,25,WAS,RG,15,15,0,0,0,0,0,1,0,0,0.0,,0,
John Yarno,26,SEA,C,15,15,0,0,0,0,0,1,0,0,0.0,,0,
Jim Youngblood,30,RAM,LLB,15,15,1,33,1,33,0,0,0,0,2.5,,0,
Sam Adams,32,NWE,RG,15,14,0,0,0,0,0,1,0,0,0.0,,0,
Dan Doornink,24,SEA,RB,15,14,0,0,0,0,2,1,0,0,0.0,,0,
Larry Gordon,26,MIA,ROLB,15,14,1,11,0,11,0,1,0,0,3.0,,0,
John Hill,30,NOR,C,15,14,0,0,0,0,0,1,0,0,0.0,,0,
Louie Kelcher,27,SDG,LDT,15,14,1,2,0,2,0,2,0,0,5.5,,0,"PB,AP-2"
Haven Moses,34,DEN,WR,15,14,0,0,0,0,1,1,0,0,0.0,,0,
Brad Van Pelt,29,NYG,LOLB,15,14,3,3,0,3,0,3,46,0,1.0,,0,PB
Steve Wilson,26,TAM,C,15,14,0,0,0,0,0,1,0,0,0.0,,0,
Clinton Burrell,24,CLE,RCB,15,13,5,51,0,29,0,0,0,0,0.0,,0,
Gerry Ellis,23,GNB,FB,15,13,0,0,0,0,7,5,0,0,0.0,,0,
Eric Harris,25,KAN,RCB,15,13,7,54,0,41,0,0,0,0,0.0,,0,
Kenny King,23,OAK,RB,15,13,0,0,0,0,6,0,0,0,0.0,,0,PB
Bill Kollar,28,TAM,LDE,15,13,0,0,0,0,0,1,10,0,3.0,,0,
Bob Kuziel,30,WAS,C,15,13,0,0,0,0,0,3,0,0,0.0,,0,
Mike Wagner,31,PIT,FS,15,13,6,27,0,17,0,1,0,0,0.0,,0,
Sherman White,32,BUF,RDE,15,13,1,0,0,0,0,1,0,0,5.0,,0,
Tommy Hart,36,NOR,RDE,15,12,0,0,0,0,0,0,0,0,3.0,,0,
John Mendenhall,32,DET,RDT,15,12,0,0,0,0,0,0,0,0,4.0,,0,
James Scott,28,CHI,WR,15,12,0,0,0,0,0,1,5,0,0.0,,0,
Bob Young,38,HOU,LG,15,12,0,0,0,0,0,1,0,0,0.0,,0,
Mark Haynes,22,NYG,LCB/RCB,15,11,1,6,0,6,0,0,0,0,0.0,,0,
Ray Brown,31,NOR,SS,15,10,2,31,0,29,0,1,0,0,0.0,,0,
Mike Ozdowski,25,BAL,RDE,15,10,0,0,0,0,0,0,0,0,3.0,,0,
Delvin Williams,29,MIA,RB,15,10,0,0,0,0,5,0,0,0,0.0,,0,
Jerry Eckwood,26,TAM,RB,15,8,0,0,0,0,7,0,-3,0,0.0,,0,
Archie Griffin,26,CIN,RB,15,7,0,0,0,0,1,0,0,0,0.0,,0,
Bo Harris,27,CIN,LOLB,15,7,0,0,0,0,0,2,15,0,2.0,,0,
Kevin Long,25,NYJ,FB,15,7,0,0,0,0,3,3,0,0,0.0,,0,
Bo Matthews,29,NYG,FB,15,7,0,0,0,0,2,1,0,0,0.0,,0,
Joe Montana,24,SFO,QB,15,7,0,0,0,0,4,1,0,0,0.0,,0,
Tony Reed,25,KAN,RB,15,7,0,0,0,0,1,0,0,0,0.0,,0,
Wayne Wilson,23,NOR,FB,15,7,0,0,0,0,3,2,0,0,0.0,,0,
Barry Bennett,25,NOR,LDT,15,6,0,0,0,0,0,0,0,0,2.0,,0,
Roy Green,23,STL,FS,15,6,1,10,0,10,2,0,0,0,1.0,,0,
Greg Hawthorne,24,PIT,RB,15,6,0,0,0,0,6,3,0,0,0.0,,0,
Dwayne O'Steen,26,OAK,RCB,15,6,3,10,0,14,0,1,0,0,0.0,,0,
Ron Springs,24,DAL,FB,15,6,0,0,0,0,1,0,0,0,0.0,,0,
Curtis Dickey,24,BAL,RB,15,5,0,0,0,0,3,0,0,0,0.0,,0,
Chuck Muncie,27,2TM,RB,15,8,0,0,0,0,11,0,0,0,0.0,,0,
