Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Quan Cosby,CIN,27,WR,16,0,40.0,474.0,0,60.0,11.9,13.0,239.0,0,31.0,18.4,766
Jacoby Jones,HOU,25,WR,14,1,39.0,426.0,0,62.0,10.9,24.0,638.0,1,95.0,26.6,1523
Josh Cribbs*+,CLE,26,WR,16,12,38.0,452.0,1,67.0,11.9,56.0,1542.0,3,103.0,27.5,2510
Steve Breaston,ARI,26,WR,15,6,38.0,253.0,0,64.0,6.7,,,0,,,1009
Patrick Crayton,DAL,30,WR,16,6,36.0,437.0,2,82.0,12.1,,,0,,,1087
Johnnie Lee Higgins,OAK,26,WR,15,5,34.0,177.0,0,19.0,5.2,,,0,,,461
Chris Carr,BAL,26,DB,16,4,32.0,262.0,0,34.0,8.2,13.0,315.0,0,41.0,24.2,605
Danny Amendola,STL,24,WR,14,2,31.0,360.0,0,56.0,11.6,66.0,1618.0,0,58.0,24.5,2302
Captain Munnerlyn,CAR,21,DB,15,4,31.0,278.0,0,37.0,9.0,1.0,15.0,0,15.0,15.0,293
Stefan Logan,PIT,28,RB,16,1,30.0,280.0,0,25.0,9.3,55.0,1466.0,0,83.0,26.7,1751
Eddie Royal,DEN,23,WR,14,12,30.0,335.0,1,71.0,11.2,26.0,621.0,1,93.0,23.9,1302
Darius Reynaud,MIN,25,WR,11,0,30.0,308.0,0,36.0,10.3,4.0,90.0,0,30.0,22.5,398
Nate Burleson,SEA,28,WR,13,12,30.0,254.0,0,29.0,8.5,1.0,2.0,0,2.0,2.0,1072
DeSean Jackson*,PHI,23,WR,15,15,29.0,441.0,2,85.0,15.2,1.0,0.0,0,0.0,0.0,1734
Davone Bess,MIA,24,WR,16,2,28.0,209.0,0,22.0,7.5,,,0,,,978
Eric Weems,ATL,24,WR,16,0,27.0,270.0,0,28.0,10.0,48.0,1214.0,0,62.0,25.3,1587
Wes Welker*+,NWE,28,WR,14,13,27.0,338.0,0,69.0,12.5,2.0,45.0,0,27.0,22.5,1767
Reggie Bush,NOR,24,RB,14,8,27.0,130.0,0,23.0,4.8,,,0,,,855
Darren Sproles,SDG,26,RB,16,2,26.0,183.0,1,77.0,7.0,54.0,1300.0,0,66.0,24.1,2323
Roscoe Parrish,BUF,27,WR,12,0,24.0,133.0,0,31.0,5.5,11.0,258.0,0,31.0,23.5,425
Devin Hester,CHI,27,WR,13,12,24.0,187.0,0,33.0,7.8,7.0,156.0,0,44.0,22.3,1099
Clifton Smith,TAM,24,RB,11,0,23.0,232.0,0,21.0,10.1,31.0,902.0,0,83.0,29.1,1139
Jerricho Cotchery,NYJ,27,WR,14,12,23.0,236.0,0,31.0,10.3,1.0,17.0,0,17.0,17.0,1081
Dennis Northcutt,DET,32,WR,16,2,22.0,189.0,0,43.0,8.6,3.0,66.0,0,34.0,22.0,612
T.J. Rushing,IND,26,DB,15,0,21.0,119.0,0,22.0,5.7,7.0,127.0,0,22.0,18.1,246
Arnaz Battle,SFO,29,WR,15,0,21.0,61.0,0,18.0,2.9,3.0,68.0,0,26.0,22.7,169
Jim Leonhard,NYJ,27,SS,16,16,21.0,173.0,0,37.0,8.2,1.0,7.0,0,7.0,7.0,224
Bobby Wade,KAN,28,WR,12,6,21.0,160.0,0,18.0,7.6,,,0,,,538
Domenik Hixon,NYG,25,WR,14,2,17.0,256.0,1,79.0,15.1,57.0,1291.0,0,68.0,22.6,1734
Jordy Nelson,GNB,24,WR,13,0,17.0,90.0,0,14.0,5.3,25.0,635.0,0,54.0,25.4,1045
Antwaan Randle El,WAS,30,WR,16,3,17.0,102.0,0,43.0,6.0,,,0,,,632
Justin Forsett,SEA,24,RB,16,2,16.0,92.0,0,20.0,5.8,18.0,432.0,0,46.0,24.0,1493
Jaymar Johnson,MIN,25,WR,6,0,16.0,134.0,0,24.0,8.4,,,0,,,143
Mike Thomas,JAX,22,WR,14,4,14.0,118.0,0,44.0,8.4,26.0,644.0,0,43.0,24.8,1301
Earl Bennett,CHI,22,WR,16,15,14.0,143.0,1,49.0,10.2,2.0,40.0,0,22.0,20.0,900
Tramon Williams,GNB,26,RCB,16,10,13.0,135.0,0,45.0,10.4,2.0,26.0,0,24.0,13.0,255
Sammie Stroughter,TAM,23,WR,13,0,12.0,119.0,0,33.0,9.9,11.0,324.0,1,97.0,29.5,777
Allen Rossum,2TM,34,DB,4,0,12.0,84.0,0,14.0,7.0,8.0,168.0,0,40.0,21.0,252
Alvin Pearman,TEN,27,RB,5,0,11.0,112.0,0,18.0,10.2,8.0,174.0,0,27.0,21.8,286
Sinorice Moss,NYG,26,WR,8,0,11.0,74.0,0,16.0,6.7,6.0,109.0,0,29.0,18.2,201
Santana Moss,WAS,30,WR,16,16,11.0,52.0,0,11.0,4.7,,,0,,,962
Alphonso Smith,DEN,24,DB,15,0,10.0,47.0,0,21.0,4.7,4.0,75.0,0,23.0,18.8,122
Brian Witherspoon,2TM,24,DB,8,0,9.0,88.0,0,42.0,9.8,28.0,640.0,0,42.0,22.9,728
Brandon Jones,SFO,27,WR,8,0,9.0,26.0,0,13.0,2.9,,,0,,,44
Kevin Kaesviharn,TEN,33,DB,13,0,9.0,34.0,0,10.0,3.8,,,0,,,34
Jamie Silva,IND,25,DB,14,0,7.0,32.0,0,7.0,4.6,1.0,19.0,0,19.0,19.0,51
Ed Reed*,BAL,31,FS,12,12,7.0,29.0,0,9.0,4.1,,,0,,,153
Fred Jackson,BUF,28,RB,16,11,6.0,69.0,0,27.0,11.5,41.0,1014.0,0,71.0,24.7,2516
Julian Edelman,NWE,23,WR,11,7,6.0,63.0,0,35.0,10.5,11.0,241.0,0,32.0,21.9,668
Dantrell Savage,KAN,24,RB,5,0,6.0,36.0,0,19.0,6.0,8.0,160.0,0,29.0,20.0,292
