Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
T.J. Houshmandzadeh,30,CIN,16,15,169,112,1143,10.2,12,69,56.8,42,7.0,71.4,66.3,6.8,2,PB
Wes Welker,26,NWE,16,13,145,112,1175,10.5,8,65,66.2,42,7.0,73.4,77.2,8.1,3,"AP-2,AP OPoY-3"
Reggie Wayne,29,IND,16,16,156,104,1510,14.5,10,72,61.5,64,6.5,94.4,66.7,9.7,3,"PB,AP-2"
Derrick Mason,33,BAL,16,16,164,103,1087,10.6,5,58,50.0,79,6.4,67.9,62.8,6.6,1,
Brandon Marshall,23,DEN,16,16,170,102,1325,13.0,7,71,52.4,68,6.4,82.8,60.0,7.8,3,
Larry Fitzgerald,24,ARI,15,15,167,100,1409,14.1,10,70,55.1,48,6.7,93.9,59.9,8.4,3,PB
Tony Gonzalez,31,KAN,16,16,153,99,1172,11.8,5,59,52.3,31,6.2,73.3,64.7,7.7,0,"PB,AP-2"
Marques Colston,24,NOR,16,14,143,98,1202,12.3,11,64,61.5,45,6.1,75.1,68.5,8.4,1,
Randy Moss,30,NWE,16,16,160,98,1493,15.2,23,74,58.8,65,6.1,93.3,61.3,9.3,0,"PB,AP-1,AP OPoY-2,AP CPoY-2"
Jason Witten,25,DAL,16,16,141,96,1145,11.9,7,56,58.2,53,6.0,71.6,68.1,8.1,1,"PB,AP-1"
Bobby Engram,34,SEA,16,13,134,94,1147,12.2,6,62,62.7,49,5.9,71.7,70.1,8.6,1,AP CPoY-6
Torry Holt,31,STL,16,16,149,93,1189,12.8,7,62,56.4,40,5.8,74.3,62.4,8.0,2,PB
Chad Johnson,29,CIN,16,16,161,93,1440,15.5,8,74,55.3,70,5.8,90.0,57.8,8.9,2,PB
Brian Westbrook,28,PHI,15,15,118,90,771,8.6,5,32,50.0,57,6.0,51.4,76.3,6.5,2,"PB,AP-1"
Steve Smith Sr.,28,CAR,15,15,148,87,1002,11.5,7,45,44.6,74,5.8,66.8,58.8,6.8,1,
Roddy White,26,ATL,16,15,137,83,1202,14.5,6,52,51.1,69,5.2,75.1,60.6,8.8,3,
Jerricho Cotchery,25,NYJ,15,15,127,82,1130,13.8,2,50,52.0,50,5.5,75.3,64.6,8.9,1,
Donald Driver,32,GNB,15,14,122,82,1048,12.8,2,49,60.7,47,5.5,69.9,67.2,8.6,1,PB
Kellen Winslow,24,CLE,16,14,148,82,1106,13.5,5,56,48.6,49,5.1,69.1,55.4,7.5,2,PB
Terrell Owens,34,DAL,15,15,141,81,1355,16.7,15,67,54.6,52,5.4,90.3,57.4,9.6,0,"PB,AP-1"
Braylon Edwards,24,CLE,16,16,154,80,1289,16.1,16,56,48.7,78,5.0,80.6,51.9,8.4,3,"PB,AP-2"
Shaun McDonald,26,DET,16,7,127,79,943,11.9,6,47,53.5,49,4.9,58.9,62.2,7.4,3,
Kevin Curtis,29,PHI,16,16,135,77,1110,14.4,6,49,51.1,75,4.8,69.4,57.0,8.2,0,
Antonio Gates,27,SDG,16,16,117,75,984,13.1,9,55,55.6,49,4.7,61.5,64.1,8.4,0,PB
Reggie Bush,22,NOR,12,10,98,73,417,5.7,2,23,44.9,25,6.1,34.8,74.5,4.3,8,
Bernard Berrian,27,CHI,16,15,128,71,951,13.4,5,48,48.4,59,4.4,59.4,55.5,7.4,1,
Anquan Boldin,27,ARI,12,11,99,71,853,12.0,9,43,58.6,44,5.9,71.1,71.7,8.6,2,
Hines Ward,31,PIT,13,13,113,71,732,10.3,7,47,54.9,25,5.5,56.3,62.8,6.5,0,
Dwayne Bowe,23,KAN,16,15,116,70,995,14.2,5,52,56.0,58,4.4,62.2,60.3,8.6,0,
Plaxico Burress,30,NYG,16,16,141,70,1025,14.6,12,50,45.4,60,4.4,64.1,49.6,7.3,0,
Chris Cooley,25,WAS,16,16,110,66,786,11.9,8,46,50.0,39,4.1,49.1,60.0,7.1,1,PB
Chris Chambers,29,2TM,16,12,129,66,970,14.7,4,46,46.5,44,4.1,60.6,51.2,7.5,1,
Chris Chambers,29,MIA,6,5,66,31,415,13.4,0,20,43.9,28,5.2,69.2,47.0,6.3,0,
Chris Chambers,29,SDG,10,7,63,35,555,15.9,4,26,49.2,44,3.5,55.5,55.6,8.8,1,
Kevin Walter,26,HOU,16,15,106,65,800,12.3,4,43,54.7,46,4.1,50.0,61.3,7.5,0,
Roy Williams,26,DET,12,12,105,64,838,13.1,5,34,51.4,91,5.3,69.8,61.0,8.0,2,
Owen Daniels,25,HOU,16,16,94,63,768,12.2,3,44,61.7,29,3.9,48.0,67.0,8.2,4,
Ike Hilliard,31,TAM,15,10,86,62,722,11.6,1,37,61.6,56,4.1,48.1,72.1,8.4,3,
Reggie Brown,26,PHI,16,14,111,61,780,12.8,4,38,49.5,45,3.8,48.8,55.0,7.0,1,
Mike Furrey,30,DET,16,10,91,61,664,10.9,1,37,58.2,49,3.8,41.5,67.0,7.3,0,
Santana Moss,28,WAS,14,14,115,61,808,13.2,3,43,47.0,49,4.4,57.7,53.0,7.0,2,
Andre Johnson,26,HOU,9,9,86,60,851,14.2,8,39,66.3,77,6.7,94.6,69.8,9.9,1,
LaDainian Tomlinson,28,SDG,16,16,86,60,475,7.9,3,20,38.4,36,3.8,29.7,69.8,5.5,0,"PB,AP-1"
Amani Toomer,33,NYG,16,15,104,59,760,12.9,3,42,53.8,40,3.7,47.5,56.7,7.3,0,AP CPoY-9
Dallas Clark,28,IND,15,15,101,58,616,10.6,11,37,50.5,39,3.9,41.1,57.4,6.1,0,
Joey Galloway,36,TAM,15,15,98,57,1014,17.8,6,37,53.1,69,3.8,67.6,58.2,10.3,0,
Jeremy Shockey,27,NYG,14,14,93,57,619,10.9,3,33,48.4,29,4.1,44.2,61.3,6.7,0,
Isaac Bruce,35,STL,14,12,101,55,733,13.3,4,36,47.5,37,3.9,52.4,54.5,7.3,0,
Laveranues Coles,30,NYJ,12,10,89,55,646,11.7,6,35,53.9,57,4.6,53.8,61.8,7.3,0,
Ronald Curry,28,OAK,16,13,97,55,717,13.0,4,35,47.4,49,3.4,44.8,56.7,7.4,0,
Lee Evans,26,BUF,16,16,113,55,849,15.4,5,37,42.5,85,3.4,53.1,48.7,7.5,0,
Justin Gage,26,TEN,16,8,85,55,750,13.6,2,45,60.0,73,3.4,46.9,64.7,8.8,1,
Roydell Williams,26,TEN,16,14,93,55,719,13.1,4,38,51.6,48,3.4,44.9,59.1,7.7,0,
David Patten,33,NOR,16,5,87,54,792,14.7,3,37,54.0,58,3.4,49.5,62.1,9.1,2,
Bobby Wade,26,MIN,16,12,84,54,647,12.0,3,33,56.0,40,3.4,40.4,64.3,7.7,3,
Frank Gore,24,SFO,15,15,69,53,436,8.2,1,20,55.1,23,3.5,29.1,76.8,6.3,4,
Michael Jenkins,25,ATL,15,6,85,53,532,10.0,4,31,52.9,29,3.5,35.5,62.4,6.3,0,
Greg Jennings,24,GNB,13,13,84,53,920,17.4,12,36,57.1,82,4.1,70.8,63.1,11.0,1,
Vernon Davis,23,SFO,14,14,85,52,509,9.8,4,30,47.1,31,3.7,36.4,61.2,6.0,1,
Santonio Holmes,23,PIT,13,13,85,52,942,18.1,8,42,56.5,83,4.0,72.5,61.2,11.1,2,
Kenny Watson,29,CIN,16,5,67,52,374,7.2,0,13,40.3,43,3.3,23.4,77.6,5.6,3,
Adrian Peterson,28,CHI,16,5,65,51,420,8.2,0,15,50.8,30,3.2,26.3,78.5,6.5,3,
Antwaan Randle El,28,WAS,15,13,77,51,728,14.3,1,37,59.7,54,3.4,48.5,66.2,9.5,3,
Josh Reed,27,BUF,15,9,88,51,578,11.3,0,32,47.7,30,3.4,38.5,58.0,6.6,0,
Arnaz Battle,27,SFO,16,15,104,50,600,12.0,5,28,40.4,57,3.1,37.5,48.1,5.8,3,
Marty Booker,31,MIA,15,15,105,50,556,11.1,1,28,43.8,26,3.3,37.1,47.6,5.3,1,
Nate Burleson,26,SEA,16,12,96,50,694,13.9,9,37,46.9,45,3.1,43.4,52.1,7.2,3,
Patrick Crayton,28,DAL,15,13,81,50,697,13.9,7,34,54.3,59,3.3,46.5,61.7,8.6,2,
Joe Jurevicius,33,CLE,16,12,81,50,614,12.3,3,34,51.9,50,3.1,38.4,61.7,7.6,0,
Deion Branch,28,SEA,11,11,85,49,661,13.5,4,30,52.9,65,4.5,60.1,57.6,7.8,0,
Earnest Graham,27,TAM,15,10,69,49,324,6.6,0,13,46.4,21,3.3,21.6,71.0,4.7,1,
Tony Scheffler,24,DEN,16,7,65,49,549,11.2,5,29,61.5,41,3.1,34.3,75.4,8.4,1,
Mark Clayton,25,BAL,16,12,89,48,531,11.1,0,28,43.8,52,3.0,33.2,53.9,6.0,0,
Calvin Johnson,22,DET,15,10,93,48,756,15.8,4,38,47.3,49,3.2,50.4,51.6,8.1,1,
Eric Johnson,28,NOR,14,12,63,48,378,7.9,2,19,60.3,22,3.4,27.0,76.2,6.0,1,
Donald Lee,27,GNB,15,12,63,48,575,12.0,6,29,61.9,60,3.2,38.3,76.2,9.1,1,
Kevin Faulk,31,NWE,16,8,61,47,383,8.1,1,20,59.0,23,2.9,23.9,77.0,6.3,1,
James Jones,23,GNB,16,9,80,47,676,14.4,2,29,50.0,79,2.9,42.3,58.8,8.5,3,
Heath Miller,25,PIT,16,16,61,47,566,12.0,7,32,62.3,29,2.9,35.4,77.0,9.3,0,
Clinton Portis,26,WAS,16,16,60,47,389,8.3,0,19,50.0,54,2.9,24.3,78.3,6.5,6,
Darrell Jackson,29,SFO,15,15,104,46,497,10.8,3,33,39.4,34,3.1,33.1,44.2,4.8,1,
Bryant Johnson,26,ARI,16,8,88,46,528,11.5,2,33,46.6,30,2.9,33.0,52.3,6.0,0,
Jeff King,24,CAR,16,16,80,46,406,8.8,2,25,46.3,29,2.9,25.4,57.5,5.1,2,
Bo Scaife,26,TEN,16,15,78,46,421,9.2,1,27,48.7,26,2.9,26.3,59.0,5.4,2,
Donte' Stallworth,27,NWE,16,9,75,46,697,15.2,3,27,56.0,69,2.9,43.6,61.3,9.3,0,
Ernest Wilford,28,JAX,16,14,74,45,518,11.5,3,35,54.1,35,2.8,32.4,60.8,7.0,0,
Marion Barber III,24,DAL,16,0,54,44,282,6.4,2,17,50.0,29,2.8,17.6,81.5,5.2,3,PB
Desmond Clark,30,CHI,16,16,67,44,545,12.4,4,25,52.2,52,2.8,34.1,65.7,8.1,1,
Zach Miller,22,OAK,16,16,68,44,444,10.1,3,25,48.5,28,2.8,27.8,64.7,6.5,2,
Dennis Northcutt,30,JAX,15,11,73,44,601,13.7,4,30,52.1,55,2.9,40.1,60.3,8.2,1,
Jerry Porter,29,OAK,16,16,102,44,705,16.0,6,29,38.2,59,2.8,44.1,43.1,6.9,0,
Willis McGahee,26,BAL,15,15,49,43,231,5.4,1,10,44.9,30,2.9,15.4,87.8,4.7,4,PB
Alge Crumpler,30,ATL,14,10,70,42,444,10.6,5,23,50.0,55,3.0,31.7,60.0,6.3,0,
Joseph Addai,24,IND,15,15,48,41,364,8.9,3,16,58.3,73,2.7,24.3,85.4,7.6,0,PB
Chris Baker,28,NYJ,15,15,61,41,409,10.0,3,29,57.4,22,2.7,27.3,67.2,6.7,1,
Vincent Jackson,24,SDG,16,16,80,41,623,15.2,3,28,46.3,45,2.6,38.9,51.3,7.8,0,
Maurice Jones-Drew,22,JAX,15,0,55,40,407,10.2,0,22,52.7,43,2.7,27.1,72.7,7.4,2,
Muhsin Muhammad,34,CHI,16,16,81,40,570,14.3,3,28,45.7,44,2.5,35.6,49.4,7.0,0,
Brandon Stokley,31,DEN,13,9,71,40,635,15.9,5,34,53.5,58,3.1,48.8,56.3,8.9,0,
Ronnie Brown,26,MIA,7,7,46,39,389,10.0,1,17,58.7,43,5.6,55.6,84.8,8.5,0,
Randy McMichael,28,STL,16,15,67,39,429,11.0,3,29,53.7,29,2.4,26.8,58.2,6.4,0,
Greg Olsen,22,CHI,14,4,66,39,391,10.0,2,19,43.9,31,2.8,27.9,59.1,5.9,0,
Leonard Weaver,25,SEA,16,4,52,39,313,8.0,0,15,46.2,46,2.4,19.6,75.0,6.0,0,
Drew Carter,26,CAR,16,7,75,38,517,13.6,4,28,44.0,49,2.4,32.3,50.7,6.9,0,
Steven Jackson,24,STL,12,12,52,38,271,7.1,1,13,34.6,37,3.2,22.6,73.1,5.2,5,
Reggie Williams,24,JAX,15,6,60,38,629,16.6,10,28,56.7,80,2.5,41.9,63.3,10.5,3,
Warrick Dunn,32,ATL,16,15,59,37,238,6.4,0,5,27.1,35,2.3,14.9,62.7,4.0,2,
Anthony Gonzalez,23,IND,13,9,51,37,576,15.6,3,27,64.7,57,2.8,44.3,72.5,11.3,0,
Marcedes Lewis,23,JAX,16,16,57,37,391,10.6,2,22,50.9,25,2.3,24.4,64.9,6.9,0,
Laurent Robinson,22,ATL,15,6,74,37,437,11.8,1,14,33.8,74,2.5,29.1,50.0,5.9,1,
Jabar Gaffney,27,NWE,16,7,50,36,449,12.5,5,21,66.0,56,2.3,28.1,72.0,9.0,0,
Aaron Stecker,32,NOR,16,6,43,36,211,5.9,0,12,51.2,26,2.3,13.2,83.7,4.9,1,
Leon Washington,25,NYJ,16,4,51,36,213,5.9,0,15,43.1,18,2.3,13.3,70.6,4.2,4,
Ben Watson,27,NWE,12,8,49,36,389,10.8,6,21,59.2,35,3.0,32.4,73.5,7.9,1,
Roscoe Parrish,25,BUF,16,3,58,35,352,10.1,1,18,41.4,47,2.2,22.0,60.3,6.1,1,
Selvin Young,24,DEN,15,8,43,35,231,6.6,0,9,44.2,24,2.3,15.4,81.4,5.4,2,
Ted Ginn Jr.,22,MIA,16,9,71,34,420,12.4,2,18,38.0,54,2.1,26.3,47.9,5.9,3,
David Martin,28,MIA,15,15,51,34,303,8.9,2,16,43.1,28,2.3,20.2,66.7,5.9,0,
Quinn Sypniewski,25,BAL,15,9,52,34,246,7.2,1,15,48.1,13,2.3,16.4,65.4,4.7,1,
Drew Bennett,29,STL,14,1,73,33,375,11.4,3,24,35.6,24,2.4,26.8,45.2,5.1,1,
Andre' Davis,28,HOU,14,8,63,33,583,17.7,3,19,46.0,53,2.4,41.6,52.4,9.3,1,
Keary Colbert,25,CAR,12,8,69,32,332,10.4,0,16,39.1,43,2.7,27.7,46.4,4.8,1,
Robert Ferguson,28,MIN,15,8,61,32,391,12.2,1,19,42.6,71,2.1,26.1,52.5,6.4,0,
D.J. Hackett,26,SEA,6,6,47,32,384,12.0,3,16,59.6,59,5.3,64.0,68.1,8.2,0,
Kevin Jones,25,DET,13,10,44,32,197,6.2,0,7,43.2,16,2.5,15.2,72.7,4.5,2,
Lance Moore,24,NOR,16,4,50,32,302,9.4,2,22,56.0,22,2.0,18.9,64.0,6.0,2,
Eric Moulds,34,TEN,16,8,52,32,342,10.7,0,21,53.8,46,2.0,21.4,61.5,6.6,0,
Alex Smith,25,TAM,14,14,53,32,385,12.0,3,20,47.2,33,2.3,27.5,60.4,7.3,0,
Brad Smith,24,NYJ,16,9,67,32,325,10.2,2,15,37.3,29,2.0,20.3,47.8,4.9,1,
Sidney Rice,21,MIN,13,4,53,31,396,12.8,4,25,50.9,60,2.4,30.5,58.5,7.5,0,
Ben Utecht,26,IND,14,13,37,31,364,11.7,1,20,75.7,30,2.2,26.0,83.8,9.8,2,
Ryan Grant,25,GNB,15,7,37,30,145,4.8,0,9,43.2,21,2.0,9.7,81.1,3.9,1,
Larry Johnson,28,KAN,8,8,41,30,186,6.2,1,9,36.6,30,3.8,23.3,73.2,4.5,1,
Brian Leonard,23,STL,16,7,39,30,183,6.1,0,8,38.5,16,1.9,11.4,76.9,4.7,0,
Jamal Lewis,28,CLE,15,15,39,30,248,8.3,2,8,53.8,34,2.0,16.5,76.9,6.4,4,AP CPoY-4
Vernand Morency,27,GNB,13,0,39,30,199,6.6,0,10,41.0,18,2.3,15.3,76.9,5.1,1,
J.J. Arrington,24,ARI,16,0,39,29,241,8.3,1,9,33.3,32,1.8,15.1,74.4,6.2,0,
Derek Hagan,23,MIA,16,1,59,29,373,12.9,2,22,44.1,22,1.8,23.3,49.2,6.3,0,
Justin Peelle,28,MIA,16,10,47,29,228,7.9,2,12,42.6,35,1.8,14.3,61.7,4.9,0,
Chester Taylor,28,MIN,14,8,43,29,281,9.7,0,12,39.5,50,2.1,20.1,67.4,6.5,5,
Nate Washington,24,PIT,16,4,55,29,450,15.5,5,21,50.9,40,1.8,28.1,52.7,8.2,0,
Lorenzo Booker,23,MIA,7,1,36,28,237,8.5,0,12,63.9,22,4.0,33.9,77.8,6.6,0,
Thomas Jones,29,NYJ,16,14,34,28,217,7.8,1,8,47.1,25,1.8,13.6,82.4,6.4,2,
LaMont Jordan,29,OAK,12,7,34,28,247,8.8,0,11,58.8,27,2.3,20.6,82.4,7.3,0,
Jerious Norwood,24,ATL,15,2,39,28,277,9.9,0,12,51.3,46,1.9,18.5,71.8,7.1,0,
Marcus Pollard,35,SEA,14,10,35,28,273,9.8,2,15,71.4,22,2.0,19.5,80.0,7.8,0,
Jeff Webb,25,KAN,16,2,57,28,313,11.2,1,13,36.8,32,1.8,19.6,49.1,5.5,2,
Jesse Chatman,28,MIA,14,6,37,27,161,6.0,0,8,48.6,22,1.9,11.5,73.0,4.4,1,
Joe Horn,35,ATL,12,12,52,27,243,9.0,1,17,40.4,26,2.3,20.3,51.9,4.7,0,
Billy Miller,30,NOR,16,6,38,27,328,12.1,2,20,68.4,57,1.7,20.5,71.1,8.6,0,
Visanthe Shiancoe,27,MIN,16,15,43,27,323,12.0,1,10,55.8,79,1.7,20.2,62.8,7.5,1,
Musa Smith,25,BAL,16,1,34,27,192,7.1,0,8,44.1,29,1.7,12.0,79.4,5.6,1,
Justin Griffith,27,OAK,16,11,36,26,165,6.3,1,7,55.6,29,1.6,10.3,72.2,4.6,0,
Michael Pittman,32,TAM,10,3,39,26,191,7.3,0,10,33.3,16,2.6,19.1,66.7,4.9,1,
Javon Walker,29,DEN,8,5,50,26,287,11.0,0,10,36.0,24,3.3,35.9,52.0,5.7,0,
Derrick Ward,27,NYG,8,5,40,26,179,6.9,1,7,37.5,17,3.3,22.4,65.0,4.5,2,
DeShaun Foster,27,CAR,16,16,36,25,182,7.3,1,6,38.9,23,1.6,11.4,69.4,5.1,7,
Michael Gaines,27,BUF,15,14,35,25,215,8.6,2,13,62.9,20,1.7,14.3,71.4,6.1,0,
Vonta Leach,26,HOU,16,12,33,25,108,4.3,2,6,39.4,15,1.6,6.8,75.8,3.3,2,
Robert Royal,28,BUF,16,15,38,25,248,9.9,3,10,47.4,28,1.6,15.5,65.8,6.5,2,
Daniel Graham,29,DEN,15,15,33,24,246,10.3,2,12,57.6,28,1.6,16.4,72.7,7.5,0,
Edgerrin James,29,ARI,16,16,39,24,204,8.5,0,9,43.6,26,1.5,12.8,61.5,5.2,5,
Matt Jones,24,JAX,12,0,50,24,317,13.2,4,15,42.0,48,2.0,26.4,48.0,6.3,0,
Samie Parker,26,KAN,15,7,41,24,298,12.4,2,14,53.7,24,1.6,19.9,58.5,7.3,1,
Kris Wilson,26,KAN,16,12,50,24,180,7.5,1,8,28.0,31,1.5,11.3,48.0,3.6,2,
Jason Wright,25,CLE,16,1,37,24,233,9.7,0,14,48.6,23,1.5,14.6,64.9,6.3,1,
Jason Avant,24,PHI,15,5,33,23,267,11.6,2,16,57.6,31,1.5,17.8,69.7,8.1,0,
Justin Fargas,27,OAK,14,7,32,23,188,8.2,0,12,46.9,17,1.6,13.4,71.9,5.9,3,
Todd Heap,27,BAL,6,6,34,23,239,10.4,1,14,61.8,37,3.8,39.8,67.6,7.0,0,
Brandon Jacobs,25,NYG,11,9,38,23,174,7.6,2,7,36.8,34,2.1,15.8,60.5,4.6,5,
Julius Jones,26,DAL,16,16,26,23,203,8.8,0,10,61.5,24,1.4,12.7,88.5,7.8,0,
Maurice Morris,28,SEA,14,6,32,23,213,9.3,1,8,43.8,34,1.6,15.2,71.9,6.7,1,
Willie Parker,27,PIT,15,15,31,23,164,7.1,0,7,48.4,22,1.5,10.9,74.2,5.3,4,PB
Leonard Pope,24,ARI,13,11,34,23,238,10.3,5,12,47.1,31,1.8,18.3,67.6,7.0,1,
DeAngelo Williams,24,CAR,16,0,38,23,175,7.6,1,5,34.2,30,1.4,10.9,60.5,4.6,1,
Michael Clayton,25,TAM,14,4,40,22,301,13.7,0,13,45.0,39,1.6,21.5,55.0,7.5,1,
Fred Jackson,26,BUF,8,1,30,22,190,8.6,0,8,43.3,54,2.8,23.8,73.3,6.3,0,
Keenan McCardell,37,WAS,10,1,31,22,256,11.6,1,16,61.3,32,2.2,25.6,71.0,8.3,0,
Kolby Smith,23,KAN,16,6,30,22,148,6.7,0,7,40.0,17,1.4,9.3,73.3,4.9,0,
L.J. Smith,27,PHI,10,9,43,22,236,10.7,1,12,46.5,26,2.2,23.6,51.2,5.5,1,
Jerheme Urban,27,ARI,10,2,38,22,329,15.0,2,15,52.6,42,2.2,32.9,57.9,8.7,0,
Ladell Betts,28,WAS,16,0,32,21,174,8.3,1,7,37.5,28,1.3,10.9,65.6,5.4,1,
Chris Henry,24,CIN,8,2,38,21,343,16.3,2,14,44.7,52,2.6,42.9,55.3,9.0,0,
Brandon Jones,25,TEN,9,2,34,21,248,11.8,2,12,50.0,35,2.3,27.6,61.8,7.3,1,
Sinorice Moss,24,NYG,13,2,37,21,225,10.7,0,11,43.2,20,1.6,17.3,56.8,6.1,1,
Koren Robinson,27,GNB,9,1,34,21,241,11.5,1,11,41.2,43,2.3,26.8,61.8,7.1,0,
Delanie Walker,23,SFO,16,10,42,21,174,8.3,1,8,31.0,26,1.3,10.9,50.0,4.1,0,
Craig Davis,22,SDG,13,1,34,20,188,9.4,1,12,55.9,18,1.5,14.5,58.8,5.5,1,
Marvin Harrison,35,IND,5,5,32,20,247,12.4,1,12,56.3,42,4.0,49.4,62.5,7.7,0,
Devery Henderson,25,NOR,16,9,43,20,409,20.5,3,16,46.5,54,1.3,25.6,46.5,9.5,0,
Devin Hester,25,CHI,16,0,38,20,299,15.0,2,11,36.8,81,1.3,18.7,52.6,7.9,7,"PB,AP-1"
Reggie Kelly,30,CIN,15,15,27,20,211,10.6,0,7,51.9,26,1.3,14.1,74.1,7.8,0,
LenDale White,23,TEN,16,16,31,20,114,5.7,0,7,38.7,15,1.3,7.1,64.5,3.7,5,
Demetrius Williams,24,BAL,9,4,47,20,290,14.5,0,16,38.3,34,2.2,32.2,42.6,6.2,0,
Chris Brown,26,TEN,12,1,21,19,128,6.7,0,8,52.4,16,1.6,10.7,90.5,6.1,1,
Antonio Chatman,28,CIN,13,1,29,19,149,7.8,1,9,51.7,15,1.5,11.5,65.5,5.1,0,
Sam Hurd,22,DAL,16,2,37,19,314,16.5,1,17,51.4,51,1.2,19.6,51.4,8.5,0,
