Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Chris Boswell,PIT,33,K,14,0,,,,,,,,,,,0,30.0,30.0,38.0,41.0,,144,10.3
Ka'imi Fairbairn,HOU,30,K,14,0,,,,,,,,,,,0,31.0,31.0,33.0,39.0,,130,9.3
Wil Lutz,DEN,30,K,15,0,,,,,,,,,,,0,38.0,38.0,29.0,32.0,,125,8.3
Brandon Aubrey,DAL,29,K,14,0,,,,,,,,,,,0,26.0,26.0,32.0,38.0,,122,8.7
Cameron Dicker,LAC,24,K,15,0,,,,,,,,,,,0,27.0,30.0,31.0,33.0,,120,8.0
Jake Bates,DET,25,K,14,0,,,,,,,,,,,0,54.0,55.0,21.0,23.0,,117,8.4
Chase McLaughlin,TAM,28,K,14,0,,,,,,,,,,,0,42.0,44.0,25.0,27.0,,117,8.4
Tyler Bass,BUF,27,K,14,0,,,,,,,,,,,0,50.0,54.0,21.0,26.0,,113,8.1
Jason Sanders,MIA,29,K,14,0,,,,,,,,,,,0,20.0,22.0,28.0,32.0,,104,7.4
Justin Tucker,BAL,35,K,14,0,,,,,,,,,,,0,47.0,49.0,19.0,27.0,,104,7.4
Austin Seibert,WAS,28,K,9,0,,,,,,,,,,,0,22.0,24.0,27.0,30.0,,103,11.4
Younghoe Koo,ATL,30,K,14,0,,,,,,,,,,,0,26.0,26.0,25.0,34.0,,101,7.2
Daniel Carlson,LVR,29,K,14,0,,,,,,,,,,,0,19.0,20.0,26.0,31.0,,97,6.9
Jake Elliott,PHI,29,K,14,0,,,,,,,,,,,0,37.0,38.0,20.0,26.0,,97,6.9
Jason Myers,SEA,33,K,14,0,,,,,,,,,,,0,31.0,34.0,22.0,25.0,,97,6.9
Matt Gay,IND,30,K,13,0,,,,,,,,,,,0,23.0,23.0,24.0,27.0,,95,7.3
Blake Grupe,NOR,26,K,14,0,,,,,,,,,,,0,29.0,31.0,22.0,26.0,,95,6.8
Joshua Karty,LAR,22,K,14,0,,,,,,,,,,,0,29.0,32.0,21.0,26.0,,92,6.6
Ja'Marr Chase,CIN,24,WR,14,14,,15.0,,,,,,15.0,,,0,,,,,,90,6.4
Derrick Henry,BAL,30,RB,14,14,13.0,2.0,,,,,,15.0,,,0,,,,,,90,6.4
Jake Moody,SFO,25,K,11,0,,,,,,,,,,,0,23.0,23.0,22.0,28.0,,89,8.1
Nick Folk,TEN,40,K,14,0,,,,,,,,,,,0,25.0,25.0,21.0,22.0,,88,6.3
Joey Slye,NWE,28,K,14,0,,,,,,,,,,,0,19.0,20.0,23.0,30.0,,88,6.3
Cam Little,JAX,21,K,14,0,,,,,,,,,,,0,21.0,21.0,22.0,24.0,,87,6.2
Evan McPherson,CIN,25,K,12,0,,,,,,,,,,,0,37.0,38.0,16.0,22.0,,85,7.1
Saquon Barkley,PHI,27,RB,14,14,11.0,2.0,,,,,,13.0,3.0,,0,,,,,,84,6.0
James Cook,BUF,25,RB,13,13,13.0,1.0,,,,,,14.0,,,0,,,,,,84,6.5
Jahmyr Gibbs,DET,22,RB,14,1,11.0,3.0,,,,,,14.0,,,0,,,,,,84,6.0
Jalen Hurts,PHI,26,QB,14,14,14.0,,,,,,,14.0,,,0,,,,,,84,6.0
Chad Ryland,ARI,25,K,10,0,,,,,,,,,,,0,18.0,18.0,22.0,26.0,,84,8.4
Kyren Williams,LAR,24,RB,14,14,12.0,2.0,,,,,,14.0,,,0,,,,,,84,6.0
Eddy Piñeiro,CAR,29,K,14,0,,,,,,,,,,,0,23.0,24.0,20.0,23.0,,83,5.9
Will Reichard,MIN,23,K,10,0,,,,,,,,,,,0,32.0,32.0,17.0,20.0,,83,8.3
Harrison Butker,KAN,29,K,10,0,,,,,,,,,,,0,24.0,25.0,18.0,21.0,,78,7.8
Josh Jacobs,GNB,26,RB,14,14,12.0,1.0,,,,,,13.0,,,0,,,,,,78,5.6
Cairo Santos,CHI,33,K,14,0,,,,,,,,,,,0,20.0,21.0,18.0,22.0,,74,5.3
Josh Allen,BUF,28,QB,14,14,11.0,1.0,,,,,,12.0,,,0,,,,,,72,5.1
Joe Mixon,HOU,28,RB,11,11,11.0,1.0,,,,,,12.0,,,0,,,,,,72,6.5
David Montgomery,DET,27,RB,14,14,12.0,,,,,,,12.0,,,0,,,,,,72,5.1
Chase Brown,CIN,24,RB,14,8,7.0,4.0,,,,,,11.0,1.0,,0,,,,,,68,4.9
Terry McLaurin,WAS,29,WR,14,14,,11.0,,,,,,11.0,,,0,,,,,,66,4.7
Brandon McManus,GNB,33,K,8,0,,,,,,,,,,,0,23.0,23.0,14.0,15.0,,65,8.1
Dustin Hopkins,CLE,34,K,13,0,,,,,,,,,,,0,16.0,18.0,16.0,25.0,,64,4.9
De'Von Achane,MIA,23,RB,14,13,4.0,6.0,,,,,,10.0,,,0,,,,,,60,4.3
Amon-Ra St. Brown,DET,25,WR,14,14,,10.0,,,,,,10.0,,,0,,,,,,60,4.3
Chuba Hubbard,CAR,25,RB,14,14,8.0,1.0,,,,,,9.0,1.0,,0,,,,,,56,4.0
Bijan Robinson,ATL,22,RB,14,14,8.0,1.0,,,,,,9.0,1.0,,0,,,,,,56,4.0
Zach Charbonnet,SEA,23,RB,14,4,8.0,1.0,,,,,,9.0,,,0,,,,,,54,3.9
Mike Evans,TAM,31,WR,11,11,,9.0,,,,,,9.0,,,0,,,,,,54,4.9
Rachaad White,TAM,25,RB,13,13,3.0,6.0,,,,,,9.0,,,0,,,,,,54,4.2
Greg Joseph,2TM,30,,7,0,,,,,,,,,,,0,8.0,8.0,15.0,19.0,,53,7.6
James Conner,ARI,29,RB,14,14,7.0,1.0,,,,,,8.0,2.0,,0,,,,,,52,3.7
Brayden Narveson,GNB,25,K,6,0,,,,,,,,,,,0,16.0,16.0,12.0,17.0,,52,8.7
Brian Thomas,JAX,22,WR,14,13,,8.0,,,,,,8.0,2.0,,0,,,,,,52,3.7
Jordan Addison,MIN,22,WR,12,12,1.0,7.0,,,,,,8.0,,,0,,,,,,48,4.0
Mark Andrews,BAL,29,TE,14,10,,8.0,,,,,,8.0,,,0,,,,,,48,3.4
Anders Carlson,2TM,26,,6,0,,,,,,,,,,,0,12.0,14.0,12.0,13.0,,48,8.0
J.K. Dobbins,LAC,26,RB,11,9,8.0,,,,,,,8.0,,,0,,,,,,48,4.4
Justin Jefferson,MIN,25,WR,14,14,,8.0,,,,,,8.0,,,0,,,,,,48,3.4
Quentin Johnston,LAC,23,WR,13,9,,8.0,,,,,,8.0,,,0,,,,,,48,3.7
Alvin Kamara,NOR,29,RB,14,14,6.0,2.0,,,,,,8.0,,,0,,,,,,48,3.4
George Kittle,SFO,31,TE,12,12,,8.0,,,,,,8.0,,,0,,,,,,48,4.0
Brian Robinson Jr.,WAS,25,RB,11,10,8.0,,,,,,,8.0,,,0,,,,,,48,4.4
Kenneth Walker III,SEA,24,RB,10,10,7.0,1.0,,,,,,8.0,,,0,,,,,,48,4.8
