Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Nick McCloud,NYG,25,CB,17,3,1,0,0,0,0.0,,,0,,,1
Rondale Moore,ARI,23,WR,17,8,1,11,0,11,11.0,,,0,,,541
Bijan Robinson,ATL,21,RB,17,16,1,8,0,8,8.0,,,0,,,1464
Tremon Smith,DEN,27,CB,17,0,1,14,0,14,14.0,,,0,,,14
Jalen Tolbert,DAL,24,WR,17,6,1,0,0,0,0.0,,,0,,,268
Samori Toure,GNB,25,WR,11,0,1,0,0,0,0.0,,,0,,,78
Raheem Blackshear,CAR,24,RB,12,0,,,0,,,16,430,0,52,26.9,521
Velus Jones Jr.,CHI,26,WR,14,0,,,0,,,16,435,0,37,27.2,506
Kene Nwangwu,MIN,25,RB,9,0,,,0,,,15,380,0,47,25.3,393
Antonio Gibson,WAS,25,RB,16,2,,,0,,,14,340,0,37,24.3,994
Tyjae Spears,TEN,22,RB,17,1,,,0,,,13,270,0,33,20.8,1108
Khalil Dorsey,DET,25,CB,13,2,,,0,,,12,244,0,30,20.3,275
Trayveon Williams,CIN,26,RB,17,0,,,0,,,12,290,0,46,24.2,369
Godwin Igwebuike,2TM,29,RB,12,0,,,0,,,11,282,0,36,25.6,282
Ty Montgomery,NWE,30,RB,13,0,,,0,,,9,219,0,43,24.3,268
Byron Pringle,WAS,30,WR,17,1,,,0,,,9,251,0,40,27.9,412
Parris Campbell,NYG,26,WR,12,3,,,0,,,8,191,0,36,23.9,293
D'Wayne Eskridge,SEA,26,WR,4,0,,,0,,,8,224,0,66,28.0,229
Ty Johnson,BUF,26,RB,10,0,,,0,,,8,161,0,24,20.1,355
Boston Scott,PHI,28,RB,15,0,,,0,,,8,170,0,38,21.3,308
Pierre Strong,CLE,25,RB,17,1,,,0,,,8,200,0,36,25.0,538
D'Ernest Johnson,JAX,27,RB,17,0,,,0,,,7,126,0,22,18.0,374
Cordarrelle Patterson,ATL,32,RB,14,0,,,0,,,7,153,0,29,21.9,372
Dameon Pierce,HOU,23,RB,14,7,,,0,,,7,225,1,98,32.1,742
Jalen Reagor,NWE,24,WR,11,1,,,0,,,7,221,1,98,31.6,376
Rico Dowdle,DAL,25,RB,16,0,,,0,,,6,86,0,31,14.3,591
Anthony McFarland Jr.,PIT,25,RB,3,0,,,0,,,6,164,0,37,27.3,175
Deebo Samuel,SFO,27,WR,15,15,,,0,,,6,154,0,34,25.7,1271
Laviska Shenault Jr.,CAR,25,WR,8,0,,,0,,,6,167,0,37,27.8,282
Craig Reynolds,DET,27,RB,17,0,,,0,,,5,133,0,31,26.6,359
Tyler Scott,CHI,22,WR,17,4,,,0,,,5,108,0,33,21.6,317
Tank Bigsby,JAX,22,RB,17,0,,,0,,,4,99,0,31,24.8,228
Mike Boone,HOU,28,S,9,0,,,0,,,4,66,0,25,16.5,129
Ty Chandler,MIN,25,RB,17,4,,,0,,,4,97,0,33,24.3,717
Chris Moore,TEN,30,WR,17,5,,,0,,,4,89,0,26,22.3,552
Devin Singletary,HOU,26,RB,17,10,,,0,,,4,90,0,35,22.5,1181
Justice Hill,BAL,26,RB,16,5,,,0,,,3,119,0,78,39.7,712
