Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Marquette King,OAK,26,P,16,0,109,4930,45.2,513.0,4357.0,40.0,62,3.0,2.8%,31.0,28.4%,0
Bryan Anger,JAX,26,P,16,0,94,4464,47.5,464.0,3800.0,39.6,69,10.0,10.6%,25.0,26.6%,2
Spencer Lanning,CLE,26,P,16,0,93,4119,44.3,295.0,3644.0,39.2,59,9.0,9.7%,25.0,26.9%,0
Brett Kern,TEN,28,P,16,0,88,4118,46.8,350.0,3628.0,40.8,79,7.0,8.0%,28.0,31.8%,1
Colton Schmidt,BUF,24,P,16,0,86,3692,42.9,246.0,3326.0,38.7,67,6.0,7.0%,31.0,36.0%,0
Shane Lechler,HOU,38,P,16,0,83,3845,46.3,398.0,3249.0,38.7,71,10.0,12.0%,27.0,32.5%,1
Johnny Hekker,STL,24,P,16,0,80,3721,46.5,192.0,3429.0,42.3,61,5.0,6.3%,33.0,41.3%,1
Steve Weatherford,NYG,32,P,16,0,80,3640,45.5,391.0,3129.0,38.6,71,6.0,7.5%,25.0,31.3%,1
Drew Butler,ARI,25,P,15,0,79,3328,42.1,246.0,2982.0,36.8,67,5.0,6.3%,34.0,43.0%,2
Michael Koenen,TAM,32,P,16,0,78,3154,40.4,185.0,2929.0,37.1,56,2.0,2.6%,17.0,21.8%,1
Ryan Quigley,NYJ,24,P,16,0,78,3580,45.9,250.0,3150.0,39.9,69,9.0,11.5%,23.0,29.5%,1
Tress Way,WAS,24,P,16,0,77,3659,47.5,397.0,3122.0,40.0,77,7.0,9.1%,22.0,28.6%,1
Donnie Jones,PHI,34,P,16,0,76,3331,43.8,238.0,2953.0,38.9,68,7.0,9.2%,34.0,44.7%,0
Jeff Locke,MIN,25,P,16,0,75,3318,44.2,255.0,2943.0,38.7,62,6.0,8.0%,21.0,28.0%,1
Kevin Huber*,CIN,29,P,16,0,73,3419,46.8,226.0,3073.0,42.1,69,6.0,8.2%,27.0,37.0%,0
Andy Lee,SFO,32,P,16,0,72,3369,46.8,336.0,2893.0,39.6,71,7.0,9.7%,28.0,38.9%,1
Brad Nortman,CAR,25,P,16,0,72,3236,44.9,435.0,2701.0,36.5,72,5.0,6.9%,26.0,36.1%,2
Dustin Colquitt,KAN,32,P,16,0,71,3164,44.6,190.0,2874.0,40.5,69,5.0,7.0%,31.0,43.7%,0
Pat O'Donnell,CHI,23,P,16,0,71,3107,43.8,335.0,2712.0,37.7,61,3.0,4.2%,20.0,28.2%,1
Britton Colquitt,DEN,29,P,16,0,69,3048,44.2,371.0,2597.0,37.6,65,4.0,5.8%,25.0,36.2%,0
Pat McAfee*+,IND,27,P,16,0,69,3221,46.7,205.0,2956.0,42.8,61,3.0,4.3%,30.0,43.5%,0
Sam Martin,DET,24,P,16,0,68,3138,46.1,311.0,2727.0,40.1,71,5.0,7.4%,29.0,42.6%,0
Matthew Bosher,ATL,27,P,16,0,67,3063,45.7,250.0,2733.0,40.8,66,4.0,6.0%,27.0,40.3%,0
Ryan Allen,NWE,24,P,16,0,66,3060,46.4,267.0,2673.0,39.9,67,6.0,9.1%,25.0,37.9%,1
Jon Ryan,SEA,33,P,16,0,61,2688,44.1,195.0,2373.0,38.3,66,6.0,9.8%,28.0,45.9%,1
Brad Wing,PIT,23,P,16,0,61,2667,43.7,221.0,2367.0,38.8,74,4.0,6.6%,20.0,32.8%,0
Sam Koch,BAL,32,P,16,0,60,2841,47.4,166.0,2595.0,42.5,73,4.0,6.7%,26.0,43.3%,1
Brandon Fields,MIA,30,P,16,0,58,2688,46.3,349.0,2279.0,38.6,60,3.0,5.2%,21.0,36.2%,1
Thomas Morstead,NOR,28,P,16,0,58,2690,46.4,99.0,2491.0,42.9,63,5.0,8.6%,19.0,32.8%,0
Chris Jones,DAL,25,P,16,0,57,2586,45.4,240.0,2306.0,39.8,64,2.0,3.5%,21.0,36.8%,1
Mike Scifres,SDG,34,P,13,0,55,2516,45.7,216.0,2180.0,38.9,72,6.0,10.9%,21.0,38.2%,1
Tim Masthay,GNB,27,P,16,0,49,2159,44.1,191.0,1888.0,37.0,63,4.0,8.2%,14.0,28.6%,2
Mat McBriar,SDG,35,P,3,0,13,610,46.9,130.0,460.0,35.4,58,1.0,7.7%,1.0,7.7%,0
Dave Zastudil,ARI,36,P,2,0,11,487,44.3,38.0,429.0,39.0,53,1.0,9.1%,1.0,9.1%,0
Nick Novak,SDG,33,K,16,0,6,240,40.0,20.0,220.0,36.7,51,0.0,0.0%,1.0,16.7%,0
Ben Roethlisberger*,PIT,32,QB,16,16,0,0,,,,,0,,,,,1
