Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Thomas DeCoud,25,ATL,FS,16,16,1,0,0,0,4,2,1,0,0,0,0.0,75,57,18,0.0,0.0,0,
Glenn Dorsey,25,KAN,RDE,16,16,0,0,0,0,0,0,0,1,0,0,2.0,69,51,18,6.0,8.0,0,
Sedrick Ellis,25,NOR,RDT,16,16,0,0,0,0,2,2,0,0,0,0,6.0,44,30,14,8.0,10.0,0,
Alan Faneca,34,ARI,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
James Farrior,35,PIT,LILB,16,16,0,0,0,0,5,1,0,1,8,0,6.0,109,80,29,11.0,8.0,0,
D'Brickashaw Ferguson,27,NYJ,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
Cortland Finnegan,26,TEN,RCB,16,16,2,41,1,41,9,1,0,0,0,0,1.0,100,82,18,4.0,1.0,0,
Joe Flacco,25,BAL,QB,16,16,0,0,0,0,0,0,9,1,-8,0,0.0,0,0,0,0.0,0.0,0,
London Fletcher,35,WAS,LILB,16,16,1,0,0,0,11,3,0,3,-3,0,2.5,136,87,49,4.0,4.0,0,PB
Drayton Florence,30,BUF,RCB,16,16,3,42,1,40,15,0,0,2,27,1,0.0,58,49,9,2.0,0.0,0,
Matt Forte,25,CHI,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,
Aubrayo Franklin,30,SFO,NT,16,16,0,0,0,0,1,0,0,1,0,0,0.0,39,38,1,2.0,0.0,0,
Josh Freeman,22,TAM,QB,16,16,0,0,0,0,0,0,8,5,0,0,0.0,0,0,0,0.0,0.0,0,
Dwight Freeney,30,IND,RDE,16,16,0,0,0,0,2,5,0,0,0,0,10.0,25,21,4,8.0,19.0,0,PB
Robert Geathers,27,CIN,LDE,16,16,0,0,0,0,2,1,0,1,5,0,1.0,33,22,11,1.0,6.0,0,
Gary Gibson,28,STL,RDT,16,16,0,0,0,0,2,0,0,0,0,0,0.0,18,14,4,4.0,3.0,0,
Chris Gocong,27,CLE,RILB,16,16,0,0,0,0,3,1,0,2,0,0,2.0,75,50,25,4.0,4.0,0,
Charles Godfrey,25,CAR,SS,16,16,5,112,0,38,8,1,0,0,0,0,0.0,85,71,14,3.0,4.0,0,
Jonathan Goff,25,NYG,MLB,16,16,0,0,0,0,2,1,0,1,22,0,1.0,80,55,25,9.0,2.0,0,
Adam Goldberg,30,STL,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Dashon Goldson,26,SFO,FS,16,16,1,39,1,39,6,0,0,0,0,0,1.0,80,62,18,2.0,1.0,0,
Jonathan Goodwin,32,NOR,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Daniel Graham,32,DEN,TE,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,
Chad Greenway,27,MIN,LLB,16,16,0,0,0,0,3,1,0,1,0,0,1.0,144,109,35,14.0,5.0,0,
Kelly Gregg,34,BAL,NT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,38,21,17,1.0,1.0,0,
Michael Griffin,25,TEN,FS,16,16,4,50,0,28,12,2,0,2,20,0,0.0,108,86,22,2.0,4.0,0,"PB,AP-2"
Brent Grimes,27,ATL,LCB,16,16,5,84,0,36,23,0,0,0,0,0,0.0,87,76,11,2.0,0.0,0,PB
Jordan Gross,30,CAR,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
Andre Gurode,32,DAL,C,16,16,0,0,0,0,0,0,3,0,-20,0,0.0,0,0,0,0.0,0.0,0,PB
Mario Haggan,30,DEN,RILB,16,16,0,0,0,0,1,2,0,1,0,0,5.0,87,75,12,10.0,12.0,0,
Tamba Hali,27,KAN,ROLB,16,16,0,0,0,0,3,4,0,2,2,0,14.5,52,37,15,12.0,27.0,0,
DeAngelo Hall,27,WAS,LCB,16,16,6,92,1,92,16,2,0,2,32,1,0.0,95,65,30,4.0,0.0,0,PB
James Hall,33,STL,RDE,16,16,0,0,0,0,2,5,0,0,0,0,10.5,55,49,6,8.0,12.0,0,
Leon Hall,26,CIN,RCB,16,16,4,19,0,22,11,2,0,0,0,0,0.0,44,33,11,3.0,1.0,0,
Nick Hardwick,29,SDG,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Chris Harris,28,CHI,FS,16,16,5,69,0,39,7,0,0,2,0,0,0.0,70,50,20,1.0,2.0,0,AP-2
David Harris,26,NYJ,RILB,16,16,0,0,0,0,3,0,0,1,0,0,3.0,100,70,30,6.0,7.0,0,
James Harrison,32,PIT,ROLB,16,16,2,2,0,2,5,6,0,1,0,0,10.5,100,70,30,13.0,21.0,0,"PB,AP-1,AP DPoY-3"
David Hawthorne,25,SEA,LLB,16,16,1,5,0,5,4,2,0,1,0,0,0.0,106,75,31,3.0,1.0,0,
Geno Hayes,23,TAM,RLB,16,16,1,41,1,41,6,1,0,0,0,0,4.0,82,72,10,16.0,6.0,0,
E.J. Henderson,30,MIN,MLB,16,16,3,10,0,10,4,1,0,1,0,0,1.0,105,71,34,7.0,3.0,0,"PB,AP CPoY-3"
Renaldo Hill,32,DEN,FS,16,16,2,67,0,36,4,1,0,1,0,0,0.0,63,54,9,0.0,0.0,0,
Chris Hope,30,TEN,SS,16,16,1,32,0,32,5,1,0,1,0,0,1.0,101,87,14,6.0,1.0,0,
Richie Incognito,27,MIA,LG,16,16,0,0,0,0,0,0,2,0,-15,0,0.0,0,0,0,0.0,0.0,0,
Kareem Jackson,22,HOU,RCB,16,16,2,23,0,23,10,1,0,0,0,0,0.0,71,58,13,1.0,0.0,0,
Steven Jackson,27,STL,RB,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
