Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Darren Sproles*,PHI,31,RB,15,0,39,506,2,82,13.0,1,15,0,15,15.0,1230
Tavon Austin,STL,24,WR,15,8,35,391,1,78,11.2,2,19,0,11,9.5,876
De'Anthony Thomas,KAN,21,RB,12,3,34,405,1,81,11.9,14,428,0,78,30.6,1102
Jeremy Ross,DET,26,WR,16,13,32,284,0,28,8.9,23,584,0,41,25.4,1181
Ace Sanders,JAX,23,WR,12,0,32,227,0,23,7.1,1,16,0,16,16.0,298
Jacoby Jones,BAL,30,WR,16,0,30,275,0,45,9.2,32,978,1,108,30.6,1400
Dwayne Harris,DAL,27,WR,16,0,30,275,0,38,9.2,30,742,0,42,24.7,1140
Antonio Brown*+,PIT,26,WR,16,16,30,319,1,71,10.6,1,0,0,0,0.0,2030
Isaiah Burse,DEN,23,WR,12,0,29,211,0,22,7.3,1,7,0,7,7.0,218
Andre Roberts,WAS,26,WR,16,4,28,208,0,37,7.4,30,710,0,45,23.7,1392
Marcus Sherels,MIN,27,DB,16,0,27,297,0,35,11.0,4,110,0,46,27.5,407
Bryan Walters,SEA,27,WR,13,0,27,207,0,21,7.7,2,43,0,27,21.5,305
Ted Ginn Jr.,ARI,29,WR,16,0,26,277,1,71,10.7,22,417,0,43,19.0,890
T.J. Carrie,OAK,24,DB,13,4,26,195,0,27,7.5,15,362,0,42,24.1,585
Griff Whalen,IND,24,WR,10,0,26,187,0,22,7.2,15,379,0,32,25.3,589
Jarvis Landry,MIA,22,WR,16,11,25,204,0,32,8.2,34,954,0,74,28.1,1912
Jeremy Kerley,NYJ,26,WR,16,7,25,199,0,41,8.0,1,12,0,12,12.0,706
Keshawn Martin,HOU,24,WR,16,0,25,154,0,21,6.2,1,19,0,19,19.0,251
Julian Edelman,NWE,28,WR,14,13,25,299,1,84,12.0,,,0,,,1365
Bruce Ellington,SFO,23,WR,13,0,23,188,0,23,8.2,24,614,0,38,25.6,892
Adam Jones+,CIN,31,DB,16,3,22,262,0,47,11.9,27,844,0,97,31.3,1129
Dexter McCluster,TEN,25,WR,14,2,22,155,0,48,7.0,,,0,,,483
Leodis McKelvin,BUF,29,LCB,10,9,21,183,0,24,8.7,4,64,0,30,16.0,257
Odell Beckham Jr.*,NYG,22,WR,12,11,21,171,0,25,8.1,,,0,,,1511
Josh Cribbs,IND,31,WR,6,0,19,125,0,18,6.6,19,608,0,76,32.0,741
Devin Hester*,ATL,32,WR,16,1,18,240,1,68,13.3,45,1128,0,66,25.1,1908
Brandon Tate,CIN,27,WR,16,4,18,174,0,49,9.7,18,397,0,31,22.1,785
Danny Amendola,NWE,29,WR,16,4,16,132,0,39,8.3,20,482,0,81,24.1,814
Corey Brown,CAR,23,WR,13,3,16,153,1,79,9.6,12,273,0,35,22.8,817
Marcus Thigpen,2TM,28,RB,9,0,16,220,1,75,13.8,12,285,0,49,23.8,505
Travis Benjamin,CLE,25,WR,16,0,15,127,0,37,8.5,12,246,0,28,20.5,698
Jalen Saunders,4TM,22,WR,15,0,15,125,0,32,8.3,3,139,0,99,46.3,271
Frankie Hammond,KAN,24,WR,16,3,15,200,0,47,13.3,2,74,0,37,37.0,319
Brenton Bersin,CAR,24,WR,15,1,14,86,0,18,6.1,7,167,0,49,23.9,404
Micah Hyde,GNB,24,DB,16,12,14,221,2,75,15.8,4,96,0,28,24.0,326
Randall Cobb*,GNB,24,WR,16,16,14,112,0,24,8.0,1,0,0,0,0.0,1436
Walt Powell,NYJ,23,WR,4,0,12,48,0,15,4.0,8,233,0,62,29.1,281
Keenan Allen,SDG,22,WR,14,14,11,99,0,29,9.0,,,0,,,882
Eddie Royal,SDG,28,WR,16,11,11,100,0,58,9.1,,,0,,,892
Wes Welker,DEN,33,WR,14,8,11,74,0,19,6.7,,,0,,,538
