Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Greg Zuerlein,DAL,33,K,16,0,1,1,5,5,13,13,13,12,9,3,41,34,59,82.9%,36,33,91.7%,90,5589,60,66.7%,62.1
Jason Sanders+,MIA,25,K,16,0,1,1,8,8,7,7,14,12,9,8,39,36,56,92.3%,36,36,100.0%,91,5540,64,70.3%,60.9
Younghoe Koo*,ATL,26,K,15,0,,,10,10,12,11,9,8,8,8,39,37,54,94.9%,36,33,91.7%,66,4160,28,42.4%,63.0
Rodrigo Blankenship,IND,23,K,16,0,,,10,10,13,12,11,9,3,1,37,32,53,86.5%,45,43,95.6%,20,1267,13,65.0%,63.4
Joey Slye,CAR,24,K,16,0,,,12,11,10,10,8,7,6,1,36,29,56,80.6%,36,33,91.7%,81,5095,71,87.7%,62.9
Daniel Carlson,LVR,25,K,16,0,,,18,18,8,8,5,3,4,4,35,33,54,94.3%,47,45,95.7%,95,5966,61,64.2%,62.8
Tyler Bass,BUF,23,K,16,0,1,1,9,9,9,6,9,8,6,4,34,28,58,82.4%,59,57,96.6%,101,6469,71,70.3%,64.0
Dustin Hopkins,WAS,30,K,16,0,,,5,5,8,7,17,13,4,2,34,27,51,79.4%,32,30,93.8%,78,4808,65,83.3%,61.6
Brandon McManus,DEN,29,K,15,0,,,6,6,5,4,8,8,15,10,34,28,58,82.4%,27,24,88.9%,73,4516,54,74.0%,61.9
Michael Badgley,LAC,25,K,16,0,,,8,8,6,6,13,8,6,2,33,24,53,72.7%,39,36,92.3%,3,177,,,59.0
Cairo Santos,CHI,29,K,16,0,,,9,9,10,10,10,9,3,2,32,30,55,93.8%,37,36,97.3%,86,5252,42,48.8%,61.1
Graham Gano,NYG,33,K,16,0,,,4,4,13,13,9,9,6,5,32,31,55,96.9%,23,21,91.3%,73,4357,30,41.1%,59.7
Ryan Succop,TAM,34,K,16,0,1,1,10,10,9,9,9,7,2,1,31,28,50,90.3%,57,52,91.2%,1,16,,,16.0
Ka'imi Fairbairn,HOU,26,K,16,0,,,8,8,9,9,8,6,6,4,31,27,54,87.1%,40,37,92.5%,85,5343,52,61.2%,62.9
Justin Tucker*,BAL,31,K,16,0,,,8,8,7,6,9,9,5,3,29,26,55,89.7%,53,52,98.1%,95,6094,65,68.4%,64.1
Wil Lutz,NOR,26,K,16,0,,,6,5,10,10,9,7,3,1,28,23,53,82.1%,58,57,98.3%,94,5929,71,75.5%,63.1
Matt Prater,DET,36,K,16,0,,,4,4,7,7,7,4,10,6,28,21,59,75.0%,41,38,92.7%,18,1065,7,38.9%,59.2
Nick Folk,NWE,36,K,16,0,,,6,6,7,7,12,11,3,2,28,26,51,92.9%,33,30,90.9%,3,172,,,57.3
Harrison Butker,KAN,25,K,16,0,2,2,7,7,9,9,5,3,4,4,27,25,58,92.6%,54,48,88.9%,95,6027,72,75.8%,63.4
Stephen Gostkowski,TEN,36,K,15,0,,,3,2,5,4,10,5,8,7,26,18,55,69.2%,48,46,95.8%,86,5341,51,59.3%,62.1
Randy Bullock,CIN,31,K,12,0,,,3,3,10,8,8,7,5,3,26,21,55,80.8%,25,24,96.0%,58,3617,43,74.1%,62.4
Jason Myers,SEA,29,K,16,0,,,2,2,7,7,13,13,2,2,24,24,61,100.0%,53,49,92.5%,91,5792,52,57.1%,63.6
Robbie Gould,SFO,38,K,15,0,,,3,3,6,5,10,9,4,2,23,19,52,82.6%,38,36,94.7%,13,577,1,7.7%,44.4
Cody Parkey,CLE,28,K,15,0,,,5,5,6,4,11,10,,,22,19,46,86.4%,47,43,91.5%,81,5140,45,55.6%,63.5
Dan Bailey,MIN,32,K,16,0,,,6,6,4,3,7,4,5,2,22,15,53,68.2%,43,37,86.0%,83,4948,53,63.9%,59.6
Zane Gonzalez,ARI,25,K,12,0,,,4,4,2,2,13,8,3,2,22,16,56,72.7%,39,38,97.4%,65,4112,36,55.4%,63.3
Chris Boswell,PIT,29,K,13,0,,,5,5,6,6,8,7,1,1,20,19,59,95.0%,38,34,89.5%,73,4622,44,60.3%,63.3
Jake Elliott,PHI,25,K,16,0,,,3,1,6,6,5,5,5,2,19,14,54,73.7%,26,24,92.3%,73,4508,46,63.0%,61.8
Mason Crosby,GNB,36,K,16,0,1,1,1,1,5,5,5,5,4,4,16,16,57,100.0%,63,59,93.7%,82,5236,48,58.5%,63.9
Matt Gay,LAR,26,K,7,0,,,2,2,6,5,7,6,1,1,16,14,51,87.5%,16,16,100.0%,35,2234,28,80.0%,63.8
Sam Ficken,NYJ,28,K,9,0,,,5,5,6,6,1,1,3,1,15,13,54,86.7%,15,12,80.0%,32,1975,18,56.3%,61.7
Sam Sloman,2TM,23,K,8,0,,,3,2,6,6,3,2,1,,13,10,47,76.9%,26,23,88.5%,44,2791,24,54.5%,63.4
Sergio Castillo,NYJ,30,K,6,0,,,2,1,4,3,5,2,2,2,13,8,55,61.5%,7,6,85.7%,,,,,
Aldrick Rosas,JAX,26,K,6,0,,,3,3,2,2,1,,5,3,11,8,54,72.7%,9,9,100.0%,20,1266,15,75.0%,63.3
Austin Seibert,2TM,24,K,5,0,,,,,5,5,3,1,1,,9,6,48,66.7%,9,8,88.9%,20,1290,13,65.0%,64.5
Mike Nugent,ARI,38,K,4,0,,,1,1,5,4,2,2,,,8,7,43,87.5%,7,7,100.0%,19,1202,3,15.8%,63.3
Josh Lambo,JAX,30,K,4,0,,,,,2,2,1,1,2,2,5,5,59,100.0%,10,8,80.0%,5,227,2,40.0%,45.4
Chase McLaughlin,2TM,24,K,4,0,,,1,1,1,1,1,1,2,1,5,4,52,80.0%,6,5,83.3%,3,177,,,59.0
Matthew Wright,PIT,24,K,3,0,,,1,1,1,1,2,2,,,4,4,46,100.0%,7,7,100.0%,15,869,1,6.7%,57.9
Kai Forbath,LAR,33,K,2,0,,,2,2,,,1,,,,3,2,23,66.7%,5,4,80.0%,9,585,4,44.4%,65.0
Tristan Vizcaino,SFO,24,K,1,0,,,,,2,2,1,1,,,3,3,47,100.0%,2,2,100.0%,1,65,1,100.0%,65.0
Stephen Hauschka,JAX,35,K,1,0,,,1,,,,1,,,,2,,,0.0%,2,2,100.0%,,,,,
Jonathan Brown,JAX,28,K,1,0,,,,,2,1,,,,,2,1,31,50.0%,1,1,100.0%,1,9,,,9.0
Taylor Russolino,DEN,31,K,1,0,,,,,,,,,1,,1,,,0.0%,3,1,33.3%,4,209,,,52.3
Elliott Fry,ATL,26,K,1,0,,,1,1,,,,,,,1,1,23,100.0%,2,1,50.0%,4,259,2,50.0%,64.8
Jamie Gillan,CLE,23,P,16,0,,,,,,,,,1,,1,,,0.0%,,,,1,55,,,55.0
Brandon Wright,JAX,23,K,1,0,,,,,,,,,,,,,,,2,1,50.0%,,,,,
Bradley Pinion,TAM,26,P,16,0,,,,,,,,,,,,,,,,,,100,6477,85,85.0%,64.8
Ty Long,LAC,27,P,16,0,,,,,,,,,,,,,,,,,,81,5187,49,60.5%,64.0
