Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Rigoberto Sanchez,IND,26,P,14,0,,,,,,,,,,,,,,,,,,77,4803,33,42.9%,62.4
Jake Bailey*+,NWE,23,P,16,0,,,,,,,,,,,,,,,,,,72,4584,42,58.3%,63.7
Mitch Wishnowsky,SFO,28,P,16,0,,,,,,,,,,,,,,,,,,67,4229,42,62.7%,63.1
Jack Fox*,DET,24,P,16,0,,,,,,,,,,,,,,,,,,60,3670,19,31.7%,61.2
Logan Cooke,JAX,25,P,14,0,,,,,,,,,,,,,,,,,,46,2782,25,54.3%,60.5
Braden Mann,NYJ,23,P,16,0,,,,,,,,,,,,,,,,,,28,1813,16,57.1%,64.8
Sterling Hofrichter,ATL,24,P,16,0,,,,,,,,,,,,,,,,,,22,1383,16,72.7%,62.9
JK Scott,GNB,25,P,16,0,,,,,,,,,,,,,,,,,,16,965,4,25.0%,60.3
Bryan Anger,HOU,32,P,16,0,,,,,,,,,,,,,,,,,,2,126,,,63.0
Britton Colquitt,MIN,35,P,16,0,,,,,,,,,,,,,,,,,,2,105,,,52.5
Michael Dickson,SEA,24,P,16,0,,,,,,,,,,,,,,,,,,2,26,,,13.0
Cameron Johnston,PHI,28,P,16,0,,,,,,,,,,,,,,,,,,2,118,,,59.0
Chris Jones,DAL,31,P,8,0,,,,,,,,,,,,,,,,,,2,116,,,58.0
Andy Lee,ARI,38,P,16,0,,,,,,,,,,,,,,,,,,2,121,,,60.5
Sam Martin,DEN,30,P,16,0,,,,,,,,,,,,,,,,,,2,114,,,57.0
Tommy Townsend,KAN,24,P,16,0,,,,,,,,,,,,,,,,,,2,103,,,51.5
Aaron Brewer,ARI,30,LS,16,0,,,,,,,,,,,,,,,,,,1,15,,,15.0
Keelan Cole,JAX,27,WR,16,5,,,,,,,,,,,,,,,,,,1,11,,,11.0
Riley Dixon,NYG,27,P,16,0,,,,,,,,,,,,,,,,,,1,50,,,50.0
Matt Haack,MIA,26,P,16,0,,,,,,,,,,,,,,,,,,1,49,,,49.0
Brett Kern,TEN,34,P,13,0,,,,,,,,,,,,,,,,,,1,48,,,48.0
Thomas Morstead,NOR,34,P,16,0,,,,,,,,,,,,,,,,,,1,33,,,33.0
