Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Todd Christensen,27,RAI,16,16,92,1247,13.6,12,45,5.8,77.9,1,"PB,AP-1"
Ozzie Newsome,27,CLE,16,16,89,970,10.9,6,66,5.6,60.6,0,AP-2
Kellen Winslow,26,SDG,16,16,88,1172,13.3,8,46,5.5,73.3,3,PB
Tim Smith,26,HOU,16,16,83,1176,14.2,6,47,5.2,73.5,1,
Carlos Carson,25,KAN,16,16,80,1351,16.9,7,50,5.0,84.4,2,PB
Charlie Brown,25,WAS,15,13,78,1225,15.7,8,75,5.2,81.7,0,PB
Earnest Gray,26,NYG,16,16,78,1139,14.6,5,62,4.9,71.2,0,
Roy Green,26,STL,16,15,78,1227,15.7,14,71,4.9,76.7,3,"PB,AP-1"
Ron Springs,27,DAL,16,14,73,589,8.1,1,80,4.6,36.8,3,
Steve Largent,29,SEA,15,14,72,1074,14.9,11,46,4.8,71.6,3,
Dwight Clark,26,SFO,16,13,70,840,12.0,8,46,4.4,52.5,0,
Mike Quick,24,PHI,16,16,69,1409,20.4,13,83,4.3,88.1,1,"PB,AP-1,AP OPoY-6"
Marcus Allen,23,RAI,16,15,68,590,8.7,2,36,4.3,36.9,14,
Cris Collinsworth,24,CIN,14,14,66,1130,17.1,5,63,4.7,80.7,2,"PB,AP-2"
Charlie Joiner,36,SDG,16,16,65,960,14.8,3,33,4.1,60.0,2,
Billy Johnson,31,ATL,16,1,64,709,11.1,4,47,4.0,44.3,4,"PB,AP-2"
Wesley Walker,28,NYJ,16,16,61,868,14.2,7,64,3.8,54.3,0,
William Andrews,28,ATL,16,16,59,609,10.3,4,40,3.7,38.1,6,PB
Steve Watson,26,DEN,16,16,59,1133,19.2,5,78,3.7,70.8,1,
Wes Chandler,27,SDG,16,14,58,845,14.6,5,44,3.6,52.8,3,PB
James Lofton,27,GNB,16,16,58,1300,22.4,8,74,3.6,81.3,0,"PB,AP-2"
Stanley Morgan,28,NWE,16,16,58,863,14.9,2,50,3.6,53.9,5,
Joe Cribbs,25,BUF,16,16,57,524,9.2,7,33,3.6,32.8,6,PB
John Jefferson,27,GNB,16,16,57,830,14.6,7,36,3.6,51.9,1,
James Wilder,25,TAM,10,10,57,380,6.7,2,31,5.7,38.0,1,
Stacey Bailey,23,ATL,14,12,55,881,16.0,6,53,3.9,62.9,1,
Mike Barber,30,RAM,16,16,55,657,11.9,3,42,3.4,41.1,1,
Ottis Anderson,26,STL,15,15,54,459,8.5,1,40,3.6,30.6,10,
Paul Coffman,27,GNB,16,16,54,814,15.1,11,74,3.4,50.9,1,PB
Walter Payton,30,CHI,16,16,53,607,11.5,2,74,3.3,37.9,5,PB
Gerry Ellis,26,GNB,15,14,52,603,11.6,2,56,3.5,40.2,7,
Tony Nathan,27,MIA,16,12,52,461,8.9,1,25,3.3,28.8,2,
Eric Dickerson,23,RAM,16,16,51,404,7.9,2,37,3.2,25.3,13,"PB,AP-1,AP MVP-2,AP OPoY-2,AP ORoY-1"
Mark Duper,24,MIA,16,11,51,1003,19.7,10,85,3.2,62.7,0,PB
Darrin Nelson,24,MIN,15,10,51,618,12.1,0,68,3.4,41.2,5,
Henry Marshall,29,KAN,13,9,50,788,15.8,6,52,3.8,60.6,0,
Jeff Groth,26,NOR,16,14,49,585,11.9,1,42,3.1,36.6,3,
Tony Hill,27,DAL,12,9,49,801,16.3,7,75,4.1,66.8,1,
Hubie Oliver,26,PHI,16,16,49,421,8.6,2,25,3.1,26.3,5,
Matt Suhey,25,CHI,16,13,49,429,8.8,1,52,3.1,26.8,5,
