Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Stefon Diggs,27,BUF,16,15,166,127,1535,12.1,8,73,65.1,55,7.9,95.9,76.5,9.2,0,"PB,AP-1"
Davante Adams,28,GNB,14,14,149,115,1374,11.9,18,73,65.1,56,8.2,98.1,77.2,9.2,1,"PB,AP-1"
DeAndre Hopkins,28,ARI,16,16,160,115,1407,12.2,6,75,58.1,60,7.2,87.9,71.9,8.8,3,"PB,AP-2"
Darren Waller,28,LVR,16,15,145,107,1196,11.2,9,68,62.8,38,6.7,74.8,73.8,8.2,2,PB
Travis Kelce,31,KAN,15,15,145,105,1416,13.5,11,79,66.2,45,7.0,94.4,72.4,9.8,1,"PB,AP-1,AP OPoY-4"
Allen Robinson,27,CHI,16,16,151,102,1250,12.3,6,68,58.3,42,6.4,78.1,67.5,8.3,0,
Keenan Allen,28,LAC,14,13,147,100,992,9.9,8,61,53.7,28,7.1,70.9,68.0,6.7,3,PB
Tyler Lockett,28,SEA,16,16,132,100,1054,10.5,10,57,68.9,47,6.3,65.9,75.8,8.0,1,
JuJu Smith-Schuster,24,PIT,16,14,128,97,831,8.6,9,48,61.7,31,6.1,51.9,75.8,6.5,3,
Robbie Chosen,27,CAR,16,16,136,95,1096,11.5,3,49,50.0,75,5.9,68.5,69.9,8.1,1,
Amari Cooper,26,DAL,16,15,130,92,1114,12.1,5,54,63.1,69,5.8,69.6,70.8,8.6,0,
Cooper Kupp,27,LAR,15,12,124,92,974,10.6,3,45,59.7,55,6.1,64.9,74.2,7.9,1,
Calvin Ridley,26,ATL,15,15,143,90,1374,15.3,9,65,56.6,63,6.0,91.6,62.9,9.6,1,AP-2
Robert Woods,28,LAR,16,16,129,90,936,10.4,6,46,55.0,56,5.6,58.5,69.8,7.3,2,
Justin Jefferson,21,MIN,16,14,125,88,1400,15.9,7,58,61.6,71,5.5,87.5,70.4,11.2,1,"PB,AP-2,AP ORoY-2"
Diontae Johnson,24,PIT,15,13,144,88,923,10.5,7,45,47.2,47,5.9,61.5,61.1,6.4,2,
Tyreek Hill,26,KAN,15,15,135,87,1276,14.7,15,57,57.8,75,5.8,85.1,64.4,9.5,1,"PB,AP-1"
Terry McLaurin,25,WAS,15,15,134,87,1118,12.9,4,51,50.0,68,5.8,74.5,64.9,8.3,1,
Alvin Kamara,25,NOR,15,10,107,83,756,9.1,5,35,44.9,52,5.5,50.4,77.6,7.1,1,"PB,AP-2,AP OPoY-6"
D.K. Metcalf,23,SEA,16,16,129,83,1303,15.7,10,63,58.1,62,5.2,81.4,64.3,10.1,1,"PB,AP-2"
Cole Beasley,31,BUF,15,10,107,82,967,11.8,4,53,68.2,35,5.5,64.5,76.6,9.0,0,AP-2
Brandin Cooks,27,HOU,15,15,119,81,1150,14.2,6,51,61.3,57,5.4,76.7,68.1,9.7,0,
J.D. McKissic,27,WAS,16,7,110,80,589,7.4,2,32,50.0,29,5.0,36.8,72.7,5.4,3,
Tyler Boyd,26,CIN,15,8,110,79,841,10.6,4,43,57.3,72,5.3,56.1,71.8,7.6,1,
Curtis Samuel,24,CAR,15,5,97,77,851,11.1,3,39,53.6,44,5.1,56.7,79.4,8.8,1,
Marvin Jones,30,DET,16,16,115,76,978,12.9,9,52,60.0,43,4.8,61.1,66.1,8.5,0,
CeeDee Lamb,21,DAL,16,14,111,74,935,12.6,5,46,51.4,52,4.6,58.4,66.7,8.4,2,
Adam Thielen,30,MIN,15,15,108,74,925,12.5,14,52,62.0,51,4.9,61.7,68.5,8.6,0,
Russell Gage,24,ATL,16,8,109,72,786,10.9,4,50,53.2,35,4.5,49.1,66.1,7.2,0,
Jarvis Landry,28,CLE,15,14,101,72,840,11.7,3,46,60.4,32,4.8,56.0,71.3,8.3,2,
Logan Thomas,29,WAS,16,15,110,72,670,9.3,6,36,47.3,30,4.5,41.9,65.5,6.1,0,
A.J. Brown,23,TEN,14,12,106,70,1075,15.4,11,55,61.3,73,5.0,76.8,66.0,10.1,2,PB
Mike Evans,27,TAM,16,16,109,70,1006,14.4,13,55,58.7,50,4.4,62.9,64.2,9.2,0,
Tee Higgins,21,CIN,16,14,108,67,908,13.6,6,52,55.6,67,4.2,56.8,62.0,8.4,1,
T.J. Hockenson,23,DET,16,16,101,67,723,10.8,6,40,53.5,51,4.2,45.2,66.3,7.2,1,PB
D.J. Moore,23,CAR,15,14,118,66,1193,18.1,4,53,52.5,74,4.4,79.5,55.9,10.1,0,
