Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Ezekiel Elliott,21.0,DAL,15.0,15.0,322.0,1631.0,15.0,95.0,55.3,60.0,5.1,108.7,21.5,5.0,"PB,AP-1,AP MVP-3,AP OPoY-5,AP ORoY-2"
LeGarrette Blount,30.0,NWE,16.0,8.0,299.0,1161.0,18.0,68.0,42.5,44.0,3.9,72.6,18.7,2.0,
David Johnson,25.0,ARI,16.0,16.0,293.0,1239.0,16.0,73.0,48.8,58.0,4.2,77.4,18.3,5.0,"PB,AP-1,AP OPoY-3"
DeMarco Murray,28.0,TEN,16.0,16.0,293.0,1287.0,9.0,67.0,50.2,75.0,4.4,80.4,18.3,3.0,PB
Todd Gurley,22.0,LAR,16.0,16.0,278.0,885.0,6.0,49.0,40.3,24.0,3.2,55.3,17.4,2.0,
Lamar Miller,25.0,HOU,14.0,14.0,268.0,1073.0,5.0,55.0,42.9,45.0,4.0,76.6,19.1,2.0,
Frank Gore,33.0,IND,16.0,16.0,263.0,1025.0,4.0,50.0,47.9,22.0,3.9,64.1,16.4,2.0,
Le'Veon Bell,24.0,PIT,12.0,12.0,261.0,1268.0,7.0,70.0,53.3,44.0,4.9,105.7,21.8,4.0,"PB,AP-2,AP OPoY-6,AP CPoY-4"
Jay Ajayi,23.0,MIA,15.0,12.0,260.0,1272.0,8.0,63.0,42.7,62.0,4.9,84.8,17.3,4.0,PB
Melvin Gordon,23.0,SDG,13.0,11.0,254.0,997.0,10.0,0.0,0.0,48.0,3.9,76.7,19.5,2.0,PB
Jordan Howard,22.0,CHI,15.0,13.0,252.0,1313.0,6.0,73.0,48.8,69.0,5.2,87.5,16.8,2.0,PB
LeSean McCoy,28.0,BUF,15.0,15.0,234.0,1267.0,13.0,56.0,49.6,75.0,5.4,84.5,15.6,3.0,PB
Devonta Freeman,24.0,ATL,16.0,16.0,227.0,1079.0,11.0,66.0,49.3,75.0,4.8,67.4,14.2,1.0,PB
Jeremy Hill,24.0,CIN,15.0,13.0,222.0,839.0,9.0,46.0,43.7,74.0,3.8,55.9,14.8,0.0,
Matt Forte,31.0,NYJ,14.0,13.0,218.0,813.0,7.0,36.0,40.4,32.0,3.7,58.1,15.6,1.0,
Jonathan Stewart,29.0,CAR,13.0,13.0,218.0,824.0,9.0,49.0,42.7,47.0,3.8,63.4,16.8,3.0,
Carlos Hyde,26.0,SFO,13.0,13.0,217.0,988.0,6.0,48.0,47.5,47.0,4.6,76.0,16.7,5.0,
Spencer Ware,25.0,KAN,14.0,14.0,214.0,921.0,3.0,50.0,50.5,46.0,4.3,65.8,15.3,4.0,
Mark Ingram,27.0,NOR,16.0,14.0,205.0,1043.0,6.0,50.0,57.1,75.0,5.1,65.2,12.8,2.0,
Isaiah Crowell,23.0,CLE,16.0,16.0,198.0,952.0,7.0,45.0,40.4,85.0,4.8,59.5,12.4,2.0,
Latavius Murray,26.0,OAK,14.0,12.0,195.0,788.0,12.0,52.0,47.7,42.0,4.0,56.3,13.9,2.0,
Terrance West,25.0,BAL,16.0,13.0,193.0,774.0,5.0,38.0,41.5,41.0,4.0,48.4,12.1,2.0,
Rashad Jennings,31.0,NYG,13.0,12.0,181.0,593.0,3.0,29.0,36.5,25.0,3.3,45.6,13.9,1.0,
Devontae Booker,24.0,DEN,16.0,6.0,174.0,612.0,4.0,31.0,43.1,18.0,3.5,38.3,10.9,4.0,
Robert Kelley,24.0,WAS,15.0,9.0,168.0,704.0,6.0,30.0,46.4,66.0,4.2,46.9,11.2,0.0,
Jerick McKinnon,24.0,MIN,15.0,7.0,159.0,539.0,2.0,21.0,37.1,36.0,3.4,35.9,10.6,0.0,
Ryan Mathews,29.0,PHI,13.0,8.0,155.0,661.0,8.0,40.0,51.0,30.0,4.3,50.8,11.9,3.0,
Christine Michael,26.0,2TM,15.0,7.0,148.0,583.0,7.0,34.0,48.0,42.0,3.9,38.9,9.9,2.0,
Doug Martin,27.0,TAM,8.0,8.0,144.0,421.0,3.0,24.0,41.0,17.0,2.9,52.6,18.0,1.0,
Tim Hightower,30.0,NOR,16.0,1.0,133.0,548.0,4.0,32.0,53.4,30.0,4.1,34.3,8.3,0.0,
Bilal Powell,28.0,NYJ,16.0,4.0,131.0,722.0,3.0,44.0,55.0,35.0,5.5,45.1,8.2,1.0,
T.J. Yeldon,23.0,JAX,15.0,13.0,130.0,465.0,1.0,21.0,36.9,16.0,3.6,31.0,8.7,2.0,
Jacquizz Rodgers,26.0,TAM,10.0,5.0,129.0,560.0,2.0,31.0,48.8,45.0,4.3,56.0,12.9,0.0,
Matt Asiata,29.0,MIN,16.0,6.0,121.0,402.0,6.0,28.0,46.3,29.0,3.3,25.1,7.6,1.0,
Tevin Coleman,23.0,ATL,13.0,0.0,118.0,520.0,8.0,25.0,43.2,55.0,4.4,40.0,9.1,1.0,
Chris Ivory,28.0,JAX,11.0,1.0,117.0,439.0,3.0,21.0,45.3,42.0,3.8,39.9,10.6,5.0,
Paul Perkins,22.0,NYG,14.0,1.0,112.0,456.0,0.0,24.0,43.8,22.0,4.1,32.6,8.0,1.0,
C.J. Anderson,25.0,DEN,7.0,7.0,110.0,437.0,4.0,23.0,37.3,28.0,4.0,62.4,15.7,0.0,
Derrick Henry,22.0,TEN,15.0,2.0,110.0,490.0,5.0,29.0,54.5,22.0,4.5,32.7,7.3,0.0,
Thomas Rawls,23.0,SEA,9.0,7.0,109.0,349.0,3.0,22.0,39.4,45.0,3.2,38.8,12.1,0.0,
Mike Gillislee,26.0,BUF,15.0,1.0,101.0,577.0,8.0,41.0,67.3,44.0,5.7,38.5,6.7,1.0,
Alfred Blue,25.0,HOU,14.0,2.0,100.0,420.0,1.0,23.0,46.0,25.0,4.2,30.0,7.1,2.0,
Matt Jones,23.0,WAS,7.0,7.0,99.0,460.0,3.0,28.0,50.5,57.0,4.6,65.7,14.1,3.0,
DeAngelo Williams,33.0,PIT,9.0,4.0,98.0,343.0,4.0,22.0,43.9,17.0,3.5,38.1,10.9,0.0,
Tyrod Taylor,27.0,BUF,15.0,15.0,95.0,580.0,6.0,34.0,49.5,49.0,6.1,38.7,6.3,4.0,
