Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Stephen Gostkowski*+,NWE,31,K,16,0,,,,,,,,,,,,52.0,52.0,33.0,36.0,,151,9.4
Graham Gano,CAR,28,K,16,0,,,,,,,,,,,,56.0,59.0,30.0,36.0,,146,9.1
Chandler Catanzaro,ARI,24,K,16,0,,,,,,,,,,,,53.0,58.0,28.0,31.0,,137,8.6
Blair Walsh,MIN,25,K,16,0,,,,,,,,,,,,33.0,37.0,34.0,39.0,,135,8.4
Josh Brown*,NYG,36,K,16,0,,,,,,,,,,,,44.0,45.0,30.0,32.0,,134,8.4
Cairo Santos,KAN,24,K,16,0,,,,,,,,,,,,39.0,41.0,30.0,37.0,,129,8.1
Justin Tucker,BAL,26,K,16,0,,,,,,,,,,,,29.0,29.0,33.0,40.0,,128,8.0
Robbie Gould,CHI,33,K,16,0,,,,,,,,,,,,28.0,29.0,33.0,39.0,,127,7.9
Stephen Hauschka,SEA,30,K,16,0,,,,,,,,,,,,40.0,44.0,29.0,31.0,,127,7.9
Brandon McManus,DEN,24,K,16,0,,,,,,,,,,,,35.0,36.0,30.0,35.0,,125,7.8
Mike Nugent,CIN,33,K,16,0,,,,,,,,,,,,48.0,49.0,23.0,28.0,,117,7.3
Dan Bailey*,DAL,27,K,16,0,,,,,,,,,,,,25.0,25.0,30.0,32.0,,115,7.2
Dustin Hopkins,WAS,25,K,15,0,,,,,,,,,,,,39.0,40.0,25.0,28.0,,114,7.6
Chris Boswell,PIT,24,K,12,0,,,,,,,,,,,,26.0,27.0,29.0,32.0,,113,9.4
Jason Myers,JAX,24,K,16,0,,,,,,,,,,,,32.0,39.0,26.0,30.0,,110,6.9
Mason Crosby,GNB,31,K,16,0,,,,,,,,,,,,36.0,36.0,24.0,28.0,,108,6.8
Adam Vinatieri,IND,43,K,16,0,,,,,,,,,,,,32.0,35.0,25.0,27.0,,107,6.7
Travis Coons,CLE,23,K,16,0,,,,,,,,,,,,22.0,24.0,28.0,32.0,,106,6.6
Josh Lambo,SDG,25,K,16,0,,,,,,,,,,,,28.0,32.0,26.0,32.0,,106,6.6
Dan Carpenter,BUF,30,K,16,0,,,,,,,,,,,,34.0,40.0,23.0,27.0,,103,6.4
Matt Prater,DET,31,K,16,0,,,,,,,,,,,,36.0,39.0,22.0,24.0,,102,6.4
Sebastian Janikowski,OAK,37,K,16,0,,,,,,,,,,,,38.0,39.0,21.0,26.0,,101,6.3
Connor Barth,TAM,29,K,12,0,,,,,,,,,,,,25.0,26.0,23.0,28.0,,94,7.8
Phil Dawson,SFO,40,K,16,0,,,,,,,,,,,,20.0,21.0,24.0,27.0,,92,5.8
Caleb Sturgis,PHI,26,K,13,0,,,,,,,,,,,,35.0,37.0,18.0,22.0,,89,6.8
Greg Zuerlein,STL,28,K,14,0,,,,,,,,,,,,26.0,28.0,20.0,30.0,,86,6.1
Doug Baldwin,SEA,27,WR,16,16,,14.0,,,,,,14.0,,,,,,,,,84,5.3
Devonta Freeman*,ATL,23,RB,15,13,11.0,3.0,,,,,,14.0,,,,,,,,,84,5.6
Brandon Marshall*,NYJ,31,WR,16,16,,14.0,,,,,,14.0,,,,,,,,,84,5.3
Allen Robinson*,JAX,22,WR,16,16,,14.0,,,,,,14.0,,,,,,,,,84,5.3
Nick Novak,HOU,34,K,13,0,,,,,,,,,,,,29.0,31.0,18.0,21.0,,83,6.4
Randy Bullock,2TM,26,K,11,0,,,,,,,,,,,0.0,22.0,25.0,19.0,23.0,,79,7.2
Odell Beckham Jr.*,NYG,23,WR,15,15,,13.0,,,,,,13.0,,,,,,,,,78,5.2
Tyler Eifert*,CIN,25,TE,13,12,,13.0,,,,,,13.0,,,,,,,,,78,6.0
David Johnson,ARI,24,RB,16,5,8.0,4.0,,1.0,,,,13.0,,,,,,,,,78,4.9
Jeremy Hill,CIN,23,RB,16,15,11.0,1.0,,,,,,12.0,1.0,,,,,,,,74,4.6
Eric Decker,NYJ,28,WR,15,13,,12.0,,,,,,12.0,,,,,,,,,72,4.8
Andrew Franks,MIA,22,K,16,0,,,,,,,,,,,,33.0,36.0,13.0,16.0,,72,4.5
Ryan Succop,TEN,29,K,16,0,,,,,,,,,,,,29.0,31.0,14.0,16.0,,71,4.4
Antonio Brown*+,PIT,27,WR,16,16,,10.0,1.0,,,,,11.0,2.0,,,,,,,,70,4.4
Matt Bryant,ATL,40,K,10,0,,,,,,,,,,,,26.0,26.0,14.0,18.0,,68,6.8
DeAndre Hopkins*,HOU,23,WR,16,16,,11.0,,,,,,11.0,1.0,,,,,,,,68,4.3
DeAngelo Williams,PIT,32,RB,16,10,11.0,,,,,,,11.0,1.0,,,,,,,,68,4.3
Rob Gronkowski*+,NWE,26,TE,15,15,,11.0,,,,,,11.0,,,,,,,,,66,4.4
Adrian Peterson*+,MIN,30,RB,16,16,11.0,,,,,,,11.0,,,,,,,,,66,4.1
Jordan Reed,WAS,25,TE,14,8,,11.0,,,,,,11.0,,,,,,,,,66,4.7
Kai Forbath,2TM,28,K,11,0,,,,,,,,,,,0.0,34.0,35.0,10.0,15.0,,64,5.8
Tavon Austin,STL,25,WR,16,15,4.0,5.0,1.0,,,,,10.0,,,,,,,,,60,3.8
Ted Ginn Jr.,CAR,30,WR,15,13,,10.0,,,,,,10.0,,,,,,,,,60,4.0
A.J. Green*,CIN,27,WR,16,16,,10.0,,,,,,10.0,,,,,,,,,60,3.8
Todd Gurley*,STL,21,RB,13,12,10.0,,,,,,,10.0,,,,,,,,,60,4.6
Allen Hurns,JAX,24,WR,15,15,,10.0,,,,,,10.0,,,,,,,,,60,4.0
Lamar Miller,MIA,24,RB,16,16,8.0,2.0,,,,,,10.0,,,,,,,,,60,3.8
Cam Newton*+,CAR,26,QB,16,16,10.0,,,,,,,10.0,,,,,,,,,60,3.8
Nick Folk,NYJ,31,K,8,0,,,,,,,,,,,,19.0,19.0,13.0,16.0,,58,7.3
Gary Barnidge*,CLE,30,TE,16,13,,9.0,,,,,,9.0,,,,,,,,,54,3.4
Brandin Cooks,NOR,22,WR,16,12,,9.0,,,,,,9.0,,,,,,,,,54,3.4
Michael Crabtree,OAK,28,WR,16,15,,9.0,,,,,,9.0,,,,,,,,,54,3.4
Larry Fitzgerald*,ARI,32,WR,16,16,,9.0,,,,,,9.0,,,,,,,,,54,3.4
Calvin Johnson*,DET,30,WR,16,16,,9.0,,,,,,9.0,,,,,,,,,54,3.4
Julio Jones*+,ATL,26,WR,16,16,,8.0,,,1.0,,,9.0,,,,,,,,,54,3.4
Sammy Watkins,BUF,22,WR,13,13,,9.0,,,,,,9.0,,,,,,,,,54,4.2
Karlos Williams,BUF,22,RB,11,3,7.0,2.0,,,,,,9.0,,,,,,,,,54,4.9
Danny Woodhead,SDG,30,RB,16,2,3.0,6.0,,,,,,9.0,,,,,,,,,54,3.4
James Jones,GNB,31,WR,16,15,,8.0,,,,,,8.0,2.0,,,,,,,,52,3.3
Richard Rodgers,GNB,23,TE,16,12,,8.0,,,,,,8.0,1.0,,,,,,,,50,3.1
Chris Ivory*,NYJ,27,RB,15,14,7.0,1.0,,,,,,8.0,,,,,,,,,48,3.2
Tyler Lockett*+,SEA,23,WR,16,8,,6.0,1.0,1.0,,,,8.0,,,,,,,,,48,3.0
Jeremy Maclin,KAN,27,WR,15,15,,8.0,,,,,,8.0,,,,,,,,,48,3.2
Jordan Matthews,PHI,23,WR,16,12,,8.0,,,,,,8.0,,,,,,,,,48,3.0
Rueben Randle,NYG,24,WR,16,16,,8.0,,,,,,8.0,,,,,,,,,48,3.0
Matt Forte,CHI,30,RB,13,13,4.0,3.0,,,,,,7.0,1.0,,,,,,,,44,3.4
Jeremy Langford,CHI,24,RB,16,2,6.0,1.0,,,,,,7.0,1.0,,,,,,,,44,2.8
LeGarrette Blount,NWE,29,RB,12,6,6.0,1.0,,,,,,7.0,,,,,,,,,42,3.5
John Brown,ARI,25,WR,15,11,,7.0,,,,,,7.0,,,,,,,,,42,2.8
Martavis Bryant,PIT,24,WR,11,5,1.0,6.0,,,,,,7.0,,,,,,,,,42,3.8
Randall Cobb,GNB,25,WR,16,15,,6.0,,,1.0,,,7.0,,,,,,,,,42,2.6
Julian Edelman,NWE,29,WR,9,9,,7.0,,,,,,7.0,,,,,,,,,42,4.7
Frank Gore,IND,32,RB,16,16,6.0,1.0,,,,,,7.0,,,,,,,,,42,2.6
Ronnie Hillman,DEN,24,RB,16,10,7.0,,,,,,,7.0,,,,,,,,,42,2.6
Zach Hocker,2TM,24,K,8,0,,,,,,,,,,,0.0,12.0,13.0,10.0,14.0,,42,5.3
Doug Martin*+,TAM,26,RB,16,16,6.0,1.0,,,,,,7.0,,,,,,,,,42,2.6
Ryan Mathews,PHI,28,RB,13,6,6.0,1.0,,,,,,7.0,,,,,,,,,42,3.2
DeMarco Murray,PHI,27,RB,15,8,6.0,1.0,,,,,,7.0,,,,,,,,,42,2.8
Greg Olsen*,CAR,30,TE,16,16,,7.0,,,,,,7.0,,,,,,,,,42,2.6
Jonathan Stewart*,CAR,28,RB,13,13,6.0,1.0,,,,,,7.0,,,,,,,,,42,3.2
Shayne Graham,ATL,38,K,5,0,,,,,,,,,,,,8.0,8.0,11.0,13.0,,41,8.2
