Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Derrick Henry,29.0,TEN,17.0,17.0,280.0,1167.0,12.0,63.0,46.1,69.0,4.2,68.6,16.5,0.0,PB
Christian McCaffrey,27.0,SFO,16.0,16.0,272.0,1459.0,14.0,83.0,54.0,72.0,5.4,91.2,17.0,3.0,"PB,AP-1,AP MVP-3,AP OPoY-1"
Rachaad White,24.0,TAM,17.0,17.0,272.0,990.0,6.0,46.0,40.8,38.0,3.6,58.2,16.0,3.0,
Travis Etienne,24.0,JAX,17.0,17.0,267.0,1008.0,11.0,53.0,43.1,62.0,3.8,59.3,15.7,0.0,AP OPoY-8
Joe Mixon,27.0,CIN,17.0,17.0,257.0,1034.0,9.0,59.0,49.4,44.0,4.0,60.8,15.1,0.0,
Najee Harris,25.0,PIT,17.0,17.0,255.0,1035.0,8.0,51.0,48.2,25.0,4.1,60.9,15.0,2.0,
Tony Pollard,26.0,DAL,17.0,17.0,252.0,1005.0,6.0,56.0,50.0,31.0,4.0,59.1,14.8,3.0,
Saquon Barkley,26.0,NYG,14.0,14.0,247.0,962.0,6.0,51.0,40.1,36.0,3.9,68.7,17.6,2.0,
Chuba Hubbard,24.0,CAR,17.0,12.0,238.0,902.0,5.0,59.0,47.5,22.0,3.8,53.1,14.0,1.0,
James Cook,24.0,BUF,17.0,13.0,237.0,1122.0,2.0,53.0,55.7,42.0,4.7,66.0,13.9,4.0,PB
Josh Jacobs,25.0,LVR,13.0,13.0,233.0,805.0,6.0,34.0,45.9,63.0,3.5,61.9,17.9,3.0,
D'Andre Swift,24.0,PHI,16.0,15.0,229.0,1049.0,5.0,50.0,54.1,43.0,4.6,65.6,14.3,3.0,PB
Kyren Williams,23.0,LAR,12.0,11.0,228.0,1144.0,12.0,62.0,59.6,56.0,5.0,95.3,19.0,3.0,"PB,AP-2"
Breece Hall,22.0,NYJ,17.0,16.0,223.0,994.0,5.0,40.0,39.5,83.0,4.5,58.5,13.1,2.0,AP CPoY-7
David Montgomery,26.0,DET,14.0,14.0,219.0,1015.0,13.0,59.0,54.8,75.0,4.6,72.5,15.6,2.0,
Kenneth Walker III,23.0,SEA,15.0,15.0,219.0,905.0,8.0,46.0,46.6,45.0,4.1,60.3,14.6,1.0,
Javonte Williams,23.0,DEN,16.0,13.0,217.0,774.0,3.0,41.0,40.6,21.0,3.6,48.4,13.6,1.0,
Devin Singletary,26.0,HOU,17.0,10.0,216.0,898.0,4.0,41.0,47.7,24.0,4.2,52.8,12.7,1.0,
Bijan Robinson,21.0,ATL,17.0,16.0,214.0,976.0,4.0,50.0,43.5,38.0,4.6,57.4,12.6,4.0,AP ORoY-5
