Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Jason Myers,SEA,32,K,17,0,,,8.0,8.0,12.0,11.0,14.0,12.0,8.0,4.0,42.0,35.0,55.0,83.3%,33.0,33.0,100.0%,86,5430,55.0,64.0%,63.1
Matt Gay,IND,29,K,17,0,,,9.0,9.0,10.0,9.0,9.0,7.0,13.0,8.0,41.0,33.0,57.0,80.5%,36.0,35.0,97.2%,92,5898,72.0,78.3%,64.1
Brandon Aubrey*+,DAL,28,K,17,0,,,9.0,9.0,15.0,13.0,4.0,4.0,10.0,10.0,38.0,36.0,60.0,94.7%,52.0,49.0,94.2%,109,7068,99.0,90.8%,64.8
Cairo Santos,CHI,32,K,17,0,,,9.0,9.0,11.0,11.0,10.0,8.0,8.0,7.0,38.0,35.0,55.0,92.1%,33.0,31.0,93.9%,76,4830,60.0,78.9%,63.6
Greg Zuerlein,NYJ,36,K,16,0,,,8.0,8.0,10.0,9.0,14.0,13.0,6.0,5.0,38.0,35.0,55.0,92.1%,16.0,15.0,93.8%,64,4150,58.0,90.6%,64.8
Justin Tucker*,BAL,34,K,17,0,,,10.0,10.0,10.0,10.0,12.0,11.0,5.0,1.0,37.0,32.0,50.0,86.5%,52.0,51.0,98.1%,101,6445,80.0,79.2%,63.8
Blake Grupe,NOR,25,K,17,0,,,12.0,10.0,6.0,6.0,10.0,8.0,9.0,6.0,37.0,30.0,55.0,81.1%,40.0,40.0,100.0%,91,5828,76.0,83.5%,64.0
Brandon McManus,JAX,32,K,17,0,,,4.0,4.0,10.0,10.0,13.0,11.0,10.0,5.0,37.0,30.0,56.0,81.1%,35.0,35.0,100.0%,86,5421,65.0,75.6%,63.0
Younghoe Koo,ATL,29,K,17,0,,,10.0,10.0,10.0,10.0,11.0,9.0,6.0,3.0,37.0,32.0,54.0,86.5%,28.0,27.0,96.4%,3,192,2.0,66.7%,64.0
Dustin Hopkins,CLE,33,K,15,0,,,8.0,8.0,7.0,7.0,13.0,10.0,8.0,8.0,36.0,33.0,58.0,91.7%,26.0,24.0,92.3%,77,4890,50.0,64.9%,63.5
Harrison Butker,KAN,28,K,17,0,,,8.0,8.0,15.0,13.0,7.0,7.0,5.0,5.0,35.0,33.0,60.0,94.3%,38.0,38.0,100.0%,85,5565,74.0,87.1%,65.5
Wil Lutz,DEN,29,K,17,0,,,11.0,11.0,13.0,12.0,5.0,4.0,5.0,3.0,34.0,30.0,52.0,88.2%,31.0,29.0,93.5%,81,5123,71.0,87.7%,63.2
Anders Carlson,GNB,25,K,17,0,,,6.0,6.0,14.0,14.0,8.0,4.0,5.0,3.0,33.0,27.0,53.0,81.8%,39.0,34.0,87.2%,86,5466,37.0,43.0%,63.6
Cameron Dicker,LAC,23,K,17,0,,,7.0,7.0,8.0,8.0,9.0,9.0,9.0,7.0,33.0,31.0,55.0,93.9%,35.0,35.0,100.0%,81,5168,68.0,84.0%,63.8
Matt Prater,ARI,39,K,17,0,,,6.0,6.0,8.0,7.0,7.0,6.0,12.0,9.0,33.0,28.0,62.0,84.8%,23.0,22.0,95.7%,79,4842,66.0,83.5%,61.3
Jake Elliott,PHI,28,K,17,0,,,9.0,9.0,8.0,7.0,7.0,7.0,8.0,7.0,32.0,30.0,61.0,93.8%,46.0,45.0,97.8%,91,5846,73.0,80.2%,64.2
Evan McPherson,CIN,24,K,17,0,,,5.0,5.0,6.0,6.0,8.0,8.0,12.0,7.0,31.0,26.0,56.0,83.9%,40.0,40.0,100.0%,82,5162,63.0,76.8%,63.0
Chase McLaughlin,TAM,27,K,17,0,,,8.0,8.0,12.0,12.0,3.0,2.0,8.0,7.0,31.0,29.0,57.0,93.5%,33.0,33.0,100.0%,4,255,3.0,75.0%,63.8
Chris Boswell,PIT,32,K,17,0,,,9.0,9.0,7.0,7.0,8.0,7.0,7.0,6.0,31.0,29.0,57.0,93.5%,28.0,27.0,96.4%,76,4833,55.0,72.4%,63.6
Greg Joseph,MIN,29,K,17,0,1.0,1.0,7.0,7.0,9.0,9.0,6.0,3.0,7.0,4.0,30.0,24.0,54.0,80.0%,38.0,36.0,94.7%,79,5084,61.0,77.2%,64.4
Daniel Carlson,LVR,28,K,17,0,,,10.0,10.0,7.0,6.0,10.0,9.0,3.0,1.0,30.0,26.0,54.0,86.7%,32.0,32.0,100.0%,78,4977,48.0,61.5%,63.8
Nick Folk,TEN,39,K,17,0,,,9.0,9.0,9.0,9.0,6.0,6.0,6.0,5.0,30.0,29.0,53.0,96.7%,30.0,28.0,93.3%,63,3927,32.0,50.8%,62.3
Tyler Bass,BUF,26,K,17,0,,,4.0,4.0,13.0,12.0,6.0,4.0,6.0,4.0,29.0,24.0,54.0,82.8%,50.0,49.0,98.0%,95,5952,53.0,55.8%,62.7
Eddy Piñeiro,CAR,28,K,15,0,,,6.0,6.0,7.0,7.0,9.0,7.0,7.0,5.0,29.0,25.0,56.0,86.2%,20.0,17.0,85.0%,57,3532,36.0,63.2%,62.0
Jason Sanders,MIA,28,K,17,0,,,6.0,6.0,7.0,7.0,8.0,6.0,7.0,5.0,28.0,24.0,57.0,85.7%,59.0,58.0,98.3%,90,5803,76.0,84.4%,64.5
Ka'imi Fairbairn,HOU,29,K,12,0,,,10.0,10.0,10.0,10.0,2.0,2.0,6.0,5.0,28.0,27.0,54.0,96.4%,22.0,21.0,95.5%,58,3624,37.0,63.8%,62.5
Jake Moody,SFO,24,K,17,0,,,7.0,7.0,9.0,8.0,6.0,4.0,3.0,2.0,25.0,21.0,57.0,84.0%,61.0,60.0,98.4%,90,5680,54.0,60.0%,63.1
Chad Ryland,NWE,24,K,17,0,,,4.0,4.0,7.0,5.0,10.0,5.0,4.0,2.0,25.0,16.0,56.0,64.0%,25.0,24.0,96.0%,60,3814,39.0,65.0%,63.6
Joey Slye,WAS,27,K,17,0,,,3.0,2.0,7.0,7.0,9.0,7.0,5.0,3.0,24.0,19.0,61.0,79.2%,35.0,32.0,91.4%,72,4520,64.0,88.9%,62.8
Brett Maher,LAR,34,K,8,0,,,3.0,3.0,4.0,4.0,9.0,7.0,7.0,3.0,23.0,17.0,54.0,73.9%,15.0,13.0,86.7%,2,56,,,28.0
Lucas Havrisik,LAR,24,K,9,0,,,8.0,8.0,3.0,3.0,6.0,2.0,3.0,2.0,20.0,15.0,52.0,75.0%,22.0,19.0,86.4%,8,524,7.0,87.5%,65.5
Riley Patterson,2TM,24,K,15,0,,,3.0,2.0,11.0,11.0,2.0,2.0,2.0,1.0,18.0,16.0,52.0,88.9%,44.0,41.0,93.2%,16,969,6.0,37.5%,60.6
Graham Gano,NYG,36,K,8,0,,,2.0,2.0,5.0,3.0,6.0,3.0,4.0,3.0,17.0,11.0,57.0,64.7%,8.0,8.0,100.0%,28,1819,23.0,82.1%,65.0
Matt Ammendola,HOU,27,K,5,0,,,2.0,2.0,3.0,3.0,2.0,1.0,2.0,,9.0,6.0,45.0,66.7%,11.0,10.0,90.9%,22,1402,16.0,72.7%,63.7
Mason Crosby,NYG,39,K,3,0,,,2.0,2.0,2.0,2.0,1.0,,2.0,1.0,7.0,5.0,52.0,71.4%,7.0,6.0,85.7%,16,972,2.0,12.5%,60.8
Randy Bullock,NYG,34,K,6,0,,,,,2.0,2.0,3.0,2.0,1.0,1.0,6.0,5.0,56.0,83.3%,10.0,10.0,100.0%,20,1268,13.0,65.0%,63.4
Michael Badgley,DET,28,K,4,0,,,,,3.0,3.0,1.0,1.0,,,4.0,4.0,41.0,100.0%,15.0,13.0,86.7%,1,10,,,10.0
Austin Seibert,NYJ,27,K,1,0,,,,,1.0,1.0,,,,,1.0,1.0,34.0,100.0%,1.0,1.0,100.0%,3,176,2.0,66.7%,58.7
Dare Ogunbowale,HOU,29,RB,12,0,,,1.0,1.0,,,,,,,1.0,1.0,29.0,100.0%,,,,6,331,3.0,50.0%,55.2
Jamie Gillan,NYG,26,P,17,0,,,,,,,1.0,1.0,,,1.0,1.0,40.0,100.0%,,,,1,51,,,51.0
Matthew Wright,CAR,27,K,1,0,,,,,,,,,1.0,,1.0,,,0.0%,,,,1,65,1.0,100.0%,65.0
Jack Fox,DET,27,P,17,0,,,,,,,,,,,,,,,,,,86,5482,58.0,67.4%,63.7
Ethan Evans,LAR,22,P,17,0,,,,,,,,,,,,,,,,,,82,5285,73.0,89.0%,64.5
Jake Camarda,TAM,24,P,17,0,,,,,,,,,,,,,,,,,,78,4869,49.0,62.8%,62.4
Bradley Pinion,ATL,29,P,17,0,,,,,,,,,,,,,,,,,,76,4936,64.0,84.2%,64.9
Trenton Gill,CHI,24,P,17,0,,,,,,,,,,,,,,,,,,13,794,11.0,84.6%,61.1
Ty Zentner,2TM,25,K-P,9,0,,,,,,,,,,,,,,,,,,9,581,2.0,22.2%,64.6
Jake Bailey,MIA,26,P,17,0,,,,,,,,,,,,,,,,,,8,524,7.0,87.5%,65.5
Mitch Wishnowsky,SFO,31,P,17,0,,,,,,,,,,,,,,,,,,7,451,4.0,57.1%,64.4
Thomas Morstead,NYJ,37,P,17,0,,,,,,,,,,,,,,,,,,6,325,2.0,33.3%,54.2
Corey Bojorquez,CLE,27,P,16,0,,,,,,,,,,,,,,,,,,4,230,,,57.5
Kamu Grugier-Hill,CAR,29,LB,17,5,,,,,,,,,,,,,,,,,,3,142,,,47.3
Jordan Stout,BAL,25,P,17,0,,,,,,,,,,,,,,,,,,3,193,,,64.3
Bryce Baringer,NWE,24,P,17,0,,,,,,,,,,,,,,,,,,1,16,,,16.0
D'Anthony Bell,CLE,27,S,17,4,,,,,,,,,,,,,,,,,,1,42,,,42.0
Riley Dixon,DEN,30,P,17,0,,,,,,,,,,,,,,,,,,1,67,,,67.0
Johnny Hekker,CAR,33,P,17,0,,,,,,,,,,,,,,,,,,1,10,,,10.0
Cameron Johnston,HOU,31,P,13,0,,,,,,,,,,,,,,,,,,1,67,,,67.0
Rigoberto Sanchez,IND,29,P,17,0,,,,,,,,,,,,,,,,,,1,62,,,62.0
Ryan Wright,MIN,23,P,17,0,,,,,,,,,,,,,,,,,,1,47,,,47.0
