Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Mike Adams,30,CLE,SS,16,16,3,33,0,29,6,1,0,1,0,0,0.0,64,44,20,0,0,0,
Jared Allen,29,MIN,RDE,16,16,1,14,0,14,3,4,0,4,6,0,22.0,66,48,18,21,32,1,"PB,AP-1,AP DPoY-2"
Tyson Alualu,24,JAX,LDT,16,16,0,0,0,0,1,1,0,1,7,0,2.5,40,21,19,3,8,0,
James Anderson,28,CAR,LLB,16,16,2,5,0,5,9,0,0,3,0,0,1.5,145,98,47,9,2,0,
Pat Angerer,24,IND,MLB,16,16,1,0,0,0,3,2,0,1,10,0,1.0,148,78,70,9,4,0,
Jon Asamoah,23,KAN,RG,16,16,0,0,0,0,0,0,0,1,-2,0,0.0,0,0,0,0,0,0,
Cliff Avril,25,DET,LDE,16,16,1,4,1,4,4,6,0,3,24,1,11.0,36,29,7,7,12,0,
Akeem Ayers,22,TEN,LLB,16,16,0,0,0,0,1,1,0,1,0,0,2.0,76,50,26,6,4,0,
Jason Babin,31,PHI,LDE,16,16,0,0,0,0,1,3,0,0,0,0,18.0,40,35,5,17,29,0,"PB,AP-2"
Jeff Backus,34,DET,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Ronde Barber,36,TAM,RCB,16,16,3,12,0,12,9,1,0,1,0,0,1.0,79,67,12,6,1,1,
Nick Barnett,30,BUF,RILB,16,16,3,80,1,33,5,1,0,0,0,0,3.0,130,78,52,9,4,0,
Connor Barwin,25,HOU,ROLB,16,16,0,0,0,0,7,1,0,0,0,0,11.5,47,34,13,12,28,0,
Jovan Belcher,24,KAN,LILB,16,16,0,0,0,0,1,0,0,0,0,0,0.0,87,61,26,2,1,0,
Yeremiah Bell,33,MIA,SS,16,16,1,20,0,20,4,0,0,1,0,0,2.0,107,81,26,2,4,0,
Antoine Bethea,27,IND,FS,16,16,0,0,0,0,7,2,0,1,0,0,0.0,139,80,59,2,1,0,
Matt Birk,35,BAL,C,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Stephen Bowen,27,WAS,RDT,16,16,0,0,0,0,1,0,0,1,-1,0,6.0,41,21,20,6,10,0,
NaVorro Bowman,23,SFO,LILB,16,16,0,0,0,0,8,0,0,3,0,0,2.0,143,111,32,13,6,0,"AP-1,AP DPoY-6"
Tom Brady,34,NWE,QB,16,16,0,0,0,0,0,0,6,3,-8,0,0.0,0,0,0,0,0,0,PB
Tyvon Branch,25,OAK,SS,16,16,1,0,0,0,4,0,0,1,0,0,1.0,109,80,29,3,1,0,
Drew Brees,32,NOR,QB,16,16,0,0,0,0,0,0,1,0,-15,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-1"
Lance Briggs,31,CHI,LLB,16,16,1,0,0,0,4,2,0,0,0,0,0.0,105,86,19,9,1,0,PB
Ahmad Brooks,27,SFO,LOLB,16,16,0,0,0,0,3,1,0,0,0,0,7.0,50,35,15,12,14,0,
Levi Brown,27,ARI,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Sheldon Brown,32,CLE,RCB,16,16,2,0,0,0,12,1,0,1,0,0,0.0,48,38,10,0,0,0,
Tarell Brown,26,SFO,RCB,16,16,4,15,0,11,15,0,0,0,0,0,0.0,40,36,4,1,0,0,
Brandon Browner,27,SEA,RCB,16,16,6,220,2,94,23,0,0,0,0,0,0.0,54,51,3,1,0,0,PB
