Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Mark Brunell,36,WAS,QB,10,9,3-6-0,162,260,62.3,1789,8,3.1,4,1.5,80,44.5,74,6.9,6.80,11.0,178.9,86.5,42.1,12,92,4.41,6.24,6.17,1,1,
David Garrard,28,JAX,QB,11,10,5-5-0,145,241,60.2,1735,10,4.1,9,3.7,83,43.7,49,7.2,6.35,12.0,157.7,80.5,60.1,20,119,7.66,6.19,5.41,0,0,
Andrew Walter,24,OAK,QB,12,8,2-6-0,147,276,53.3,1677,3,1.1,13,4.7,79,36.3,51,6.1,4.17,11.4,139.8,55.8,23.0,46,256,14.29,4.41,2.78,0,0,
Bruce Gradkowski,23,TAM,QB,13,11,3-8-0,177,328,54.0,1661,9,2.7,9,2.7,81,34.0,53,5.1,4.38,9.4,127.8,65.9,32.0,25,146,7.08,4.29,3.65,2,3,
Kurt Warner,35,ARI,QB,6,5,1-4-0,108,168,64.3,1377,6,3.6,5,3.0,65,47.3,64,8.2,7.57,12.8,229.5,89.3,45.2,14,104,7.69,6.99,6.42,0,0,
Trent Green,36,KAN,QB,8,8,4-4-0,121,198,61.1,1342,7,3.5,9,4.5,76,45.9,39,6.8,5.44,11.1,167.8,74.1,48.7,24,127,10.81,5.47,4.28,1,1,
Jeff Garcia,36,PHI,QB,8,6,5-1-0,116,188,61.7,1309,10,5.3,2,1.1,61,47.9,65,7.0,7.55,11.3,163.6,95.8,67.1,6,40,3.09,6.54,7.11,2,2,AP CPoY-5
Jason Campbell,24,WAS,QB,7,7,2-5-0,110,207,53.1,1297,10,4.8,6,2.9,68,40.7,66,6.3,5.93,11.8,185.3,76.5,52.3,7,55,3.27,5.80,5.48,1,1,
Drew Bledsoe,34,DAL,QB,6,6,3-3-0,90,169,53.3,1164,7,4.1,8,4.7,54,39.5,51,6.9,5.59,12.9,194.0,69.2,46.1,16,107,8.65,5.71,4.52,0,0,
Byron Leftwich,26,JAX,QB,6,6,3-3-0,108,183,59.0,1159,7,3.8,5,2.7,59,41.7,51,6.3,5.87,10.7,193.2,79.0,44.7,9,48,4.69,5.79,5.34,0,1,
Aaron Brooks,30,OAK,QB,8,8,0-8-0,110,192,57.3,1105,3,1.6,8,4.2,58,40.8,57,5.8,4.19,10.0,138.1,61.7,37.8,26,174,11.93,4.27,2.89,0,0,
Jay Cutler,23,DEN,QB,5,5,2-3-0,81,137,59.1,1001,9,6.6,5,3.6,49,41.3,71,7.3,6.98,12.4,200.2,88.5,41.9,13,85,8.67,6.11,5.81,0,0,
Daunte Culpepper,29,MIA,QB,4,4,1-3-0,81,134,60.4,929,2,1.5,3,2.2,44,38.1,52,6.9,6.22,11.5,232.3,77.0,18.3,21,150,13.55,5.03,4.41,0,1,
Seneca Wallace,26,SEA,QB,8,4,2-2-0,82,141,58.2,927,8,5.7,7,5.0,42,40.6,49,6.6,5.48,11.3,115.9,76.2,51.0,14,83,9.03,5.45,4.45,1,1,
Derek Anderson,23,CLE,QB,5,3,0-3-0,66,117,56.4,793,5,4.3,8,6.8,37,44.0,66,6.8,4.56,12.0,158.6,63.1,42.2,8,66,6.40,5.82,3.74,1,1,
Tim Rattay,29,TAM,QB,4,2,1-1-0,61,101,60.4,748,4,4.0,2,2.0,25,47.6,64,7.4,7.31,12.3,187.0,88.2,65.2,4,18,3.81,6.95,6.86,0,0,
Chris Weinke,34,CAR,QB,3,3,1-2-0,56,96,58.3,625,2,2.1,4,4.2,26,41.5,38,6.5,5.05,11.2,208.3,67.4,22.5,10,55,9.43,5.38,4.06,0,0,
Chris Simms,26,TAM,QB,3,3,0-3-0,58,106,54.7,585,1,0.9,7,6.6,28,42.7,55,5.5,2.74,10.1,195.0,46.3,34.1,4,32,3.64,5.03,2.35,0,0,
Kerry Collins,34,TEN,QB,4,3,0-3-0,42,90,46.7,549,1,1.1,6,6.7,26,35.1,36,6.1,3.32,13.1,137.3,42.3,29.4,4,23,4.26,5.60,2.94,0,0,
Charlie Batch,32,PIT,QB,8,1,1-0-0,31,53,58.5,492,5,9.4,0,0.0,22,42.9,87,9.3,11.17,15.9,61.5,121.0,84.5,3,13,5.36,8.55,10.34,1,1,
Kyle Boller,25,BAL,QB,5,0,,33,55,60.0,485,5,9.1,2,3.6,20,39.7,77,8.8,9.00,14.7,97.0,104.0,72.4,3,16,5.17,8.09,8.26,0,0,
Tarvaris Jackson,23,MIN,QB,4,2,0-2-0,47,81,58.0,475,2,2.5,4,4.9,19,36.0,50,5.9,4.14,10.1,118.8,62.5,11.5,8,37,8.99,4.92,3.35,0,0,
Cleo Lemon,27,MIA,QB,4,1,0-1-0,38,68,55.9,412,2,2.9,1,1.5,23,39.7,38,6.1,5.99,10.8,103.0,77.6,47.8,5,24,6.85,5.32,5.25,0,0,
A.J. Feeley,29,PHI,QB,2,0,,26,38,68.4,342,3,7.9,0,0.0,15,48.7,89,9.0,10.58,13.2,171.0,122.9,81.4,1,10,2.56,8.51,10.05,0,1,
Sage Rosenfels,28,HOU,QB,4,0,,27,39,69.2,265,3,7.7,1,2.6,15,57.5,28,6.8,7.18,9.8,66.3,103.0,66.6,1,5,2.50,6.50,6.88,0,0,
Brian Griese,31,CHI,QB,6,0,,18,32,56.3,220,1,3.1,2,6.3,11,34.3,75,6.9,4.69,12.2,36.7,62.0,14.0,3,22,8.57,5.66,3.66,1,1,
Jamie Martin,36,NOR,QB,16,0,,16,24,66.7,208,1,4.2,1,4.2,6,34.5,65,8.7,7.63,13.0,13.0,90.3,2.2,5,18,17.24,6.55,5.69,0,0,
Matt Schaub,25,ATL,QB,16,0,,18,27,66.7,208,1,3.7,2,7.4,9,37.9,47,7.7,5.11,11.6,13.0,71.2,71.0,2,8,6.90,6.90,4.48,0,0,
Quinn Gray,27,JAX,QB,2,0,,13,22,59.1,166,0,0.0,0,0.0,8,39.1,32,7.5,7.55,12.8,83.0,82.8,79.4,1,11,4.35,6.74,6.74,0,0,
Brooks Bollinger,27,MIN,QB,2,0,,13,18,72.2,146,0,0.0,1,5.6,7,41.7,50,8.1,5.61,11.2,73.0,72.9,30.9,6,42,25.00,4.33,2.46,0,0,
Antwaan Randle El,27,WAS,WR,16,16,,2,3,66.7,88,1,33.3,0,0.0,2,66.7,48,29.3,36.00,44.0,5.5,149.3,100.0,0,0,0.00,29.33,36.00,0,0,
Marques Tuiasosopo,27,OAK,QB,2,0,,6,13,46.2,68,1,7.7,2,15.4,4,38.5,29,5.2,-0.15,11.3,34.0,48.4,84.2,0,0,0.00,5.23,-0.15,0,0,
Brett Basanez,23,CAR,QB,1,0,,6,11,54.5,56,0,0.0,1,9.1,4,45.5,18,5.1,1.00,9.3,56.0,30.9,38.9,0,0,0.00,5.09,1.00,0,0,
Aaron Rodgers,23,GNB,QB,2,0,,6,15,40.0,46,0,0.0,0,0.0,2,16.7,16,3.1,3.07,7.7,23.0,48.2,7.9,3,18,16.67,1.56,1.56,0,0,
Brad Maynard,32,CHI,P,16,0,,1,1,100.0,37,0,0.0,0,0.0,1,100.0,37,37.0,37.00,37.0,2.3,118.7,100.0,0,0,0.00,37.00,37.00,0,0,
Matt Cassel,24,NWE,QB,6,0,,5,8,62.5,32,0,0.0,0,0.0,3,27.3,10,4.0,4.00,6.4,5.3,70.8,8.5,3,15,27.27,1.55,1.55,0,0,
Anthony Wright,30,CIN,QB,4,0,,3,3,100.0,31,0,0.0,0,0.0,2,33.3,22,10.3,10.33,10.3,7.8,109.7,16.5,0,0,0.00,10.33,10.33,0,0,
Vinny Testaverde,43,NWE,QB,3,0,,2,3,66.7,29,1,33.3,0,0.0,2,66.7,23,9.7,16.33,14.5,9.7,137.5,99.9,0,0,0.00,9.67,16.33,0,0,
Gus Frerotte,35,STL,QB,1,0,,1,3,33.3,27,0,0.0,0,0.0,1,33.3,27,9.0,9.00,27.0,27.0,67.4,80.2,0,0,0.00,9.00,9.00,0,0,
Brodie Croyle,23,KAN,QB,2,0,,3,7,42.9,23,0,0.0,2,28.6,2,37.5,11,3.3,-9.57,7.7,11.5,11.9,0.7,1,10,12.50,1.63,-9.63,0,0,
Cedrick Wilson,28,PIT,WR,15,12,,1,1,100.0,21,0,0.0,0,0.0,1,100.0,21,21.0,21.00,21.0,1.4,118.7,99.9,0,0,0.00,21.00,21.00,0,0,
LaDainian Tomlinson,27,SDG,RB,16,16,,2,3,66.7,20,2,66.7,0,0.0,2,66.7,19,6.7,20.00,10.0,1.3,125.0,99.7,0,0,0.00,6.67,20.00,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Ryan Longwell,32,MIN,K,16,0,,1,1,100.0,16,1,100.0,0,0.0,1,100.0,16,16.0,36.00,16.0,1.0,158.3,62.2,0,0,0.00,16.00,36.00,0,0,
Jon Ryan,25,GNB,P,16,0,,1,1,100.0,16,0,0.0,0,0.0,1,100.0,16,16.0,16.00,16.0,1.0,118.7,7.2,0,0,0.00,16.00,16.00,0,0,
Mewelde Moore,24,MIN,RB,16,0,,1,1,100.0,15,1,100.0,0,0.0,1,100.0,15,15.0,35.00,15.0,0.9,158.3,100.0,0,0,0.00,15.00,35.00,0,0,
David Akers,32,PHI,K,16,0,,1,1,100.0,11,0,0.0,0,0.0,0,,11,11.0,11.00,11.0,0.7,112.5,0.0,0,0,0.00,11.00,11.00,0,0,
Billy Volek,30,SDG,QB,1,0,,1,2,50.0,4,0,0.0,0,0.0,0,,4,2.0,2.00,4.0,4.0,56.2,0.9,1,6,33.33,-0.67,-0.67,0,0,
Joseph Addai,23,IND,RB,16,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,3,100.00,-3.00,-3.00,0,0,
Hank Baskett,24,PHI,WR,16,5,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Arnaz Battle,26,SFO,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,3.0,0,0,0.00,0.00,0.00,0,0,
Deion Branch,27,SEA,WR,14,13,,0,0,,0,0,,0,,0,,,,,,0.0,,0.4,1,3,100.00,-3.00,-3.00,0,0,
Ronnie Brown,25,MIA,RB,13,12,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.1,0,0,0.00,0.00,0.00,0,0,
Isaac Bruce,34,STL,WR,16,13,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,7.3,0,0,0.00,0.00,0.00,0,0,
Reggie Bush,21,NOR,RB,16,8,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,AP ORoY-5
Mark Clayton,24,BAL,WR,16,12,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,8.5,0,0,0.00,0.00,0.00,0,0,
Kellen Clemens,23,NYJ,QB,2,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.9,4,27,80.00,-5.40,-5.40,0,0,
Josh Cribbs,23,CLE,WR,16,1,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
Ronald Curry,27,OAK,WR,16,4,,0,2,0.0,0,0,0.0,1,50.0,0,,,0.0,-22.50,,0.0,0.0,0.2,0,0,0.00,0.00,-22.50,0,0,
Ken Dorsey,25,CLE,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.1,1,7,50.00,-3.50,-3.50,0,0,
Lee Evans,25,BUF,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.2,0,0,0.00,0.00,0.00,0,0,
Jeff Feagles,40,NYG,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,
Ben Graham,33,NYJ,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,
Carlyle Holiday,25,GNB,WR,4,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
Joe Horn,34,NOR,WR,10,9,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,
Keyshawn Johnson,34,CAR,WR,16,16,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Larry Johnson,27,KAN,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,26.5,0,0,0.00,0.00,0.00,0,0,"PB,AP-1"
Wali Lundy,23,HOU,RB,14,8,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,9,100.00,-9.00,-9.00,0,0,
Brian Moorman,30,BUF,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,4.4,0,0,0.00,0.00,0.00,0,0,"PB,AP-1"
Jerious Norwood,23,ATL,RB,14,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.2,0,0,0.00,0.00,0.00,0,0,
Patrick Ramsey,27,NYJ,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.7,0,0,0.00,0.00,0.00,0,0,
Michael Robinson,23,SFO,FB,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,
Mike Scifres,26,SDG,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.5,0,0,0.00,0.00,0.00,0,0,
Kellen Winslow,23,CLE,TE,16,16,,0,0,,0,0,,0,,0,,,,,,0.0,,0.2,1,14,100.00,-14.00,-14.00,0,0,AP CPoY-4
Thomas Jones,28,CHI,RB,16,16,,1,1,100.0,-4,0,0.0,0,0.0,0,,-4,-4.0,-4.00,-4.0,-0.3,79.2,0.2,1,1,50.00,-2.50,-2.50,0,0,
League Average,,,,,,,,,59.8,,,4.0,,3.2,,43.7,,6.9,6.21,11.5,99.9,80.4,,,,6.63,5.97,5.38,,,
