Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Dan Fouts,29,SDG,QB,16,16,11-5-0,348,589,59.1,4715,30,5.1,24,4.1,65,8.0,7.19,13.5,294.7,84.7,32,210,5.15,7.25,6.48,1,2,"PB,AP-2,AP MVP-5,AP OPoY-3"
Brian Sipe,31,CLE,QB,16,16,11-5-0,337,554,60.8,4132,30,5.4,14,2.5,65,7.5,7.40,12.3,258.3,91.4,23,217,3.99,6.79,6.73,3,4,"PB,AP-1,AP MVP-1,AP OPoY-2"
Archie Manning,31,NOR,QB,16,16,1-15-0,309,509,60.7,3716,23,4.5,20,3.9,56,7.3,6.44,12.0,232.3,81.8,41,311,7.45,6.19,5.39,1,1,
Tommy Kramer,25,MIN,QB,15,15,8-7-0,299,522,57.3,3582,19,3.6,23,4.4,76,6.9,5.61,12.0,238.8,72.2,37,214,6.62,6.03,4.85,4,4,
Steve Bartkowski,28,ATL,QB,16,16,12-4-0,257,463,55.5,3544,31,6.7,16,3.5,81,7.7,7.44,13.8,221.5,88.2,35,324,7.03,6.47,6.27,3,4,"PB,AP MVP-3"
Lynn Dickey,31,GNB,QB,16,16,5-10-1,278,478,58.2,3529,15,3.1,25,5.2,69,7.4,5.66,12.7,220.6,70.0,37,314,7.18,6.24,4.64,0,3,
Ron Jaworski,29,PHI,QB,16,16,12-4-0,257,451,57.0,3529,27,6.0,12,2.7,56,7.8,7.82,13.7,220.6,91.0,27,213,5.65,6.94,6.94,2,3,"PB,AP MVP-3"
Doug Williams,25,TAM,QB,16,16,5-10-1,254,521,48.8,3396,20,3.8,16,3.1,61,6.5,5.90,13.4,212.3,69.9,23,194,4.23,5.89,5.30,5,4,
Jim Zorn,27,SEA,QB,16,16,4-12-0,276,488,56.6,3346,17,3.5,20,4.1,67,6.9,5.71,12.1,209.1,72.3,44,341,8.27,5.65,4.60,1,1,
Terry Bradshaw,32,PIT,QB,15,15,9-6-0,218,424,51.4,3339,24,5.7,22,5.2,68,7.9,6.67,15.3,222.6,75.0,33,245,7.22,6.77,5.65,3,4,
Richard Todd,27,NYJ,QB,16,16,4-12-0,264,479,55.1,3329,17,3.5,30,6.3,55,6.9,4.84,12.6,208.1,62.7,42,326,8.06,5.76,3.83,0,2,
Danny White,28,DAL,QB,16,16,12-4-0,260,436,59.6,3287,28,6.4,25,5.7,58,7.5,6.24,12.6,205.4,80.7,30,252,6.44,6.51,5.30,1,1,
Gary Danielson,29,DET,QB,16,16,9-7-0,244,417,58.5,3223,13,3.1,11,2.6,87,7.7,7.17,13.2,201.4,82.4,44,338,9.54,6.26,5.75,1,2,
Ken Stabler,35,HOU,QB,16,16,11-5-0,293,457,64.1,3202,13,2.8,28,6.1,79,7.0,4.82,10.9,200.1,68.7,27,264,5.58,6.07,4.00,2,2,
Vince Ferragamo,26,RAM,QB,16,15,11-4-0,240,404,59.4,3199,30,7.4,19,4.7,74,7.9,7.29,13.3,199.9,89.7,23,191,5.39,7.04,6.45,0,0,
Bert Jones,29,BAL,QB,15,15,6-9-0,248,446,55.6,3134,23,5.2,21,4.7,47,7.0,5.94,12.6,208.9,75.3,34,262,7.08,5.98,4.97,0,2,
Joe Theismann,31,WAS,QB,16,15,6-9-0,262,454,57.7,2962,17,3.7,16,3.5,54,6.5,5.69,11.3,185.1,75.2,31,282,6.39,5.53,4.74,2,2,
Jim Hart,36,STL,QB,15,15,5-10-0,228,425,53.6,2946,16,3.8,20,4.7,69,6.9,5.57,12.9,196.4,68.6,39,292,8.41,5.72,4.47,0,0,
Joe Ferguson,30,BUF,QB,16,16,11-5-0,251,439,57.2,2805,20,4.6,18,4.1,69,6.4,5.46,11.2,175.3,74.5,13,129,2.88,5.92,5.01,2,4,
Steve Grogan,27,NWE,QB,12,12,7-5-0,175,306,57.2,2475,18,5.9,22,7.2,71,8.1,6.03,14.1,206.3,73.1,17,138,5.26,7.24,5.28,1,1,
Phil Simms,25,NYG,QB,13,13,3-10-0,193,402,48.0,2321,15,3.7,19,4.7,58,5.8,4.39,12.0,178.5,58.9,36,233,8.22,4.77,3.50,1,1,
Jim Plunkett,33,OAK,QB,13,11,9-2-0,165,320,51.6,2299,18,5.6,16,5.0,86,7.2,6.06,13.9,176.8,72.9,36,285,10.11,5.66,4.65,1,2,
Steve Fuller,23,KAN,QB,14,13,6-7-0,193,320,60.3,2250,10,3.1,12,3.8,77,7.0,5.97,11.7,160.7,76.4,49,348,13.28,5.15,4.23,3,4,
Craig Morton,37,DEN,QB,12,9,4-5-0,183,301,60.8,2150,12,4.0,13,4.3,41,7.1,6.00,11.7,179.2,77.8,26,190,7.95,5.99,4.94,1,3,
Vince Evans,25,CHI,QB,13,10,5-5-0,148,278,53.2,2039,11,4.0,16,5.8,89,7.3,5.54,13.8,156.8,66.2,26,205,8.55,6.03,4.39,1,0,
Steve DeBerg,26,SFO,QB,11,9,4-5-0,186,321,57.9,1998,12,3.7,17,5.3,93,6.2,4.59,10.7,181.6,66.7,14,114,4.18,5.62,4.06,1,2,
David Woodley,22,MIA,QB,13,11,6-5-0,176,327,53.8,1850,14,4.3,17,5.2,61,5.7,4.17,10.5,142.3,63.1,17,127,4.94,5.01,3.60,1,2,AP ORoY-3
Joe Montana,24,SFO,QB,15,7,2-5-0,176,273,64.5,1795,15,5.5,9,3.3,71,6.6,6.19,10.2,119.7,87.8,15,100,5.21,5.89,5.52,1,1,
Ken Anderson,31,CIN,QB,13,12,5-7-0,166,275,60.4,1778,6,2.2,13,4.7,67,6.5,4.77,10.7,136.8,66.9,24,174,8.03,5.36,3.81,0,0,
Jack Thompson,24,CIN,QB,14,4,1-3-0,115,234,49.1,1324,11,4.7,12,5.1,59,5.7,4.29,11.5,94.6,60.9,13,113,5.26,4.90,3.61,2,3,
Matt Robinson,25,DEN,QB,14,7,4-3-0,78,162,48.1,942,2,1.2,12,7.4,52,5.8,2.73,12.1,67.3,39.7,17,136,9.50,4.50,1.71,0,0,
Dan Pastorini,31,OAK,QB,5,5,2-3-0,66,130,50.8,932,5,3.8,8,6.2,56,7.2,5.17,14.1,186.4,61.4,10,103,7.14,5.92,4.06,0,0,
Matt Cavanaugh,24,NWE,QB,16,4,3-1-0,63,105,60.0,885,9,8.6,5,4.8,40,8.4,8.00,14.0,55.3,95.9,8,62,7.08,7.28,6.88,1,1,
Bob Griese,35,MIA,QB,5,3,1-2-0,61,100,61.0,790,6,6.0,4,4.0,54,7.9,7.30,13.0,158.0,89.2,9,89,8.26,6.43,5.88,2,2,
Mike Phipps,33,CHI,QB,7,6,2-4-0,61,122,50.0,630,2,1.6,9,7.4,56,5.2,2.17,10.3,90.0,40.0,7,69,5.43,4.35,1.52,0,0,
Scott Brunner,23,NYG,QB,16,3,1-2-0,52,112,46.4,610,4,3.6,6,5.4,50,5.4,3.75,11.7,38.1,53.1,10,76,8.20,4.38,2.82,1,1,
Bill Kenney,25,KAN,QB,3,3,2-1-0,37,69,53.6,542,5,7.2,2,2.9,75,7.9,8.00,14.6,180.7,91.6,5,43,6.76,6.74,6.88,0,1,
Cliff Stoudt,25,PIT,QB,6,1,0-1-0,32,60,53.3,493,2,3.3,2,3.3,72,8.2,7.38,15.4,82.2,78.0,4,19,6.25,7.41,6.63,0,0,
Steve Dils,25,MIN,QB,16,1,1-0-0,32,51,62.7,352,3,5.9,0,0.0,58,6.9,8.08,11.0,22.0,102.7,4,32,7.27,5.82,6.91,0,0,
Don Strock,30,MIA,QB,16,2,1-1-0,30,62,48.4,313,1,1.6,5,8.1,33,5.0,1.74,10.4,19.6,35.2,5,49,7.46,3.94,0.88,1,1,
Greg Landry,34,BAL,QB,16,1,1-0-0,24,47,51.1,275,2,4.3,3,6.4,32,5.9,3.83,11.5,17.2,56.6,2,19,4.08,5.22,3.29,0,0,
Mike Kruczek,27,WAS,QB,7,1,0-1-0,22,31,71.0,209,0,0.0,2,6.5,41,6.7,3.84,9.5,29.9,62.4,5,51,13.89,4.39,1.89,0,0,
Bobby Scott,31,NOR,QB,5,0,,16,33,48.5,200,2,6.1,1,3.0,40,6.1,5.91,12.5,40.0,75.3,4,41,10.81,4.30,4.16,0,0,
Joe Pisarcik,28,PHI,QB,9,0,,15,22,68.2,187,0,0.0,0,0.0,46,8.5,8.50,12.5,20.8,94.3,5,34,18.52,5.67,5.67,0,1,
Pat Haden,27,RAM,QB,4,1,0-1-0,19,41,46.3,185,0,0.0,4,9.8,24,4.5,0.12,9.7,46.3,19.9,4,30,8.89,3.44,-0.56,0,0,
Sam Adkins,25,SEA,QB,4,0,,10,23,43.5,136,1,4.3,3,13.0,22,5.9,0.91,13.6,34.0,37.9,6,51,20.69,2.93,-1.03,0,0,
Tom Clements,27,KAN,QB,1,0,,7,12,58.3,77,0,0.0,0,0.0,18,6.4,6.42,11.0,77.0,77.4,3,30,20.00,3.13,3.13,0,0,
Glenn Carano,25,DAL,QB,3,0,,5,12,41.7,69,2,16.7,0,0.0,25,5.8,9.08,13.8,23.0,100.3,1,0,7.69,5.31,8.38,0,0,
Rusty Lisch,24,STL,QB,2,0,,6,17,35.3,68,0,0.0,3,17.6,23,4.0,-3.94,11.3,34.0,8.6,3,36,15.00,1.60,-5.15,0,0,
Dan Manucci,23,BUF,QB,2,0,,5,6,83.3,64,0,0.0,0,0.0,22,10.7,10.67,12.8,32.0,111.1,5,48,45.45,1.45,1.45,0,0,
Earl Campbell,25,HOU,RB,15,15,,1,2,50.0,57,1,50.0,0,0.0,57,28.5,38.50,57.0,3.8,135.4,0,0,0.00,28.50,38.50,0,0,"PB,AP-1,AP MVP-2,AP OPoY-1"
Louie Giammona,27,PHI,RB,16,4,,3,3,100.0,55,1,33.3,0,0.0,27,18.3,25.00,18.3,3.4,158.3,0,0,0.00,18.33,25.00,0,0,
David Whitehurst,25,GNB,QB,2,0,,5,15,33.3,55,0,0.0,1,6.7,24,3.7,0.67,11.0,27.5,17.4,3,19,16.67,2.00,-0.50,0,0,
Mike Loyd,24,STL,QB,5,1,0-1-0,5,28,17.9,49,0,0.0,1,3.6,20,1.8,0.14,9.8,9.8,24.7,7,48,20.00,0.03,-1.26,0,0,
Bill Troup,29,GNB,QB,2,0,,4,12,33.3,48,0,0.0,3,25.0,24,4.0,-7.25,12.0,24.0,6.9,2,20,14.29,2.00,-7.64,0,0,
Wes Chandler,24,NOR,WR,16,16,,1,1,100.0,43,0,0.0,0,0.0,43,43.0,43.00,43.0,2.7,118.7,1,10,50.00,16.50,16.50,0,0,
David Humm,28,BUF,QB,16,0,,4,14,28.6,39,0,0.0,1,7.1,19,2.8,-0.43,9.8,2.4,9.8,2,9,12.50,1.88,-0.94,0,0,
Tom Skladany,25,DET,P,16,0,,2,2,100.0,38,0,0.0,0,0.0,19,19.0,19.00,19.0,2.4,118.7,0,0,0.00,19.00,19.00,0,0,
Harold Jackson,34,NWE,WR,16,15,,2,2,100.0,35,0,0.0,0,0.0,23,17.5,17.50,17.5,2.2,118.7,0,0,0.00,17.50,17.50,0,0,
Ray Guy,31,OAK,P,16,0,,1,1,100.0,32,0,0.0,0,0.0,32,32.0,32.00,32.0,2.0,118.7,0,0,0.00,32.00,32.00,0,0,"PB,AP-2"
Mike Guman,22,RAM,RB,16,0,,1,1,100.0,31,1,100.0,0,0.0,31,31.0,51.00,31.0,1.9,158.3,1,5,50.00,13.00,23.00,0,0,
Marc Wilson,23,OAK,QB,2,0,,3,5,60.0,31,0,0.0,0,0.0,12,6.2,6.20,10.3,15.5,77.9,0,0,0.00,6.20,6.20,0,0,
Guy Benjamin,25,NOR,QB,2,0,,7,17,41.2,28,0,0.0,1,5.9,17,1.6,-1.00,4.0,14.0,24.4,0,0,0.00,1.65,-1.00,0,0,
Jeff Komlo,24,DET,QB,4,0,,2,4,50.0,26,0,0.0,1,25.0,20,6.5,-4.75,13.0,6.5,31.2,0,0,0.00,6.50,-4.75,0,0,
Ed Luther,23,SDG,QB,5,0,,2,3,66.7,26,0,0.0,1,33.3,13,8.7,-6.33,13.0,5.2,54.2,0,0,0.00,8.67,-6.33,0,0,
Jeff Rutledge,23,RAM,QB,1,0,,1,4,25.0,26,0,0.0,0,0.0,26,6.5,6.50,26.0,26.0,54.2,1,8,20.00,3.60,3.60,0,0,
Mike Moroski,23,ATL,QB,3,0,,2,3,66.7,24,0,0.0,0,0.0,18,8.0,8.00,12.0,8.0,91.0,0,0,0.00,8.00,8.00,0,0,
Jack Holmes,27,NOR,FB,16,7,,1,3,33.3,23,1,33.3,0,0.0,23,7.7,14.33,23.0,1.4,101.4,0,0,0.00,7.67,14.33,0,0,
Steve Pisarkiewicz,27,GNB,QB,1,0,,2,5,40.0,19,0,0.0,0,0.0,16,3.8,3.80,9.5,19.0,51.2,1,7,16.67,2.00,2.00,0,0,
Chuck Fusina,23,TAM,QB,2,0,,2,4,50.0,18,0,0.0,1,25.0,13,4.5,-6.75,9.0,9.0,22.9,1,0,20.00,3.60,-5.40,0,0,
Greg Cater,23,BUF,P,16,0,,1,1,100.0,15,0,0.0,0,0.0,15,15.0,15.00,15.0,0.9,118.7,0,0,0.00,15.00,15.00,0,0,
Jeff Knapple,24,DEN,QB,2,0,,1,4,25.0,15,0,0.0,0,0.0,15,3.8,3.75,15.0,7.5,42.7,0,0,0.00,3.75,3.75,0,0,
Joe Cribbs,22,BUF,RB,16,16,,1,1,100.0,13,0,0.0,0,0.0,13,13.0,13.00,13.0,0.8,118.7,0,0,0.00,13.00,13.00,0,0,"PB,AP ORoY-2"
Lawrence McCutcheon,30,2TM,RB,14,1,,1,2,50.0,12,0,0.0,0,0.0,12,6.0,6.00,12.0,0.9,68.7,1,4,33.33,2.67,2.67,0,0,
Lawrence McCutcheon,30,DEN,RB,6,0,,0,0,,0,0,,0,,,,,,0.0,,1,4,100.00,-4.00,-4.00,0,0,
Lawrence McCutcheon,30,SEA,RB,8,1,,1,2,50.0,12,0,0.0,0,0.0,12,6.0,6.00,12.0,1.5,68.7,0,0,0.00,6.00,6.00,0,0,
Gifford Nielsen,26,HOU,QB,16,0,,2,4,50.0,12,1,25.0,0,0.0,8,3.0,8.00,6.0,0.8,95.8,0,0,0.00,3.00,8.00,0,0,
Chuck Ramsey,28,NYJ,P,16,0,,1,2,50.0,6,0,0.0,0,0.0,6,3.0,3.00,6.0,0.4,56.2,0,0,0.00,3.00,3.00,0,0,
Don Woods,29,SFO,RB,10,5,,1,2,50.0,6,0,0.0,0,0.0,6,3.0,3.00,6.0,0.6,56.2,1,8,33.33,-0.67,-0.67,0,0,
David Beverly,30,GNB,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Todd Christensen,24,OAK,TE,16,0,,0,0,,0,0,,0,,,,,,0.0,,1,7,100.00,-7.00,-7.00,0,0,
Nolan Cromwell,25,RAM,FS,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-1,AP DPoY-4"
Tony Dorsett,26,DAL,RB,15,15,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Jerry Eckwood,26,TAM,RB,15,8,,0,4,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
