Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Ja'Marr Chase,24.0,CIN,14.0,14.0,138.0,102.0,1413.0,13.9,15.0,61.0,63.0,70.0,7.3,100.9,73.9,10.2,0.0,
Amon-Ra St. Brown,25.0,DET,14.0,14.0,116.0,95.0,1056.0,11.1,10.0,60.0,71.6,66.0,6.8,75.4,81.9,9.1,1.0,
CeeDee Lamb,25.0,DAL,14.0,14.0,144.0,94.0,1089.0,11.6,6.0,50.0,50.0,65.0,6.7,77.8,65.3,7.6,1.0,
Brock Bowers,22.0,LVR,14.0,13.0,124.0,90.0,968.0,10.8,4.0,47.0,59.7,57.0,6.4,69.1,72.6,7.8,0.0,
Malik Nabers,21.0,NYG,12.0,11.0,140.0,90.0,901.0,10.0,4.0,46.0,50.7,39.0,7.5,75.1,64.3,6.4,1.0,
Trey McBride,25.0,ARI,13.0,13.0,116.0,89.0,938.0,10.5,0.0,49.0,64.7,37.0,6.8,72.2,76.7,8.1,0.0,
Jaxon Smith-Njigba,22.0,SEA,14.0,13.0,114.0,85.0,994.0,11.7,5.0,49.0,59.6,46.0,6.1,71.0,74.6,8.7,1.0,
Travis Kelce,35.0,KAN,14.0,14.0,115.0,84.0,709.0,8.4,2.0,41.0,59.1,38.0,6.0,50.6,73.0,6.2,2.0,
Garrett Wilson,24.0,NYJ,14.0,14.0,134.0,84.0,933.0,11.1,6.0,50.0,52.2,42.0,6.0,66.6,62.7,7.0,1.0,
Justin Jefferson,25.0,MIN,14.0,14.0,121.0,82.0,1243.0,15.2,8.0,53.0,56.2,97.0,5.9,88.8,67.8,10.3,1.0,
Drake London,23.0,ATL,14.0,14.0,119.0,78.0,919.0,11.8,7.0,52.0,58.8,31.0,5.6,65.6,65.5,7.7,0.0,
D.J. Moore,27.0,CHI,14.0,14.0,112.0,76.0,758.0,10.0,5.0,31.0,47.3,44.0,5.4,54.1,67.9,6.8,0.0,
Jakobi Meyers,28.0,LVR,12.0,12.0,105.0,71.0,802.0,11.3,2.0,42.0,56.2,43.0,5.9,66.8,67.6,7.6,0.0,
Wan'Dale Robinson,23.0,NYG,14.0,6.0,111.0,71.0,523.0,7.4,2.0,27.0,38.7,25.0,5.1,37.4,64.0,4.7,0.0,
Khalil Shakir,24.0,BUF,13.0,8.0,88.0,71.0,774.0,10.9,4.0,33.0,55.7,52.0,5.5,59.5,80.7,8.8,0.0,
Courtland Sutton,29.0,DEN,15.0,11.0,119.0,71.0,928.0,13.1,6.0,49.0,52.9,37.0,4.7,61.9,59.7,7.8,1.0,
De'Von Achane,23.0,MIA,14.0,13.0,78.0,70.0,509.0,7.3,6.0,26.0,57.7,39.0,5.0,36.4,89.7,6.5,1.0,
Jerry Jeudy,25.0,CLE,14.0,13.0,111.0,70.0,1052.0,15.0,4.0,48.0,56.8,89.0,5.0,75.1,63.1,9.5,0.0,
Jonnu Smith,29.0,MIA,14.0,4.0,89.0,70.0,740.0,10.6,6.0,46.0,65.2,57.0,5.0,52.9,78.7,8.3,1.0,
Ladd McConkey,23.0,LAC,14.0,12.0,94.0,69.0,960.0,13.9,5.0,45.0,58.5,60.0,4.9,68.6,73.4,10.2,2.0,
Alvin Kamara,29.0,NOR,14.0,14.0,89.0,68.0,543.0,8.0,2.0,18.0,36.0,57.0,4.9,38.8,76.4,6.1,1.0,
Terry McLaurin,29.0,WAS,14.0,14.0,92.0,68.0,969.0,14.3,11.0,48.0,62.0,86.0,4.9,69.2,73.9,10.5,1.0,
Tyreek Hill,30.0,MIA,14.0,14.0,104.0,67.0,805.0,12.0,5.0,44.0,49.0,80.0,4.8,57.5,64.4,7.7,0.0,
Davante Adams,32.0,2TM,11.0,11.0,108.0,67.0,860.0,12.8,6.0,39.0,48.1,71.0,6.1,78.2,62.0,8.0,0.0,
Zay Flowers,24.0,BAL,14.0,12.0,101.0,66.0,916.0,13.9,4.0,41.0,53.5,53.0,4.7,65.4,65.3,9.1,0.0,
Brian Thomas,22.0,JAX,14.0,13.0,99.0,64.0,956.0,14.9,8.0,42.0,56.6,85.0,4.6,68.3,64.6,9.7,0.0,
Cooper Kupp,31.0,LAR,10.0,9.0,94.0,63.0,657.0,10.4,6.0,25.0,46.8,69.0,6.3,65.7,67.0,7.0,1.0,
Hunter Henry,30.0,NWE,14.0,14.0,87.0,62.0,635.0,10.2,1.0,36.0,58.6,35.0,4.4,45.4,71.3,7.3,0.0,
Puka Nacua,23.0,LAR,9.0,9.0,83.0,61.0,805.0,13.2,3.0,39.0,65.1,51.0,6.8,89.4,73.5,9.7,0.0,
George Kittle,31.0,SFO,12.0,12.0,74.0,60.0,861.0,14.4,8.0,40.0,70.3,43.0,5.0,71.8,81.1,11.6,0.0,
Jauan Jennings,27.0,SFO,12.0,8.0,87.0,59.0,805.0,13.6,6.0,40.0,55.2,45.0,4.9,67.1,67.8,9.3,0.0,
Cade Otton,25.0,TAM,14.0,14.0,87.0,59.0,600.0,10.2,4.0,31.0,51.7,44.0,4.2,42.9,67.8,6.9,2.0,
D.K. Metcalf,27.0,SEA,12.0,10.0,93.0,57.0,840.0,14.7,3.0,29.0,48.4,71.0,4.8,70.0,61.3,9.0,2.0,
Darnell Mooney,27.0,ATL,14.0,14.0,95.0,57.0,873.0,15.3,5.0,42.0,51.6,49.0,4.1,62.4,60.0,9.2,0.0,
A.J. Brown,27.0,PHI,11.0,11.0,77.0,56.0,946.0,16.9,5.0,46.0,67.5,67.0,5.1,86.0,72.7,12.3,0.0,
Josh Downs,23.0,IND,11.0,7.0,86.0,56.0,626.0,11.2,4.0,32.0,48.8,69.0,5.1,56.9,65.1,7.3,0.0,
David Njoku,28.0,CLE,10.0,10.0,87.0,56.0,439.0,7.8,5.0,20.0,37.9,29.0,5.6,43.9,64.4,5.0,0.0,
DeVonta Smith,26.0,PHI,11.0,11.0,74.0,56.0,662.0,11.8,6.0,33.0,59.5,46.0,5.1,60.2,75.7,8.9,0.0,
Demario Douglas,24.0,NWE,14.0,5.0,73.0,55.0,508.0,9.2,2.0,25.0,49.3,35.0,3.9,36.3,75.3,7.0,1.0,
Elijah Moore,24.0,CLE,14.0,10.0,87.0,55.0,480.0,8.7,1.0,22.0,36.8,44.0,3.9,34.3,63.2,5.5,0.0,
George Pickens,23.0,PIT,12.0,10.0,90.0,55.0,850.0,15.5,3.0,35.0,48.9,44.0,4.6,70.8,61.1,9.4,1.0,
Zach Ertz,34.0,WAS,14.0,14.0,77.0,54.0,526.0,9.7,4.0,30.0,59.7,25.0,3.9,37.6,70.1,6.8,1.0,
Ray-Ray McCloud,28.0,ATL,14.0,11.0,75.0,54.0,588.0,10.9,1.0,25.0,52.0,60.0,3.9,42.0,72.0,7.8,4.0,
Bijan Robinson,22.0,ATL,14.0,14.0,60.0,54.0,411.0,7.6,1.0,19.0,48.3,29.0,3.9,29.4,90.0,6.9,0.0,
Jaylen Waddle,26.0,MIA,14.0,14.0,74.0,54.0,700.0,13.0,2.0,36.0,56.8,63.0,3.9,50.0,73.0,9.5,0.0,
Keenan Allen,32.0,CHI,12.0,12.0,97.0,53.0,553.0,10.4,6.0,32.0,44.3,40.0,4.4,46.1,54.6,5.7,1.0,
Nico Collins,25.0,HOU,9.0,9.0,78.0,53.0,849.0,16.0,6.0,39.0,57.7,67.0,5.9,94.3,67.9,10.9,0.0,
Calvin Ridley,30.0,TEN,14.0,11.0,104.0,53.0,779.0,14.7,3.0,31.0,41.3,63.0,3.8,55.6,51.0,7.5,1.0,
Mike Evans,31.0,TAM,11.0,11.0,79.0,52.0,749.0,14.4,9.0,39.0,62.0,57.0,4.7,68.1,65.8,9.5,0.0,
Michael Pittman Jr.,27.0,IND,13.0,11.0,88.0,52.0,608.0,11.7,2.0,24.0,46.6,33.0,4.0,46.8,59.1,6.9,1.0,
Jordan Addison,22.0,MIN,12.0,12.0,77.0,51.0,771.0,15.1,7.0,33.0,51.9,69.0,4.3,64.3,66.2,10.0,0.0,
