Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Justin Tucker,BAL,26,K,16,0,,,10.0,10.0,9.0,9.0,11.0,10.0,10.0,4.0,40.0,33.0,52.0,82.5%,29.0,29.0,100.0%,74.0,4753.0,63.0,85.1%,64.2
Blair Walsh,MIN,25,K,16,0,,,9.0,9.0,15.0,13.0,7.0,6.0,8.0,6.0,39.0,34.0,54.0,87.2%,37.0,33.0,89.2%,86.0,5651.0,47.0,54.7%,65.7
Robbie Gould,CHI,33,K,16,0,1.0,1.0,8.0,8.0,12.0,10.0,9.0,7.0,9.0,7.0,39.0,33.0,55.0,84.6%,29.0,28.0,96.6%,83.0,5003.0,39.0,47.0%,60.3
Cairo Santos,KAN,24,K,16,0,,,8.0,7.0,10.0,10.0,11.0,9.0,8.0,4.0,37.0,30.0,53.0,81.1%,41.0,39.0,95.1%,90.0,5721.0,40.0,44.4%,63.6
Graham Gano,CAR,28,K,16,0,1.0,1.0,10.0,10.0,5.0,4.0,16.0,13.0,4.0,2.0,36.0,30.0,52.0,83.3%,59.0,56.0,94.9%,102.0,6706.0,69.0,67.6%,65.7
Stephen Gostkowski*+,NWE,31,K,16,0,,,6.0,6.0,11.0,11.0,14.0,12.0,5.0,4.0,36.0,33.0,57.0,91.7%,52.0,52.0,100.0%,99.0,6249.0,69.0,69.7%,63.1
Brandon McManus,DEN,24,K,16,0,,,12.0,12.0,8.0,8.0,8.0,5.0,7.0,5.0,35.0,30.0,57.0,85.7%,36.0,35.0,97.2%,81.0,5046.0,55.0,67.9%,62.3
Josh Brown*,NYG,36,K,16,0,1.0,1.0,6.0,6.0,12.0,12.0,10.0,8.0,3.0,3.0,32.0,30.0,53.0,93.8%,45.0,44.0,97.8%,93.0,5697.0,37.0,39.8%,61.3
Josh Lambo,SDG,25,K,16,0,,,4.0,4.0,7.0,7.0,16.0,11.0,5.0,4.0,32.0,26.0,54.0,81.3%,32.0,28.0,87.5%,75.0,4783.0,41.0,54.7%,63.8
Chris Boswell,PIT,24,K,12,0,1.0,1.0,9.0,9.0,8.0,8.0,12.0,9.0,2.0,2.0,32.0,29.0,51.0,90.6%,27.0,26.0,96.3%,74.0,4680.0,26.0,35.1%,63.2
Dan Bailey*,DAL,27,K,16,0,,,9.0,9.0,10.0,10.0,7.0,6.0,6.0,5.0,32.0,30.0,54.0,93.8%,25.0,25.0,100.0%,73.0,4620.0,49.0,67.1%,63.3
Travis Coons,CLE,23,K,16,0,,,11.0,11.0,10.0,10.0,9.0,7.0,2.0,,32.0,28.0,47.0,87.5%,24.0,22.0,91.7%,70.0,4420.0,27.0,38.6%,63.1
Chandler Catanzaro,ARI,24,K,16,0,1.0,1.0,12.0,12.0,9.0,9.0,7.0,6.0,2.0,,31.0,28.0,47.0,90.3%,58.0,53.0,91.4%,99.0,6445.0,50.0,50.5%,65.1
Stephen Hauschka,SEA,30,K,16,0,,,9.0,9.0,7.0,7.0,9.0,7.0,6.0,6.0,31.0,29.0,54.0,93.5%,44.0,40.0,90.9%,91.0,5869.0,47.0,51.6%,64.5
Jason Myers,JAX,24,K,16,0,,,10.0,9.0,8.0,8.0,8.0,6.0,4.0,3.0,30.0,26.0,58.0,86.7%,39.0,32.0,82.1%,84.0,5208.0,55.0,65.5%,62.0
Greg Zuerlein,STL,28,K,14,0,1.0,1.0,2.0,2.0,10.0,9.0,8.0,5.0,9.0,3.0,30.0,20.0,61.0,66.7%,28.0,26.0,92.9%,64.0,4168.0,38.0,59.4%,65.1
Mike Nugent,CIN,33,K,16,0,,,6.0,6.0,6.0,5.0,13.0,10.0,3.0,2.0,28.0,23.0,52.0,82.1%,49.0,48.0,98.0%,89.0,5786.0,42.0,47.2%,65.0
Dustin Hopkins,WAS,25,K,15,0,,,7.0,7.0,9.0,9.0,8.0,7.0,4.0,2.0,28.0,25.0,54.0,89.3%,40.0,39.0,97.5%,80.0,4967.0,52.0,65.0%,62.1
Mason Crosby,GNB,31,K,16,0,1.0,1.0,7.0,7.0,4.0,4.0,11.0,8.0,5.0,4.0,28.0,24.0,56.0,85.7%,36.0,36.0,100.0%,80.0,5050.0,41.0,51.3%,63.1
Connor Barth,TAM,29,K,12,0,,,9.0,9.0,8.0,8.0,6.0,3.0,5.0,3.0,28.0,23.0,53.0,82.1%,26.0,25.0,96.2%,64.0,4062.0,32.0,50.0%,63.5
Dan Carpenter,BUF,30,K,16,0,,,5.0,5.0,9.0,8.0,8.0,7.0,5.0,3.0,27.0,23.0,52.0,85.2%,40.0,34.0,85.0%,4.0,213.0,,,53.3
Adam Vinatieri,IND,43,K,16,0,,,8.0,7.0,6.0,6.0,8.0,8.0,5.0,4.0,27.0,25.0,55.0,92.6%,35.0,32.0,91.4%,,,,,
Phil Dawson,SFO,40,K,16,0,,,10.0,9.0,6.0,6.0,8.0,6.0,3.0,3.0,27.0,24.0,54.0,88.9%,21.0,20.0,95.2%,6.0,268.0,,,44.7
Sebastian Janikowski,OAK,37,K,16,0,,,7.0,7.0,6.0,5.0,8.0,5.0,5.0,4.0,26.0,21.0,56.0,80.8%,39.0,38.0,97.4%,79.0,4941.0,44.0,55.7%,62.5
Matt Prater,DET,31,K,16,0,,,3.0,3.0,9.0,8.0,6.0,6.0,6.0,5.0,24.0,22.0,59.0,91.7%,39.0,36.0,92.3%,4.0,223.0,,,55.8
Randy Bullock,2TM,26,K,11,0,1.0,1.0,4.0,4.0,6.0,6.0,11.0,8.0,1.0,,23.0,19.0,49.0,82.6%,25.0,22.0,88.0%,56.0,3617.0,30.0,53.6%,64.6
Caleb Sturgis,PHI,26,K,13,0,,,4.0,4.0,10.0,8.0,4.0,4.0,4.0,2.0,22.0,18.0,53.0,81.8%,37.0,35.0,94.6%,68.0,4171.0,39.0,57.4%,61.3
Nick Novak,HOU,34,K,13,0,,,6.0,6.0,6.0,6.0,4.0,4.0,5.0,2.0,21.0,18.0,51.0,85.7%,31.0,29.0,93.5%,62.0,4006.0,23.0,37.1%,64.6
