Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
John Smith*,NWE,31,K,16,0,,,,,,,,,,,,51,51,26,34,,129,8.1
Rolf Benirschke,SDG,25,K,16,0,,,,,,,,,,,,46,48,24,36,,118,7.4
Eddie Murray*+,DET,24,K,16,0,,,,,,,,,,,,35,36,27,42,,116,7.3
Fred Steinfort,DEN,28,K,16,0,,,,,,,,,,,,32,33,26,34,,110,6.9
Tim Mazzetti,ATL,24,K,16,0,,,,,,,,,,,,46,49,19,27,,103,6.4
Frank Corral,RAM,25,K,16,0,,,,,,,,,,,,51,52,16,30,,99,6.2
Chris Bahr,OAK,27,K,16,0,,,,,,,,,,,,41,44,19,37,,98,6.1
Nick Lowery,KAN,24,K,16,0,,,,,,,,,,,,37,37,20,26,,97,6.1
Matt Bahr,PIT,24,K,16,0,,,,,,,,,,,,39,42,19,28,,96,6.0
Tony Franklin,PHI,24,K,16,0,,,,,,,,,,,,48,48,16,31,,96,6.0
Billy Sims*,DET,25,RB,16,16,13,3,,,,,,16,,,,,,,,,96,6.0
Efren Herrera,SEA,29,K,16,0,,,,,,,,,,,,33,33,20,31,,93,5.8
Rafael Septien,DAL,27,K,16,0,,,,,,,,,,,,59,60,11,17,,92,5.8
Don Cockroft,CLE,35,K,16,0,,,,,,,,,,,,39,44,16,26,,87,5.4
Toni Fritsch,HOU,35,K,15,0,,,,,,,,,,,,26,27,19,24,,83,5.5
Rick Danmeier,MIN,28,K,16,0,,,,,,,,,,,,33,38,16,26,,81,5.1
Mark Moseley,WAS,32,K,16,0,,,,,,,,,,,,27,30,18,33,,81,5.1
Steve Mike-Mayer,BAL,33,K,16,0,,,,,,,,,,,,43,46,12,23,,79,4.9
Garo Yepremian,TAM,36,K,16,0,,,,,,,,,,,,31,32,16,23,,79,4.9
Earl Campbell*+,HOU,25,RB,15,15,13,,,,,,,13,,,,,,,,,78,5.2
Curtis Dickey,BAL,24,RB,15,5,11,2,,,,,,13,,,,,,,,,78,5.2
John Jefferson*+,SDG,24,WR,16,16,,13,,,,,,13,,,,,,,,,78,4.9
Pat Leahy,NYJ,29,K,16,0,,,,,,,,,,,,36,36,14,22,,78,4.9
Ray Wersching,SFO,30,K,16,0,,,,,,,,,,,,33,39,15,19,,78,4.9
Nick Mike-Mayer,BUF,30,K,16,0,,,,,,,,,,,,37,39,13,23,,76,4.8
Joe Danelo,NYG,27,K,16,0,,,,,,,,,,,,27,28,16,24,,75,4.7
Bob Thomas,CHI,28,K,16,0,,,,,,,,,,,,35,37,13,18,,74,4.6
Uwe von Schamann,MIA,24,K,16,0,,,,,,,,,,,,32,32,14,23,,74,4.6
Joe Cribbs*,BUF,22,RB,16,16,11,1,,,,,,12,,,,,,,,,72,4.5
Tony Dorsett,DAL,26,RB,15,15,11,,,,,,,11,,,,,,,,,66,4.4
Benny Ricardo,NOR,26,K,14,0,,,,,,,,,,,,31,34,10,17,,61,4.4
Ted Brown,MIN,23,FB,16,16,8,2,,,,,,10,,,,,,,,,60,3.8
Bob Chandler,OAK,31,WR,16,16,,10,,,,,,10,,,,,,,,,60,3.8
Earnest Gray,NYG,23,WR,16,16,,10,,,,,,10,,,,,,,,,60,3.8
Wilbert Montgomery,PHI,26,RB,12,12,8,2,,,,,,10,,,,,,,,,60,5.0
Freddie Solomon,SFO,27,WR,16,13,,8,2,,,,,10,,,,,,,,,60,3.8
Ottis Anderson*,STL,23,RB,16,16,9,,,,,,,9,,,,,,,,,54,3.4
Lynn Cain,ATL,25,RB,16,16,8,1,,,,,,9,,,,,,,,,54,3.4
Don Calhoun,NWE,28,FB,16,16,9,,,,,,,9,,,,,,,,,54,3.4
Harold Carmichael*,PHI,31,WR,16,16,,9,,,,,,9,,,,,,,,,54,3.4
Earl Cooper,SFO,23,FB,16,16,5,4,,,,,,9,,,,,,,,,54,3.4
Junior Miller*,ATL,23,TE,16,14,,9,,,,,,9,,,,,,,,,54,3.4
Elvis Peacock,RAM,24,RB,13,9,7,2,,,,,,9,,,,,,,,,54,4.2
Jim Smith,PIT,25,WR,12,10,,9,,,,,,9,,,,,,,,,54,4.5
Kellen Winslow*+,SDG,23,TE,16,11,,9,,,,,,9,,,,,,,,,54,3.4
Neil O'Donoghue,STL,27,K,10,0,,,,,,,,,,,,18,18,11,15,,51,5.1
Dwight Clark,SFO,23,WR,16,12,,8,,,,,,8,,,,,,,,,48,3.0
Gerry Ellis,GNB,23,FB,15,13,5,3,,,,,,8,,,,,,,,,48,3.2
Vince Evans,CHI,25,QB,13,10,8,,,,,,,8,,,,,,,,,48,3.7
Russ Francis,NWE,27,TE,15,15,,8,,,,,,8,,,,,,,,,48,3.2
Clarence Harmon,WAS,25,FB,16,14,4,4,,,,,,8,,,,,,,,,48,3.0
Tony Hill,DAL,24,WR,16,13,,8,,,,,,8,,,,,,,,,48,3.0
Willie Miller,RAM,33,WR,16,1,,8,,,,,,8,,,,,,,,,48,3.0
Ian Sunter,CIN,28,K,10,0,,,,,,,,,,,,15,15,11,20,,48,4.8
Cliff Branch,OAK,32,WR,16,15,,7,,,,,,7,,,,,,,,,42,2.6
Scott Dierking,NYJ,25,RB,16,13,6,1,,,,,,7,,,,,,,,,42,2.6
Billy Joe DuPree,DAL,30,TE,16,16,,7,,,,,,7,,,,,,,,,42,2.6
Wallace Francis,ATL,29,WR,16,16,,7,,,,,,7,,,,,,,,,42,2.6
Alfred Jackson,ATL,25,WR,16,0,,7,,,,,,7,,,,,,,,,42,2.6
Pete Johnson,CIN,26,FB,12,8,6,1,,,,,,7,,,,,,,,,42,3.5
Nat Moore,MIA,29,WR,16,16,,7,,,,,,7,,,,,,,,,42,2.6
Wayne Morris,STL,26,FB,16,16,6,1,,,,,,7,,,,,,,,,42,2.6
Walter Payton*+,CHI,27,RB,16,16,6,1,,,,,,7,,,,,,,,,42,2.6
Joe Senser,MIN,24,TE,16,0,,7,,,,,,7,,,,,,,,,42,2.6
Ron Springs,DAL,24,FB,15,6,6,1,,,,,,7,,,,,,,,,42,2.8
Lynn Swann,PIT,28,WR,13,11,,7,,,,,,7,,,,,,,,,42,3.2
Don Bass,CIN,24,WR,14,12,,6,,,,,,6,,,,,,,,,36,2.6
Cullen Bryant,RAM,29,FB,16,16,3,3,,,,,,6,,,,,,,,,36,2.3
