Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Cameron Johnston,HOU,29,P,17,0,88,4108,46.7,355,3673,41.7,69,4,4.5%,37,42.0%,0
Michael Dickson,SEA,25,P,17,0,83,3895,46.9,234,3461,41.7,68,10,12.0%,40,48.2%,0
Blake Gillikin,NOR,23,P,17,0,83,3956,47.7,391,3485,42.0,63,4,4.8%,29,34.9%,0
Jordan Berry,MIN,30,P,17,0,78,3624,46.5,339,3225,41.3,64,3,3.8%,26,33.3%,0
Michael Palardy,MIA,29,P,17,0,78,3489,44.7,262,3127,40.1,65,5,6.4%,31,39.7%,0
Riley Dixon,NYG,28,P,17,0,74,3283,44.4,237,2926,39.5,63,6,8.1%,24,32.4%,0
Sam Koch,BAL,39,P,17,0,71,3149,44.4,228,2841,40.0,61,4,5.6%,26,36.6%,0
Pressley Harvin III,PIT,23,P,15,0,70,2982,42.6,261,2661,38.0,64,3,4.3%,25,35.7%,0
Sam Martin,DEN,31,P,17,0,67,3083,46.0,154,2869,42.8,68,3,4.5%,28,41.8%,0
Kevin Huber,CIN,36,P,17,0,66,3064,46.4,235,2709,41.0,61,6,9.1%,22,33.3%,0
Bryan Anger*,DAL,33,P,17,0,65,3143,48.4,163,2900,44.6,63,4,6.2%,24,36.9%,0
Jack Fox,DET,25,P,17,0,65,3198,49.2,308,2750,42.3,70,7,10.8%,17,26.2%,0
AJ Cole III*+,LVR,26,P,17,0,64,3202,50.0,341,2721,42.5,71,7,10.9%,28,43.8%,0
Logan Cooke,JAX,26,P,15,0,64,3026,47.3,173,2833,44.3,68,1,1.6%,28,43.8%,0
Pat O'Donnell,CHI,30,P,17,0,62,2865,46.2,375,2390,38.5,72,5,8.1%,19,30.6%,0
Tress Way,WAS,31,P,16,0,60,2901,48.4,237,2524,42.1,66,7,11.7%,22,36.7%,0
Rigoberto Sanchez,IND,27,P,17,0,59,2627,44.5,267,2340,39.7,79,1,1.7%,24,40.7%,0
Mitch Wishnowsky,SFO,29,P,17,0,57,2566,45.0,156,2310,40.5,67,5,8.8%,21,36.8%,0
Bradley Pinion,TAM,27,P,15,0,56,2378,42.5,162,2176,38.9,65,2,3.6%,23,41.1%,0
Arryn Siposs,PHI,29,P,17,0,55,2416,43.9,225,2131,38.7,68,3,5.5%,17,30.9%,0
Corey Bojorquez,GNB,25,P,17,0,53,2467,46.5,268,2119,40.0,82,4,7.5%,18,34.0%,0
Matt Haack,BUF,27,P,17,0,52,2230,42.9,96,1994,37.6,63,7,13.5%,18,34.6%,1
Johnny Hekker,LAR,31,P,17,0,51,2252,44.2,60,2172,42.6,59,1,2.0%,23,45.1%,0
Andy Lee,ARI,39,P,16,0,51,2501,49.0,265,2136,41.9,62,5,9.8%,12,23.5%,0
Jake Bailey,NWE,24,P,17,0,49,2316,47.3,138,2058,39.6,71,6,12.2%,23,46.9%,3
Dustin Colquitt,2TM,39,P,11,0,48,2134,44.5,197,1877,38.3,66,3,6.3%,13,27.1%,1
Brett Kern,TEN,35,P,14,0,47,2105,44.8,185,1900,40.4,59,1,2.1%,18,38.3%,0
Ty Long,LAC,28,P,17,0,46,2091,45.5,323,1728,36.8,69,2,4.3%,11,23.9%,1
Thomas Morstead,2TM,35,P,14,0,45,2123,47.2,191,1892,42.0,64,2,4.4%,18,40.0%,0
Jamie Gillan,CLE,24,P,12,0,42,1842,43.9,162,1660,39.5,65,1,2.4%,15,35.7%,0
Braden Mann,NYJ,24,P,10,0,41,1875,45.7,151,1704,40.6,63,1,2.4%,14,34.1%,1
Lac Edwards,CAR,29,P,10,0,38,1821,47.9,200,1581,40.5,62,2,5.3%,8,21.1%,1
Tommy Townsend,KAN,25,P,16,0,37,1746,47.2,64,1622,43.8,68,3,8.1%,20,54.1%,0
Joseph Charlton,2TM,24,P,6,0,24,973,40.5,40,913,38.0,57,1,4.2%,8,33.3%,0
Cameron Nizialek,ATL,26,P,4,0,18,817,45.4,61,716,39.8,62,2,11.1%,6,33.3%,0
Ryan Winslow,3TM,27,P,4,0,16,625,39.1,26,599,37.4,46,0,0.0%,3,18.8%,0
Johnny Townsend,2TM,26,P,4,0,13,556,42.8,58,478,36.8,63,1,7.7%,2,15.4%,0
Corliss Waitman,PIT,26,P,2,0,7,365,52.1,47,298,42.6,63,1,14.3%,1,14.3%,0
Matt Ammendola,NYJ,25,K,11,0,6,291,48.5,36,255,42.5,65,0,0.0%,2,33.3%,0
Sterling Hofrichter,TAM,25,P,2,0,6,227,37.8,22,205,34.2,45,0,0.0%,3,50.0%,0
JK Scott,JAX,26,P,1,0,4,159,39.8,0,159,39.8,47,0,0.0%,0,0.0%,0
Robbie Gould,SFO,39,K,13,0,2,90,45.0,0,90,45.0,47,0,0.0%,1,50.0%,0
Younghoe Koo,ATL,27,K,17,0,2,70,35.0,0,70,35.0,45,0,0.0%,1,50.0%,0
Harrison Butker,KAN,26,K,16,0,1,31,31.0,0,31,31.0,31,0,0.0%,1,100.0%,0
Zane Gonzalez,CAR,26,K,12,0,1,40,40.0,0,20,20.0,40,1,100.0%,0,0.0%,0
Tristan Vizcaino,LAC,25,K,6,0,1,32,32.0,6,26,26.0,32,0,0.0%,1,100.0%,0
