Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Chris Johnson,24,TEN,16,16,358,2006,14,80,43.6,91,5.6,125.4,22.4,3,"PB,AP-1,AP OPoY-1"
Thomas Jones,31,NYJ,16,16,331,1402,14,66,42.6,71,4.2,87.6,20.7,2,
Steven Jackson,26,STL,15,15,324,1416,4,59,45.4,58,4.4,94.4,21.6,2,"PB,AP-2"
Adrian Peterson,24,MIN,16,15,314,1383,18,76,44.6,64,4.4,86.4,19.6,7,"PB,AP-1"
Maurice Jones-Drew,24,JAX,16,16,312,1391,15,69,48.1,80,4.5,86.9,19.5,2,PB
Cedric Benson,27,CIN,13,13,301,1251,6,57,41.9,42,4.2,96.2,23.2,1,AP CPoY-4
Ryan Grant,27,GNB,16,16,282,1253,11,64,46.5,62,4.4,78.3,17.6,1,
Matt Forte,24,CHI,16,16,258,929,4,41,41.1,61,3.6,58.1,16.1,6,
Ray Rice,22,BAL,16,15,254,1339,7,53,48.8,59,5.3,83.7,15.9,3,"PB,AP-2"
Knowshon Moreno,22,DEN,16,9,247,947,7,53,48.2,36,3.8,59.2,15.4,4,AP ORoY-3
Rashard Mendenhall,22,PIT,16,12,242,1108,7,50,45.5,60,4.6,69.3,15.1,3,
Ricky Williams,32,MIA,16,7,241,1121,11,55,53.9,68,4.7,70.1,15.1,5,
Fred Jackson,28,BUF,16,11,237,1062,2,44,46.4,43,4.5,66.4,14.8,4,
Frank Gore,26,SFO,14,14,229,1120,10,47,39.3,80,4.9,80.0,16.4,4,PB
Brandon Jacobs,27,NYG,15,15,224,835,5,44,44.2,31,3.7,55.7,14.9,2,
LaDainian Tomlinson,30,SDG,14,14,223,730,12,40,42.2,36,3.3,52.1,15.9,2,
Jonathan Stewart,22,CAR,16,3,221,1133,10,54,48.9,67,5.1,70.8,13.8,3,
Joseph Addai,26,IND,15,15,219,828,10,44,50.7,21,3.8,55.2,14.6,1,
Kevin Smith,23,DET,13,13,217,747,4,41,45.2,31,3.4,57.5,16.7,3,
DeAngelo Williams,26,CAR,13,13,216,1117,7,51,44.0,77,5.2,85.9,16.6,3,PB
Marion Barber III,26,DAL,15,15,214,932,7,60,50.0,35,4.4,62.1,14.3,2,
Cadillac Williams,27,TAM,16,15,211,823,4,43,38.4,35,3.9,51.4,13.2,1,AP CPoY-2
Jerome Harrison,26,CLE,14,7,194,862,5,39,46.4,71,4.4,61.6,13.9,2,
Laurence Maroney,24,NWE,15,5,194,757,9,45,51.5,45,3.9,50.5,12.9,4,
Jamaal Charles,23,KAN,15,10,190,1120,7,54,54.2,76,5.9,74.7,12.7,4,
Michael Turner,27,ATL,11,11,178,871,10,43,48.9,58,4.9,79.2,16.2,4,
Larry Johnson,30,2TM,14,7,178,581,0,28,38.2,27,3.3,41.5,12.7,2,
Larry Johnson,30,KAN,7,7,132,377,0,17,34.8,19,2.9,53.9,18.9,2,
Larry Johnson,30,CIN,7,0,46,204,0,11,47.8,27,4.4,29.1,6.6,0,
Julius Jones,28,SEA,14,14,177,663,2,33,42.9,62,3.7,47.4,12.6,0,
Beanie Wells,21,ARI,16,0,176,793,7,39,51.1,33,4.5,49.6,11.0,4,
Mike Bell,26,NOR,13,3,172,654,5,34,49.4,35,3.8,50.3,13.2,2,
Ahmad Bradshaw,23,NYG,15,1,163,778,7,47,51.5,38,4.8,51.9,10.9,3,
LeSean McCoy,21,PHI,16,4,155,637,4,29,42.6,66,4.1,39.8,9.7,2,
Ronnie Brown,28,MIA,9,9,147,648,8,32,50.3,45,4.4,72.0,16.3,1,
Pierre Thomas,25,NOR,14,6,147,793,6,37,54.4,34,5.4,56.6,10.5,2,
Tim Hightower,23,ARI,16,16,143,598,8,33,39.9,50,4.2,37.4,8.9,5,
Jamal Lewis,30,CLE,9,8,143,500,0,18,37.8,18,3.5,55.6,15.9,0,
Jason Snelling,26,ATL,14,2,142,613,4,39,46.5,31,4.3,43.8,10.1,2,
Steve Slaton,23,HOU,11,10,131,437,3,27,33.6,32,3.3,39.7,11.9,7,
Justin Fargas,29,OAK,12,4,129,491,3,25,38.0,35,3.8,40.9,10.8,1,
Clinton Portis,28,WAS,8,8,124,494,1,20,41.1,78,4.0,61.8,15.5,1,
Michael Bush,25,OAK,16,7,123,589,3,22,45.5,60,4.8,36.8,7.7,2,
Correll Buckhalter,31,DEN,14,7,120,642,1,30,54.2,45,5.4,45.9,8.6,3,
Marshawn Lynch,23,BUF,13,6,120,450,2,18,37.5,47,3.8,34.6,9.2,3,
Felix Jones,22,DAL,14,1,116,685,3,24,45.7,56,5.9,48.9,8.3,3,
Justin Forsett,24,SEA,16,2,114,619,4,29,44.7,35,5.4,38.7,7.1,4,
Derrick Ward,29,TAM,14,1,114,409,1,13,33.3,28,3.6,29.2,8.1,0,
Willis McGahee,28,BAL,16,1,109,544,12,29,52.3,77,5.0,34.0,6.8,1,
Shonn Greene,24,NYJ,14,0,108,540,2,24,45.4,33,5.0,38.6,7.7,3,
Darren McFadden,22,OAK,12,7,104,357,1,13,36.5,28,3.4,29.8,8.7,5,
Ryan Moats,27,HOU,14,2,101,390,4,25,54.5,17,3.9,27.9,7.2,3,
Willie Parker,29,PIT,14,3,98,389,0,19,44.9,34,4.0,27.8,7.0,2,
Chester Taylor,30,MIN,16,0,94,338,1,12,29.8,25,3.6,21.1,5.9,2,
Maurice Morris,30,DET,14,3,93,384,2,14,41.9,64,4.1,27.4,6.6,1,
Darren Sproles,26,SDG,16,2,93,343,3,15,39.8,21,3.7,21.4,5.8,3,
Glen Coffee,22,SFO,14,2,83,226,1,8,27.7,17,2.7,16.1,5.9,0,
Chris Brown,28,HOU,14,4,79,267,3,15,41.8,13,3.4,19.1,5.6,1,
Donald Brown,22,IND,11,1,78,281,3,15,43.6,45,3.6,25.5,7.1,1,
David Garrard,31,JAX,16,16,77,323,3,32,53.2,30,4.2,20.2,4.8,14,PB
Jerious Norwood,26,ATL,10,4,76,252,0,11,39.5,21,3.3,25.2,7.6,1,
Bernard Scott,25,CIN,13,2,74,321,0,15,41.9,61,4.3,24.7,5.7,1,
Sammy Morris,32,NWE,12,5,73,319,2,19,47.9,55,4.4,26.6,6.1,2,
Leon Washington,27,NYJ,7,0,72,331,0,9,33.3,33,4.6,47.3,10.3,1,
Reggie Bush,24,NOR,14,8,70,390,5,19,42.9,55,5.6,27.9,5.0,4,
Leonard Weaver,27,PHI,16,8,70,323,2,16,48.6,41,4.6,20.2,4.4,0,"PB,AP-1"
Rock Cartwright,30,WAS,16,2,64,228,0,12,39.1,34,3.6,14.3,4.0,0,
Tashard Choice,25,DAL,16,0,64,349,3,19,53.1,66,5.5,21.8,4.0,0,
LenDale White,25,TEN,13,0,64,222,2,11,43.8,11,3.5,17.1,4.9,1,
Chris Jennings,24,CLE,9,1,63,220,1,10,39.7,16,3.5,24.4,7.0,0,
Fred Taylor,33,NWE,6,1,63,269,4,13,54.0,19,4.3,44.8,10.5,1,
Kevin Faulk,33,NWE,15,7,62,335,2,18,54.8,29,5.4,22.3,4.1,1,
Quinton Ganther,25,WAS,8,4,62,201,3,12,48.4,13,3.2,25.1,7.8,0,
Brian Westbrook,30,PHI,8,7,61,274,1,12,47.5,25,4.5,34.3,7.6,0,
Aaron Rodgers,26,GNB,16,16,58,316,5,24,51.7,35,5.4,19.8,3.6,10,PB
Ladell Betts,30,WAS,10,2,56,210,2,7,39.3,18,3.8,21.0,5.6,0,
Josh Cribbs,26,CLE,16,12,55,381,1,22,52.7,37,6.9,23.8,3.4,6,"PB,AP-1"
Vince Young,26,TEN,12,10,55,281,2,21,45.5,44,5.1,23.4,4.6,8,"PB,AP CPoY-3"
Arian Foster,23,HOU,6,1,54,257,3,15,53.7,24,4.8,42.8,9.0,1,
Matt Cassel,27,KAN,15,15,50,189,0,6,38.0,13,3.8,12.6,3.3,14,
Matt Schaub,28,HOU,16,16,48,57,0,8,25.0,19,1.2,3.6,3.0,3,PB
Jason Campbell,28,WAS,16,16,46,236,1,17,43.5,21,5.1,14.8,2.9,13,
Edgerrin James,31,SEA,7,0,46,125,0,8,41.3,10,2.7,17.9,6.6,1,
Le'Ron McClain,25,BAL,16,14,46,180,2,22,63.0,20,3.9,11.3,2.9,0,"PB,AP-2"
Ahman Green,32,GNB,8,0,41,160,1,8,39.0,26,3.9,20.0,5.1,0,
Kahlil Bell,23,CHI,7,0,40,220,0,9,52.5,72,5.5,31.4,5.7,0,
Jay Cutler,26,CHI,16,16,40,173,1,14,40.0,30,4.3,10.8,2.5,9,
Ben Roethlisberger,27,PIT,15,15,40,82,2,16,40.0,15,2.1,5.5,2.7,7,
Rashad Jennings,24,JAX,15,0,39,202,1,8,43.6,28,5.2,13.5,2.6,0,
Carson Palmer,30,CIN,16,16,39,93,3,13,41.0,15,2.4,5.8,2.4,6,
Brandon Jackson,24,GNB,12,0,37,111,2,5,32.4,9,3.0,9.3,3.1,1,
Donovan McNabb,33,PHI,14,14,37,140,2,11,32.4,27,3.8,10.0,2.6,10,PB
Lousaka Polite,28,MIA,16,9,37,123,0,20,70.3,13,3.3,7.7,2.3,1,
Mark Sanchez,23,NYJ,15,15,36,106,3,15,58.3,14,2.9,7.1,2.4,10,
Joe Flacco,24,BAL,16,16,35,56,0,9,31.4,10,1.6,3.5,2.2,8,
Lynell Hamilton,24,NOR,9,1,35,125,2,12,54.3,19,3.6,13.9,3.9,0,
Mewelde Moore,27,PIT,16,0,35,118,0,7,37.1,15,3.4,7.4,2.2,0,
Tony Romo,29,DAL,16,16,35,105,1,5,25.7,17,3.0,6.6,2.2,6,PB
Marcus Mason,25,WAS,10,0,32,127,0,4,40.6,20,4.0,12.7,3.2,0,
Ryan Fitzpatrick,27,BUF,10,8,31,141,1,12,54.8,31,4.5,14.1,3.1,3,
Josh Freeman,21,TAM,10,9,30,161,0,11,56.7,20,5.4,16.1,3.0,10,
Matt Ryan,24,ATL,14,14,30,49,1,9,43.3,7,1.6,3.5,2.1,5,
Tom Brady,32,NWE,16,16,29,44,1,9,37.9,9,1.5,2.8,1.8,4,"PB,AP CPoY-1"
Aaron Brown,24,DET,15,2,27,131,0,7,48.1,19,4.9,8.7,1.8,0,
Kenneth Darby,27,STL,16,1,27,152,0,5,40.7,51,5.6,9.5,1.7,0,
Brian Leonard,25,CIN,14,1,27,84,0,7,37.0,11,3.1,6.0,1.9,1,
BenJarvus Green-Ellis,24,NWE,12,0,26,114,0,6,57.7,29,4.4,9.5,2.2,0,
Mike Hart,23,IND,9,0,26,70,1,4,50.0,15,2.7,7.8,2.9,0,
Matt Hasselbeck,34,SEA,14,14,26,119,0,5,38.5,23,4.6,8.5,1.9,11,
Philip Rivers,28,SDG,16,16,26,50,1,5,23.1,15,1.9,3.1,1.6,6,"PB,AP MVP-3,AP OPoY-4"
LaMont Jordan,31,DEN,9,0,25,86,0,4,40.0,13,3.4,9.6,2.8,0,
Mike Tolbert,24,SDG,16,3,25,148,1,10,64.0,32,5.9,9.3,1.6,1,
Kyle Orton,27,DEN,16,15,24,71,0,7,29.2,13,3.0,4.4,1.5,4,
Alex Smith,25,SFO,11,10,24,51,0,6,25.0,11,2.1,4.6,2.2,3,
