Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
DeSean Jackson,PHI,22,WR,16,15,50,440,1,68,8.8,1,12,0,12,12.0,1460
Johnnie Lee Higgins,OAK,25,WR,16,3,44,570,3,93,13.0,36,842,0,69,23.4,1809
Mark Jones,CAR,28,WR,16,0,39,443,0,55,11.4,40,958,0,59,24.0,1433
Antwaan Randle El,WAS,29,WR,16,16,39,254,0,36,6.5,,,0,,,849
Will Blackmon,GNB,24,DB,16,1,36,398,2,76,11.1,55,1157,0,45,21.0,1555
Santonio Holmes,PIT,24,WR,15,15,34,226,0,35,6.6,,,0,,,1056
Steve Breaston,ARI,25,WR,16,9,33,237,0,25,7.2,33,667,0,38,20.2,1918
Chris Carr,TEN,25,DB,16,2,32,323,0,44,10.1,35,984,0,52,28.1,1307
Devin Hester,CHI,26,WR,15,8,32,198,0,25,6.2,31,679,0,51,21.9,1603
Jacoby Jones,HOU,24,WR,16,0,32,386,2,73,12.1,13,280,0,30,21.5,742
Leon Washington*+,NYJ,26,RB,16,1,29,303,0,37,10.4,48,1231,1,94,25.6,2332
Josh Cribbs,CLE,25,WR,15,2,28,228,0,32,8.1,44,1110,1,92,25.2,1523
Justin Forsett,2TM,23,RB,14,0,27,263,0,29,9.7,18,422,0,32,23.4,685
Domenik Hixon,NYG,24,WR,16,7,24,242,0,50,10.1,3,180,0,83,60.0,1044
Wes Welker*,NWE,27,WR,16,14,24,237,0,44,9.9,1,26,0,26,26.0,1454
Adam Jennings,2TM,26,WR,14,0,24,151,0,37,6.3,,,0,,,151
Clifton Smith*,TAM,23,RB,9,0,23,324,1,70,14.1,36,992,1,97,27.6,1380
Yamon Figurs,BAL,25,WR,12,0,23,138,0,35,6.0,29,608,0,39,21.0,789
Darren Sproles,SDG,25,RB,16,0,22,249,0,43,11.3,53,1376,1,103,26.0,2295
