Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Austin Collie,24.0,IND,16.0,5.0,89.0,60.0,676.0,11.3,7.0,37.0,58.4,39.0,3.8,42.3,67.4,7.6,0.0,
Percy Harvin,21.0,MIN,15.0,8.0,91.0,60.0,790.0,13.2,6.0,43.0,53.8,51.0,4.0,52.7,65.9,8.7,1.0,"PB,AP ORoY-1"
Greg Olsen,24.0,CHI,16.0,15.0,108.0,60.0,612.0,10.2,8.0,33.0,42.6,41.0,3.8,38.3,55.6,5.7,0.0,
Jerricho Cotchery,27.0,NYJ,14.0,12.0,96.0,57.0,821.0,14.4,3.0,44.0,56.3,53.0,4.1,58.6,59.4,8.6,1.0,
Matt Forte,24.0,CHI,16.0,16.0,72.0,57.0,471.0,8.3,0.0,17.0,37.5,37.0,3.6,29.4,79.2,6.5,6.0,
Devin Hester,27.0,CHI,13.0,12.0,91.0,57.0,757.0,13.3,3.0,34.0,51.6,48.0,4.4,58.2,62.6,8.3,3.0,
Mario Manningham,23.0,NYG,14.0,10.0,99.0,57.0,822.0,14.4,5.0,40.0,50.5,49.0,4.1,58.7,57.6,8.3,1.0,
Jeremy Maclin,21.0,PHI,15.0,13.0,91.0,56.0,773.0,13.8,4.0,31.0,48.4,56.0,3.7,51.5,61.5,8.5,0.0,AP ORoY-3
Visanthe Shiancoe,29.0,MIN,16.0,13.0,79.0,56.0,566.0,10.1,11.0,38.0,65.8,27.0,3.5,35.4,70.9,7.2,0.0,
Bernard Berrian,29.0,MIN,16.0,15.0,92.0,55.0,618.0,11.2,4.0,35.0,50.0,40.0,3.4,38.6,59.8,6.7,0.0,
Steve Breaston,26.0,ARI,15.0,6.0,82.0,55.0,712.0,12.9,3.0,33.0,56.1,45.0,3.7,47.5,67.1,8.7,2.0,
Jermichael Finley,22.0,GNB,13.0,10.0,72.0,55.0,676.0,12.3,5.0,30.0,63.9,62.0,4.2,52.0,76.4,9.4,1.0,
Terrell Owens,36.0,BUF,16.0,16.0,109.0,55.0,829.0,15.1,5.0,35.0,42.2,98.0,3.4,51.8,50.5,7.6,1.0,
Earl Bennett,22.0,CHI,16.0,15.0,88.0,54.0,717.0,13.3,2.0,32.0,50.0,71.0,3.4,44.8,61.4,8.1,2.0,
Jabar Gaffney,29.0,DEN,16.0,7.0,87.0,54.0,732.0,13.6,2.0,33.0,43.7,49.0,3.4,45.8,62.1,8.4,0.0,
