Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Tom Brady,30,NWE,QB,16,16,16-0-0,398,578,68.9,4806,50,8.7,8,1.4,240,57.8,69,8.3,9.42,12.1,300.4,117.2,87.0,21,128,3.51,7.81,8.88,4,4,"PB,AP-1,AP MVP-1,AP OPoY-1"
Drew Brees,28,NOR,QB,16,16,7-9-0,440,652,67.5,4423,28,4.3,18,2.8,233,53.0,58,6.8,6.40,10.1,276.4,89.4,64.6,16,109,2.40,6.46,6.08,1,1,
Tony Romo,27,DAL,QB,16,16,13-3-0,335,520,64.4,4211,36,6.9,19,3.7,216,52.2,59,8.1,7.84,12.6,263.2,97.4,76.9,24,176,4.41,7.42,7.17,2,2,PB
Brett Favre,38,GNB,QB,16,16,13-3-0,356,535,66.5,4155,28,5.2,15,2.8,198,50.9,82,7.8,7.55,11.7,259.7,95.7,70.8,15,93,2.73,7.39,7.18,2,4,"PB,AP-2,AP MVP-2,AP OPoY-3,AP CPoY-4"
Carson Palmer,28,CIN,QB,16,16,7-9-0,373,575,64.9,4131,26,4.5,20,3.5,213,51.0,70,7.2,6.52,11.1,258.2,86.7,62.5,17,119,2.87,6.78,6.14,2,2,
Jon Kitna,35,DET,QB,16,16,7-9-0,355,561,63.3,4068,18,3.2,20,3.6,198,47.4,91,7.3,6.29,11.5,254.3,80.9,49.0,51,320,8.33,6.12,5.24,2,3,
Peyton Manning,31,IND,QB,16,16,13-3-0,337,515,65.4,4040,31,6.0,14,2.7,207,53.9,73,7.8,7.83,12.0,252.5,98.0,76.9,21,124,3.92,7.31,7.29,1,2,PB
Matt Hasselbeck,32,SEA,QB,16,16,10-6-0,352,562,62.6,3966,28,5.0,12,2.1,204,49.2,65,7.1,7.09,11.3,247.9,91.4,54.4,33,204,5.55,6.32,6.36,2,2,PB
Derek Anderson,24,CLE,QB,16,15,10-5-0,298,527,56.5,3787,29,5.5,19,3.6,185,46.4,78,7.2,6.66,12.7,236.7,82.5,62.6,14,109,2.59,6.80,6.29,2,2,"PB,AP CPoY-7"
Jay Cutler,24,DEN,QB,16,16,7-9-0,297,467,63.6,3497,20,4.3,14,3.0,174,47.2,68,7.5,7.00,11.8,218.6,88.1,64.3,27,153,5.47,6.77,6.30,2,3,
Kurt Warner,36,ARI,QB,14,11,5-6-0,281,451,62.3,3417,27,6.0,17,3.8,169,48.2,62,7.6,7.08,12.2,244.1,89.8,67.9,20,140,4.25,6.96,6.48,1,1,
Eli Manning,26,NYG,QB,16,16,10-6-0,297,529,56.1,3336,23,4.3,20,3.8,167,42.8,60,6.3,5.47,11.2,208.5,73.9,52.0,27,217,4.86,5.61,4.82,3,3,
Donovan McNabb,31,PHI,QB,14,14,8-6-0,291,473,61.5,3324,19,4.0,7,1.5,154,45.3,75,7.0,7.16,11.4,237.4,89.9,54.0,44,227,8.51,5.99,6.12,1,1,
Ben Roethlisberger,25,PIT,QB,15,15,10-5-0,264,404,65.3,3154,32,7.9,11,2.7,167,47.7,83,7.8,8.17,11.9,210.3,104.1,70.5,47,347,10.42,6.22,6.55,1,2,"PB,AP CPoY-3"
Philip Rivers,26,SDG,QB,16,16,11-5-0,277,460,60.2,3152,21,4.6,15,3.3,157,44.2,49,6.9,6.30,11.4,197.0,82.4,54.5,22,163,4.56,6.20,5.67,1,1,
Jason Campbell,25,WAS,QB,13,13,6-7-0,250,417,60.0,2700,12,2.9,11,2.6,148,46.3,54,6.5,5.86,10.8,207.7,77.6,59.8,21,110,4.79,5.91,5.33,1,2,
Vince Young,24,TEN,QB,15,15,9-6-0,238,382,62.3,2546,9,2.4,17,4.5,143,46.7,73,6.7,5.13,10.7,169.7,71.1,46.9,25,157,6.14,5.87,4.43,0,0,
David Garrard,29,JAX,QB,12,12,9-3-0,208,325,64.0,2509,18,5.5,3,0.9,127,48.8,59,7.7,8.41,12.1,209.1,102.2,80.9,21,99,6.07,6.97,7.62,1,2,
Jeff Garcia,37,TAM,QB,13,13,8-5-0,209,327,63.9,2440,13,4.0,4,1.2,111,47.7,69,7.5,7.71,11.7,187.7,94.6,59.4,19,104,5.49,6.75,6.98,0,1,PB
Marc Bulger,30,STL,QB,12,12,2-10-0,221,378,58.5,2392,11,2.9,15,4.0,130,41.4,40,6.3,5.12,10.8,199.3,70.3,42.4,37,269,8.92,5.12,4.02,0,0,
Damon Huard,34,KAN,QB,11,10,4-6-0,206,332,62.0,2257,11,3.3,13,3.9,113,41.3,58,6.8,5.70,11.0,205.2,76.8,38.5,36,234,9.78,5.50,4.51,2,3,
Matt Schaub,26,HOU,QB,11,11,4-7-0,192,289,66.4,2241,9,3.1,9,3.1,97,50.2,77,7.8,6.98,11.7,203.7,87.2,62.6,16,126,5.25,6.93,6.20,1,1,
Joey Harrington,29,ATL,QB,12,10,3-7-0,215,348,61.8,2215,7,2.0,8,2.3,101,41.1,69,6.4,5.73,10.3,184.6,77.2,43.3,32,192,8.42,5.32,4.74,0,1,
