Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Ben Roethlisberger,36.0,PIT,QB,16.0,16.0,9-6-1,452.0,675.0,67.0,5129.0,34.0,5.0,16.0,2.4,248.0,50.9,97.0,7.6,7.54,11.3,320.6,96.5,69.6,24.0,166.0,3.43,7.1,7.04,2.0,3.0,
Patrick Mahomes,23.0,KAN,QB,16.0,16.0,12-4-0,383.0,580.0,66.0,5097.0,50.0,8.6,12.0,2.1,237.0,54.1,89.0,8.8,9.58,13.3,318.6,113.8,80.3,26.0,171.0,4.29,8.13,8.89,2.0,2.0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Matt Ryan,33.0,ATL,QB,16.0,16.0,7-9-0,422.0,608.0,69.4,4924.0,35.0,5.8,7.0,1.2,236.0,51.7,75.0,8.1,8.73,11.7,307.8,108.1,65.7,42.0,296.0,6.46,7.12,7.71,1.0,1.0,
Jared Goff,24.0,LAR,QB,16.0,16.0,13-3-0,364.0,561.0,64.9,4688.0,32.0,5.7,12.0,2.1,233.0,50.7,70.0,8.4,8.53,12.9,293.0,101.1,63.6,33.0,223.0,5.56,7.52,7.69,4.0,4.0,PB
Andrew Luck,29.0,IND,QB,16.0,16.0,10-6-0,430.0,639.0,67.3,4593.0,39.0,6.1,15.0,2.3,236.0,53.0,68.0,7.2,7.35,10.7,287.1,98.7,69.6,18.0,134.0,2.74,6.79,6.95,3.0,3.0,"PB,AP CPoY-1"
Aaron Rodgers,35.0,GNB,QB,16.0,16.0,6-9-1,372.0,597.0,62.3,4442.0,25.0,4.2,2.0,0.3,200.0,45.8,75.0,7.4,8.13,11.9,277.6,97.6,58.0,49.0,353.0,7.59,6.33,6.96,3.0,3.0,PB
Tom Brady,41.0,NWE,QB,16.0,16.0,11-5-0,375.0,570.0,65.8,4355.0,29.0,5.1,11.0,1.9,205.0,51.8,63.0,7.6,7.79,11.6,272.2,97.7,68.4,21.0,147.0,3.55,7.12,7.26,1.0,2.0,PB
Philip Rivers,37.0,LAC,QB,16.0,16.0,12-4-0,347.0,508.0,68.3,4308.0,32.0,6.3,12.0,2.4,211.0,52.0,75.0,8.5,8.68,12.4,269.3,105.5,67.8,32.0,204.0,5.93,7.6,7.79,3.0,3.0,PB
Eli Manning,37.0,NYG,QB,16.0,16.0,5-11-0,380.0,576.0,66.0,4299.0,21.0,3.6,11.0,1.9,205.0,43.0,58.0,7.5,7.33,11.3,268.7,92.4,49.1,47.0,358.0,7.54,6.33,6.21,1.0,2.0,
Kirk Cousins,30.0,MIN,QB,16.0,16.0,8-7-1,425.0,606.0,70.1,4298.0,30.0,5.0,10.0,1.7,218.0,49.4,75.0,7.1,7.34,10.1,268.6,99.7,59.5,40.0,262.0,6.19,6.25,6.48,1.0,0.0,
Deshaun Watson,23.0,HOU,QB,16.0,16.0,11-5-0,345.0,505.0,68.3,4165.0,26.0,5.1,9.0,1.8,202.0,46.4,73.0,8.2,8.48,12.1,260.3,103.1,61.8,62.0,384.0,10.93,6.67,6.87,5.0,5.0,PB
Derek Carr,27.0,OAK,QB,16.0,16.0,4-12-0,381.0,553.0,68.9,4049.0,19.0,3.4,10.0,1.8,197.0,48.5,66.0,7.3,7.2,10.6,253.1,93.9,46.5,51.0,299.0,8.44,6.21,6.09,3.0,3.0,
Drew Brees,39.0,NOR,QB,15.0,15.0,13-2-0,364.0,489.0,74.4,3992.0,32.0,6.5,5.0,1.0,197.0,57.3,72.0,8.2,9.01,11.0,266.1,115.7,79.2,17.0,121.0,3.36,7.65,8.47,6.0,7.0,"PB,AP-2,AP MVP-2,AP OPoY-2"
Case Keenum,30.0,DEN,QB,16.0,16.0,6-10-0,365.0,586.0,62.3,3890.0,18.0,3.1,15.0,2.6,179.0,44.5,64.0,6.6,6.1,10.7,243.1,81.2,44.5,34.0,235.0,5.48,5.9,5.39,3.0,4.0,
Dak Prescott,25.0,DAL,QB,16.0,16.0,10-6-0,356.0,526.0,67.7,3885.0,22.0,4.2,8.0,1.5,184.0,45.2,90.0,7.4,7.54,10.9,242.8,96.9,55.2,56.0,347.0,9.62,6.08,6.22,3.0,5.0,PB
Matthew Stafford,30.0,DET,QB,16.0,16.0,6-10-0,367.0,555.0,66.1,3777.0,21.0,3.8,11.0,2.0,197.0,45.7,67.0,6.8,6.67,10.3,236.1,89.9,51.3,40.0,255.0,6.72,5.92,5.79,0.0,1.0,
Baker Mayfield,23.0,CLE,QB,14.0,13.0,6-7-0,310.0,486.0,63.8,3725.0,27.0,5.6,14.0,2.9,171.0,46.0,71.0,7.7,7.48,12.0,266.1,93.7,51.2,25.0,173.0,4.89,6.95,6.77,3.0,4.0,AP ORoY-2
Russell Wilson,30.0,SEA,QB,16.0,16.0,10-6-0,280.0,427.0,65.6,3448.0,35.0,8.2,7.0,1.6,156.0,44.1,66.0,8.1,8.98,12.3,215.5,110.9,63.3,51.0,355.0,10.67,6.47,7.28,2.0,4.0,PB
Cam Newton,29.0,CAR,QB,14.0,14.0,6-8-0,320.0,471.0,67.9,3395.0,24.0,5.1,13.0,2.8,180.0,49.8,82.0,7.2,6.99,10.6,242.5,94.2,53.2,29.0,213.0,5.8,6.36,6.15,2.0,2.0,
Mitchell Trubisky,24.0,CHI,QB,14.0,14.0,11-3-0,289.0,434.0,66.6,3223.0,24.0,5.5,12.0,2.8,151.0,48.9,70.0,7.4,7.29,11.2,230.2,95.4,71.0,24.0,143.0,5.24,6.72,6.59,1.0,2.0,PB
Carson Wentz,26.0,PHI,QB,11.0,11.0,5-6-0,279.0,401.0,69.6,3074.0,21.0,5.2,7.0,1.7,159.0,50.7,58.0,7.7,7.93,11.0,279.5,102.2,62.0,31.0,202.0,7.18,6.65,6.89,2.0,2.0,
Jameis Winston,24.0,TAM,QB,11.0,9.0,3-6-0,244.0,378.0,64.6,2992.0,19.0,5.0,14.0,3.7,152.0,50.6,64.0,7.9,7.25,12.3,272.0,90.2,66.2,27.0,157.0,6.67,7.0,6.38,0.0,1.0,
Sam Darnold,21.0,NYJ,QB,13.0,13.0,4-9-0,239.0,414.0,57.7,2865.0,17.0,4.1,15.0,3.6,130.0,43.2,76.0,6.9,6.11,12.0,220.4,77.6,45.9,30.0,204.0,6.76,5.99,5.24,1.0,1.0,
Blake Bortles,26.0,JAX,QB,13.0,12.0,3-9-0,243.0,403.0,60.3,2718.0,13.0,3.2,11.0,2.7,126.0,44.7,80.0,6.7,6.16,11.2,209.1,79.8,43.4,31.0,173.0,7.14,5.86,5.32,0.0,1.0,
Andy Dalton,31.0,CIN,QB,11.0,11.0,5-6-0,226.0,365.0,61.9,2566.0,21.0,5.8,11.0,3.0,132.0,48.4,49.0,7.0,6.82,11.4,233.3,89.6,59.4,21.0,157.0,5.44,6.24,6.05,3.0,4.0,
Marcus Mariota,25.0,TEN,QB,14.0,13.0,7-6-0,228.0,331.0,68.9,2528.0,11.0,3.3,8.0,2.4,121.0,46.4,61.0,7.6,7.21,11.1,180.6,92.3,53.2,42.0,243.0,11.26,6.13,5.75,2.0,3.0,
Joe Flacco,33.0,BAL,QB,9.0,9.0,4-5-0,232.0,379.0,61.2,2465.0,12.0,3.2,6.0,1.6,119.0,44.8,71.0,6.5,6.42,10.6,273.9,84.2,54.8,16.0,79.0,4.05,6.04,5.96,0.0,0.0,
Ryan Fitzpatrick,36.0,TAM,QB,8.0,7.0,2-5-0,164.0,246.0,66.7,2366.0,17.0,6.9,12.0,4.9,113.0,51.9,75.0,9.6,8.8,14.4,295.8,100.4,61.0,14.0,76.0,5.38,8.81,8.04,0.0,0.0,
Josh Rosen,21.0,ARI,QB,14.0,13.0,3-10-0,217.0,393.0,55.2,2278.0,11.0,2.8,14.0,3.6,112.0,36.3,75.0,5.8,4.75,10.5,162.7,66.7,24.1,45.0,320.0,10.27,4.47,3.53,1.0,2.0,
Nick Mullens,23.0,SFO,QB,8.0,8.0,3-5-0,176.0,274.0,64.2,2277.0,13.0,4.7,10.0,3.6,106.0,47.4,85.0,8.3,7.62,12.9,284.6,90.8,51.7,17.0,127.0,5.84,7.39,6.74,0.0,1.0,
Alex Smith,34.0,WAS,QB,10.0,10.0,6-4-0,205.0,328.0,62.5,2180.0,10.0,3.0,5.0,1.5,106.0,43.7,52.0,6.6,6.57,10.6,218.0,85.7,46.9,22.0,121.0,6.29,5.88,5.81,0.0,0.0,
Josh Allen,22.0,BUF,QB,12.0,11.0,5-6-0,169.0,320.0,52.8,2074.0,10.0,3.1,12.0,3.8,89.0,37.1,75.0,6.5,5.42,12.3,172.8,67.9,49.8,28.0,213.0,8.05,5.35,4.37,2.0,3.0,
