Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Cris Collinsworth,23,CIN,WR,9,9,0,0,0,0,,1,0,0,0,0.0,,0,"PB,AP-2"
Neal Colzie,28,TAM,SS,9,9,3,64,0,51,,0,2,0,0,2.0,,0,"AP-2,AP DPoY-8"
Jim Cooper,27,DAL,RT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Tom Cousineau,25,CLE,LILB,9,9,1,6,0,6,,0,0,0,0,1.0,,0,AP DRoY-7
Nolan Cromwell,27,RAM,FS,9,9,3,33,0,21,,0,1,6,0,0.0,,0,"PB,AP-1"
George Cumby,26,GNB,RILB,9,9,1,4,0,4,,0,1,0,0,0.0,,0,
Bill Currier,27,NYG,SS,9,9,1,0,0,0,,0,0,0,0,2.0,,0,
Buddy Curry,24,ATL,RILB,9,9,1,0,0,0,,0,0,0,0,1.0,,0,
Isaac Curtis,32,CIN,WR,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Bruce Davis,26,RAI,LT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Mike Davis,26,RAI,SS,9,9,1,56,1,56,,0,1,0,0,2.5,,0,
Mike Dawson,29,STL,LDT,9,9,1,0,0,0,,0,0,0,0,3.5,,0,
Joe Devlin,28,BUF,RT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Lynn Dickey,33,GNB,QB,9,9,0,0,0,0,,5,2,-1,0,0.0,,0,
Dan Dierdorf,33,STL,C,9,9,0,0,0,0,,1,0,-13,0,0.0,,0,
Hanford Dixon,24,CLE,RCB,9,9,4,22,0,22,,1,0,0,0,1.0,,0,
Ray Donaldson,24,BAL,C,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Tony Dorsett,28,DAL,RB,9,9,0,0,0,0,,6,1,0,0,0.0,,0,"PB,AP-2"
Reggie Doss,26,RAM,RDE,9,9,0,0,0,0,,0,1,0,0,4.0,,0,
Mike Douglass,27,GNB,ROLB,9,9,2,55,0,30,,0,1,6,0,3.0,,0,
Michael Downs,23,DAL,FS,9,9,1,22,0,22,,0,3,87,1,1.0,,0,
A.J. Duhe,27,MIA,LILB,9,9,1,0,0,0,,0,0,0,0,2.0,,0,
Gary Dunn,29,PIT,NT,9,9,0,0,0,0,,0,0,0,0,6.0,,0,
John Dutton,31,DAL,LDT,9,9,0,0,0,0,,0,0,0,0,2.0,,0,
Eddie Edwards,28,CIN,LDE,9,9,0,0,0,0,,0,1,0,0,6.0,,0,
Herm Edwards,28,PHI,RCB,9,9,5,3,0,3,,0,0,0,0,0.0,,0,
Doug English,29,DET,RDT,9,9,0,0,0,0,,0,1,0,0,4.5,,0,"PB,AP-1"
Gary Fencik,28,CHI,SS,9,9,2,2,0,2,,0,0,0,0,0.0,,0,
Joe Ferguson,32,BUF,QB,9,9,0,0,0,0,,5,2,-10,1,0.0,,0,
Dan Fouts,31,SDG,QB,9,9,0,0,0,0,,2,3,0,0,0.0,,0,"PB,AP-1,AP MVP-2,AP OPoY-1"
Amos Fowler,26,DET,C,9,9,0,0,0,0,,0,2,-4,0,0.0,,0,
Andra Franklin,23,MIA,FB,9,9,0,0,0,0,,3,0,0,0,0.0,,0,PB
Steve Freeman,29,BUF,SS,9,9,3,27,0,14,,0,1,0,0,1.0,,0,
Russell Gary,23,NOR,SS,9,9,2,25,0,19,,0,2,0,0,3.0,,0,
Mark Gastineau,26,NYJ,LDE,9,9,0,0,0,0,,0,0,0,0,6.0,,0,"PB,AP-1,AP DPoY-5"
Jimmie Giles,28,TAM,TE,9,9,0,0,0,0,,2,1,0,0,0.0,,0,PB
Tom Glassic,28,DEN,LG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Bob Glazebrook,26,ATL,SS,9,9,1,10,0,10,,0,2,91,1,0.0,,0,
John Goodman,24,PIT,LDE,9,9,0,0,0,0,,0,0,0,0,1.5,,0,
Larry Gordon,28,MIA,ROLB,9,9,1,15,0,15,,0,0,0,0,3.0,,0,
Randy Gradishar,30,DEN,RILB,9,9,0,0,0,0,,0,1,0,0,2.0,,0,PB
Johnnie Gray,29,GNB,SS,9,9,1,21,0,21,,0,0,0,0,0.0,,0,
Gary Green,27,KAN,LCB,9,9,2,42,1,42,,0,1,18,0,0.0,,0,PB
Hugh Green,23,TAM,ROLB,9,9,1,31,0,31,,0,0,0,0,2.3,,0,"PB,AP-2"
Jacob Green,25,SEA,LDE,9,9,0,0,0,0,,0,0,0,0,3.0,,0,
Roy Green,25,STL,WR,9,9,0,0,0,0,,1,1,2,0,0.0,,0,
Curtis Greer,25,STL,RDE,9,9,0,0,0,0,,0,3,0,0,7.5,,0,
Russ Grimm,23,WAS,LG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Elois Grooms,29,STL,LDE,9,9,0,0,0,0,,0,1,0,0,4.5,,0,
Jeff Groth,25,NOR,WR,9,9,0,0,0,0,,1,1,0,0,0.0,,0,
Mike Guman,24,RAM,FB,9,9,0,0,0,0,,3,0,0,0,0.0,,0,
Carl Hairston,30,PHI,RDE,9,9,0,0,0,0,,0,2,24,0,4.0,,0,
Alvin Hall,24,DET,FS,9,9,1,2,0,2,,1,1,0,0,0.0,,0,
Dan Hampton,25,CHI,RDT,9,9,0,0,0,0,,0,0,0,0,9.0,,0,"PB,AP-2"
Tom Hannon,27,MIN,SS,9,9,0,0,0,0,,0,2,0,0,0.0,,0,
Dennis Harrah,29,RAM,RG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Bo Harris,29,CIN,LOLB,9,9,1,62,1,62,,0,0,0,0,2.0,,0,
Franco Harris,32,PIT,FB,9,9,0,0,0,0,,1,0,-13,0,0.0,,0,
John Harris,26,SEA,FS,9,9,4,33,0,18,,0,0,0,0,0.0,,0,
Marshall Harris,27,CLE,LDE,9,9,0,0,0,0,,0,1,0,0,1.5,,0,
Dennis Harrison,26,PHI,LDE,9,9,0,0,0,0,,0,1,0,0,10.5,,0,PB
Mike Hartenstine,29,CHI,LDE,9,9,0,0,0,0,,0,0,0,0,3.0,,0,
Maurice Harvey,26,GNB,FS,9,9,2,32,0,17,,0,3,25,1,1.0,,0,
Derrick Hatchett,24,BAL,RCB,9,9,1,0,0,0,,0,0,0,0,0.0,,0,
Andy Hawkins,24,TAM,LOLB,9,9,0,0,0,0,,0,2,0,0,2.3,,0,
Lester Hayes,27,RAI,LCB,9,9,2,0,0,0,,0,0,0,0,0.0,,0,PB
Mark Haynes,24,NYG,LCB,9,9,1,0,0,0,,0,0,0,0,0.0,,0,"PB,AP-1"
Mike Haynes,29,NWE,LCB,9,9,4,26,0,26,,0,0,0,0,0.0,,0,"PB,AP-2"
Mike Hegman,29,DAL,LLB,9,9,0,0,0,0,,0,0,0,0,1.5,,0,
Ted Hendricks,35,RAI,LOLB,9,9,0,0,0,0,,0,1,6,0,7.0,,0,"PB,AP-1,AP DPoY-2"
Dwight Hicks,26,SFO,FS,9,9,3,5,0,3,,0,0,0,0,0.0,,0,PB
Kent Hill,25,RAM,LG,9,9,0,0,0,0,,0,2,0,0,0.0,,0,PB
Jerry Holmes,25,NYJ,RCB,9,9,3,2,0,2,,0,0,0,0,0.0,,0,
Jim Hough,26,MIN,LG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Kevin House,25,TAM,WR,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Tom Howard,28,KAN,LOLB,9,9,2,10,0,5,,0,1,0,0,3.0,,0,
Daryl Hunt,26,HOU,RILB,9,9,0,0,0,0,,0,0,0,0,1.0,,0,
Eddie Lee Ivery,25,GNB,RB,9,9,0,0,0,0,,2,0,0,0,0.0,,0,
Bobby Jackson,26,NYJ,LCB,9,9,5,84,1,77,,0,2,80,1,0.0,,0,
Charles Jackson,27,KAN,ROLB,9,9,0,0,0,0,,0,2,4,0,1.0,,0,
Rickey Jackson,24,NOR,LOLB,9,9,1,32,0,32,1,0,2,0,0,4.5,47,0,
Tom Jackson,31,DEN,ROLB,9,9,1,8,0,8,,0,0,0,0,1.0,,0,
Joe Jacoby,23,WAS,LT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Ron Jaworski,31,PHI,QB,9,9,0,0,0,0,,9,4,-11,0,0.0,,0,
Fletcher Jenkins,23,BAL,RDE,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Paul Johns,24,SEA,WR,9,9,0,0,0,0,,2,0,0,0,0.0,,0,
Dennis Johnson,24,MIN,LILB,9,9,0,0,0,0,,0,2,0,0,0.0,,0,
Ezra Johnson,27,GNB,RDE,9,9,0,0,0,0,,0,0,0,0,5.5,,0,
Gary Johnson,30,SDG,RDT,9,9,0,0,0,0,,0,0,0,0,4.0,,1,"PB,AP-2"
Johnnie Johnson,26,RAM,SS,9,9,1,7,0,7,,0,2,9,0,1.0,,0,
Kenny Johnson,24,ATL,RCB,9,9,2,30,0,30,,0,0,0,0,1.0,,0,
Pete Johnson,28,CIN,FB,9,9,0,0,0,0,,1,1,0,0,0.0,,0,
Ron Johnson,26,PIT,FS,9,9,2,5,0,5,,0,0,0,0,0.0,,0,
Charlie Joiner,35,SDG,WR,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Rulon Jones,24,DEN,RDE,9,9,0,0,0,0,,0,0,0,0,2.0,,0,
Terry Jones,26,GNB,NT,9,9,0,0,0,0,,0,0,0,0,3.0,,0,
Too Tall Jones,31,DAL,LDE,9,9,1,0,0,0,,0,1,0,0,6.0,,0,"PB,AP-1"
E.J. Junior,23,STL,LLB,9,9,0,0,0,0,,0,1,0,0,1.5,,0,
Brian Kelley,31,NYG,LILB,9,9,3,27,0,14,,0,0,0,0,0.0,,0,
Bobby Kemp,23,CIN,SS,9,9,1,0,0,0,,0,0,0,0,1.0,,0,
Mike Kenn,26,ATL,LT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,"PB,AP-2"
