Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Ben Williams,28,BUF,LDE,9,9,1,20,0,20,,0,1,0,0,4.0,,0,PB
Doug Williams,27,TAM,QB,9,9,0,0,0,0,,9,4,0,0,0.0,,0,
Joel Williams,26,ATL,ROLB,9,9,0,0,0,0,,0,1,0,0,3.0,,0,"AP-2,AP DPoY-4"
Lester Williams,23,NWE,NT,9,9,0,0,0,0,,0,1,0,0,2.0,,0,
Mike Williams,29,SDG,RCB,9,9,2,12,0,6,,0,0,0,0,0.0,,0,
Reggie Williams,28,CIN,ROLB,9,9,1,20,0,20,,0,4,0,0,4.5,,1,
Otis Wilson,25,CHI,LLB,9,9,2,39,1,39,,0,0,0,0,2.5,,0,
Kellen Winslow,25,SDG,TE,9,9,0,0,0,0,,1,0,0,0,0.0,,0,"PB,AP-1,AP OPoY-6"
Dirt Winston,27,NOR,RILB,9,9,2,-2,0,0,,0,2,0,0,0.5,,0,
Craig Wolfley,24,PIT,LG,9,9,0,0,0,0,,0,2,0,0,0.0,,0,
David Woodley,24,MIA,QB,9,9,0,0,0,0,,2,3,0,0,0.0,,0,
Dwayne Woodruff,25,PIT,LCB,9,9,5,53,0,30,,0,0,0,0,1.0,,0,
Louis Wright,29,DEN,LCB,9,9,2,18,0,18,,0,1,0,0,1.0,,0,
Jeff Yeates,31,ATL,LDE,9,9,0,0,0,0,,0,0,0,0,1.0,,0,
Charle Young,31,SFO,TE,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Roynell Young,25,PHI,LCB,9,9,4,0,0,0,,0,0,0,0,0.0,,0,
Jack Youngblood,32,RAM,LDE,9,9,0,0,0,0,,0,0,0,0,4.0,,0,
Ottis Anderson,25,STL,RB,8,8,0,0,0,0,,2,1,0,0,0.0,,0,
Al Baker,26,DET,RDE,9,8,0,0,0,0,,0,1,0,0,8.5,,0,
Bob Baumhower,27,MIA,NT,9,8,0,0,0,0,,0,0,0,0,3.5,,0,"PB,AP-2"
Hoby Brenner,23,NOR,TE,8,8,0,0,0,0,,1,1,0,0,0.0,,0,
Ted Brown,25,MIN,FB,8,8,0,0,0,0,,0,1,0,0,0.0,,0,
Keith Butler,26,SEA,RLB,8,8,0,0,0,0,,0,0,0,0,2.0,,0,
Harold Carmichael,33,PHI,WR,9,8,0,0,0,0,,3,1,0,0,0.0,,0,
Dwight Clark,25,SFO,WR,9,8,0,0,0,0,,1,0,0,0,0.0,,0,"PB,AP-1"
Johnie Cooks,24,BAL,LILB,9,8,0,0,0,0,,0,1,0,0,1.5,,0,AP DRoY-6
Steve Courson,27,PIT,RG,8,8,0,0,0,0,,0,1,0,0,0.0,,0,
Randy Cross,28,SFO,RG,9,8,0,0,0,0,,0,1,0,0,0.0,,0,PB
Vernon Dean,23,WAS,RCB,9,8,3,62,0,26,,0,0,0,0,0.0,,0,AP DRoY-2
Kenny Easley,23,SEA,SS,8,8,4,48,0,44,,0,1,0,0,2.0,,0,PB
Gerry Ellis,25,GNB,FB,9,8,0,0,0,0,,6,0,0,0,0.0,,0,
Mike Fanning,29,RAM,LDT,8,8,0,0,0,0,,0,0,0,0,5.0,,0,
Keith Ferguson,23,SDG,RDE,9,8,0,0,0,0,,0,1,0,0,4.5,,0,
William Gay,27,DET,LDT,9,8,1,7,0,7,,0,1,0,0,5.0,,0,
Jeff Griffin,24,STL,LCB,9,8,1,8,0,8,,0,0,0,0,0.0,,0,
Jack Ham,34,PIT,LOLB,8,8,1,2,0,2,,0,1,0,0,3.0,,0,
Robert Hardy,26,SEA,LDT,8,8,0,0,0,0,,0,0,0,0,2.0,,0,
Perry Harrington,24,PHI,FB,9,8,0,0,0,0,,2,0,0,0,0.0,,0,
Eric Harris,27,KAN,RCB,8,8,3,66,1,56,,0,0,0,0,0.0,,0,
Michael Jackson,25,SEA,MLB,8,8,2,29,0,28,,0,1,0,0,0.0,,0,
Terry Jackson,27,NYG,RCB,8,8,4,75,0,37,,0,0,0,0,1.0,,0,
Leroy Jones,32,SDG,LDE,8,8,0,0,0,0,,0,2,0,0,1.5,,0,
Reggie Kinlaw,25,RAI,NT,8,8,0,0,0,0,,0,1,0,0,1.0,,0,
Jim Kovach,26,NOR,LILB,8,8,0,0,0,0,,0,1,0,0,2.5,,0,
Barry Krauss,25,BAL,RILB,9,8,0,0,0,0,,0,0,0,0,2.0,,0,
Jack Lambert,30,PIT,RILB,8,8,1,6,0,6,,0,1,1,0,4.0,,0,"PB,AP-1,AP DPoY-7"
Jim LeClair,32,CIN,LILB,8,8,1,11,0,11,,0,0,0,0,2.5,,0,
Eugene Marve,22,BUF,LILB,9,8,1,0,0,0,,0,1,0,0,0.0,,0,AP DRoY-4
Larry McGrew,25,NWE,LOLB,8,8,0,0,0,0,,0,0,0,0,1.5,,0,
Wilbert Montgomery,28,PHI,RB,8,8,0,0,0,0,,3,2,0,0,0.0,,0,
Bob Nelson,29,RAI,RILB,9,8,0,0,0,0,,0,0,0,0,1.0,,0,
Burgess Owens,31,RAI,FS,8,8,4,56,0,35,,0,0,0,0,0.0,,0,
Frank Pollard,25,PIT,RB,9,8,0,0,0,0,,3,0,0,0,0.0,,0,
Al Richardson,25,ATL,LOLB,8,8,0,0,0,0,,0,0,0,0,2.0,,0,
John Riggins,33,WAS,RB,8,8,0,0,0,0,,2,0,0,0,0.0,,0,
Avon Riley,24,HOU,LOLB,9,8,0,0,0,0,,0,0,0,0,1.5,,0,
Mike Robinson,26,CLE,RDE,8,8,0,0,0,0,,0,0,0,0,3.0,,0,
Tim Sherwin,24,BAL,TE,9,8,0,0,0,0,,0,1,0,1,0.0,,0,
Billy Sims,27,DET,RB,9,8,0,0,0,0,,7,1,0,0,0.0,,0,PB
Dennis Smith,23,DEN,SS,8,8,1,29,0,29,,0,0,0,0,2.0,65,0,
Sherman Smith,28,SEA,RB,9,8,0,0,0,0,,1,1,0,0,0.0,,0,
Gary Spani,26,KAN,RILB,8,8,0,0,0,0,,0,1,0,0,0.0,,0,
Ken Stabler,37,NOR,QB,8,8,0,0,0,0,,4,0,0,0,0.0,,0,
Jim Stuckey,24,SFO,LDE,9,8,0,0,0,0,,0,1,0,0,0.0,,0,
Scott Studwell,28,MIN,RILB,8,8,1,3,0,3,,0,1,0,0,3.0,,0,
Matt Suhey,24,CHI,FB,9,8,0,0,0,0,,2,1,0,0,0.0,,0,
Karl Swanke,25,GNB,LT,8,8,0,0,0,0,,0,1,0,0,0.0,,0,
Lynn Swann,30,PIT,WR,9,8,0,0,0,0,,0,1,0,0,0.0,,0,
Lawrence Taylor,23,NYG,ROLB,9,8,1,97,1,97,,0,0,0,0,7.5,,0,"PB,AP-1,AP DPoY-1"
Manu Tuiasosopo,25,SEA,RDT,9,8,0,0,0,0,,0,1,0,0,2.0,,0,
Rick Upchurch,30,DEN,WR,9,8,0,0,0,0,,4,1,0,0,0.0,,0,"PB,AP-1"
Len Walterscheid,28,CHI,FS,9,8,0,0,0,0,,0,1,0,0,0.0,,0,
Mike Washington,29,TAM,RCB,8,8,3,13,0,13,,0,0,0,0,0.0,,0,
Jim Wilks,24,NOR,RDE,8,8,0,0,0,0,,0,0,0,0,2.0,,0,
Brenard Wilson,27,PHI,FS,8,8,1,0,0,0,,0,1,0,0,0.0,,0,
Butch Woolfolk,22,NYG,RB,9,8,0,0,0,0,,5,1,0,0,0.0,,0,
Mike Augustyniak,26,NYJ,FB,9,7,0,0,0,0,,2,2,0,0,0.0,,0,
Tom Beasley,28,PIT,RDE,7,7,0,0,0,0,,0,1,0,0,6.0,,0,
Doug Betters,26,MIA,LDE,9,7,0,0,0,0,,0,0,0,0,4.0,,0,
Gregg Bingham,31,HOU,LILB,7,7,1,8,0,8,,0,0,0,0,3.0,,0,
Greg Buttle,28,NYJ,LLB,7,7,1,9,0,9,,0,0,0,0,0.0,,0,
Carlos Carson,24,KAN,WR,9,7,0,0,0,0,,1,0,0,0,0.0,,0,
Tim Fox,29,SDG,FS,7,7,4,103,0,35,,1,0,0,0,0.0,,0,AP-2
Derrel Gofourth,27,GNB,LG,9,7,0,0,0,0,,0,1,0,0,0.0,,0,
Al Harris,25,CHI,RDE,8,7,0,0,0,0,,0,0,0,0,3.5,,0,
John Harty,24,SFO,NT,9,7,0,0,0,0,,0,0,0,0,2.5,,0,
Bob Horn,28,SFO,RILB,9,7,1,19,0,19,,0,0,0,0,0.0,,0,
James Hunter,28,DET,RCB,7,7,2,36,0,36,,0,1,0,0,1.0,,0,
Billy Jackson,23,KAN,FB,9,7,0,0,0,0,,1,0,0,0,0.0,,0,
Roland James,24,NWE,SS,7,7,3,12,0,12,,1,0,0,0,2.0,,0,
Lawrence Johnson,25,CLE,LCB,8,7,4,17,0,17,,0,1,0,0,0.0,,0,
Gordon Jones,25,TAM,WR,9,7,0,0,0,0,,1,0,0,0,0.0,,0,
Mel Kaufman,24,WAS,LLB,9,7,0,0,0,0,,0,1,0,0,1.5,,0,
Louie Kelcher,29,SDG,LDT,8,7,0,0,0,0,,0,1,0,0,2.0,,0,
Linden King,27,SDG,LLB,9,7,0,0,0,0,,0,1,0,0,1.0,,0,
Mark Lee,24,GNB,LCB,9,7,1,40,0,40,,0,0,0,0,0.0,,0,
Woodrow Lowe,28,SDG,RLB,9,7,1,2,0,2,,0,0,0,0,2.0,,0,
Marty Lyons,25,NYJ,RDT,7,7,0,0,0,0,,0,1,10,0,1.5,,0,
Jim McMahon,23,CHI,QB,8,7,0,0,0,0,,1,0,0,0,0.0,,0,
Jeff Merrow,29,ATL,RDE,8,7,0,0,0,0,,0,2,0,0,2.5,,0,
Wayne Morris,28,STL,FB,9,7,0,0,0,0,,1,0,0,0,0.0,,0,
Tony Nathan,26,MIA,RB,8,7,0,0,0,0,,2,0,0,0,0.0,,0,
Kenny Neil,23,NYJ,RDE,9,7,0,0,0,0,,0,1,0,0,4.0,,0,
Lee Nelson,28,STL,SS,8,7,1,7,0,7,,0,0,0,0,0.0,,0,
Johnny Perkins,29,NYG,WR,8,7,0,0,0,0,,2,0,0,0,0.0,,0,
Freddie Scott,30,DET,WR,9,7,0,0,0,0,,1,0,0,0,0.0,,0,
John Sinnott,24,BAL,LT,9,7,0,0,0,0,,0,1,0,0,0.0,,0,
Jerry Sisemore,31,PHI,RT,7,7,0,0,0,0,,0,1,0,0,0.0,,0,
Freddie Solomon,29,SFO,WR,9,7,0,0,0,0,,2,1,0,0,0.0,,0,
Phil Tabor,26,NYG,RDE,9,7,0,0,0,0,,0,1,0,0,3.5,,0,
Rich Umphrey,24,NYG,C,9,7,0,0,0,0,,1,0,-24,0,0.0,,0,
Reggie Wilkes,26,PHI,ROLB,9,7,0,0,0,0,,0,1,0,0,1.0,,0,
Wayne Wilson,25,NOR,FB,8,7,0,0,0,0,,4,1,0,0,0.0,,0,
Leo Wisniewski,23,BAL,NT,7,7,0,0,0,0,,0,0,0,0,2.5,,0,
Eric Wright,23,SFO,RCB,7,7,1,31,0,31,,0,0,0,0,0.0,,0,
Jim Zorn,29,SEA,QB,9,7,0,0,0,0,,5,1,-3,0,0.0,,0,
Larry Anderson,26,BAL,SS,9,6,0,0,0,0,,2,0,0,0,0.0,,0,
Kim Bokamper,28,MIA,RDE,9,6,1,1,0,1,,0,0,0,0,3.5,,0,
Greg Bracelin,25,BAL,ROLB,9,6,1,31,0,31,,0,1,0,0,2.0,,0,
Louis Breeden,29,CIN,LCB,6,6,2,9,0,9,,1,0,0,0,1.0,,0,AP-1
Dexter Bussey,30,DET,FB,9,6,0,0,0,0,,2,2,0,0,0.0,,0,
John Cappelletti,30,SDG,FB,9,6,0,0,0,0,,1,0,0,0,0.0,,0,
Garry Cobb,25,DET,LLB,6,6,2,12,0,12,,0,0,0,0,0.0,,0,
Joe Cribbs,24,BUF,RB,7,6,0,0,0,0,,5,2,-9,0,0.0,,0,
Curtis Dickey,26,BAL,RB,8,6,0,0,0,0,,3,0,0,0,0.0,,0,
Leslie Frazier,23,CHI,RCB,9,6,2,0,0,0,,0,1,7,0,1.0,,0,
Steve Grogan,29,NWE,QB,6,6,0,0,0,0,,2,1,0,0,0.0,,0,
Charlie Johnson,30,MIN,NT,9,6,0,0,0,0,,0,1,44,1,1.0,,0,
Lam Jones,24,NYJ,WR,8,6,0,0,0,0,,0,1,0,0,0.0,,0,
Bill Kenney,27,KAN,QB,7,6,0,0,0,0,,3,2,0,0,0.0,,0,
Bruce Laird,32,SDG,SS,9,6,0,0,0,0,,0,1,0,0,0.0,,0,
Ulysses Norris,25,DET,TE,9,6,0,0,0,0,,1,0,0,0,0.0,,0,
James Owens,27,TAM,RB,8,6,0,0,0,0,,2,0,0,0,0.0,,0,
Vernon Perry,29,HOU,SS,7,6,1,8,0,8,,0,2,35,0,0.0,,0,
Greg Roberts,26,TAM,RG,7,6,0,0,0,0,,0,1,0,0,0.0,,0,
Sanders Shiver,28,BAL,LOLB,8,6,0,0,0,0,,0,1,0,0,0.0,,0,
Brian Sipe,33,CLE,QB,6,6,0,0,0,0,,1,1,-2,0,0.0,,0,
J.C. Wilson,26,HOU,LCB,7,6,0,0,0,0,,0,1,15,0,0.0,,0,
Bill Barnett,26,MIA,RDE,5,5,0,0,0,0,,0,1,4,0,0.5,,0,
Morris Bradshaw,30,NWE,WR,8,5,0,0,0,0,,1,0,0,0,0.0,,0,
Perry Brooks,28,WAS,RDT,5,5,0,0,0,0,,0,1,0,0,1.0,,0,
Jim Burroughs,24,BAL,LCB,8,5,1,94,1,94,,0,1,0,0,0.0,,0,
Earl Cooper,25,SFO,FB,9,5,0,0,0,0,,1,0,0,0,0.0,,0,
Gary Danielson,31,DET,QB,8,5,0,0,0,0,,6,1,-11,0,0.0,,0,
Steve DeBerg,28,DEN,QB,9,5,0,0,0,0,,4,0,0,0,0.0,,0,
Dan Doornink,26,SEA,FB,8,5,0,0,0,0,,2,1,0,0,0.0,,0,
Vince Ferragamo,28,RAM,QB,7,5,0,0,0,0,,1,0,0,0,0.0,,0,
Willie Harper,32,SFO,LOLB,5,5,1,0,0,0,,0,0,0,0,0.0,,0,
Jim Haslett,27,BUF,RILB,7,5,0,0,0,0,,0,1,0,0,0.0,,0,
Pete Kugler,23,SFO,NT,7,5,0,0,0,0,,0,0,0,0,2.0,,0,
Howie Long,22,RAI,LDE,9,5,0,0,0,0,,0,0,0,0,5.5,,0,
Archie Manning,33,HOU,QB,6,5,0,0,0,0,,5,1,-4,0,0.0,,0,
Bill Neill,23,NYG,NT,7,5,0,0,0,0,,0,0,0,0,2.0,,0,
Ray Oldham,31,DET,SS,5,5,1,35,1,35,,0,0,0,0,1.0,,0,
Lawrence Pillers,30,SFO,RDE,9,5,0,0,0,0,,0,1,0,0,3.0,,0,
Dave Preston,27,DEN,RB,8,5,0,0,0,0,,3,1,0,0,0.0,,0,
George Rogers,24,NOR,RB,6,5,0,0,0,0,,4,0,0,0,0.0,,0,PB
Wayne Smith,25,DET,LCB,5,5,1,10,0,10,,0,0,0,0,1.0,,0,
John Swain,23,MIN,LCB,9,5,2,20,0,16,,0,0,0,0,0.0,,0,
Mark van Eeghen,30,NWE,FB,9,5,0,0,0,0,,2,0,0,0,0.0,,0,
Curtis Weathers,26,CLE,ROLB,7,5,0,0,0,0,,0,0,0,0,1.0,,0,
Rich Wingo,26,GNB,LILB,5,5,1,0,0,0,,0,0,0,0,1.0,,0,
Dave Browning,26,RAI,DE,5,4,0,0,0,0,,0,2,0,0,1.0,,0,
Russ Francis,29,SFO,TE,9,4,0,0,0,0,,2,0,0,0,0.0,,0,
Hokie Gajan,23,NOR,RB,9,4,0,0,0,0,,0,1,0,0,0.0,,0,
Bob Golic,25,CLE,NT,6,4,0,0,0,0,,0,0,0,0,4.0,,0,
Darryl Grant,23,WAS,DT,9,4,0,0,0,0,,0,0,0,0,2.5,,0,
Mike Harden,23,DEN,FS,5,4,2,3,0,3,,0,1,13,0,0.0,,0,
Eric Hipple,25,DET,QB,9,4,0,0,0,0,,1,0,0,0,0.0,,0,
Chris Keating,25,BUF,LB,9,4,1,14,0,14,,0,0,0,0,0.0,,0,
Kurt Knoff,28,MIN,DB,9,4,1,4,0,4,,0,0,0,0,1.0,,0,
Dave Lindstrom,28,KAN,DE,9,4,0,0,0,0,,0,0,0,0,3.0,,0,
Jeff Moore,26,SFO,RB,9,4,0,0,0,0,,4,0,0,0,0.0,,0,
Darrin Nelson,23,MIN,RB,7,4,0,0,0,0,,2,0,-8,0,0.0,,0,
Gifford Nielsen,28,HOU,QB,9,4,0,0,0,0,,4,0,-13,0,0.0,,0,
Willie Scott,23,KAN,TE,9,4,0,0,0,0,,0,1,0,0,0.0,,0,
Bobby Watkins,22,DET,DB,9,4,5,22,0,20,,0,1,0,0,0.0,,0,
Curtis Brown,28,BUF,RB,9,3,0,0,0,0,,1,2,0,0,0.0,,0,
Matt Cavanaugh,26,NWE,QB,7,3,0,0,0,0,,1,0,0,0,0.0,,0,
Zachary Dixon,26,BAL,RB,9,3,0,0,0,0,,2,1,0,0,0.0,,0,
Carl Ekern,28,RAM,LLB,3,3,1,9,0,9,,0,0,0,0,0.0,,0,
Steve Fuller,25,KAN,QB,9,3,0,0,0,0,,3,2,0,0,0.0,,0,
Tony Galbreath,28,MIN,RB,8,3,0,0,0,0,,1,0,0,0,0.0,,0,
Hector Gray,25,DET,DB,8,3,1,5,0,5,,0,0,0,0,0.0,,0,
Bob Gregor,25,SDG,DB,4,3,1,6,0,6,,0,0,0,0,0.0,,0,
Ray Griffin,26,CIN,DB,9,3,1,21,0,21,,0,0,0,0,0.0,,0,
Don Latimer,27,DEN,NT,9,3,0,0,0,0,,0,0,0,0,1.0,,0,
Paul McDonald,24,CLE,QB,9,3,0,0,0,0,,3,0,0,0,0.0,,0,
Craig Morton,39,DEN,QB,3,3,0,0,0,0,,1,0,0,0,0.0,,0,
Bill Ring,26,SFO,RB,8,3,0,0,0,0,,1,1,0,0,0.0,,0,
Dave Simmons,25,BAL,LB,6,3,0,0,0,0,,0,1,0,0,0.0,,0,
James White,29,MIN,NT,9,3,0,0,0,0,,0,1,0,0,3.0,,0,
Steve Wilson,25,DEN,CB,8,3,2,22,0,16,,0,1,0,0,0.0,,0,
Kim Anderson,25,BAL,DB,9,2,2,25,0,25,,0,0,0,0,0.0,,0,
Ron Bolton,32,CLE,DB,4,2,1,0,0,0,,0,0,0,0,0.0,,0,
Jim Burt,23,NYG,NT,4,2,0,0,0,0,,0,0,0,0,1.0,,0,
Al Chesley,25,PHI,LB,4,2,0,0,0,0,,0,1,0,0,0.0,,0,
Bob Crable,23,NYJ,LB,9,2,0,0,0,0,,0,0,0,0,1.0,,0,
Donnie Craft,23,HOU,RB,9,2,0,0,0,0,,0,1,0,0,0.0,,0,
Mike Fuller,29,CIN,DB,9,2,1,0,0,0,,2,1,0,0,0.0,,0,
James Hadnot,25,KAN,RB,9,2,0,0,0,0,,1,0,0,0,0.0,,0,
Larry Hardy,26,NOR,TE,9,2,0,0,0,0,,1,0,0,0,0.0,,0,
Estus Hood,27,GNB,DB,9,2,1,0,0,0,,0,0,0,0,0.0,,0,
Ernie Hughes,27,NYG,C,5,2,0,0,0,0,,1,0,0,0,0.0,,0,
Joe Klecko,29,NYJ,DE,2,2,0,0,0,0,,0,0,0,0,2.0,,0,
Dave Krieg,24,SEA,QB,3,2,0,0,0,0,,5,2,-14,0,0.0,,0,
George Martin,29,NYG,DE,9,2,0,0,0,0,,0,0,0,0,6.0,,0,
Milt McColl,23,SFO,LB,9,2,0,0,0,0,,0,0,0,0,0.5,,0,
Sam McCullum,30,MIN,WR,6,2,0,0,0,0,,1,0,0,0,0.0,,0,
Pete Metzelaars,22,SEA,TE,9,2,0,0,0,0,,2,1,0,0,0.0,,0,
Edmund Nelson,22,PIT,DE,8,2,0,0,0,0,,0,1,0,0,0.0,,0,
Mike Perko,25,ATL,NT,9,2,0,0,0,0,,0,2,0,0,1.0,,0,
Ben Rudolph,25,NYJ,DE,9,2,0,0,0,0,,0,0,0,0,2.0,,0,
Les Studdard,24,KAN,C,9,2,0,0,0,0,,1,0,0,0,0.0,,0,
Aundra Thompson,29,NOR,WR,9,2,0,0,0,0,,1,0,0,0,0.0,,0,
Ted Thompson,29,HOU,LB,9,2,0,0,0,0,,0,1,0,0,0.0,,0,
Keith Uecker,22,DEN,T,5,2,0,0,0,0,,1,0,0,0,0.0,,0,
Robert Weathers,22,NWE,RB,6,2,0,0,0,0,,1,0,0,0,0.0,,0,
Gerald Willhite,23,DEN,RB,9,2,0,0,0,0,,5,0,0,0,0.0,,0,
Sammy Winder,23,DEN,RB,8,2,0,0,0,0,,1,1,0,0,0.0,,0,
Andre Young,22,SDG,DB,8,2,2,9,0,9,,1,2,0,0,0.0,,0,
Wilbur Young,33,SDG,DT,9,2,0,0,0,0,,0,0,0,0,1.0,,0,
Rick Ackerman,23,SDG,NT,9,1,0,0,0,0,,0,0,0,0,3.0,,0,
Keith Baldwin,22,CLE,DE,9,1,0,0,0,0,,0,0,0,0,1.0,,0,
Mark Bell,25,SEA,DE,9,1,0,0,0,0,,0,0,0,0,1.0,,0,
Dwaine Board,26,SFO,DE,1,1,0,0,0,0,,0,0,0,0,0.5,,0,
Mel Carver,23,TAM,RB,9,1,0,0,0,0,,2,3,0,0,0.0,,0,
Fred Dean,30,SFO,DE,9,1,0,0,0,0,,0,1,0,0,3.5,,0,
Jeff Delaney,26,BAL,DB,8,1,0,0,0,0,,0,0,0,0,1.0,,0,
Vern Den Herder,34,MIA,DE,7,1,0,0,0,0,,0,1,12,0,0.0,,0,
Mike Dennis,24,NYG,DB,9,1,0,0,0,0,,0,1,0,0,0.0,,0,
Anthony Dickerson,25,DAL,LB,9,1,1,4,0,4,,0,0,0,0,2.5,,0,
Don Dufek,28,SEA,DB,9,1,1,16,0,16,,0,0,0,0,0.0,,0,
Joe Ehrmann,33,DET,DT,9,1,0,0,0,0,,0,1,0,0,3.0,,0,
Phil Epps,24,GNB,WR,9,1,0,0,0,0,,1,0,0,0,0.0,,0,
Curtis Green,25,DET,DE,7,1,0,0,0,0,,0,0,0,0,1.0,,0,
Leroy Harris,28,PHI,RB,7,1,0,0,0,0,,2,0,0,0,0.0,,0,
Mark Herrmann,23,DEN,QB,2,1,0,0,0,0,,1,0,0,0,0.0,,0,
Bryan Hinkle,23,PIT,LB,9,1,0,0,0,0,,0,0,0,0,1.0,,0,
Byron Hunt,24,NYG,LB,9,1,0,0,0,0,,0,0,0,0,1.5,,0,
James Hunter,25,BAL,DE,9,1,0,0,0,0,,0,0,0,0,1.0,,0,
Horace King,29,DET,RB,9,1,0,0,0,0,,0,2,0,0,0.0,,0,
Joe Lavender,33,WAS,DB,7,1,0,0,0,0,,0,1,0,0,0.0,,0,
Amos Lawrence,24,SFO,RB,8,1,0,0,0,0,,1,0,0,0,0.0,,0,
David Little,23,PIT,LB,9,1,0,0,0,0,,0,1,2,0,0.0,,0,
Vann McElroy,22,RAI,DB,7,1,1,0,0,0,,0,0,0,0,0.0,,0,
Odis McKinney,25,RAI,DB,9,1,0,0,0,0,,0,0,0,0,1.0,,0,
Greg Meisner,23,RAM,DE,6,1,0,0,0,0,,0,0,0,0,1.0,,0,
Guido Merkens,27,NOR,QB,9,1,0,0,0,0,,1,0,0,0,0.0,,0,
Stump Mitchell,23,STL,RB,9,1,0,0,0,0,,3,1,0,0,0.0,,0,
Joe Nash,22,SEA,DT,7,1,0,0,0,0,,0,0,0,0,1.0,32,0,
Leon Perry,25,NYG,RB,2,1,0,0,0,0,,1,0,0,0,0.0,,0,
Archie Reese,26,RAI,DE,9,1,0,0,0,0,,0,1,75,1,1.0,,0,
Jerome Sally,23,NYG,NT,4,1,0,0,0,0,,0,0,0,0,1.0,,0,
Herbert Scott,29,DAL,G,6,1,0,0,0,0,,0,1,0,0,0.0,,0,
Johnny Ray Smith,25,TAM,DB,9,1,0,0,0,0,,2,3,6,0,0.0,,0,
Tim Stokes,32,GNB,T,8,1,0,0,0,0,,0,1,0,0,0.0,,0,
Jeff Stover,24,SFO,DE,9,1,0,0,0,0,,0,1,0,0,2.0,,0,
J.T. Thomas,31,DEN,DB,9,1,1,0,0,0,,0,0,0,0,0.0,,0,
Andre Tippett,23,NWE,LB,9,1,0,0,0,0,,0,1,0,0,0.0,,0,
Tommy Vigorito,23,MIA,RB,9,1,0,0,0,0,,2,1,0,0,0.0,,0,
Frank Warren,23,NOR,DE,9,1,0,0,0,0,,0,0,0,0,1.0,5,0,
Joe Washington,29,WAS,RB,7,1,0,0,0,0,,2,0,0,0,0.0,,0,
Ted Washington,34,HOU,LB,9,1,0,0,0,0,,0,0,0,0,1.0,,0,
Rickey Young,29,MIN,RB,9,1,0,0,0,0,,0,1,0,0,0.0,,0,
Walter Abercrombie,23,PIT,RB,6,0,0,0,0,0,,0,2,0,0,0.0,,0,
Robert Abraham,22,HOU,LB,9,0,0,0,0,0,,0,1,0,0,0.0,,0,
Robert Alexander,24,RAM,RB,9,0,0,0,0,0,,2,1,0,0,0.0,,0,
Gary Allen,22,HOU,RB,7,0,0,0,0,0,,1,0,0,0,0.0,,0,
Stacey Bailey,22,ATL,WR,5,0,0,0,0,0,,1,0,0,0,0.0,,0,
Jeff Barnes,27,RAI,LB,9,0,0,0,0,0,,0,0,0,0,1.5,,0,
Roosevelt Barnes,24,DET,LB,9,0,0,0,0,0,,0,1,0,0,0.0,,0,
Don Bass,26,NOR,TE,3,0,0,0,0,0,,0,1,0,0,0.0,,0,
Todd Bell,24,CHI,SS,9,0,0,0,0,0,,0,0,0,0,1.0,,0,
Barry Bennett,27,NYJ,DT,7,0,0,0,0,0,,0,0,0,0,1.0,,0,
Rufus Bess,26,MIN,DB,8,0,0,0,0,0,,0,0,0,0,0.5,,0,
Elvin Bethea,36,HOU,DE,9,0,0,0,0,0,,0,0,0,0,1.0,,0,
Larry Bethea,26,DAL,DT,8,0,0,0,0,0,,0,0,0,0,2.0,,0,
Keith Bishop,25,DEN,G,9,0,0,0,0,0,,0,1,0,0,0.0,,0,
Richard Blackmore,26,PHI,DB,9,0,1,20,1,20,,0,0,0,0,0.0,,0,
Curtis Bledsoe,25,KAN,RB,3,0,0,0,0,0,,2,1,0,0,0.0,,0,
Fred Bohannon,24,PIT,DB,7,0,0,0,0,0,,3,0,0,0,0.0,,0,
Ken Bordelon,28,NOR,LB,9,0,0,0,0,0,,0,0,0,0,1.0,,0,
Charles Bowser,23,MIA,LB,9,0,0,0,0,0,,0,0,0,0,2.0,,0,
Greg Boyd,30,DEN,DE,9,0,0,0,0,0,,0,0,0,0,0.0,,1,
James Brooks,24,SDG,RB,9,0,0,0,0,0,,4,1,0,0,0.0,,0,
Greg Brown,25,PHI,DE,9,0,0,0,0,0,,0,2,0,1,4.0,,0,
Robert Brown,22,GNB,DE,8,0,0,0,0,0,,0,1,0,0,0.0,,0,
Theotis Brown,25,SEA,RB,9,0,0,0,0,0,,3,1,0,0,0.0,,0,
Steve Bryant,23,HOU,WR,7,0,0,0,0,0,,0,1,0,0,0.0,,0,
Billy Campfield,26,PHI,RB,6,0,0,0,0,0,,1,0,0,0,0.0,,0,
Allan Clark,25,GNB,RB,5,0,0,0,0,0,,1,1,0,0,0.0,,0,
Steve Clark,22,MIA,NT,2,0,0,0,0,0,,0,1,0,0,0.0,,0,
Dextor Clinkscale,24,DAL,DB,9,0,1,0,0,0,,0,0,0,0,2.0,,0,
Glen Collins,23,CIN,DE,7,0,0,0,0,0,,0,0,0,0,1.0,,0,
John Corker,24,HOU,LB,3,0,0,0,0,0,,0,0,0,0,1.0,,0,
Steve Cox,24,CLE,P,9,0,0,0,0,0,,0,1,0,0,0.0,,0,
